# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle[...]
ubuntu;300;2021-09-12 00:05:01 UTC;-1;0.04;0.02;0.08;0.05;0.00;99.81
ubuntu;600;2021-09-12 00:15:01 UTC;-1;0.03;0.00;0.02;0.00;0.00;99.95
ubuntu;600;2021-09-12 00:25:01 UTC;-1;0.02;0.00;0.02;0.01;0.00;99.95
ubuntu;600;2021-09-12 00:35:01 UTC;-1;0.03;0.00;0.01;0.00;0.00;99.96
ubuntu;600;2021-09-12 00:45:01 UTC;-1;0.03;0.00;0.01;0.00;0.00;99.96
ubuntu;600;2021-09-12 00:55:01 UTC;-1;0.02;0.00;0.02;0.00;0.00;99.96
ubuntu;600;2021-09-12 01:05:01 UTC;-1;0.03;0.00;0.02;0.00;0.00;99.96
ubuntu;600;2021-09-12 01:15:01 UTC;-1;0.02;0.00;0.02;0.00;0.00;99.96
ubuntu;599;2021-09-12 01:25:01 UTC;-1;0.06;0.00;0.03;0.00;0.00;99.90
ubuntu;600;2021-09-12 01:35:01 UTC;-1;0.03;0.00;0.01;0.00;0.00;99.96
ubuntu;600;2021-09-12 01:45:01 UTC;-1;0.03;0.00;0.01;0.00;0.00;99.96
ubuntu;600;2021-09-12 01:55:01 UTC;-1;0.02;0.00;0.02;0.00;0.00;99.96
ubuntu;600;2021-09-12 02:05:01 UTC;-1;0.03;0.00;0.02;0.00;0.00;99.95
ubuntu;600;2021-09-12 02:15:01 UTC;-1;0.03;0.00;0.02;0.12;0.00;99.84
ubuntu;600;2021-09-12 02:25:01 UTC;-1;0.03;0.00;0.02;0.01;0.00;99.95
ubuntu;600;2021-09-12 02:35:01 UTC;-1;0.03;0.00;0.01;0.00;0.00;99.96
ubuntu;600;2021-09-12 02:45:01 UTC;-1;0.03;0.00;0.01;0.00;0.00;99.96
ubuntu;600;2021-09-12 02:55:01 UTC;-1;0.02;0.00;0.01;0.00;0.00;99.96
ubuntu;600;2021-09-12 03:05:01 UTC;-1;0.03;0.00;0.02;0.00;0.00;99.96
ubuntu;600;2021-09-12 03:15:01 UTC;-1;0.03;0.00;0.02;0.00;0.00;99.95
ubuntu;600;2021-09-12 03:25:01 UTC;-1;0.05;0.00;0.03;0.00;0.00;99.92
ubuntu;600;2021-09-12 03:35:01 UTC;-1;0.03;0.00;0.02;0.01;0.00;99.95
ubuntu;600;2021-09-12 03:45:01 UTC;-1;0.03;0.00;0.02;0.00;0.00;99.96
ubuntu;600;2021-09-12 03:55:01 UTC;-1;0.02;0.00;0.02;0.00;0.00;99.96
ubuntu;600;2021-09-12 04:05:02 UTC;-1;0.03;0.00;0.02;0.00;0.00;99.96
ubuntu;599;2021-09-12 04:15:01 UTC;-1;0.03;0.00;0.02;0.00;0.00;99.96
ubuntu;600;2021-09-12 04:25:01 UTC;-1;0.02;0.00;0.02;0.01;0.00;99.95
ubuntu;600;2021-09-12 04:35:01 UTC;-1;0.03;0.00;0.01;0.00;0.00;99.96
ubuntu;600;2021-09-12 04:45:01 UTC;-1;0.02;0.00;0.02;0.01;0.00;99.95
ubuntu;600;2021-09-12 04:55:01 UTC;-1;0.02;0.00;0.01;0.00;0.00;99.96
ubuntu;600;2021-09-12 05:05:01 UTC;-1;0.03;0.00;0.01;0.00;0.00;99.95
ubuntu;600;2021-09-12 05:15:01 UTC;-1;0.03;0.00;0.01;0.00;0.00;99.96
ubuntu;600;2021-09-12 05:25:01 UTC;-1;0.03;0.00;0.02;0.00;0.00;99.96
ubuntu;600;2021-09-12 05:35:01 UTC;-1;0.03;0.00;0.02;0.00;0.00;99.96
ubuntu;600;2021-09-12 05:45:01 UTC;-1;0.02;0.00;0.01;0.00;0.00;99.96
ubuntu;600;2021-09-12 05:55:01 UTC;-1;0.02;0.00;0.02;0.00;0.00;99.96
ubuntu;600;2021-09-12 06:05:01 UTC;-1;0.03;0.00;0.02;0.00;0.00;99.95
ubuntu;600;2021-09-12 06:15:01 UTC;-1;0.03;0.00;0.02;0.00;0.00;99.95
ubuntu;600;2021-09-12 06:25:01 UTC;-1;0.02;0.00;0.02;0.01;0.00;99.95
ubuntu;600;2021-09-12 06:35:01 UTC;-1;0.05;0.00;0.03;0.01;0.00;99.91
ubuntu;600;2021-09-12 06:45:01 UTC;-1;0.06;0.00;0.04;0.00;0.00;99.90
ubuntu;600;2021-09-12 06:55:01 UTC;-1;0.02;0.00;0.02;0.01;0.00;99.95
ubuntu;600;2021-09-12 07:05:01 UTC;-1;0.02;0.00;0.02;0.00;0.00;99.96
ubuntu;599;2021-09-12 07:15:01 UTC;-1;0.09;0.00;0.03;0.00;0.00;99.88
ubuntu;600;2021-09-12 07:25:01 UTC;-1;0.02;0.00;0.02;0.08;0.00;99.88
ubuntu;600;2021-09-12 07:35:01 UTC;-1;0.02;0.00;0.02;0.00;0.00;99.96
ubuntu;600;2021-09-12 07:45:01 UTC;-1;0.03;0.00;0.02;0.01;0.00;99.95
ubuntu;600;2021-09-12 07:55:01 UTC;-1;0.03;0.00;0.02;0.01;0.00;99.95
ubuntu;600;2021-09-12 08:05:01 UTC;-1;0.03;0.00;0.02;0.01;0.00;99.95
ubuntu;600;2021-09-12 08:15:01 UTC;-1;0.03;0.00;0.02;0.00;0.00;99.95
ubuntu;600;2021-09-12 08:25:01 UTC;-1;0.02;0.00;0.02;0.00;0.00;99.96
ubuntu;600;2021-09-12 08:35:01 UTC;-1;0.02;0.00;0.02;0.00;0.00;99.96
ubuntu;600;2021-09-12 08:45:01 UTC;-1;0.03;0.00;0.02;0.00;0.00;99.95
ubuntu;600;2021-09-12 08:55:01 UTC;-1;0.02;0.00;0.02;0.00;0.00;99.96
ubuntu;600;2021-09-12 09:05:01 UTC;-1;0.03;0.00;0.02;0.00;0.00;99.96
ubuntu;600;2021-09-12 09:15:01 UTC;-1;0.03;0.00;0.02;0.01;0.00;99.95
ubuntu;600;2021-09-12 09:25:01 UTC;-1;0.02;0.00;0.02;0.01;0.00;99.95
ubuntu;600;2021-09-12 09:35:01 UTC;-1;0.03;0.00;0.01;0.01;0.00;99.95
ubuntu;600;2021-09-12 09:45:01 UTC;-1;0.03;0.00;0.01;0.00;0.00;99.96
ubuntu;600;2021-09-12 09:55:02 UTC;-1;0.02;0.00;0.01;0.01;0.00;99.96
ubuntu;599;2021-09-12 10:05:01 UTC;-1;0.03;0.00;0.02;0.01;0.00;99.95
ubuntu;600;2021-09-12 10:15:01 UTC;-1;0.03;0.00;0.01;0.00;0.00;99.96
ubuntu;600;2021-09-12 10:25:01 UTC;-1;0.02;0.00;0.02;0.00;0.00;99.96
ubuntu;600;2021-09-12 10:35:01 UTC;-1;0.03;0.00;0.02;0.00;0.00;99.96
ubuntu;600;2021-09-12 10:45:01 UTC;-1;0.03;0.00;0.02;0.00;0.00;99.96
ubuntu;600;2021-09-12 10:55:01 UTC;-1;0.03;0.00;0.01;0.00;0.00;99.96
ubuntu;600;2021-09-12 11:05:01 UTC;-1;0.02;0.00;0.02;0.00;0.00;99.96
ubuntu;600;2021-09-12 11:15:01 UTC;-1;0.03;0.00;0.02;0.00;0.00;99.95
ubuntu;600;2021-09-12 11:25:01 UTC;-1;0.03;0.00;0.02;0.05;0.00;99.90
ubuntu;600;2021-09-12 11:35:01 UTC;-1;0.03;0.00;0.02;0.01;0.00;99.95
ubuntu;600;2021-09-12 11:45:01 UTC;-1;0.03;0.00;0.02;0.00;0.00;99.95
ubuntu;600;2021-09-12 11:55:01 UTC;-1;0.02;0.00;0.01;0.00;0.00;99.96
ubuntu;600;2021-09-12 12:05:01 UTC;-1;0.03;0.00;0.02;0.01;0.00;99.95
ubuntu;600;2021-09-12 12:15:01 UTC;-1;0.03;0.00;0.02;0.00;0.00;99.96
ubuntu;600;2021-09-12 12:25:01 UTC;-1;0.02;0.00;0.02;0.00;0.00;99.96
ubuntu;600;2021-09-12 12:35:01 UTC;-1;0.03;0.00;0.01;0.00;0.00;99.96
ubuntu;599;2021-09-12 12:45:01 UTC;-1;0.03;0.00;0.02;0.00;0.00;99.96
ubuntu;600;2021-09-12 12:55:01 UTC;-1;0.02;0.00;0.01;0.00;0.00;99.96
ubuntu;600;2021-09-12 13:05:01 UTC;-1;0.03;0.00;0.02;0.00;0.00;99.95
ubuntu;600;2021-09-12 13:15:01 UTC;-1;0.02;0.00;0.02;0.00;0.00;99.96
ubuntu;600;2021-09-12 13:25:01 UTC;-1;0.03;0.00;0.02;0.00;0.00;99.96
ubuntu;600;2021-09-12 13:35:01 UTC;-1;0.03;0.00;0.01;0.00;0.00;99.96
ubuntu;600;2021-09-12 13:45:01 UTC;-1;0.03;0.00;0.02;0.01;0.00;99.95
ubuntu;600;2021-09-12 13:55:01 UTC;-1;0.02;0.00;0.02;0.00;0.00;99.96
ubuntu;600;2021-09-12 14:05:01 UTC;-1;0.03;0.00;0.02;0.00;0.00;99.96
ubuntu;600;2021-09-12 14:15:01 UTC;-1;0.03;0.00;0.02;0.00;0.00;99.95
ubuntu;600;2021-09-12 14:25:01 UTC;-1;0.02;0.00;0.02;0.01;0.00;99.95
ubuntu;600;2021-09-12 14:35:01 UTC;-1;0.03;0.00;0.02;0.00;0.00;99.96
ubuntu;600;2021-09-12 14:45:01 UTC;-1;0.03;0.00;0.01;0.01;0.00;99.96
ubuntu;600;2021-09-12 14:55:01 UTC;-1;0.02;0.00;0.02;0.06;0.00;99.90
ubuntu;600;2021-09-12 15:05:01 UTC;-1;0.03;0.00;0.02;0.03;0.00;99.93
ubuntu;600;2021-09-12 15:15:01 UTC;-1;0.03;0.00;0.02;0.00;0.00;99.95
ubuntu;600;2021-09-12 15:25:02 UTC;-1;0.02;0.00;0.02;0.01;0.00;99.95
ubuntu;599;2021-09-12 15:35:01 UTC;-1;0.03;0.00;0.02;0.00;0.00;99.95
ubuntu;600;2021-09-12 15:45:01 UTC;-1;0.05;0.00;0.02;0.01;0.00;99.92
ubuntu;600;2021-09-12 15:55:01 UTC;-1;0.06;0.00;0.04;0.01;0.00;99.89
ubuntu;600;2021-09-12 16:05:01 UTC;-1;0.03;0.00;0.02;0.00;0.00;99.96
ubuntu;600;2021-09-12 16:15:01 UTC;-1;0.03;0.00;0.02;0.00;0.00;99.95
ubuntu;600;2021-09-12 16:25:01 UTC;-1;0.02;0.00;0.02;0.01;0.00;99.95
ubuntu;600;2021-09-12 16:35:01 UTC;-1;0.03;0.00;0.01;0.00;0.00;99.96
ubuntu;600;2021-09-12 16:45:01 UTC;-1;0.02;0.00;0.02;0.00;0.00;99.96
ubuntu;600;2021-09-12 16:55:01 UTC;-1;0.02;0.00;0.02;0.01;0.00;99.95
ubuntu;600;2021-09-12 17:05:01 UTC;-1;0.03;0.00;0.02;0.01;0.00;99.95
ubuntu;600;2021-09-12 17:15:01 UTC;-1;0.03;0.00;0.02;0.00;0.00;99.96
ubuntu;600;2021-09-12 17:25:01 UTC;-1;0.02;0.00;0.02;0.00;0.00;99.96
ubuntu;600;2021-09-12 17:35:01 UTC;-1;0.03;0.00;0.02;0.00;0.00;99.96
ubuntu;600;2021-09-12 17:45:01 UTC;-1;0.06;0.00;0.04;0.00;0.00;99.89
ubuntu;600;2021-09-12 17:55:01 UTC;-1;0.02;0.00;0.02;0.00;0.00;99.96
ubuntu;600;2021-09-12 18:05:01 UTC;-1;0.07;0.00;0.04;0.00;0.00;99.89
ubuntu;600;2021-09-12 18:15:02 UTC;-1;0.03;0.00;0.01;0.00;0.00;99.96
ubuntu;599;2021-09-12 18:25:01 UTC;-1;0.02;0.00;0.02;0.00;0.00;99.96
ubuntu;600;2021-09-12 18:35:01 UTC;-1;0.02;0.00;0.02;0.01;0.00;99.96
ubuntu;600;2021-09-12 18:45:01 UTC;-1;0.02;0.00;0.02;0.01;0.00;99.95
ubuntu;600;2021-09-12 18:55:01 UTC;-1;0.02;0.00;0.01;0.00;0.00;99.96
ubuntu;600;2021-09-12 19:05:01 UTC;-1;0.03;0.00;0.01;0.00;0.00;99.96
ubuntu;600;2021-09-12 19:15:01 UTC;-1;0.03;0.00;0.02;0.00;0.00;99.96
ubuntu;600;2021-09-12 19:25:01 UTC;-1;0.02;0.00;0.02;0.00;0.00;99.96
ubuntu;600;2021-09-12 19:35:01 UTC;-1;0.03;0.00;0.01;0.00;0.00;99.96
ubuntu;600;2021-09-12 19:45:01 UTC;-1;0.03;0.00;0.01;0.00;0.00;99.96
ubuntu;600;2021-09-12 19:55:01 UTC;-1;0.02;0.00;0.02;0.01;0.00;99.95
ubuntu;600;2021-09-12 20:05:01 UTC;-1;0.03;0.00;0.02;0.00;0.00;99.95
ubuntu;600;2021-09-12 20:15:01 UTC;-1;0.05;0.00;0.02;0.01;0.00;99.93
ubuntu;600;2021-09-12 20:25:01 UTC;-1;0.02;0.00;0.01;0.00;0.00;99.96
ubuntu;600;2021-09-12 20:35:01 UTC;-1;0.03;0.00;0.01;0.00;0.00;99.96
ubuntu;600;2021-09-12 20:45:01 UTC;-1;0.03;0.00;0.01;0.00;0.00;99.95
ubuntu;600;2021-09-12 20:55:01 UTC;-1;0.02;0.00;0.01;0.00;0.00;99.96
ubuntu;599;2021-09-12 21:05:01 UTC;-1;0.03;0.00;0.01;0.00;0.00;99.95
ubuntu;600;2021-09-12 21:15:01 UTC;-1;0.03;0.00;0.02;0.00;0.00;99.95
ubuntu;600;2021-09-12 21:25:01 UTC;-1;0.02;0.00;0.02;0.00;0.00;99.96
ubuntu;600;2021-09-12 21:35:01 UTC;-1;0.03;0.00;0.01;0.00;0.00;99.96
ubuntu;600;2021-09-12 21:45:01 UTC;-1;0.03;0.00;0.01;0.04;0.00;99.92
ubuntu;600;2021-09-12 21:55:01 UTC;-1;0.02;0.00;0.01;0.01;0.00;99.96
ubuntu;600;2021-09-12 22:05:01 UTC;-1;0.02;0.00;0.02;0.00;0.00;99.96
ubuntu;600;2021-09-12 22:15:01 UTC;-1;0.02;0.00;0.02;0.01;0.00;99.96
ubuntu;600;2021-09-12 22:25:01 UTC;-1;0.08;0.00;0.04;0.02;0.00;99.86
ubuntu;600;2021-09-12 22:35:01 UTC;-1;0.03;0.00;0.01;0.00;0.00;99.96
ubuntu;600;2021-09-12 22:45:01 UTC;-1;0.03;0.00;0.02;0.00;0.00;99.96
ubuntu;600;2021-09-12 22:55:01 UTC;-1;0.02;0.00;0.02;0.00;0.00;99.96
ubuntu;600;2021-09-12 23:05:01 UTC;-1;0.03;0.00;0.01;0.00;0.00;99.96
ubuntu;600;2021-09-12 23:15:01 UTC;-1;0.03;0.00;0.02;0.00;0.00;99.96
ubuntu;600;2021-09-12 23:25:01 UTC;-1;0.02;0.00;0.02;0.00;0.00;99.96
ubuntu;600;2021-09-12 23:35:01 UTC;-1;0.03;0.00;0.02;0.00;0.00;99.96
ubuntu;600;2021-09-12 23:45:02 UTC;-1;0.03;0.00;0.01;0.00;0.00;99.96
ubuntu;599;2021-09-12 23:55:01 UTC;-1;0.02;0.00;0.01;0.00;0.00;99.96
ubuntu;240;2021-09-12 23:59:01 UTC;-1;0.02;0.00;0.02;0.01;0.00;99.95
ubuntu;60;2021-09-13 00:00:01 UTC;-1;0.05;0.00;0.03;0.00;0.00;99.92
