# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle[...]
ubuntu;60;2021-09-19 13:58:01 UTC;-1;5.99;0.01;5.21;0.18;0.00;88.62
ubuntu;60;2021-09-19 13:59:01 UTC;-1;6.21;0.01;5.36;0.16;0.00;88.27
ubuntu;60;2021-09-19 14:00:02 UTC;-1;6.24;0.01;5.31;0.28;0.00;88.16
ubuntu;59;2021-09-19 14:01:01 UTC;-1;5.92;0.01;5.07;0.19;0.00;88.82
ubuntu;60;2021-09-19 14:02:01 UTC;-1;5.95;0.00;5.10;0.20;0.00;88.75
ubuntu;60;2021-09-19 14:03:01 UTC;-1;6.18;0.01;5.19;0.24;0.00;88.39
ubuntu;60;2021-09-19 14:04:01 UTC;-1;6.23;0.01;5.13;0.18;0.00;88.45
ubuntu;60;2021-09-19 14:05:01 UTC;-1;6.11;0.00;5.30;0.26;0.00;88.32
ubuntu;60;2021-09-19 14:06:01 UTC;-1;5.93;0.01;5.14;0.27;0.00;88.64
ubuntu;60;2021-09-19 14:07:01 UTC;-1;6.11;0.01;5.27;0.22;0.00;88.39
ubuntu;60;2021-09-19 14:08:01 UTC;-1;6.01;0.00;5.25;0.17;0.00;88.57
ubuntu;60;2021-09-19 14:09:01 UTC;-1;6.29;0.01;5.28;0.22;0.00;88.20
ubuntu;60;2021-09-19 14:10:01 UTC;-1;6.17;0.01;5.49;0.21;0.00;88.12
ubuntu;60;2021-09-19 14:11:01 UTC;-1;6.11;0.00;5.17;0.13;0.00;88.59
ubuntu;60;2021-09-19 14:12:01 UTC;-1;6.01;0.02;5.05;0.15;0.00;88.78
ubuntu;60;2021-09-19 14:13:01 UTC;-1;5.95;0.01;5.14;0.33;0.00;88.56
ubuntu;60;2021-09-19 14:14:01 UTC;-1;6.24;0.00;5.17;0.18;0.00;88.41
ubuntu;60;2021-09-19 14:15:01 UTC;-1;6.08;0.01;5.51;0.22;0.00;88.17
