# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
ubuntu;60;2021-09-19 13:58:01 UTC;124300;2620468;1043740;26.87;117312;2203312;4761008;122.57;1737596;1507108;1268
ubuntu;60;2021-09-19 13:59:01 UTC;122632;2620236;1045440;26.91;117332;2203520;4761220;122.58;1738496;1508408;3080
ubuntu;60;2021-09-19 14:00:02 UTC;118852;2616796;1048812;27.00;117348;2203724;4762360;122.60;1740920;1508604;1260
ubuntu;59;2021-09-19 14:01:01 UTC;120840;2619836;1046532;26.94;117356;2203748;4759396;122.53;1738336;1509520;616
ubuntu;60;2021-09-19 14:02:01 UTC;119104;2617992;1048380;26.99;117372;2203764;4761076;122.57;1739576;1509396;1916
ubuntu;60;2021-09-19 14:03:01 UTC;119424;2618588;1048120;26.98;117376;2203812;4761368;122.58;1737680;1509560;436
ubuntu;60;2021-09-19 14:04:01 UTC;120868;2620148;1046612;26.94;117400;2203928;4761364;122.58;1737532;1509576;780
ubuntu;60;2021-09-19 14:05:01 UTC;132900;2632564;1034056;26.62;117412;2204276;4762252;122.60;1723512;1509852;736
ubuntu;60;2021-09-19 14:06:01 UTC;132308;2632116;1034452;26.63;117424;2204296;4761756;122.59;1724724;1509856;1284
ubuntu;60;2021-09-19 14:07:01 UTC;131400;2631696;1035128;26.65;117440;2204320;4761380;122.58;1725736;1510040;972
ubuntu;60;2021-09-19 14:08:01 UTC;136968;2637248;1029312;26.50;117460;2204348;4761340;122.58;1720044;1509932;1344
ubuntu;60;2021-09-19 14:09:01 UTC;136480;2636732;1029760;26.51;117480;2204368;4771276;122.83;1720344;1509364;1488
ubuntu;60;2021-09-19 14:10:01 UTC;140396;2640892;1026096;26.42;117488;2204400;4766508;122.71;1717652;1509544;808
ubuntu;60;2021-09-19 14:11:01 UTC;137576;2637892;1028824;26.49;117512;2204424;4768684;122.77;1720140;1509336;1156
ubuntu;60;2021-09-19 14:12:01 UTC;138912;2639440;1027404;26.45;117528;2204440;4770052;122.80;1717968;1509512;1692
ubuntu;60;2021-09-19 14:13:01 UTC;139116;2639712;1027044;26.44;117552;2204464;4768772;122.77;1718432;1509360;1420
ubuntu;60;2021-09-19 14:14:01 UTC;137764;2638644;1028168;26.47;117560;2204744;4769396;122.79;1719052;1509624;1420
ubuntu;60;2021-09-19 14:15:01 UTC;137196;2638044;1028612;26.48;117576;2204760;4768864;122.77;1720048;1509568;1564
ubuntu;60;2021-09-19 14:16:01 UTC;140544;2641676;1025288;26.40;117592;2204784;4770052;122.80;1717488;1509704;1280
ubuntu;60;2021-09-19 14:17:01 UTC;138844;2640012;1026788;26.43;117596;2204808;4768420;122.76;1717856;1509700;1304
ubuntu;60;2021-09-19 14:18:01 UTC;136708;2637776;1028888;26.49;117604;2204848;4770932;122.83;1720268;1509440;936
ubuntu;59;2021-09-19 14:19:01 UTC;137540;2638852;1028200;26.47;117628;2204868;4768676;122.77;1719672;1509640;696
ubuntu;60;2021-09-19 14:20:01 UTC;137328;2638716;1027892;26.46;117640;2204892;4772724;122.87;1719952;1509600;416
ubuntu;60;2021-09-19 14:21:01 UTC;136924;2638432;1028520;26.48;117660;2204908;4769036;122.78;1720044;1509772;836
ubuntu;60;2021-09-19 14:22:01 UTC;133012;2634736;1032068;26.57;117672;2205072;4770688;122.82;1722428;1509948;1196
ubuntu;60;2021-09-19 14:23:01 UTC;136104;2638052;1028748;26.48;117700;2205216;4769792;122.80;1720044;1510124;1940
ubuntu;60;2021-09-19 14:24:01 UTC;138048;2640196;1026916;26.44;117724;2205232;4769444;122.79;1718532;1510332;816
