# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle[...]
worker;60;2021-09-19 13:58:01 UTC;-1;2.85;0.01;4.71;0.18;0.00;92.25
worker;60;2021-09-19 13:59:01 UTC;-1;2.84;0.01;4.95;0.09;0.00;92.10
worker;60;2021-09-19 14:00:01 UTC;-1;2.79;0.00;4.88;0.12;0.00;92.20
worker;60;2021-09-19 14:01:01 UTC;-1;2.94;0.01;5.06;0.31;0.00;91.68
worker;62;2021-09-19 14:02:03 UTC;-1;2.90;0.00;4.90;12.29;0.00;79.91
worker;58;2021-09-19 14:03:01 UTC;-1;2.77;0.00;4.87;3.29;0.00;89.06
worker;60;2021-09-19 14:04:02 UTC;-1;2.81;0.00;4.92;0.62;0.00;91.64
worker;59;2021-09-19 14:05:01 UTC;-1;2.75;0.01;4.70;0.13;0.00;92.41
worker;60;2021-09-19 14:06:01 UTC;-1;2.94;0.01;5.09;1.27;0.00;90.69
worker;60;2021-09-19 14:07:01 UTC;-1;2.79;0.01;4.81;0.33;0.00;92.06
worker;60;2021-09-19 14:08:01 UTC;-1;2.80;0.01;5.03;0.78;0.00;91.38
worker;60;2021-09-19 14:09:01 UTC;-1;2.81;0.01;4.91;0.61;0.00;91.66
worker;60;2021-09-19 14:10:01 UTC;-1;2.78;0.00;4.79;0.12;0.00;92.31
worker;60;2021-09-19 14:11:01 UTC;-1;2.87;0.00;4.99;0.62;0.00;91.52
worker;60;2021-09-19 14:12:01 UTC;-1;2.78;0.01;4.96;0.39;0.00;91.87
worker;60;2021-09-19 14:13:01 UTC;-1;2.89;0.01;4.91;3.45;0.00;88.75
worker;60;2021-09-19 14:14:01 UTC;-1;2.72;0.01;4.80;1.88;0.00;90.58
worker;60;2021-09-19 14:15:01 UTC;-1;2.79;0.01;4.83;0.10;0.00;92.26
worker;60;2021-09-19 14:16:01 UTC;-1;2.88;0.00;5.00;0.09;0.00;92.03
worker;60;2021-09-19 14:17:01 UTC;-1;2.92;0.01;4.80;0.10;0.00;92.16
worker;60;2021-09-19 14:18:01 UTC;-1;2.80;0.02;4.66;0.16;0.00;92.37
worker;60;2021-09-19 14:19:01 UTC;-1;2.81;0.00;4.97;0.09;0.00;92.12
worker;60;2021-09-19 14:20:01 UTC;-1;2.71;0.02;5.04;0.29;0.00;91.94
worker;60;2021-09-19 14:21:01 UTC;-1;2.96;0.00;5.18;1.59;0.00;90.27
worker;60;2021-09-19 14:22:01 UTC;-1;2.78;0.01;4.76;0.18;0.00;92.27
worker;59;2021-09-19 14:23:01 UTC;-1;2.89;0.01;4.93;1.97;0.00;90.20
worker;60;2021-09-19 14:24:01 UTC;-1;2.80;0.01;5.03;2.91;0.00;89.25
worker;60;2021-09-19 14:25:01 UTC;-1;2.93;0.01;4.88;1.32;0.00;90.86
worker;60;2021-09-19 14:26:01 UTC;-1;2.96;0.00;4.92;0.23;0.00;91.88
worker;60;2021-09-19 14:27:01 UTC;-1;2.89;0.01;4.95;0.09;0.00;92.06
worker;60;2021-09-19 14:28:01 UTC;-1;2.84;0.00;4.92;0.73;0.00;91.52
worker;60;2021-09-19 14:29:01 UTC;-1;2.95;0.02;4.80;1.88;0.00;90.35
worker;60;2021-09-19 14:30:01 UTC;-1;2.73;0.00;4.79;0.71;0.00;91.76
worker;60;2021-09-19 14:31:01 UTC;-1;2.86;0.01;5.16;0.16;0.00;91.81
worker;60;2021-09-19 14:32:01 UTC;-1;2.81;0.01;4.76;0.19;0.00;92.23
worker;60;2021-09-19 14:33:01 UTC;-1;2.83;0.01;4.99;0.30;0.00;91.88
worker;60;2021-09-19 14:34:01 UTC;-1;2.72;0.00;4.76;0.14;0.00;92.38
worker;60;2021-09-19 14:35:01 UTC;-1;2.77;0.00;5.09;0.15;0.00;91.98
worker;60;2021-09-19 14:36:01 UTC;-1;2.83;0.02;4.99;0.16;0.00;92.01
worker;60;2021-09-19 14:37:01 UTC;-1;2.79;0.01;5.02;1.02;0.00;91.17
worker;60;2021-09-19 14:38:01 UTC;-1;2.82;0.01;5.01;0.13;0.00;92.04
worker;60;2021-09-19 14:39:01 UTC;-1;2.63;0.01;4.88;1.23;0.00;91.25
worker;60;2021-09-19 14:40:01 UTC;-1;2.90;0.01;4.89;0.70;0.00;91.49
worker;62;2021-09-19 14:41:03 UTC;-1;2.87;0.02;5.14;2.85;0.00;89.12
worker;58;2021-09-19 14:42:01 UTC;-1;2.80;0.00;4.99;0.66;0.00;91.56
worker;60;2021-09-19 14:43:01 UTC;-1;2.97;0.00;4.80;1.21;0.00;91.02
worker;60;2021-09-19 14:44:01 UTC;-1;2.84;0.01;4.73;0.07;0.00;92.35
worker;60;2021-09-19 14:45:01 UTC;-1;2.81;0.00;4.92;0.18;0.00;92.10
worker;60;2021-09-19 14:46:01 UTC;-1;2.86;0.01;5.13;0.10;0.00;91.90
worker;60;2021-09-19 14:47:01 UTC;-1;2.82;0.01;4.75;0.56;0.00;91.86
worker;59;2021-09-19 14:48:01 UTC;-1;2.82;0.01;4.85;0.29;0.00;92.03
worker;60;2021-09-19 14:49:01 UTC;-1;2.92;0.01;5.07;0.10;0.00;91.90
worker;60;2021-09-19 14:50:01 UTC;-1;2.75;0.01;4.81;1.39;0.00;91.04
worker;60;2021-09-19 14:51:01 UTC;-1;2.95;0.00;5.03;0.12;0.00;91.90
worker;60;2021-09-19 14:52:01 UTC;-1;2.62;0.01;4.91;0.16;0.00;92.31
worker;60;2021-09-19 14:53:01 UTC;-1;2.83;0.00;4.95;0.20;0.00;92.02
worker;60;2021-09-19 14:54:01 UTC;-1;2.90;0.01;4.88;0.26;0.00;91.96
worker;60;2021-09-19 14:55:01 UTC;-1;2.77;0.00;4.81;0.26;0.00;92.17
worker;60;2021-09-19 14:56:01 UTC;-1;2.87;0.00;5.19;0.10;0.00;91.83
worker;60;2021-09-19 14:57:01 UTC;-1;2.95;0.02;4.88;0.44;0.00;91.71
worker;60;2021-09-19 14:58:01 UTC;-1;2.77;0.00;5.02;0.33;0.00;91.88
worker;60;2021-09-19 14:59:01 UTC;-1;2.84;0.01;4.76;0.22;0.00;92.17
worker;60;2021-09-19 15:00:01 UTC;-1;2.78;0.01;4.95;0.12;0.00;92.14
worker;60;2021-09-19 15:01:01 UTC;-1;2.91;0.01;5.07;0.07;0.00;91.93
worker;60;2021-09-19 15:02:01 UTC;-1;2.91;0.00;4.93;0.09;0.00;92.07
worker;60;2021-09-19 15:03:01 UTC;-1;2.89;0.01;4.72;0.29;0.00;92.09
worker;60;2021-09-19 15:04:01 UTC;-1;2.94;0.00;4.88;1.11;0.00;91.06
worker;60;2021-09-19 15:05:01 UTC;-1;2.96;0.01;4.89;0.17;0.00;91.97
worker;59;2021-09-19 15:06:01 UTC;-1;2.93;0.01;5.20;0.10;0.00;91.77
worker;60;2021-09-19 15:07:01 UTC;-1;2.79;0.01;4.68;0.11;0.00;92.40
worker;60;2021-09-19 15:08:01 UTC;-1;2.89;0.01;4.90;0.22;0.00;91.97
worker;60;2021-09-19 15:09:01 UTC;-1;2.80;0.01;4.94;0.12;0.00;92.14
worker;60;2021-09-19 15:10:01 UTC;-1;2.85;0.00;4.88;0.12;0.00;92.14
worker;60;2021-09-19 15:11:01 UTC;-1;2.91;0.01;4.96;0.16;0.00;91.97
