# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle[...]
worker;59;2021-09-19 08:23:01 UTC;-1;0.65;0.00;1.15;0.08;0.00;98.13
worker;60;2021-09-19 08:24:01 UTC;-1;0.69;0.00;1.22;0.03;0.00;98.06
worker;60;2021-09-19 08:25:01 UTC;-1;0.69;0.00;1.20;0.06;0.00;98.04
worker;60;2021-09-19 08:26:01 UTC;-1;0.80;0.00;1.27;0.05;0.00;97.87
worker;60;2021-09-19 08:27:01 UTC;-1;0.63;0.00;1.15;0.04;0.00;98.18
worker;60;2021-09-19 08:28:01 UTC;-1;0.79;0.00;1.33;0.33;0.00;97.55
worker;60;2021-09-19 08:29:01 UTC;-1;0.74;0.00;1.30;1.32;0.00;96.63
worker;60;2021-09-19 08:30:01 UTC;-1;0.67;0.00;1.19;0.03;0.00;98.11
worker;60;2021-09-19 08:31:01 UTC;-1;0.69;0.00;1.31;0.01;0.00;97.99
worker;60;2021-09-19 08:32:01 UTC;-1;0.67;0.00;1.19;0.10;0.00;98.04
worker;60;2021-09-19 08:33:01 UTC;-1;0.63;0.00;1.17;0.48;0.00;97.72
worker;60;2021-09-19 08:34:01 UTC;-1;0.77;0.00;1.17;0.74;0.00;97.33
worker;60;2021-09-19 08:35:01 UTC;-1;0.57;0.00;1.18;0.02;0.00;98.23
worker;60;2021-09-19 08:36:01 UTC;-1;0.81;0.00;1.30;0.61;0.00;97.29
worker;60;2021-09-19 08:37:01 UTC;-1;0.61;0.00;1.23;0.01;0.00;98.14
worker;60;2021-09-19 08:38:01 UTC;-1;0.64;0.00;1.21;0.02;0.00;98.13
worker;60;2021-09-19 08:39:01 UTC;-1;0.62;0.00;1.20;0.03;0.00;98.16
worker;60;2021-09-19 08:40:01 UTC;-1;0.66;0.00;1.25;0.12;0.00;97.96
worker;59;2021-09-19 08:41:01 UTC;-1;0.74;0.00;1.26;0.90;0.00;97.11
worker;60;2021-09-19 08:42:01 UTC;-1;0.69;0.00;1.21;0.06;0.00;98.04
worker;60;2021-09-19 08:43:01 UTC;-1;0.61;0.00;1.24;0.04;0.00;98.11
worker;60;2021-09-19 08:44:01 UTC;-1;0.70;0.00;1.13;0.03;0.00;98.14
worker;60;2021-09-19 08:45:01 UTC;-1;0.69;0.00;1.19;0.01;0.00;98.11
worker;60;2021-09-19 08:46:01 UTC;-1;0.78;0.00;1.31;0.04;0.00;97.87
worker;60;2021-09-19 08:47:01 UTC;-1;0.64;0.00;1.18;0.52;0.00;97.66
worker;60;2021-09-19 08:48:01 UTC;-1;0.77;0.00;1.21;0.02;0.00;98.01
