# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
ubuntu;60;2021-09-16 10:11:01 UTC;2163448;3432568;309836;7.98;55364;1153488;1629104;41.94;515052;908000;276
ubuntu;60;2021-09-16 10:12:01 UTC;1827068;3149140;592588;15.26;68564;1189740;1955380;50.34;811692;941944;2620
ubuntu;60;2021-09-16 10:13:01 UTC;1859092;3187868;556220;14.32;70756;1194004;1871640;48.18;809012;912900;672
ubuntu;60;2021-09-16 10:14:01 UTC;1860948;3190224;553528;14.25;70848;1194300;1867240;48.07;811012;909692;272
ubuntu;60;2021-09-16 10:15:01 UTC;1862300;3191776;551776;14.21;70972;1194304;1869192;48.12;809796;909696;80
ubuntu;60;2021-09-16 10:16:01 UTC;1862300;3191924;551656;14.20;71044;1194308;1866704;48.06;809880;909740;180
ubuntu;60;2021-09-16 10:17:01 UTC;1860772;3190476;553096;14.24;71112;1194308;1870036;48.14;810412;909748;188
ubuntu;60;2021-09-16 10:18:01 UTC;1861056;3190908;552688;14.23;71168;1194344;1866540;48.05;810076;909820;4
ubuntu;60;2021-09-16 10:19:01 UTC;1861780;3191684;551908;14.21;71212;1194348;1866064;48.04;809644;909824;76
ubuntu;60;2021-09-16 10:20:01 UTC;1861968;3192024;551640;14.20;71276;1194340;1865768;48.03;809704;909908;40
ubuntu;60;2021-09-16 10:21:01 UTC;1862724;3192856;550792;14.18;71328;1194352;1866540;48.05;808800;909912;0
ubuntu;60;2021-09-16 10:22:01 UTC;1862504;3192888;550980;14.18;71384;1194348;1865132;48.02;808764;910104;112
ubuntu;59;2021-09-16 10:23:01 UTC;1865780;3196328;547756;14.10;71440;1194356;1875248;48.28;805524;910184;248
ubuntu;60;2021-09-16 10:24:01 UTC;1866064;3196688;547400;14.09;71500;1194356;1870528;48.16;805460;910216;196
ubuntu;60;2021-09-16 10:25:01 UTC;1865780;3196560;547536;14.10;71564;1194368;1874476;48.26;805648;910280;276
ubuntu;60;2021-09-16 10:26:01 UTC;1865560;3196400;547680;14.10;71620;1194368;1874728;48.26;805612;910280;116
ubuntu;60;2021-09-16 10:27:01 UTC;1863028;3193992;549920;14.16;71688;1194372;1874952;48.27;808852;909972;192
ubuntu;60;2021-09-16 10:28:01 UTC;1862408;3193420;550468;14.17;71736;1194372;1874732;48.26;808904;909952;152
ubuntu;60;2021-09-16 10:29:01 UTC;1861904;3192956;550872;14.18;71784;1194376;1874732;48.26;808980;909948;188
ubuntu;60;2021-09-16 10:30:01 UTC;1863164;3194308;549588;14.15;71848;1194380;1874472;48.26;809116;909956;192
ubuntu;60;2021-09-16 10:31:01 UTC;1862912;3194124;549748;14.15;71908;1194380;1873156;48.22;809156;909956;152
ubuntu;60;2021-09-16 10:32:01 UTC;1861700;3192952;550828;14.18;71972;1194384;1874784;48.27;809260;909960;116
ubuntu;60;2021-09-16 10:33:01 UTC;1863148;3194480;549340;14.14;72036;1194388;1874788;48.27;807464;909964;192
ubuntu;60;2021-09-16 10:34:01 UTC;1864188;3195588;548200;14.11;72100;1194392;1874732;48.26;807532;909972;272
ubuntu;60;2021-09-16 10:35:01 UTC;1864556;3196012;547816;14.10;72164;1194392;1874788;48.27;806568;909976;112
ubuntu;60;2021-09-16 10:36:01 UTC;1864912;3196480;547344;14.09;72248;1194400;1877724;48.34;806688;909976;192
ubuntu;60;2021-09-16 10:37:01 UTC;1865384;3197016;546752;14.08;72308;1194404;1872284;48.20;806760;909980;116
ubuntu;60;2021-09-16 10:38:01 UTC;1863368;3195200;548548;14.12;72372;1194536;1874252;48.25;806828;910112;112
ubuntu;60;2021-09-16 10:39:01 UTC;1863684;3195580;548228;14.11;72432;1194536;1873064;48.22;806912;910112;184
ubuntu;60;2021-09-16 10:40:01 UTC;1864220;3196168;547576;14.10;72496;1194540;1873720;48.24;806952;910116;216
ubuntu;60;2021-09-16 10:41:01 UTC;1864692;3196728;546960;14.08;72576;1194540;1872760;48.21;807052;910116;188
ubuntu;59;2021-09-16 10:42:01 UTC;1864376;3196468;547084;14.08;72632;1194536;1873704;48.24;807116;910120;148
ubuntu;60;2021-09-16 10:43:01 UTC;1864156;3196336;547200;14.09;72696;1194544;1870972;48.17;807204;910128;212
