# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle[...]
ubuntu;60;2021-09-17 12:51:01 UTC;-1;3.70;1.58;4.35;4.25;0.00;86.13
ubuntu;60;2021-09-17 12:52:01 UTC;-1;0.05;0.00;0.08;0.04;0.00;99.82
ubuntu;60;2021-09-17 12:53:01 UTC;-1;0.08;0.00;0.25;0.15;0.00;99.52
ubuntu;60;2021-09-17 12:54:01 UTC;-1;0.04;0.00;0.08;0.07;0.00;99.81
ubuntu;60;2021-09-17 12:55:01 UTC;-1;0.04;0.00;0.06;0.02;0.00;99.89
ubuntu;60;2021-09-17 12:56:01 UTC;-1;0.02;0.00;0.08;0.03;0.00;99.87
ubuntu;60;2021-09-17 12:57:01 UTC;-1;0.03;0.00;0.10;0.02;0.00;99.85
ubuntu;60;2021-09-17 12:58:02 UTC;-1;0.04;0.00;0.08;0.03;0.00;99.86
ubuntu;59;2021-09-17 12:59:01 UTC;-1;0.03;0.00;0.08;0.03;0.00;99.85
ubuntu;60;2021-09-17 13:00:01 UTC;-1;0.02;0.00;0.07;0.02;0.00;99.89
ubuntu;60;2021-09-17 13:01:01 UTC;-1;0.03;0.00;0.08;0.05;0.00;99.84
ubuntu;60;2021-09-17 13:02:01 UTC;-1;0.03;0.00;0.07;0.03;0.00;99.86
ubuntu;60;2021-09-17 13:03:01 UTC;-1;0.03;0.00;0.09;0.07;0.00;99.80
ubuntu;60;2021-09-17 13:04:01 UTC;-1;0.03;0.00;0.06;0.02;0.00;99.89
ubuntu;60;2021-09-17 13:05:01 UTC;-1;0.03;0.00;0.08;0.04;0.00;99.86
ubuntu;60;2021-09-17 13:06:01 UTC;-1;0.03;0.00;0.08;0.02;0.00;99.87
ubuntu;60;2021-09-17 13:07:01 UTC;-1;0.04;0.00;0.07;0.03;0.00;99.85
ubuntu;60;2021-09-17 13:08:01 UTC;-1;0.03;0.00;0.08;0.03;0.00;99.87
ubuntu;60;2021-09-17 13:09:01 UTC;-1;0.05;0.00;0.08;0.02;0.00;99.86
ubuntu;60;2021-09-17 13:10:01 UTC;-1;0.02;0.00;0.11;0.02;0.00;99.85
ubuntu;60;2021-09-17 13:11:01 UTC;-1;0.03;0.00;0.08;0.06;0.00;99.83
ubuntu;60;2021-09-17 13:12:01 UTC;-1;0.04;0.00;0.09;0.04;0.00;99.83
ubuntu;60;2021-09-17 13:13:01 UTC;-1;0.02;0.00;0.10;0.02;0.00;99.86
ubuntu;60;2021-09-17 13:14:01 UTC;-1;0.02;0.00;0.10;0.01;0.00;99.87
ubuntu;60;2021-09-17 13:15:01 UTC;-1;0.02;0.00;0.06;0.06;0.00;99.85
ubuntu;60;2021-09-17 13:16:01 UTC;-1;0.03;0.00;0.08;0.01;0.00;99.88
ubuntu;60;2021-09-17 13:17:02 UTC;-1;0.03;0.00;0.10;0.07;0.00;99.80
ubuntu;59;2021-09-17 13:18:01 UTC;-1;0.01;0.00;0.11;0.04;0.00;99.84
