# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
ubuntu;60;2021-09-17 12:51:01 UTC;1514500;3253396;512204;13.19;154780;1529440;1152792;29.68;1190184;905552;168
ubuntu;60;2021-09-17 12:52:01 UTC;1514564;3253472;512200;13.19;154784;1529444;1152792;29.68;1190204;905556;168
ubuntu;60;2021-09-17 12:53:01 UTC;1525880;3265020;500844;12.89;154796;1529560;1116444;28.74;1177532;905672;764
ubuntu;60;2021-09-17 12:54:01 UTC;1526008;3265156;500804;12.89;154800;1529564;1120292;28.84;1177584;905676;252
ubuntu;60;2021-09-17 12:55:01 UTC;1526008;3265160;500852;12.89;154800;1529564;1120292;28.84;1177588;905676;168
ubuntu;60;2021-09-17 12:56:01 UTC;1528308;3267432;498672;12.84;154804;1529564;1093952;28.16;1175588;905636;196
ubuntu;60;2021-09-17 12:57:01 UTC;1528812;3267944;498236;12.83;154804;1529572;1093952;28.16;1175724;905640;200
ubuntu;60;2021-09-17 12:58:02 UTC;1528560;3267692;498480;12.83;154808;1529572;1093952;28.16;1175732;905640;176
ubuntu;59;2021-09-17 12:59:01 UTC;1528844;3267984;498192;12.83;154808;1529576;1093952;28.16;1175556;905644;156
ubuntu;60;2021-09-17 13:00:01 UTC;1528812;3267952;498216;12.83;154812;1529576;1093952;28.16;1175556;905644;148
ubuntu;60;2021-09-17 13:01:01 UTC;1529096;3268244;497936;12.82;154812;1529580;1089892;28.06;1175652;905648;168
ubuntu;60;2021-09-17 13:02:01 UTC;1529080;3268212;497992;12.82;154816;1529580;1093688;28.16;1175544;905648;148
ubuntu;60;2021-09-17 13:03:01 UTC;1529080;3268348;497856;12.82;154820;1529712;1093688;28.16;1175548;905780;168
ubuntu;60;2021-09-17 13:04:01 UTC;1529112;3268384;497828;12.82;154820;1529712;1093688;28.16;1175552;905780;148
ubuntu;60;2021-09-17 13:05:01 UTC;1529332;3268608;497604;12.81;154820;1529716;1093688;28.16;1175552;905784;184
ubuntu;60;2021-09-17 13:06:01 UTC;1529364;3268648;497572;12.81;154824;1529720;1093688;28.16;1175656;905788;160
ubuntu;60;2021-09-17 13:07:01 UTC;1529080;3268364;497856;12.82;154828;1529716;1089632;28.05;1175556;905788;192
ubuntu;60;2021-09-17 13:08:01 UTC;1529112;3268408;497812;12.82;154832;1529724;1089632;28.05;1175564;905792;168
ubuntu;60;2021-09-17 13:09:01 UTC;1529080;3268376;497840;12.82;154836;1529724;1089632;28.05;1175564;905792;152
ubuntu;60;2021-09-17 13:10:01 UTC;1529080;3268384;497836;12.82;154836;1529728;1089632;28.05;1175568;905796;180
ubuntu;60;2021-09-17 13:11:01 UTC;1529112;3268416;497804;12.82;154836;1529728;1089632;28.05;1175568;905796;208
ubuntu;60;2021-09-17 13:12:01 UTC;1529080;3268388;497848;12.82;154836;1529732;1089632;28.05;1175568;905800;164
ubuntu;60;2021-09-17 13:13:01 UTC;1529112;3268420;497816;12.82;154836;1529732;1089632;28.05;1175568;905800;180
ubuntu;60;2021-09-17 13:14:01 UTC;1529144;3268456;497812;12.82;154836;1529736;1089632;28.05;1175588;905804;168
ubuntu;60;2021-09-17 13:15:01 UTC;1529112;3268428;497840;12.82;154836;1529740;1089632;28.05;1175552;905808;192
ubuntu;60;2021-09-17 13:16:01 UTC;1529080;3268400;497836;12.82;154836;1529744;1085608;27.95;1175568;905812;148
ubuntu;60;2021-09-17 13:17:02 UTC;1528860;3268184;498052;12.82;154844;1529744;1089396;28.05;1175716;905816;156
ubuntu;59;2021-09-17 13:18:01 UTC;1528860;3268200;498032;12.82;154848;1529752;1089396;28.05;1175580;905820;148
ubuntu;60;2021-09-17 13:19:01 UTC;1528976;3268320;497912;12.82;154848;1529756;1089396;28.05;1175580;905824;148
