# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
ubuntu;60;2021-09-17 12:36:01 UTC;101444;2630064;1104140;28.43;150760;2155212;3500744;90.12;1492776;1803704;444
ubuntu;60;2021-09-17 12:37:01 UTC;100688;2629584;1104592;28.44;150760;2155472;3502360;90.17;1493172;1803964;436
ubuntu;60;2021-09-17 12:38:01 UTC;104168;2626532;1107704;28.52;150684;2149184;3500664;90.12;1494280;1798144;352
ubuntu;60;2021-09-17 12:39:01 UTC;110008;2631944;1104116;28.42;150684;2149464;3495508;89.99;1491664;1798320;868
ubuntu;60;2021-09-17 12:40:01 UTC;120196;2642140;1095016;28.19;150684;2149876;3467532;89.27;1482204;1798728;336
ubuntu;60;2021-09-17 12:41:01 UTC;120448;2642664;1094488;28.18;150684;2150140;3467712;89.27;1482256;1798992;360
ubuntu;60;2021-09-17 12:42:01 UTC;119596;2642084;1094932;28.19;150684;2150404;3467420;89.27;1482356;1799256;216
ubuntu;60;2021-09-17 12:43:01 UTC;117644;2640404;1096636;28.23;150684;2150672;3467996;89.28;1484404;1799520;412
ubuntu;60;2021-09-17 12:44:01 UTC;117708;2640740;1096364;28.23;150684;2150936;3467560;89.27;1484544;1799788;272
ubuntu;60;2021-09-17 12:45:01 UTC;118716;2642020;1095076;28.19;150684;2151200;3470648;89.35;1483696;1800052;424
ubuntu;60;2021-09-17 12:46:01 UTC;121488;2645060;1092036;28.11;150688;2151460;3463240;89.16;1480956;1800312;408
ubuntu;60;2021-09-17 12:47:01 UTC;118968;2642812;1094292;28.17;150688;2151728;3464744;89.20;1482516;1800580;336
ubuntu;60;2021-09-17 12:48:01 UTC;120732;2644976;1092124;28.12;150688;2152116;3462492;89.14;1480264;1800968;404
ubuntu;60;2021-09-17 12:49:01 UTC;120764;2645152;1091920;28.11;150688;2152256;3470704;89.35;1480536;1801108;400
ubuntu;60;2021-09-17 12:50:01 UTC;120732;2645388;1091672;28.10;150688;2152520;3468612;89.30;1480572;1801376;364
ubuntu;59;2021-09-17 12:51:01 UTC;122812;2647744;1089340;28.04;150688;2152788;3469524;89.32;1477440;1801640;348
ubuntu;60;2021-09-17 12:52:01 UTC;121960;2647164;1089796;28.06;150688;2153052;3461192;89.11;1477520;1801904;304
ubuntu;60;2021-09-17 12:53:01 UTC;119840;2645312;1091624;28.10;150688;2153312;3469328;89.32;1480644;1802168;368
ubuntu;60;2021-09-17 12:54:01 UTC;119596;2645472;1091472;28.10;150688;2153712;3466312;89.24;1480928;1802560;348
ubuntu;60;2021-09-17 12:55:01 UTC;110460;2641604;1095428;28.20;151072;2158384;3469944;89.33;1486580;1805508;316
ubuntu;60;2021-09-17 12:56:01 UTC;110672;2641956;1095128;28.19;151072;2158520;3463176;89.16;1486332;1805644;332
ubuntu;60;2021-09-17 12:57:01 UTC;110712;2642280;1094736;28.18;151072;2158792;3470864;89.36;1486360;1805904;364
ubuntu;60;2021-09-17 12:58:01 UTC;109420;2641252;1095708;28.21;151072;2159052;3465264;89.21;1487224;1806160;356
ubuntu;60;2021-09-17 12:59:01 UTC;111720;2643816;1093172;28.14;151072;2159312;3465844;89.23;1484668;1806412;324
ubuntu;60;2021-09-17 13:00:01 UTC;110728;2643232;1093736;28.16;151072;2159708;3466924;89.25;1484764;1806764;436
ubuntu;60;2021-09-17 13:01:01 UTC;111736;2644508;1092488;28.13;151072;2159972;3466364;89.24;1484136;1807072;268
ubuntu;60;2021-09-17 13:02:01 UTC;114160;2647084;1089764;28.06;151080;2160108;3463692;89.17;1481304;1807208;436
ubuntu;60;2021-09-17 13:03:01 UTC;113892;2647100;1089844;28.06;151080;2160376;3461412;89.11;1481440;1807476;392
ubuntu;60;2021-09-17 13:04:01 UTC;110364;2643848;1093092;28.14;151080;2160640;3461112;89.10;1484428;1807720;320
ubuntu;60;2021-09-17 13:05:01 UTC;109796;2643680;1093160;28.14;151080;2161032;3467404;89.27;1484504;1808092;336
ubuntu;60;2021-09-17 13:06:01 UTC;109324;2643472;1093384;28.15;151080;2161292;3468496;89.29;1484620;1808332;360
ubuntu;60;2021-09-17 13:07:01 UTC;111152;2645700;1091252;28.09;151084;2161680;3465224;89.21;1483032;1808712;308
ubuntu;60;2021-09-17 13:08:01 UTC;111404;2646236;1090812;28.08;151088;2161952;3468952;89.31;1483136;1808980;288
ubuntu;60;2021-09-17 13:09:01 UTC;112256;2647236;1089876;28.06;151088;2162088;3460420;89.09;1481088;1809116;388
ubuntu;60;2021-09-17 13:10:01 UTC;112160;2647408;1089624;28.05;151088;2162352;3462476;89.14;1481188;1809376;284
ubuntu;60;2021-09-17 13:11:01 UTC;110240;2645884;1091196;28.09;151088;2162744;3466708;89.25;1482496;1809768;368
ubuntu;60;2021-09-17 13:12:01 UTC;110208;2646136;1090924;28.09;151088;2163012;3465400;89.21;1482756;1810040;352
ubuntu;59;2021-09-17 13:13:01 UTC;109484;2645684;1091364;28.10;151088;2163280;3463192;89.16;1482760;1810304;232
ubuntu;60;2021-09-17 13:14:01 UTC;107592;2644064;1092880;28.14;151092;2163540;3466688;89.25;1484604;1810564;284
ubuntu;60;2021-09-17 13:15:01 UTC;106712;2643332;1093704;28.16;151092;2163680;3464772;89.20;1484716;1810708;372
ubuntu;60;2021-09-17 13:16:01 UTC;106428;2643456;1093564;28.15;151096;2164076;3468256;89.29;1484872;1811100;336
ubuntu;60;2021-09-17 13:17:01 UTC;108120;2645412;1091600;28.10;151096;2164336;3463824;89.17;1482176;1811364;344
ubuntu;60;2021-09-17 13:18:01 UTC;109012;2646576;1090524;28.07;151096;2164596;3461024;89.10;1482172;1811624;360
ubuntu;60;2021-09-17 13:19:01 UTC;109232;2647068;1090004;28.06;151096;2164864;3463688;89.17;1482124;1811888;300
ubuntu;60;2021-09-17 13:20:01 UTC;108192;2646292;1090780;28.08;151096;2165120;3463920;89.18;1482220;1812144;360
ubuntu;60;2021-09-17 13:21:01 UTC;108056;2646312;1090704;28.08;151104;2165264;3464424;89.19;1482464;1812292;220
ubuntu;60;2021-09-17 13:22:01 UTC;106364;2645012;1091988;28.11;151104;2165656;3466996;89.26;1482560;1812668;232
ubuntu;60;2021-09-17 13:23:01 UTC;107024;2645956;1090916;28.09;151104;2165920;3463372;89.16;1482716;1812944;344
ubuntu;60;2021-09-17 13:24:01 UTC;103528;2642728;1094164;28.17;151104;2166184;3470112;89.34;1486232;1813208;244
ubuntu;60;2021-09-17 13:25:01 UTC;104160;2643632;1093356;28.15;151104;2166448;3471536;89.37;1486268;1813472;300
ubuntu;60;2021-09-17 13:26:01 UTC;101592;2641608;1095368;28.20;151104;2166972;3466320;89.24;1486364;1813996;284
ubuntu;60;2021-09-17 13:27:01 UTC;103640;2644068;1092908;28.14;151104;2167368;3469052;89.31;1485560;1814392;400
ubuntu;60;2021-09-17 13:28:01 UTC;102316;2643004;1093940;28.16;151104;2167624;3471536;89.37;1485656;1814652;412
ubuntu;60;2021-09-17 13:29:01 UTC;105780;2646756;1090084;28.06;151104;2167896;3464340;89.19;1483224;1814920;244
ubuntu;60;2021-09-17 13:30:01 UTC;104772;2646096;1090912;28.08;151104;2168200;3465264;89.21;1483364;1815184;248
ubuntu;60;2021-09-17 13:31:01 UTC;104772;2646324;1090748;28.08;151104;2168416;3460712;89.09;1483456;1815440;440
ubuntu;60;2021-09-17 13:32:01 UTC;104048;2645872;1091160;28.09;151104;2168692;3469152;89.31;1483828;1815712;100
ubuntu;60;2021-09-17 13:33:01 UTC;102284;2644516;1092496;28.13;151104;2169084;3466804;89.25;1483928;1816108;352
ubuntu;60;2021-09-17 13:34:02 UTC;100268;2642772;1094260;28.17;151104;2169352;3471392;89.37;1487352;1816376;380
ubuntu;59;2021-09-17 13:35:01 UTC;98568;2641340;1095704;28.21;151104;2169612;3464972;89.20;1487484;1816636;276
ubuntu;60;2021-09-17 13:36:01 UTC;98820;2641864;1095164;28.19;151108;2169872;3467504;89.27;1487544;1816900;360
ubuntu;60;2021-09-17 13:37:01 UTC;98788;2642108;1094876;28.19;151108;2170140;3467432;89.27;1486800;1817168;292
ubuntu;60;2021-09-17 13:38:01 UTC;98504;2642092;1094804;28.19;151108;2170400;3466124;89.23;1486944;1817424;76
ubuntu;60;2021-09-17 13:39:01 UTC;102364;2642220;1094844;28.19;151052;2166784;3464072;89.18;1486708;1814460;296
ubuntu;60;2021-09-17 13:40:01 UTC;103544;2643744;1093416;28.15;151056;2167052;3465840;89.23;1484504;1814728;404
ubuntu;60;2021-09-17 13:41:01 UTC;103776;2644252;1092920;28.14;151056;2167320;3460772;89.10;1484596;1814996;592
ubuntu;60;2021-09-17 13:42:01 UTC;102504;2643244;1093988;28.16;151056;2167580;3465884;89.23;1485328;1815256;356
ubuntu;60;2021-09-17 13:43:01 UTC;100992;2642004;1095216;28.20;151056;2167844;3463204;89.16;1485600;1815516;448
ubuntu;60;2021-09-17 13:44:01 UTC;101748;2643168;1094012;28.16;151060;2168240;3465792;89.23;1485732;1815912;360
ubuntu;60;2021-09-17 13:45:01 UTC;98756;2640460;1096720;28.23;151060;2168512;3465180;89.21;1487932;1816184;380
ubuntu;60;2021-09-17 13:46:01 UTC;101828;2639720;1097476;28.25;150976;2164816;3466264;89.24;1487532;1812900;276
ubuntu;60;2021-09-17 13:47:01 UTC;104372;2642544;1094556;28.18;150980;2165084;3472408;89.40;1485196;1813168;364
ubuntu;60;2021-09-17 13:48:01 UTC;104024;2642468;1094616;28.18;150980;2165348;3467588;89.27;1485340;1813432;440
ubuntu;60;2021-09-17 13:49:01 UTC;103584;2642292;1094812;28.19;150980;2165608;3468760;89.30;1485400;1813692;352
ubuntu;60;2021-09-17 13:50:01 UTC;104056;2643164;1093932;28.16;150980;2165996;3464116;89.18;1484948;1814084;336
ubuntu;60;2021-09-17 13:51:01 UTC;103048;2642428;1094684;28.18;150980;2166264;3460704;89.09;1485044;1814352;368
ubuntu;60;2021-09-17 13:52:01 UTC;101568;2641224;1095852;28.21;150980;2166532;3468980;89.31;1487364;1814616;332
ubuntu;60;2021-09-17 13:53:01 UTC;102040;2641840;1095232;28.20;150980;2166668;3469696;89.33;1487444;1814752;288
ubuntu;60;2021-09-17 13:54:01 UTC;99520;2639588;1097452;28.25;150980;2166936;3467720;89.27;1487440;1815020;328
ubuntu;60;2021-09-17 13:55:01 UTC;99684;2640164;1096940;28.24;150984;2167332;3467828;89.28;1487404;1815416;368
ubuntu;59;2021-09-17 13:56:01 UTC;90188;2630944;1106132;28.48;150984;2167588;3645780;93.86;1498004;1815672;316
ubuntu;60;2021-09-17 13:57:01 UTC;98260;2639284;1097784;28.26;150984;2167852;3471020;89.36;1489768;1815940;276
ubuntu;60;2021-09-17 13:58:01 UTC;106012;2640176;1096852;28.24;150936;2161244;3465740;89.22;1486496;1809820;296
ubuntu;60;2021-09-17 13:59:01 UTC;105252;2639644;1097308;28.25;150936;2161380;3465268;89.21;1486552;1809944;276
ubuntu;60;2021-09-17 14:00:01 UTC;105884;2640608;1096492;28.23;150936;2161680;3467136;89.26;1485528;1810248;312
ubuntu;60;2021-09-17 14:01:01 UTC;104688;2639660;1097440;28.25;150936;2161924;3461252;89.11;1485640;1810492;384
ubuntu;60;2021-09-17 14:02:01 UTC;105008;2640360;1096656;28.23;150936;2162300;3463516;89.17;1485100;1810860;80
ubuntu;60;2021-09-17 14:03:01 UTC;104788;2640424;1096756;28.24;150944;2162572;3465244;89.21;1485200;1811128;232
ubuntu;60;2021-09-17 14:04:01 UTC;104104;2640072;1097060;28.24;150944;2162896;3462868;89.15;1485296;1811456;572
ubuntu;60;2021-09-17 14:05:01 UTC;101332;2637568;1099552;28.31;150944;2163156;3465532;89.22;1489332;1811712;364
ubuntu;60;2021-09-17 14:06:01 UTC;100260;2636900;1100036;28.32;150944;2163556;3471424;89.37;1489456;1812104;280
ubuntu;60;2021-09-17 14:07:01 UTC;101772;2638680;1098280;28.27;150944;2163816;3470508;89.35;1489488;1812372;336
ubuntu;60;2021-09-17 14:08:01 UTC;101520;2638828;1098220;28.27;150944;2164208;3462028;89.13;1487948;1812764;332
ubuntu;60;2021-09-17 14:09:01 UTC;102592;2640048;1097024;28.24;150944;2164348;3467700;89.27;1488104;1812904;528
ubuntu;60;2021-09-17 14:10:01 UTC;102340;2640068;1096988;28.24;150948;2164608;3466380;89.24;1486132;1813164;368
ubuntu;60;2021-09-17 14:11:01 UTC;102056;2640056;1096976;28.24;150948;2164876;3467132;89.26;1486188;1813432;244
ubuntu;60;2021-09-17 14:12:01 UTC;101332;2639732;1097276;28.25;150948;2165264;3463536;89.17;1486312;1813824;356
ubuntu;60;2021-09-17 14:13:01 UTC;100780;2639476;1097552;28.26;150948;2165532;3468208;89.29;1489028;1814088;264
ubuntu;60;2021-09-17 14:14:01 UTC;100496;2639584;1097472;28.25;150948;2165920;3470744;89.35;1489088;1814480;208
ubuntu;60;2021-09-17 14:15:01 UTC;101396;2636776;1100284;28.33;150896;2162424;3466160;89.23;1488740;1811372;388
ubuntu;60;2021-09-17 14:16:01 UTC;103192;2638848;1098332;28.28;150896;2162692;3464900;89.20;1488892;1811644;384
ubuntu;60;2021-09-17 14:17:02 UTC;101964;2637900;1099268;28.30;150900;2162960;3463592;89.17;1489100;1811912;260
ubuntu;59;2021-09-17 14:18:01 UTC;102584;2638912;1098100;28.27;150900;2163348;3464416;89.19;1488792;1812296;288
ubuntu;60;2021-09-17 14:19:01 UTC;100892;2637500;1099488;28.31;150908;2163612;3467060;89.26;1488888;1812560;256
ubuntu;60;2021-09-17 14:20:01 UTC;100420;2637312;1099652;28.31;150908;2163888;3464392;89.19;1488948;1812836;280
ubuntu;60;2021-09-17 14:21:01 UTC;101932;2639100;1097844;28.26;150912;2164152;3463932;89.18;1487316;1813104;432
ubuntu;60;2021-09-17 14:22:01 UTC;103160;2640592;1096440;28.23;150912;2164412;3466772;89.25;1487408;1813364;424
ubuntu;60;2021-09-17 14:23:01 UTC;98592;2636428;1100664;28.34;150912;2164804;3468848;89.30;1490252;1813756;356
ubuntu;60;2021-09-17 14:24:01 UTC;99096;2637188;1099904;28.32;150912;2165064;3465376;89.21;1489952;1814008;300
ubuntu;60;2021-09-17 14:25:01 UTC;98088;2636468;1100612;28.33;150912;2165332;3465036;89.21;1490112;1814280;368
ubuntu;60;2021-09-17 14:26:01 UTC;105492;2636876;1100184;28.32;150860;2158812;3468956;89.31;1490080;1808136;324
ubuntu;60;2021-09-17 14:27:01 UTC;105116;2636804;1100332;28.33;150860;2159080;3464772;89.20;1490188;1808404;368
ubuntu;60;2021-09-17 14:28:01 UTC;104192;2636024;1101080;28.35;150860;2159216;3466744;89.25;1490244;1808540;432
ubuntu;60;2021-09-17 14:29:01 UTC;101744;2633968;1103104;28.40;150860;2159600;3470360;89.34;1491560;1808924;424
ubuntu;60;2021-09-17 14:30:01 UTC;101136;2633684;1103344;28.41;150860;2159916;3470148;89.34;1491712;1809196;348
ubuntu;60;2021-09-17 14:31:01 UTC;102868;2635636;1101336;28.35;150860;2160136;3468464;89.29;1491760;1809460;432
ubuntu;60;2021-09-17 14:32:01 UTC;104988;2638144;1098892;28.29;150860;2160520;3470628;89.35;1488560;1809848;436
ubuntu;60;2021-09-17 14:33:01 UTC;104044;2637480;1099616;28.31;150860;2160792;3467348;89.27;1488600;1810116;212
ubuntu;60;2021-09-17 14:34:01 UTC;101892;2635596;1101476;28.36;150860;2161052;3470532;89.35;1491084;1810372;304
ubuntu;60;2021-09-17 14:35:01 UTC;100232;2634216;1102868;28.39;150864;2161320;3471804;89.38;1491288;1810620;440
ubuntu;60;2021-09-17 14:36:01 UTC;100988;2635236;1101916;28.37;150864;2161588;3471320;89.37;1491324;1810880;360
ubuntu;60;2021-09-17 14:37:01 UTC;100452;2634984;1102140;28.37;150868;2161852;3464976;89.20;1490808;1811148;336
ubuntu;60;2021-09-17 14:38:02 UTC;99380;2634184;1102876;28.39;150868;2162116;3467020;89.26;1490864;1811412;376
ubuntu;59;2021-09-17 14:39:01 UTC;100704;2635848;1101244;28.35;150872;2162448;3470656;89.35;1490956;1811744;280
ubuntu;60;2021-09-17 14:40:01 UTC;102500;2637916;1099160;28.30;150872;2162712;3468120;89.28;1489152;1812008;364
ubuntu;60;2021-09-17 14:41:01 UTC;100852;2636544;1100540;28.33;150872;2162980;3462784;89.15;1489248;1812276;296
ubuntu;60;2021-09-17 14:42:01 UTC;99448;2635548;1101412;28.36;150872;2163364;3474380;89.45;1490396;1812656;296
ubuntu;60;2021-09-17 14:43:01 UTC;99208;2635588;1101528;28.36;150880;2163628;3470364;89.34;1490744;1812912;364
ubuntu;60;2021-09-17 14:44:01 UTC;100216;2636872;1100252;28.33;150880;2163896;3467852;89.28;1490852;1813184;280
ubuntu;60;2021-09-17 14:45:01 UTC;102532;2633140;1104004;28.42;150804;2158008;3473596;89.43;1492172;1807428;328
ubuntu;60;2021-09-17 14:46:01 UTC;103192;2633964;1103064;28.40;150804;2158148;3468688;89.30;1492300;1807564;212
ubuntu;60;2021-09-17 14:47:01 UTC;102720;2633760;1103332;28.40;150804;2158408;3471024;89.36;1492404;1807804;420
