# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle[...]
ubuntu;60;2021-09-18 00:01:01 UTC;-1;7.42;0.06;32.22;0.23;0.00;60.06
ubuntu;59;2021-09-18 00:02:01 UTC;-1;7.63;0.00;32.10;0.08;0.00;60.19
ubuntu;60;2021-09-18 00:03:01 UTC;-1;7.51;0.00;31.93;0.09;0.00;60.47
ubuntu;60;2021-09-18 00:04:01 UTC;-1;7.59;0.00;31.87;0.09;0.00;60.45
ubuntu;60;2021-09-18 00:05:01 UTC;-1;7.48;0.00;31.95;0.09;0.00;60.48
ubuntu;60;2021-09-18 00:06:01 UTC;-1;7.49;0.00;32.01;0.09;0.00;60.41
ubuntu;60;2021-09-18 00:07:01 UTC;-1;7.50;0.00;31.85;0.06;0.00;60.59
ubuntu;60;2021-09-18 00:08:01 UTC;-1;7.43;0.00;32.00;0.08;0.00;60.49
ubuntu;60;2021-09-18 00:09:01 UTC;-1;7.53;0.00;31.65;0.03;0.00;60.78
ubuntu;60;2021-09-18 00:10:01 UTC;-1;7.57;0.00;31.64;0.05;0.00;60.73
ubuntu;60;2021-09-18 00:11:01 UTC;-1;7.63;0.00;31.58;0.08;0.00;60.71
ubuntu;60;2021-09-18 00:12:01 UTC;-1;7.49;0.00;31.92;0.05;0.00;60.55
ubuntu;60;2021-09-18 00:13:01 UTC;-1;7.50;0.00;31.86;0.05;0.00;60.59
ubuntu;60;2021-09-18 00:14:01 UTC;-1;7.51;0.00;31.54;0.05;0.00;60.91
ubuntu;60;2021-09-18 00:15:01 UTC;-1;7.53;0.00;31.56;0.05;0.00;60.85
ubuntu;60;2021-09-18 00:16:01 UTC;-1;7.54;0.00;31.59;0.04;0.00;60.83
ubuntu;60;2021-09-18 00:17:01 UTC;-1;7.33;0.00;31.83;0.04;0.00;60.80
ubuntu;60;2021-09-18 00:18:01 UTC;-1;7.61;0.00;31.44;0.05;0.00;60.89
ubuntu;60;2021-09-18 00:19:01 UTC;-1;7.47;0.00;31.55;0.05;0.00;60.93
ubuntu;60;2021-09-18 00:20:01 UTC;-1;7.37;0.00;31.81;0.04;0.00;60.78
ubuntu;60;2021-09-18 00:21:01 UTC;-1;7.48;0.00;31.67;0.05;0.00;60.80
ubuntu;60;2021-09-18 00:22:02 UTC;-1;7.71;0.00;31.35;0.03;0.00;60.91
ubuntu;59;2021-09-18 00:23:01 UTC;-1;7.56;0.00;31.53;0.05;0.00;60.86
ubuntu;60;2021-09-18 00:24:01 UTC;-1;7.61;0.00;31.62;0.06;0.00;60.71
ubuntu;60;2021-09-18 00:25:01 UTC;-1;7.45;0.00;31.54;0.04;0.00;60.97
ubuntu;60;2021-09-18 00:26:01 UTC;-1;7.63;0.00;31.56;0.06;0.00;60.74
ubuntu;60;2021-09-18 00:27:01 UTC;-1;7.40;0.00;31.76;0.04;0.00;60.80
ubuntu;60;2021-09-18 00:28:01 UTC;-1;7.59;0.00;31.66;0.06;0.00;60.69
ubuntu;60;2021-09-18 00:29:01 UTC;-1;7.59;0.00;31.69;0.03;0.00;60.68
ubuntu;60;2021-09-18 00:30:01 UTC;-1;7.59;0.00;31.81;0.04;0.00;60.56
ubuntu;60;2021-09-18 00:31:01 UTC;-1;7.39;0.00;31.78;0.06;0.00;60.77
ubuntu;60;2021-09-18 00:32:01 UTC;-1;7.70;0.00;31.63;0.04;0.00;60.62
ubuntu;60;2021-09-18 00:33:01 UTC;-1;7.42;0.00;31.71;0.05;0.00;60.83
ubuntu;60;2021-09-18 00:34:01 UTC;-1;7.75;0.00;31.62;0.05;0.00;60.59
ubuntu;60;2021-09-18 00:35:01 UTC;-1;7.45;0.00;31.60;0.07;0.00;60.88
ubuntu;60;2021-09-18 00:36:01 UTC;-1;7.42;0.00;31.58;0.03;0.00;60.97
ubuntu;60;2021-09-18 00:37:01 UTC;-1;7.32;0.00;31.78;0.05;0.00;60.85
ubuntu;60;2021-09-18 00:38:01 UTC;-1;7.55;0.00;31.69;0.06;0.00;60.71
ubuntu;60;2021-09-18 00:39:01 UTC;-1;7.52;0.00;31.66;0.05;0.00;60.77
ubuntu;60;2021-09-18 00:40:01 UTC;-1;7.32;0.00;31.91;0.04;0.00;60.72
ubuntu;60;2021-09-18 00:41:01 UTC;-1;7.56;0.00;31.40;0.06;0.00;60.99
ubuntu;60;2021-09-18 00:42:01 UTC;-1;7.21;0.00;31.78;0.06;0.00;60.95
ubuntu;59;2021-09-18 00:43:01 UTC;-1;7.29;0.00;31.77;0.04;0.00;60.91
ubuntu;60;2021-09-18 00:44:01 UTC;-1;7.42;0.00;31.68;0.05;0.00;60.86
ubuntu;60;2021-09-18 00:45:01 UTC;-1;7.44;0.00;31.77;0.03;0.00;60.76
ubuntu;60;2021-09-18 00:46:01 UTC;-1;7.42;0.00;31.42;0.04;0.00;61.12
ubuntu;60;2021-09-18 00:47:01 UTC;-1;7.33;0.00;31.85;0.04;0.00;60.78
ubuntu;60;2021-09-18 00:48:01 UTC;-1;7.42;0.00;31.70;0.06;0.00;60.82
ubuntu;60;2021-09-18 00:49:01 UTC;-1;7.73;0.00;31.54;0.06;0.00;60.67
ubuntu;60;2021-09-18 00:50:01 UTC;-1;7.54;0.00;31.71;0.06;0.00;60.70
ubuntu;60;2021-09-18 00:51:01 UTC;-1;7.53;0.00;31.71;0.05;0.00;60.72
ubuntu;60;2021-09-18 00:52:01 UTC;-1;7.57;0.00;31.55;0.05;0.00;60.83
ubuntu;60;2021-09-18 00:53:01 UTC;-1;7.33;0.00;31.84;0.04;0.00;60.78
ubuntu;60;2021-09-18 00:54:01 UTC;-1;7.52;0.00;31.68;0.05;0.00;60.75
ubuntu;60;2021-09-18 00:55:01 UTC;-1;7.38;0.00;31.61;0.04;0.00;60.97
ubuntu;60;2021-09-18 00:56:01 UTC;-1;7.56;0.00;31.60;0.06;0.00;60.78
ubuntu;60;2021-09-18 00:57:01 UTC;-1;7.37;0.00;31.63;0.03;0.00;60.97
ubuntu;60;2021-09-18 00:58:01 UTC;-1;7.54;0.00;31.58;0.04;0.00;60.84
ubuntu;60;2021-09-18 00:59:01 UTC;-1;7.39;0.00;31.61;0.05;0.00;60.95
ubuntu;60;2021-09-18 01:00:01 UTC;-1;7.42;0.00;31.76;0.06;0.00;60.76
ubuntu;60;2021-09-18 01:01:01 UTC;-1;7.57;0.00;31.77;0.06;0.00;60.60
ubuntu;60;2021-09-18 01:02:01 UTC;-1;7.42;0.00;31.80;0.05;0.00;60.73
ubuntu;60;2021-09-18 01:03:02 UTC;-1;7.44;0.00;31.55;0.04;0.00;60.97
ubuntu;59;2021-09-18 01:04:01 UTC;-1;7.48;0.00;31.66;0.04;0.00;60.82
ubuntu;60;2021-09-18 01:05:01 UTC;-1;7.59;0.00;31.87;0.06;0.00;60.48
ubuntu;60;2021-09-18 01:06:01 UTC;-1;7.55;0.00;31.72;0.06;0.00;60.67
ubuntu;60;2021-09-18 01:07:01 UTC;-1;7.50;0.00;31.61;0.05;0.00;60.83
ubuntu;60;2021-09-18 01:08:01 UTC;-1;7.51;0.00;31.59;0.05;0.00;60.86
ubuntu;60;2021-09-18 01:09:01 UTC;-1;7.49;0.00;31.72;0.08;0.00;60.71
ubuntu;60;2021-09-18 01:10:01 UTC;-1;7.61;0.00;31.59;0.06;0.00;60.74
ubuntu;60;2021-09-18 01:11:01 UTC;-1;7.57;0.00;31.62;0.04;0.00;60.77
ubuntu;60;2021-09-18 01:12:01 UTC;-1;7.54;0.00;31.66;0.04;0.00;60.76
ubuntu;60;2021-09-18 01:13:01 UTC;-1;7.40;0.00;31.99;0.04;0.00;60.56
ubuntu;60;2021-09-18 01:14:01 UTC;-1;7.54;0.00;31.79;0.05;0.00;60.62
ubuntu;60;2021-09-18 01:15:01 UTC;-1;7.40;0.00;31.74;0.03;0.00;60.83
ubuntu;60;2021-09-18 01:16:01 UTC;-1;7.46;0.00;31.68;0.05;0.00;60.82
ubuntu;60;2021-09-18 01:17:01 UTC;-1;7.52;0.00;31.71;0.04;0.00;60.72
ubuntu;60;2021-09-18 01:18:01 UTC;-1;7.24;0.00;31.97;0.03;0.00;60.76
ubuntu;60;2021-09-18 01:19:01 UTC;-1;7.60;0.00;31.81;0.05;0.00;60.54
ubuntu;60;2021-09-18 01:20:01 UTC;-1;7.47;0.00;31.61;0.04;0.00;60.87
ubuntu;60;2021-09-18 01:21:01 UTC;-1;7.37;0.00;31.83;0.06;0.00;60.73
ubuntu;60;2021-09-18 01:22:01 UTC;-1;7.38;0.00;31.82;0.06;0.00;60.74
ubuntu;60;2021-09-18 01:23:02 UTC;-1;7.43;0.00;31.69;0.09;0.00;60.79
ubuntu;59;2021-09-18 01:24:01 UTC;-1;7.26;0.00;31.79;0.08;0.00;60.87
ubuntu;60;2021-09-18 01:25:01 UTC;-1;7.66;0.00;31.54;0.10;0.00;60.70
