# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle[...]
ubuntu;60;2021-09-17 07:34:01 UTC;-1;0.04;0.00;0.14;0.02;0.00;99.81
ubuntu;60;2021-09-17 07:35:01 UTC;-1;0.10;0.00;0.20;0.11;0.00;99.59
ubuntu;60;2021-09-17 07:36:01 UTC;-1;0.05;0.00;0.15;0.02;0.00;99.79
ubuntu;60;2021-09-17 07:37:01 UTC;-1;0.07;0.00;0.15;0.06;0.00;99.72
ubuntu;60;2021-09-17 07:38:01 UTC;-1;0.38;0.00;0.29;0.09;0.00;99.24
ubuntu;60;2021-09-17 07:39:01 UTC;-1;0.08;0.00;0.11;0.04;0.00;99.77
ubuntu;60;2021-09-17 07:40:01 UTC;-1;0.05;0.00;0.13;0.02;0.00;99.80
ubuntu;60;2021-09-17 07:41:01 UTC;-1;0.06;0.00;0.13;0.02;0.00;99.79
ubuntu;59;2021-09-17 07:42:01 UTC;-1;0.06;0.00;0.13;0.02;0.00;99.79
ubuntu;60;2021-09-17 07:43:01 UTC;-1;0.05;0.00;0.11;0.01;0.00;99.83
ubuntu;60;2021-09-17 07:44:01 UTC;-1;0.05;0.00;0.14;0.04;0.00;99.77
ubuntu;60;2021-09-17 07:45:01 UTC;-1;0.04;0.00;0.14;0.06;0.00;99.76
ubuntu;60;2021-09-17 07:46:01 UTC;-1;0.07;0.00;0.13;0.04;0.00;99.76
ubuntu;60;2021-09-17 07:47:01 UTC;-1;0.05;0.00;0.13;0.05;0.00;99.77
ubuntu;60;2021-09-17 07:48:01 UTC;-1;0.06;0.00;0.11;0.01;0.00;99.81
ubuntu;60;2021-09-17 07:49:01 UTC;-1;0.05;0.00;0.11;0.01;0.00;99.82
ubuntu;60;2021-09-17 07:50:01 UTC;-1;0.06;0.00;0.15;0.03;0.00;99.76
ubuntu;60;2021-09-17 07:51:01 UTC;-1;0.03;0.00;0.17;0.07;0.00;99.73
ubuntu;60;2021-09-17 07:52:01 UTC;-1;0.07;0.00;0.14;0.04;0.00;99.75
ubuntu;60;2021-09-17 07:53:01 UTC;-1;0.03;0.00;0.11;0.10;0.00;99.76
ubuntu;60;2021-09-17 07:54:01 UTC;-1;0.06;0.00;0.14;0.07;0.00;99.72
ubuntu;60;2021-09-17 07:55:01 UTC;-1;0.03;0.00;0.14;0.05;0.00;99.77
ubuntu;60;2021-09-17 07:56:01 UTC;-1;0.08;0.00;0.12;0.01;0.00;99.80
ubuntu;60;2021-09-17 07:57:01 UTC;-1;0.04;0.00;0.12;0.03;0.00;99.81
ubuntu;60;2021-09-17 07:58:01 UTC;-1;0.05;0.00;0.12;0.11;0.00;99.72
ubuntu;60;2021-09-17 07:59:01 UTC;-1;0.04;0.00;0.15;0.02;0.00;99.79
ubuntu;60;2021-09-17 08:00:01 UTC;-1;0.04;0.00;0.15;0.01;0.00;99.80
ubuntu;60;2021-09-17 08:01:01 UTC;-1;0.07;0.00;0.14;0.05;0.00;99.75
ubuntu;59;2021-09-17 08:02:01 UTC;-1;0.05;0.00;0.14;0.03;0.00;99.78
ubuntu;60;2021-09-17 08:03:01 UTC;-1;0.06;0.00;0.12;0.02;0.00;99.80
ubuntu;60;2021-09-17 08:04:01 UTC;-1;0.05;0.00;0.13;0.06;0.00;99.76
ubuntu;60;2021-09-17 08:05:01 UTC;-1;0.07;0.00;0.14;0.04;0.00;99.75
