# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
ubuntu;60;2021-09-17 07:34:01 UTC;444460;3543096;226088;5.82;150552;2791160;1303820;33.57;946568;2119344;148
ubuntu;60;2021-09-17 07:35:01 UTC;455116;3553744;215676;5.55;150564;2791148;1273276;32.78;936000;2119332;168
ubuntu;60;2021-09-17 07:36:01 UTC;455084;3553720;215708;5.55;150564;2791152;1273276;32.78;936136;2119332;148
ubuntu;60;2021-09-17 07:37:01 UTC;455084;3553728;215700;5.55;150568;2791156;1273276;32.78;936192;2119336;184
ubuntu;60;2021-09-17 07:38:01 UTC;454376;3553000;216472;5.57;150576;2791156;1274608;32.81;936592;2119300;180
ubuntu;60;2021-09-17 07:39:01 UTC;454376;3553004;216468;5.57;150576;2791160;1274608;32.81;936536;2119304;176
ubuntu;60;2021-09-17 07:40:01 UTC;454596;3553236;216236;5.57;150584;2791164;1274608;32.81;936572;2119308;172
ubuntu;60;2021-09-17 07:41:01 UTC;454596;3553212;216260;5.57;150584;2791164;1274608;32.81;936656;2119308;148
ubuntu;59;2021-09-17 07:42:01 UTC;454596;3553220;216248;5.57;150592;2791168;1274608;32.81;936812;2119312;148
ubuntu;60;2021-09-17 07:43:01 UTC;454660;3553260;216244;5.57;150592;2791172;1270376;32.71;936940;2119316;156
ubuntu;60;2021-09-17 07:44:01 UTC;454692;3553296;216208;5.57;150592;2791176;1270376;32.71;937052;2119320;156
ubuntu;60;2021-09-17 07:45:01 UTC;454660;3553268;216236;5.57;150592;2791180;1270376;32.71;937128;2119324;148
ubuntu;60;2021-09-17 07:46:01 UTC;454660;3553272;216232;5.57;150596;2791180;1274192;32.80;937232;2119324;148
ubuntu;60;2021-09-17 07:47:01 UTC;454440;3553056;216440;5.57;150596;2791184;1274192;32.80;937404;2119328;168
ubuntu;60;2021-09-17 07:48:01 UTC;454408;3553024;216468;5.57;150596;2791184;1274192;32.80;937380;2119328;148
ubuntu;60;2021-09-17 07:49:01 UTC;454156;3552788;216704;5.58;150600;2791188;1274192;32.80;937484;2119332;176
ubuntu;60;2021-09-17 07:50:01 UTC;454188;3552828;216668;5.58;150600;2791192;1274192;32.80;937624;2119336;148
ubuntu;60;2021-09-17 07:51:01 UTC;454156;3552796;216692;5.58;150600;2791192;1274192;32.80;937664;2119336;148
ubuntu;60;2021-09-17 07:52:01 UTC;453904;3552540;216948;5.59;150604;2791196;1274192;32.80;937820;2119340;148
ubuntu;60;2021-09-17 07:53:01 UTC;453936;3552580;216936;5.58;150612;2791196;1270316;32.70;937968;2119340;156
ubuntu;60;2021-09-17 07:54:01 UTC;453936;3552584;216932;5.58;150612;2791200;1270316;32.70;938000;2119344;148
ubuntu;60;2021-09-17 07:55:01 UTC;453936;3552588;216928;5.58;150620;2791204;1270316;32.70;938120;2119348;176
ubuntu;60;2021-09-17 07:56:01 UTC;453968;3552628;216896;5.58;150620;2791204;1270316;32.70;938180;2119348;148
ubuntu;60;2021-09-17 07:57:01 UTC;453936;3552600;216920;5.58;150624;2791208;1270316;32.70;938284;2119352;148
ubuntu;60;2021-09-17 07:58:01 UTC;453464;3552148;217376;5.60;150632;2791212;1270316;32.70;938556;2119356;164
ubuntu;60;2021-09-17 07:59:01 UTC;453432;3552132;217388;5.60;150636;2791216;1270316;32.70;938520;2119360;148
ubuntu;60;2021-09-17 08:00:01 UTC;453464;3552152;217372;5.60;150640;2791220;1270316;32.70;938596;2119364;148
ubuntu;60;2021-09-17 08:01:01 UTC;453464;3552152;217372;5.60;150648;2791216;1270316;32.70;938696;2119364;152
ubuntu;59;2021-09-17 08:02:01 UTC;453212;3552028;217496;5.60;150648;2791352;1270316;32.70;938780;2119496;168
ubuntu;60;2021-09-17 08:03:01 UTC;453180;3551996;217528;5.60;150648;2791352;1274112;32.80;938896;2119496;144
ubuntu;60;2021-09-17 08:04:01 UTC;453212;3552032;217492;5.60;150648;2791356;1274112;32.80;939052;2119500;164
ubuntu;60;2021-09-17 08:05:01 UTC;452832;3551660;217768;5.61;150648;2791364;1274112;32.80;939096;2119508;148
ubuntu;60;2021-09-17 08:06:01 UTC;452612;3551440;217988;5.61;150648;2791364;1274112;32.80;939152;2119508;148
ubuntu;60;2021-09-17 08:07:01 UTC;452612;3551448;217976;5.61;150660;2791364;1274112;32.80;939280;2119512;164
ubuntu;60;2021-09-17 08:08:01 UTC;452328;3551172;218256;5.62;150660;2791368;1277916;32.90;939380;2119512;152
ubuntu;60;2021-09-17 08:09:01 UTC;452644;3551496;217996;5.61;150664;2791372;1270256;32.70;939516;2119516;148
ubuntu;60;2021-09-17 08:10:01 UTC;452172;3551032;218460;5.62;150668;2791376;1270256;32.70;939568;2119520;156
ubuntu;60;2021-09-17 08:11:01 UTC;451920;3550780;218712;5.63;150668;2791376;1270256;32.70;939668;2119520;148
ubuntu;60;2021-09-17 08:12:01 UTC;451636;3550500;218992;5.64;150676;2791372;1270256;32.70;939916;2119524;152
ubuntu;60;2021-09-17 08:13:01 UTC;451384;3550256;219232;5.64;150680;2791380;1270256;32.70;939908;2119524;156
ubuntu;60;2021-09-17 08:14:01 UTC;451384;3550264;219224;5.64;150684;2791384;1270256;32.70;939964;2119528;152
ubuntu;60;2021-09-17 08:15:01 UTC;451132;3550032;219452;5.65;150700;2791388;1270256;32.70;940100;2119532;156
ubuntu;60;2021-09-17 08:16:01 UTC;451132;3550048;219444;5.65;150708;2791388;1270256;32.70;940148;2119544;148
ubuntu;60;2021-09-17 08:17:01 UTC;450628;3549556;219932;5.66;150724;2791384;1266040;32.59;940408;2119548;200
ubuntu;60;2021-09-17 08:18:01 UTC;450628;3549580;219944;5.66;150728;2791392;1269868;32.69;940380;2119548;152
ubuntu;60;2021-09-17 08:19:01 UTC;450628;3549588;219936;5.66;150732;2791396;1269868;32.69;940472;2119552;148
ubuntu;60;2021-09-17 08:20:01 UTC;450376;3549340;220180;5.67;150736;2791400;1269868;32.69;940576;2119556;156
ubuntu;60;2021-09-17 08:21:01 UTC;449116;3548088;221436;5.70;150740;2791400;1269868;32.69;942140;2119556;148
ubuntu;59;2021-09-17 08:22:01 UTC;448644;3547620;221896;5.71;150748;2791404;1269868;32.69;942224;2119560;148
ubuntu;60;2021-09-17 08:23:01 UTC;448596;3547564;221928;5.71;150752;2791400;1269868;32.69;942404;2119560;148
ubuntu;60;2021-09-17 08:24:01 UTC;448092;3547072;222424;5.73;150756;2791408;1269868;32.69;942472;2119564;168
ubuntu;60;2021-09-17 08:25:01 UTC;448344;3547328;222160;5.72;150760;2791416;1269868;32.69;942584;2119568;176
ubuntu;60;2021-09-17 08:26:01 UTC;448596;3547592;221900;5.71;150768;2791416;1269868;32.69;942660;2119572;168
ubuntu;60;2021-09-17 08:27:01 UTC;448660;3547664;221864;5.71;150768;2791420;1269868;32.69;942756;2119576;152
ubuntu;60;2021-09-17 08:28:01 UTC;448376;3547380;222148;5.72;150772;2791416;1269868;32.69;942844;2119576;148
ubuntu;60;2021-09-17 08:29:01 UTC;449700;3548712;220848;5.69;150776;2791424;1269868;32.69;941540;2119584;168
ubuntu;60;2021-09-17 08:30:01 UTC;449920;3548936;220624;5.68;150776;2791428;1269868;32.69;941664;2119584;164
ubuntu;60;2021-09-17 08:31:01 UTC;449416;3548432;221128;5.69;150776;2791428;1269868;32.69;941760;2119584;152
ubuntu;60;2021-09-17 08:32:01 UTC;449416;3548436;221124;5.69;150776;2791432;1269868;32.69;941892;2119588;152
ubuntu;60;2021-09-17 08:33:01 UTC;449384;3548404;221124;5.69;150780;2791428;1269868;32.69;941944;2119588;152
ubuntu;60;2021-09-17 08:34:01 UTC;449132;3548160;221356;5.70;150780;2791436;1277448;32.89;942060;2119592;148
ubuntu;60;2021-09-17 08:35:01 UTC;449132;3548168;221340;5.70;150780;2791444;1277448;32.89;942156;2119600;148
ubuntu;60;2021-09-17 08:36:01 UTC;449132;3548168;221336;5.70;150784;2791444;1277448;32.89;942224;2119600;148
ubuntu;60;2021-09-17 08:37:01 UTC;449132;3548176;221332;5.70;150784;2791448;1277448;32.89;942312;2119604;156
ubuntu;60;2021-09-17 08:38:01 UTC;448880;3547924;221584;5.70;150788;2791448;1277448;32.89;942452;2119604;176
ubuntu;60;2021-09-17 08:39:01 UTC;448912;3547964;221548;5.70;150788;2791452;1277448;32.89;942536;2119608;176
ubuntu;60;2021-09-17 08:40:01 UTC;448912;3547972;221540;5.70;150788;2791456;1277448;32.89;942540;2119612;164
ubuntu;60;2021-09-17 08:41:02 UTC;448628;3547684;221824;5.71;150792;2791456;1277448;32.89;942616;2119612;164
ubuntu;59;2021-09-17 08:42:01 UTC;448880;3547948;221560;5.70;150800;2791460;1273376;32.78;942736;2119616;148
ubuntu;60;2021-09-17 08:43:01 UTC;448880;3547952;221560;5.70;150804;2791456;1273376;32.78;942836;2119616;148
ubuntu;60;2021-09-17 08:44:01 UTC;448628;3547740;221780;5.71;150808;2791464;1273376;32.78;942940;2119628;164
ubuntu;60;2021-09-17 08:45:01 UTC;448124;3547240;222280;5.72;150820;2791468;1273376;32.78;943080;2119632;168
ubuntu;60;2021-09-17 08:46:01 UTC;448628;3547764;221776;5.71;150820;2791468;1269244;32.68;943104;2119632;148
ubuntu;60;2021-09-17 08:47:01 UTC;448124;3547280;222264;5.72;150820;2791476;1269244;32.68;943284;2119640;140
ubuntu;60;2021-09-17 08:48:01 UTC;448124;3547264;222280;5.72;150820;2791476;1269244;32.68;943332;2119640;156
ubuntu;60;2021-09-17 08:49:01 UTC;448124;3547284;222260;5.72;150820;2791480;1269244;32.68;943428;2119644;168
ubuntu;60;2021-09-17 08:50:01 UTC;448124;3547280;222264;5.72;150820;2791484;1269244;32.68;943564;2119648;156
ubuntu;60;2021-09-17 08:51:01 UTC;448156;3547316;222228;5.72;150824;2791484;1269244;32.68;943660;2119648;176
ubuntu;60;2021-09-17 08:52:01 UTC;447652;3546828;222712;5.73;150836;2791488;1269244;32.68;943668;2119652;148
ubuntu;60;2021-09-17 08:53:01 UTC;447652;3546824;222720;5.73;150840;2791488;1273032;32.77;943784;2119652;148
ubuntu;60;2021-09-17 08:54:01 UTC;447368;3546684;222860;5.74;150840;2791620;1276840;32.87;943876;2119784;168
ubuntu;60;2021-09-17 08:55:01 UTC;447400;3546712;222832;5.74;150840;2791624;1272988;32.77;943988;2119788;148
ubuntu;60;2021-09-17 08:56:01 UTC;447116;3546412;223132;5.74;150840;2791624;1272988;32.77;944084;2119788;148
ubuntu;60;2021-09-17 08:57:01 UTC;447148;3546408;223132;5.74;150844;2791628;1272988;32.77;944160;2119792;148
ubuntu;60;2021-09-17 08:58:01 UTC;446864;3546132;223412;5.75;150848;2791628;1272988;32.77;944336;2119792;156
ubuntu;60;2021-09-17 08:59:01 UTC;446644;3545936;223608;5.76;150848;2791632;1276784;32.87;944492;2119796;188
ubuntu;60;2021-09-17 09:00:01 UTC;446392;3545692;223852;5.76;150852;2791636;1276784;32.87;944468;2119800;156
ubuntu;60;2021-09-17 09:01:02 UTC;446612;3545912;223632;5.76;150852;2791636;1276784;32.87;944696;2119800;176
ubuntu;59;2021-09-17 09:02:01 UTC;446644;3545928;223616;5.76;150852;2791640;1276784;32.87;944652;2119804;148
ubuntu;60;2021-09-17 09:03:01 UTC;446612;3545900;223644;5.76;150856;2791640;1272928;32.77;944744;2119804;148
ubuntu;60;2021-09-17 09:04:01 UTC;446360;3545660;223884;5.76;150864;2791644;1272928;32.77;944868;2119808;148
ubuntu;60;2021-09-17 09:05:01 UTC;446392;3545696;223840;5.76;150872;2791648;1272928;32.77;944984;2119812;148
ubuntu;60;2021-09-17 09:06:01 UTC;445856;3545168;224376;5.78;150876;2791648;1272928;32.77;945076;2119812;148
ubuntu;60;2021-09-17 09:07:01 UTC;446172;3545500;224076;5.77;150876;2791652;1272928;32.77;945196;2119816;168
ubuntu;60;2021-09-17 09:08:01 UTC;446140;3545456;224120;5.77;150876;2791652;1272928;32.77;945280;2119816;148
ubuntu;60;2021-09-17 09:09:01 UTC;445888;3545220;224352;5.78;150880;2791660;1272928;32.77;945416;2119824;148
ubuntu;60;2021-09-17 09:10:01 UTC;446140;3545496;224080;5.77;150884;2791660;1272928;32.77;945496;2119828;168
ubuntu;60;2021-09-17 09:11:01 UTC;445888;3545232;224340;5.78;150888;2791664;1272928;32.77;945544;2119828;184
