# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle[...]
ubuntu;60;2021-09-18 08:21:01 UTC;-1;0.44;0.00;1.30;0.02;0.00;98.25
ubuntu;60;2021-09-18 08:22:01 UTC;-1;0.18;0.00;1.25;0.03;0.00;98.54
ubuntu;60;2021-09-18 08:23:01 UTC;-1;0.19;0.00;1.31;0.01;0.00;98.50
ubuntu;60;2021-09-18 08:24:01 UTC;-1;0.19;0.00;1.36;0.01;0.00;98.43
ubuntu;60;2021-09-18 08:25:01 UTC;-1;0.23;0.00;1.35;0.06;0.00;98.37
ubuntu;60;2021-09-18 08:26:01 UTC;-1;0.20;0.00;1.37;0.01;0.00;98.43
ubuntu;60;2021-09-18 08:27:01 UTC;-1;0.20;0.00;1.32;0.01;0.00;98.47
ubuntu;60;2021-09-18 08:28:01 UTC;-1;0.19;0.00;1.25;0.04;0.00;98.52
ubuntu;60;2021-09-18 08:29:01 UTC;-1;0.24;0.00;1.36;0.05;0.00;98.35
ubuntu;60;2021-09-18 08:30:01 UTC;-1;0.20;0.00;1.32;0.01;0.00;98.47
ubuntu;60;2021-09-18 08:31:01 UTC;-1;0.19;0.00;1.29;0.02;0.00;98.50
ubuntu;60;2021-09-18 08:32:01 UTC;-1;0.18;0.00;1.26;0.03;0.00;98.53
ubuntu;60;2021-09-18 08:33:01 UTC;-1;0.24;0.00;1.35;0.02;0.00;98.39
ubuntu;60;2021-09-18 08:34:01 UTC;-1;0.19;0.00;1.23;0.03;0.00;98.55
ubuntu;60;2021-09-18 08:35:01 UTC;-1;0.20;0.00;1.33;0.00;0.00;98.47
ubuntu;60;2021-09-18 08:36:02 UTC;-1;0.18;0.00;1.30;0.03;0.00;98.49
ubuntu;59;2021-09-18 08:37:01 UTC;-1;0.21;0.00;1.33;0.02;0.00;98.44
ubuntu;60;2021-09-18 08:38:01 UTC;-1;0.21;0.00;1.28;0.04;0.00;98.47
ubuntu;60;2021-09-18 08:39:01 UTC;-1;0.17;0.00;1.44;0.02;0.00;98.37
ubuntu;60;2021-09-18 08:40:01 UTC;-1;0.19;0.00;1.38;0.05;0.00;98.38
ubuntu;60;2021-09-18 08:41:01 UTC;-1;0.21;0.00;1.32;0.00;0.00;98.47
ubuntu;60;2021-09-18 08:42:01 UTC;-1;0.22;0.00;1.33;0.03;0.00;98.43
ubuntu;60;2021-09-18 08:43:01 UTC;-1;0.22;0.00;1.28;0.02;0.00;98.48
ubuntu;60;2021-09-18 08:44:01 UTC;-1;0.19;0.00;1.27;0.03;0.00;98.50
ubuntu;60;2021-09-18 08:45:01 UTC;-1;0.23;0.00;1.27;0.06;0.00;98.45
ubuntu;60;2021-09-18 08:46:01 UTC;-1;0.22;0.00;1.30;0.00;0.00;98.48
ubuntu;60;2021-09-18 08:47:01 UTC;-1;0.20;0.00;1.27;0.02;0.00;98.52
ubuntu;60;2021-09-18 08:48:01 UTC;-1;0.25;0.00;1.39;0.02;0.00;98.34
ubuntu;60;2021-09-18 08:49:01 UTC;-1;0.20;0.00;1.26;0.03;0.00;98.51
ubuntu;60;2021-09-18 08:50:01 UTC;-1;0.17;0.00;1.24;0.03;0.00;98.56
ubuntu;60;2021-09-18 08:51:01 UTC;-1;0.22;0.00;1.29;0.05;0.00;98.44
ubuntu;60;2021-09-18 08:52:01 UTC;-1;0.19;0.00;1.29;0.05;0.00;98.47
ubuntu;60;2021-09-18 08:53:01 UTC;-1;0.21;0.00;1.41;0.05;0.00;98.33
ubuntu;60;2021-09-18 08:54:01 UTC;-1;0.18;0.00;1.36;0.04;0.00;98.42
ubuntu;60;2021-09-18 08:55:01 UTC;-1;0.26;0.00;1.30;0.02;0.00;98.42
ubuntu;60;2021-09-18 08:56:02 UTC;-1;0.20;0.00;1.30;0.02;0.00;98.47
ubuntu;59;2021-09-18 08:57:01 UTC;-1;0.19;0.00;1.34;0.01;0.00;98.46
ubuntu;60;2021-09-18 08:58:01 UTC;-1;0.20;0.00;1.29;0.04;0.00;98.47
ubuntu;60;2021-09-18 08:59:01 UTC;-1;0.20;0.00;1.29;0.02;0.00;98.49
ubuntu;60;2021-09-18 09:00:01 UTC;-1;0.20;0.00;1.36;0.06;0.00;98.39
ubuntu;60;2021-09-18 09:01:01 UTC;-1;0.17;0.00;1.37;0.03;0.00;98.44
ubuntu;60;2021-09-18 09:02:01 UTC;-1;0.17;0.00;1.33;0.02;0.00;98.48
ubuntu;60;2021-09-18 09:03:01 UTC;-1;0.19;0.00;1.33;0.04;0.00;98.43
ubuntu;60;2021-09-18 09:04:01 UTC;-1;0.19;0.00;1.30;0.03;0.00;98.49
ubuntu;60;2021-09-18 09:05:01 UTC;-1;0.22;0.00;1.25;0.01;0.00;98.52
ubuntu;60;2021-09-18 09:06:01 UTC;-1;0.17;0.00;1.30;0.02;0.00;98.50
ubuntu;60;2021-09-18 09:07:01 UTC;-1;0.21;0.00;1.29;0.06;0.00;98.45
ubuntu;60;2021-09-18 09:08:01 UTC;-1;0.17;0.00;1.36;0.03;0.00;98.43
ubuntu;60;2021-09-18 09:09:01 UTC;-1;0.18;0.00;1.24;0.02;0.00;98.56
ubuntu;60;2021-09-18 09:10:01 UTC;-1;0.20;0.00;1.33;0.03;0.00;98.45
ubuntu;60;2021-09-18 09:11:01 UTC;-1;0.19;0.00;1.40;0.02;0.00;98.39
ubuntu;60;2021-09-18 09:12:01 UTC;-1;0.20;0.00;1.26;0.05;0.00;98.50
