# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
ubuntu;60;2021-09-16 11:46:01 UTC;2845404;3622576;148056;3.81;55100;700648;473200;12.18;512444;299332;4
ubuntu;60;2021-09-16 11:47:01 UTC;2842552;3621356;149096;3.84;55312;702072;469888;12.10;513760;299712;876
ubuntu;60;2021-09-16 11:48:02 UTC;2842740;3621552;148852;3.83;55344;702064;473736;12.20;513732;299712;0
ubuntu;59;2021-09-16 11:49:01 UTC;2845072;3623880;146548;3.77;55376;702072;447584;11.52;512656;298860;4
ubuntu;60;2021-09-16 11:50:01 UTC;2845356;3624164;146288;3.77;55384;702072;447584;11.52;512688;298860;0
ubuntu;60;2021-09-16 11:51:01 UTC;2845324;3624144;146360;3.77;55400;702076;447584;11.52;512736;298864;20
ubuntu;60;2021-09-16 11:52:01 UTC;2845072;3623908;146600;3.77;55412;702076;447584;11.52;512716;298864;88
ubuntu;60;2021-09-16 11:53:01 UTC;2845072;3623928;146592;3.77;55416;702080;443392;11.41;512836;298868;124
ubuntu;60;2021-09-16 11:54:01 UTC;2845608;3624488;146056;3.76;55444;702076;443392;11.41;512892;298868;4
ubuntu;60;2021-09-16 11:55:01 UTC;2845356;3624248;146288;3.77;55460;702084;443392;11.41;512764;298872;0
ubuntu;60;2021-09-16 11:56:01 UTC;2845324;3624236;146300;3.77;55476;702088;443104;11.41;512784;298876;20
ubuntu;60;2021-09-16 11:57:01 UTC;2845356;3624292;146272;3.77;55492;702092;443104;11.41;512804;298880;0
ubuntu;60;2021-09-16 11:58:01 UTC;2845356;3624292;146256;3.77;55508;702092;443104;11.41;512804;298880;4
ubuntu;60;2021-09-16 11:59:01 UTC;2845356;3624292;146252;3.77;55528;702080;443104;11.41;512804;298880;0
ubuntu;60;2021-09-16 12:00:01 UTC;2845072;3624056;146512;3.77;55536;702096;447000;11.51;512848;298884;4
ubuntu;60;2021-09-16 12:01:01 UTC;2845072;3624076;146496;3.77;55552;702096;447000;11.51;512880;298884;0
ubuntu;60;2021-09-16 12:02:01 UTC;2845104;3624128;146448;3.77;55564;702100;447000;11.51;512896;298888;0
ubuntu;60;2021-09-16 12:03:01 UTC;2845356;3624384;146184;3.76;55576;702100;447000;11.51;512900;298888;32
ubuntu;60;2021-09-16 12:04:01 UTC;2845640;3624676;145916;3.76;55596;702096;447000;11.51;512904;298892;0
ubuntu;60;2021-09-16 12:05:01 UTC;2845608;3624668;145936;3.76;55596;702104;447000;11.51;513104;298892;136
ubuntu;60;2021-09-16 12:06:01 UTC;2845640;3624704;145884;3.76;55604;702108;447000;11.51;512972;298896;132
ubuntu;60;2021-09-16 12:07:01 UTC;2845640;3624704;145872;3.76;55616;702108;447000;11.51;512932;298896;124
ubuntu;60;2021-09-16 12:08:02 UTC;2845608;3624688;145864;3.76;55632;702112;447000;11.51;512944;298900;0
ubuntu;59;2021-09-16 12:09:01 UTC;2845608;3624692;145856;3.75;55640;702108;446508;11.50;512948;298900;0
ubuntu;60;2021-09-16 12:10:01 UTC;2845608;3624724;145828;3.75;55668;702108;446508;11.50;512968;298904;0
ubuntu;60;2021-09-16 12:11:01 UTC;2845608;3624752;145816;3.75;55672;702116;446508;11.50;512996;298904;0
ubuntu;60;2021-09-16 12:12:01 UTC;2845356;3624508;146100;3.76;55676;702120;442292;11.39;512996;298908;0
ubuntu;60;2021-09-16 12:13:01 UTC;2845504;3624668;145940;3.76;55688;702120;442292;11.39;513060;298908;0
ubuntu;60;2021-09-16 12:14:01 UTC;2845608;3624784;145824;3.75;55692;702124;442292;11.39;513032;298912;0
ubuntu;60;2021-09-16 12:15:01 UTC;2845608;3624796;145804;3.75;55716;702116;446080;11.48;513044;298912;0
ubuntu;60;2021-09-16 12:16:01 UTC;2845860;3625068;145572;3.75;55720;702128;446080;11.48;513068;298916;0
ubuntu;60;2021-09-16 12:17:01 UTC;2845608;3624824;145800;3.75;55736;702132;446080;11.48;513420;298920;176
ubuntu;60;2021-09-16 12:18:01 UTC;2845356;3624592;146028;3.76;55752;702140;450000;11.59;513076;298928;0
ubuntu;60;2021-09-16 12:19:01 UTC;2845356;3624596;146008;3.76;55768;702140;450000;11.59;513080;298928;4
ubuntu;60;2021-09-16 12:20:01 UTC;2845608;3624896;145728;3.75;55800;702128;445784;11.48;513124;298932;20
ubuntu;60;2021-09-16 12:21:01 UTC;2845356;3624788;145800;3.75;55816;702272;445784;11.48;513148;299052;4
ubuntu;60;2021-09-16 12:22:01 UTC;2845388;3624836;145756;3.75;55824;702272;445784;11.48;513156;299060;0
ubuntu;60;2021-09-16 12:23:01 UTC;2845388;3624852;145752;3.75;55836;702276;445784;11.48;513168;299064;0
ubuntu;60;2021-09-16 12:24:01 UTC;2845640;3625124;145480;3.75;55848;702276;449820;11.58;513396;299064;140
ubuntu;60;2021-09-16 12:25:01 UTC;2845608;3625112;145492;3.75;55872;702276;449820;11.58;513324;299068;160
ubuntu;60;2021-09-16 12:26:01 UTC;2845608;3625120;145480;3.75;55880;702280;449820;11.58;513212;299068;0
ubuntu;60;2021-09-16 12:27:01 UTC;2845608;3625148;145460;3.74;55896;702284;449820;11.58;513372;299072;152
ubuntu;59;2021-09-16 12:28:01 UTC;2845672;3625212;145412;3.74;55916;702280;445608;11.47;513236;299072;0
ubuntu;60;2021-09-16 12:29:01 UTC;2845672;3625236;145384;3.74;55932;702288;445608;11.47;513256;299076;0
ubuntu;60;2021-09-16 12:30:01 UTC;2845672;3625252;145400;3.74;55944;702280;445608;11.47;513272;299076;0
ubuntu;60;2021-09-16 12:31:01 UTC;2845200;3624796;145836;3.75;55972;702284;445608;11.47;513268;299080;148
ubuntu;60;2021-09-16 12:32:01 UTC;2845168;3624796;145840;3.75;55988;702292;445608;11.47;513316;299080;0
ubuntu;60;2021-09-16 12:33:01 UTC;2845168;3624812;145812;3.75;56004;702296;449516;11.57;513328;299084;128
ubuntu;60;2021-09-16 12:34:01 UTC;2845420;3625084;145596;3.75;56016;702296;445576;11.47;513348;299084;0
ubuntu;60;2021-09-16 12:35:01 UTC;2845672;3625348;145324;3.74;56032;702300;445576;11.47;513356;299088;20
ubuntu;60;2021-09-16 12:36:01 UTC;2845452;3625128;145488;3.75;56064;702284;445576;11.47;513356;299088;280
ubuntu;60;2021-09-16 12:37:01 UTC;2845452;3625196;145452;3.74;56080;702304;445576;11.47;513420;299092;0
ubuntu;60;2021-09-16 12:38:01 UTC;2845452;3625196;145428;3.74;56096;702308;441520;11.37;513464;299092;148
ubuntu;60;2021-09-16 12:39:01 UTC;2845168;3624924;145724;3.75;56112;702312;441520;11.37;513416;299100;132
ubuntu;60;2021-09-16 12:40:01 UTC;2845200;3624984;145680;3.75;56124;702312;445308;11.46;513492;299100;12
ubuntu;60;2021-09-16 12:41:01 UTC;2845168;3624956;145660;3.75;56156;702300;445308;11.46;513444;299104;152
ubuntu;60;2021-09-16 12:42:01 UTC;2845168;3625000;145648;3.75;56164;702316;449116;11.56;513504;299104;0
ubuntu;60;2021-09-16 12:43:01 UTC;2845136;3624988;145692;3.75;56176;702320;449116;11.56;513520;299108;20
ubuntu;60;2021-09-16 12:44:01 UTC;2845136;3624992;145692;3.75;56180;702320;449116;11.56;513588;299108;0
ubuntu;60;2021-09-16 12:45:01 UTC;2844600;3624524;146160;3.76;56204;702360;449116;11.56;514472;299148;140
ubuntu;60;2021-09-16 12:46:01 UTC;2844632;3624652;146024;3.76;56220;702448;445224;11.46;514456;299240;156
ubuntu;60;2021-09-16 12:47:01 UTC;2850948;3630152;140620;3.62;56248;701620;396776;10.21;510336;297232;144
ubuntu;59;2021-09-16 12:48:01 UTC;2850948;3630172;140612;3.62;56256;701624;396776;10.21;510384;297236;144
ubuntu;60;2021-09-16 12:49:01 UTC;2850948;3630180;140624;3.62;56272;701624;396776;10.21;510416;297236;148
ubuntu;60;2021-09-16 12:50:01 UTC;2850916;3630164;140636;3.62;56288;701628;396776;10.21;510404;297240;0
ubuntu;60;2021-09-16 12:51:01 UTC;2850916;3630180;140636;3.62;56304;701632;396776;10.21;510416;297244;16
ubuntu;60;2021-09-16 12:52:01 UTC;2850916;3630200;140632;3.62;56336;701628;400316;10.31;510448;297248;152
ubuntu;60;2021-09-16 12:53:01 UTC;2850916;3630244;140612;3.62;56348;701636;400316;10.31;509692;297248;0
ubuntu;60;2021-09-16 12:54:01 UTC;2851208;3630540;140308;3.61;56364;701640;400316;10.31;509692;297252;0
ubuntu;60;2021-09-16 12:55:01 UTC;2850924;3630276;140576;3.62;56380;701640;400316;10.31;509708;297252;4
