# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle[...]
ubuntu;60;2021-09-18 08:40:01 UTC;-1;32.24;0.00;7.08;0.30;0.00;60.38
ubuntu;60;2021-09-18 08:41:01 UTC;-1;32.17;0.00;6.88;0.17;0.00;60.78
ubuntu;60;2021-09-18 08:42:01 UTC;-1;31.32;0.00;6.60;6.68;0.00;55.40
ubuntu;60;2021-09-18 08:43:02 UTC;-1;31.79;0.00;6.75;2.81;0.00;58.65
ubuntu;59;2021-09-18 08:44:01 UTC;-1;32.37;0.00;6.78;0.17;0.00;60.68
ubuntu;60;2021-09-18 08:45:01 UTC;-1;32.06;0.00;6.85;0.21;0.00;60.87
ubuntu;60;2021-09-18 08:46:01 UTC;-1;32.30;0.00;6.78;1.20;0.00;59.72
ubuntu;60;2021-09-18 08:47:01 UTC;-1;32.37;0.00;6.85;0.39;0.00;60.39
ubuntu;60;2021-09-18 08:48:01 UTC;-1;32.22;0.00;6.83;1.07;0.00;59.88
ubuntu;60;2021-09-18 08:49:01 UTC;-1;31.88;0.00;6.75;1.38;0.00;59.98
ubuntu;60;2021-09-18 08:50:01 UTC;-1;32.44;0.00;6.68;1.62;0.00;59.27
ubuntu;60;2021-09-18 08:51:01 UTC;-1;32.19;0.00;6.87;0.85;0.00;60.10
ubuntu;60;2021-09-18 08:52:01 UTC;-1;32.25;0.00;6.98;0.65;0.00;60.13
ubuntu;60;2021-09-18 08:53:01 UTC;-1;32.63;0.00;6.57;0.26;0.00;60.54
ubuntu;60;2021-09-18 08:54:01 UTC;-1;32.68;0.00;6.66;0.18;0.00;60.47
ubuntu;60;2021-09-18 08:55:01 UTC;-1;32.57;0.00;6.57;0.85;0.00;60.01
ubuntu;60;2021-09-18 08:56:01 UTC;-1;32.59;0.00;6.72;0.16;0.00;60.53
ubuntu;60;2021-09-18 08:57:01 UTC;-1;32.51;0.00;6.83;0.15;0.00;60.51
ubuntu;60;2021-09-18 08:58:01 UTC;-1;32.69;0.00;6.64;0.11;0.00;60.56
ubuntu;60;2021-09-18 08:59:01 UTC;-1;32.65;0.00;6.65;0.21;0.00;60.49
ubuntu;60;2021-09-18 09:00:01 UTC;-1;32.80;0.00;6.75;0.80;0.00;59.64
ubuntu;60;2021-09-18 09:01:01 UTC;-1;32.72;0.00;6.61;1.04;0.00;59.62
ubuntu;60;2021-09-18 09:02:01 UTC;-1;32.57;0.00;6.68;0.69;0.00;60.06
ubuntu;60;2021-09-18 09:03:01 UTC;-1;32.76;0.00;6.79;0.16;0.00;60.28
ubuntu;60;2021-09-18 09:04:02 UTC;-1;32.62;0.00;6.76;0.57;0.00;60.05
ubuntu;59;2021-09-18 09:05:01 UTC;-1;32.56;0.00;6.69;2.23;0.00;58.52
ubuntu;60;2021-09-18 09:06:01 UTC;-1;32.71;0.00;6.77;0.14;0.00;60.38
ubuntu;60;2021-09-18 09:07:01 UTC;-1;32.57;0.00;6.81;0.12;0.00;60.50
ubuntu;60;2021-09-18 09:08:01 UTC;-1;32.66;0.00;6.65;0.23;0.00;60.45
ubuntu;60;2021-09-18 09:09:01 UTC;-1;32.67;0.00;6.63;0.17;0.00;60.53
ubuntu;60;2021-09-18 09:10:01 UTC;-1;32.52;0.00;6.81;0.19;0.00;60.48
ubuntu;60;2021-09-18 09:11:01 UTC;-1;32.79;0.00;6.53;0.14;0.00;60.54
ubuntu;60;2021-09-18 09:12:01 UTC;-1;32.65;0.00;6.65;0.13;0.00;60.57
ubuntu;60;2021-09-18 09:13:01 UTC;-1;32.62;0.00;6.70;0.16;0.00;60.52
ubuntu;60;2021-09-18 09:14:01 UTC;-1;32.63;0.00;6.62;0.16;0.00;60.59
ubuntu;60;2021-09-18 09:15:01 UTC;-1;32.68;0.00;6.57;0.15;0.00;60.60
ubuntu;60;2021-09-18 09:16:01 UTC;-1;32.72;0.00;6.60;0.21;0.00;60.47
ubuntu;60;2021-09-18 09:17:01 UTC;-1;32.62;0.00;6.76;0.20;0.00;60.42
ubuntu;60;2021-09-18 09:18:01 UTC;-1;32.61;0.00;6.63;0.18;0.00;60.58
ubuntu;60;2021-09-18 09:19:01 UTC;-1;32.45;0.00;6.70;2.03;0.00;58.82
ubuntu;60;2021-09-18 09:20:01 UTC;-1;32.80;0.00;6.59;0.15;0.00;60.46
ubuntu;60;2021-09-18 09:21:01 UTC;-1;32.57;0.00;6.63;0.15;0.00;60.65
ubuntu;60;2021-09-18 09:22:01 UTC;-1;32.56;0.00;6.84;0.59;0.00;60.02
ubuntu;60;2021-09-18 09:23:01 UTC;-1;32.84;0.00;6.64;0.12;0.00;60.40
ubuntu;60;2021-09-18 09:24:02 UTC;-1;31.50;0.00;6.29;2.22;0.00;60.00
ubuntu;59;2021-09-18 09:25:01 UTC;-1;32.72;0.00;6.61;0.92;0.00;59.75
ubuntu;60;2021-09-18 09:26:01 UTC;-1;32.59;0.00;6.61;1.28;0.00;59.52
ubuntu;60;2021-09-18 09:27:01 UTC;-1;32.50;0.00;6.83;0.58;0.00;60.09
ubuntu;60;2021-09-18 09:28:01 UTC;-1;32.55;0.00;6.68;0.46;0.00;60.30
ubuntu;60;2021-09-18 09:29:01 UTC;-1;32.62;0.00;6.75;0.74;0.00;59.89
ubuntu;60;2021-09-18 09:30:01 UTC;-1;32.72;0.00;6.77;2.64;0.00;57.87
ubuntu;60;2021-09-18 09:31:01 UTC;-1;32.58;0.00;6.86;0.45;0.00;60.11
ubuntu;60;2021-09-18 09:32:01 UTC;-1;32.72;0.00;6.47;0.20;0.00;60.62
ubuntu;60;2021-09-18 09:33:01 UTC;-1;32.57;0.00;6.86;0.12;0.00;60.45
ubuntu;60;2021-09-18 09:34:01 UTC;-1;32.77;0.00;6.53;0.18;0.00;60.52
ubuntu;60;2021-09-18 09:35:01 UTC;-1;32.82;0.00;6.51;0.20;0.00;60.47
ubuntu;60;2021-09-18 09:36:01 UTC;-1;32.89;0.00;6.39;0.15;0.00;60.58
ubuntu;60;2021-09-18 09:37:01 UTC;-1;32.71;0.00;6.64;0.17;0.00;60.48
ubuntu;60;2021-09-18 09:38:01 UTC;-1;32.64;0.00;6.69;0.13;0.00;60.54
ubuntu;60;2021-09-18 09:39:01 UTC;-1;31.36;0.00;6.29;6.01;0.00;56.34
ubuntu;60;2021-09-18 09:40:01 UTC;-1;32.74;0.00;6.66;0.19;0.00;60.42
ubuntu;60;2021-09-18 09:41:01 UTC;-1;32.05;0.00;6.78;3.42;0.00;57.75
ubuntu;60;2021-09-18 09:42:01 UTC;-1;32.50;0.00;6.44;1.04;0.00;60.02
ubuntu;60;2021-09-18 09:43:01 UTC;-1;32.63;0.00;6.76;0.11;0.00;60.49
ubuntu;60;2021-09-18 09:44:01 UTC;-1;32.84;0.00;6.66;0.61;0.00;59.90
ubuntu;59;2021-09-18 09:45:01 UTC;-1;33.13;0.00;6.89;1.08;0.00;58.89
ubuntu;60;2021-09-18 09:46:01 UTC;-1;32.32;0.00;6.64;0.66;0.00;60.38
ubuntu;60;2021-09-18 09:47:01 UTC;-1;32.63;0.00;6.63;0.23;0.00;60.51
ubuntu;60;2021-09-18 09:48:01 UTC;-1;32.68;0.00;6.66;0.13;0.00;60.53
ubuntu;60;2021-09-18 09:49:01 UTC;-1;32.62;0.00;6.78;0.18;0.00;60.42
ubuntu;60;2021-09-18 09:50:01 UTC;-1;32.67;0.00;6.74;0.13;0.00;60.45
ubuntu;60;2021-09-18 09:51:01 UTC;-1;32.74;0.00;6.70;0.14;0.00;60.43
ubuntu;60;2021-09-18 09:52:01 UTC;-1;32.64;0.00;6.60;0.17;0.00;60.59
ubuntu;60;2021-09-18 09:53:01 UTC;-1;32.73;0.00;6.54;0.16;0.00;60.57
ubuntu;60;2021-09-18 09:54:01 UTC;-1;32.37;0.00;6.54;2.32;0.00;58.77
