iteration;isolation timestamp;not ready timestamp;container creation timestamp;;not ready interval;recreation interval;sum;
1;1631114178195267649;1631114213618975569;;;"35.42371021";;;
3;1631114776040784677;1631114812055836725;1631114812458628599;;"36.01504998";;;
4;1631115061665836020;1631115108348643617;1631115108638857838;;"46.68281011";;;
5;1631115173893023869;1631115218754169932;1631115219279115489;;"44.86114022";;;
6;1631115297415726880;1631115340132128637;1631115340495248554;;"42.71640013";;;
7;1631175839721491723;1631175881866781255;1631175882241120194;;"42.14528998";;;
8;1631175951022720607;1631176004930442974;1631176005269892753;;"53.90771994";;;dal 13 corretto anche il container creation timestamp
9;1631177327481881190;1631177368763295973;1631177369109791674;;"41.28141005";;;
10;1631177467621421283;1631177509442685268;1631177513106111505;;"41.82126003";;;
11;1631177564749659523;1631177599622704567;1631177599975342488;;"34.87305011";;;
12;1631177663110606554;1631177705414137738;1631177705850898830;;"42.30352998";;;
13;1631178083356096252;1631178126947626903;1631178153699138902;;"43.59152998";"26.75151002";"70.34304";
14;1631178387136116979;1631178428159258724;1631178454617213608;;"41.02313984";"26.45796019";"67.48110003";
15;1631178557586475126;1631178593735896884;1631178620201354312;;"36.14942003";"26.46545997";"62.61488";
16;1631180086657922712;1631180125872394297;1631180152439789072;;"39.21446989";"26.56739021";"65.7818601";
17;1631180370521886167;1631180406066807852;1631180432446206576;;"35.54492006";"26.37939994";"61.92432";
18;1631180697822085128;1631180737699754726;1631180763644004881;;"39.87766989";"25.94425011";"65.82192";
19;1631180921014520728;1631180958303158630;1631180982875639573;;"37.28863002";"24.57248";"61.86111002";
20;1631181114388667602;1631181153485559913;1631181179410574206;;"39.09689011";"25.9250199";"65.02191002";
21;1631182509880670779;1631182543757485537;1631182569751384210;;"33.87680998";"25.99390003";"59.87071002";
22;1631182719086673547;1631182755097199596;1631182780980313580;;"36.01051981";"25.88312013";"61.89363994";
