NAMESPACE         NAME                                        READY   STATUS      RESTARTS   AGE     IP           NODE     NOMINATED NODE   READINESS GATES
default           mysql-86c597ff5c-tsvgv                      1/1     Running     0          2d18h   10.42.1.14   node-2   <none>           <none>
default           openpdc-higher-776b85d77f-kbhdc             1/1     Running     0          2d18h   10.42.0.15   node-1   <none>           <none>
default           openpdc-lower-85d5758bb6-gprhc              1/1     Running     0          2d18h   10.42.1.15   node-2   <none>           <none>
default           pmu-1-745bc9b754-72l7h                      1/1     Running     0          2d18h   10.42.0.14   node-1   <none>           <none>
default           pmu-2-7df8cfc488-ldl2d                      1/1     Running     0          2d18h   10.42.3.13   node-4   <none>           <none>
default           pmu-3-6c589f9f58-94fxd                      1/1     Running     0          2d18h   10.42.2.13   node-3   <none>           <none>
kube-system       coredns-7448499f4d-rlzds                    1/1     Running     0          3d      10.42.0.5    node-1   <none>           <none>
kube-system       helm-install-traefik-crd-rl6qp              0/1     Completed   0          3d      10.42.0.3    node-1   <none>           <none>
kube-system       helm-install-traefik-rgscq                  0/1     Completed   1          3d      10.42.0.2    node-1   <none>           <none>
kube-system       local-path-provisioner-5ff76fc89d-hckgn     1/1     Running     0          3d      10.42.0.4    node-1   <none>           <none>
kube-system       metrics-server-86cbb8457f-xvgwm             1/1     Running     0          3d      10.42.0.6    node-1   <none>           <none>
kube-system       svclb-traefik-f454r                         2/2     Running     0          3d      10.42.3.2    node-4   <none>           <none>
kube-system       svclb-traefik-jxdsc                         2/2     Running     0          3d      10.42.1.2    node-2   <none>           <none>
kube-system       svclb-traefik-n4wzr                         2/2     Running     0          3d      10.42.2.2    node-3   <none>           <none>
kube-system       svclb-traefik-q9p2m                         2/2     Running     0          3d      10.42.0.8    node-1   <none>           <none>
kube-system       traefik-97b44b794-xkfsx                     1/1     Running     0          3d      10.42.0.7    node-1   <none>           <none>
longhorn-system   csi-attacher-54c7586574-2qpv4               1/1     Running     0          3d      10.42.1.10   node-2   <none>           <none>
longhorn-system   csi-attacher-54c7586574-fzjlw               1/1     Running     0          3d      10.42.1.9    node-2   <none>           <none>
longhorn-system   csi-attacher-54c7586574-tpzxc               1/1     Running     0          3d      10.42.2.8    node-3   <none>           <none>
longhorn-system   csi-provisioner-5ff5bd6b88-bxkpz            1/1     Running     0          3d      10.42.3.8    node-4   <none>           <none>
longhorn-system   csi-provisioner-5ff5bd6b88-cbhcx            1/1     Running     0          3d      10.42.1.11   node-2   <none>           <none>
longhorn-system   csi-provisioner-5ff5bd6b88-rmtcf            1/1     Running     0          3d      10.42.3.9    node-4   <none>           <none>
longhorn-system   csi-resizer-7699cdfc4-jzksn                 1/1     Running     0          3d      10.42.3.10   node-4   <none>           <none>
longhorn-system   csi-resizer-7699cdfc4-jztnq                 1/1     Running     0          3d      10.42.1.12   node-2   <none>           <none>
longhorn-system   csi-resizer-7699cdfc4-sl8lp                 1/1     Running     0          3d      10.42.2.9    node-3   <none>           <none>
longhorn-system   csi-snapshotter-8f58f46b4-6gshp             1/1     Running     0          3d      10.42.3.12   node-4   <none>           <none>
longhorn-system   csi-snapshotter-8f58f46b4-ftrcg             1/1     Running     0          3d      10.42.2.10   node-3   <none>           <none>
longhorn-system   csi-snapshotter-8f58f46b4-h94xp             1/1     Running     0          3d      10.42.2.12   node-3   <none>           <none>
longhorn-system   engine-image-ei-a5a44787-bwtpt              1/1     Running     0          3d      10.42.0.10   node-1   <none>           <none>
longhorn-system   engine-image-ei-a5a44787-d2v5n              1/1     Running     0          3d      10.42.2.5    node-3   <none>           <none>
longhorn-system   engine-image-ei-a5a44787-vngfx              1/1     Running     0          3d      10.42.1.5    node-2   <none>           <none>
longhorn-system   engine-image-ei-a5a44787-wlbqg              1/1     Running     0          3d      10.42.3.5    node-4   <none>           <none>
longhorn-system   instance-manager-e-04f41b14                 1/1     Running     0          3d      10.42.1.4    node-2   <none>           <none>
longhorn-system   instance-manager-e-d0d4c624                 1/1     Running     0          3d      10.42.3.6    node-4   <none>           <none>
longhorn-system   instance-manager-e-f9108b76                 1/1     Running     0          3d      10.42.0.11   node-1   <none>           <none>
longhorn-system   instance-manager-e-f932478e                 1/1     Running     0          3d      10.42.2.6    node-3   <none>           <none>
longhorn-system   instance-manager-r-030850c4                 1/1     Running     0          3d      10.42.2.7    node-3   <none>           <none>
longhorn-system   instance-manager-r-70222e5f                 1/1     Running     0          3d      10.42.3.7    node-4   <none>           <none>
longhorn-system   instance-manager-r-943e8d1d                 1/1     Running     0          3d      10.42.1.6    node-2   <none>           <none>
longhorn-system   instance-manager-r-a1714097                 1/1     Running     0          3d      10.42.0.12   node-1   <none>           <none>
longhorn-system   longhorn-csi-plugin-4zsjk                   2/2     Running     0          3d      10.42.3.11   node-4   <none>           <none>
longhorn-system   longhorn-csi-plugin-dkmgf                   2/2     Running     0          3d      10.42.1.13   node-2   <none>           <none>
longhorn-system   longhorn-csi-plugin-vw2f7                   2/2     Running     0          3d      10.42.0.13   node-1   <none>           <none>
longhorn-system   longhorn-csi-plugin-xv2tn                   2/2     Running     0          3d      10.42.2.11   node-3   <none>           <none>
longhorn-system   longhorn-driver-deployer-5479f45d86-shz5w   1/1     Running     0          3d      10.42.2.4    node-3   <none>           <none>
longhorn-system   longhorn-manager-4mp9m                      1/1     Running     0          3d      10.42.2.3    node-3   <none>           <none>
longhorn-system   longhorn-manager-4qjs8                      1/1     Running     0          3d      10.42.1.3    node-2   <none>           <none>
longhorn-system   longhorn-manager-fj2t4                      1/1     Running     1          3d      10.42.3.3    node-4   <none>           <none>
longhorn-system   longhorn-manager-gwbv4                      1/1     Running     1          3d      10.42.0.9    node-1   <none>           <none>
longhorn-system   longhorn-ui-79f8976fbf-479rw                1/1     Running     0          3d      10.42.3.4    node-4   <none>           <none>
