# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle[...]
fleet-master;60;2021-09-27 15:01:01 UTC;-1;4.07;0.00;2.32;0.79;0.08;92.73
fleet-master;60;2021-09-27 15:02:01 UTC;-1;4.54;0.00;2.75;0.34;0.10;92.27
fleet-master;60;2021-09-27 15:03:01 UTC;-1;3.86;0.00;2.22;0.49;0.08;93.34
fleet-master;60;2021-09-27 15:04:01 UTC;-1;3.78;0.00;2.11;0.75;0.07;93.29
fleet-master;60;2021-09-27 15:05:01 UTC;-1;3.77;0.00;2.23;0.71;0.10;93.20
fleet-master;60;2021-09-27 15:06:01 UTC;-1;3.73;0.00;2.28;0.46;0.09;93.44
fleet-master;60;2021-09-27 15:07:01 UTC;-1;3.87;0.01;2.10;0.29;0.06;93.66
fleet-master;60;2021-09-27 15:08:01 UTC;-1;3.64;0.01;2.18;0.67;0.08;93.42
fleet-master;60;2021-09-27 15:09:01 UTC;-1;3.87;0.01;2.14;0.22;0.07;93.69
fleet-master;60;2021-09-27 15:10:01 UTC;-1;3.96;0.00;2.10;0.30;0.08;93.57
fleet-master;60;2021-09-27 15:11:01 UTC;-1;3.70;0.00;2.17;0.34;0.06;93.73
fleet-master;60;2021-09-27 15:12:01 UTC;-1;3.78;0.00;2.22;0.86;0.09;93.05
fleet-master;60;2021-09-27 15:13:01 UTC;-1;3.82;0.01;2.17;0.79;0.08;93.13
fleet-master;60;2021-09-27 15:14:01 UTC;-1;3.87;0.00;2.14;0.26;0.09;93.64
fleet-master;60;2021-09-27 15:15:01 UTC;-1;4.09;0.01;2.11;1.65;0.07;92.08
fleet-master;60;2021-09-27 15:16:01 UTC;-1;4.09;0.00;2.24;0.28;0.07;93.33
fleet-master;60;2021-09-27 15:17:01 UTC;-1;4.02;0.00;2.21;0.27;0.07;93.43
fleet-master;60;2021-09-27 15:18:01 UTC;-1;3.63;0.00;2.20;0.22;0.08;93.87
fleet-master;60;2021-09-27 15:19:01 UTC;-1;3.87;0.01;2.19;0.61;0.07;93.24
fleet-master;60;2021-09-27 15:20:01 UTC;-1;3.94;0.00;2.12;0.18;0.08;93.67
fleet-master;60;2021-09-27 15:21:02 UTC;-1;3.80;0.00;2.08;0.87;0.08;93.17
fleet-master;59;2021-09-27 15:22:01 UTC;-1;3.88;0.01;2.27;0.23;0.10;93.51
fleet-master;60;2021-09-27 15:23:01 UTC;-1;3.73;0.00;2.12;0.18;0.07;93.89
fleet-master;60;2021-09-27 15:24:01 UTC;-1;3.86;0.00;2.21;0.27;0.09;93.56
fleet-master;60;2021-09-27 15:25:01 UTC;-1;3.89;0.01;2.23;0.27;0.08;93.52
fleet-master;60;2021-09-27 15:26:01 UTC;-1;3.98;0.00;2.37;0.29;0.09;93.26
fleet-master;60;2021-09-27 15:27:01 UTC;-1;3.93;0.00;2.29;0.33;0.06;93.38
fleet-master;60;2021-09-27 15:28:01 UTC;-1;4.00;0.00;2.20;0.28;0.11;93.41
fleet-master;60;2021-09-27 15:29:01 UTC;-1;4.05;0.00;2.25;1.25;0.08;92.37
fleet-master;60;2021-09-27 15:30:01 UTC;-1;3.89;0.01;2.18;0.34;0.09;93.48
fleet-master;60;2021-09-27 15:31:01 UTC;-1;3.68;0.00;2.01;0.67;0.07;93.56
fleet-master;60;2021-09-27 15:32:01 UTC;-1;3.91;0.00;2.28;0.55;0.08;93.17
fleet-master;60;2021-09-27 15:33:01 UTC;-1;3.87;0.00;2.15;0.20;0.08;93.70
fleet-master;60;2021-09-27 15:34:01 UTC;-1;3.95;0.00;2.19;0.47;0.13;93.26
fleet-master;60;2021-09-27 15:35:01 UTC;-1;3.82;0.00;2.16;0.19;0.11;93.72
fleet-master;60;2021-09-27 15:36:01 UTC;-1;3.84;0.00;2.17;0.29;0.10;93.59
fleet-master;60;2021-09-27 15:37:01 UTC;-1;3.93;0.00;2.27;0.15;0.08;93.56
fleet-master;60;2021-09-27 15:38:01 UTC;-1;3.96;0.00;2.21;0.29;0.12;93.42
fleet-master;60;2021-09-27 15:39:01 UTC;-1;3.68;0.00;2.16;0.33;0.07;93.76
fleet-master;60;2021-09-27 15:40:01 UTC;-1;3.95;0.00;2.26;0.34;0.08;93.36
fleet-master;60;2021-09-27 15:41:01 UTC;-1;3.78;0.02;2.22;0.21;0.08;93.69
fleet-master;60;2021-09-27 15:42:01 UTC;-1;4.16;0.00;2.19;0.25;0.11;93.29
fleet-master;60;2021-09-27 15:43:01 UTC;-1;3.92;0.00;2.10;0.19;0.07;93.71
fleet-master;60;2021-09-27 15:44:01 UTC;-1;3.79;0.00;2.17;0.59;0.10;93.34
fleet-master;60;2021-09-27 15:45:01 UTC;-1;3.89;0.01;2.22;0.21;0.08;93.58
fleet-master;60;2021-09-27 15:46:01 UTC;-1;3.86;0.00;2.13;0.25;0.09;93.66
fleet-master;60;2021-09-27 15:47:01 UTC;-1;4.08;0.00;2.13;0.17;0.08;93.54
fleet-master;60;2021-09-27 15:48:01 UTC;-1;3.85;0.00;2.22;0.26;0.08;93.59
fleet-master;60;2021-09-27 15:49:01 UTC;-1;3.77;0.00;2.17;0.30;0.07;93.69
fleet-master;60;2021-09-27 15:50:01 UTC;-1;3.94;0.00;2.14;0.52;0.11;93.29
fleet-master;60;2021-09-27 15:51:01 UTC;-1;3.91;0.00;2.26;0.27;0.09;93.46
fleet-master;60;2021-09-27 15:52:01 UTC;-1;3.94;0.00;2.30;0.22;0.10;93.44
fleet-master;60;2021-09-27 15:53:01 UTC;-1;3.67;0.01;2.18;0.24;0.07;93.83
fleet-master;60;2021-09-27 15:54:01 UTC;-1;3.84;0.00;2.19;0.46;0.08;93.43
fleet-master;60;2021-09-27 15:55:01 UTC;-1;3.76;0.00;2.11;0.42;0.06;93.64
fleet-master;60;2021-09-27 15:56:01 UTC;-1;4.11;0.00;2.27;0.29;0.07;93.26
fleet-master;60;2021-09-27 15:57:01 UTC;-1;4.10;0.00;2.38;0.55;0.09;92.88
fleet-master;60;2021-09-27 15:58:01 UTC;-1;3.92;0.00;2.15;0.24;0.06;93.62
fleet-master;60;2021-09-27 15:59:01 UTC;-1;3.76;0.01;2.27;0.37;0.09;93.50
