# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle[...]
fleet-master;184467440737095516;2021-09-26 00:00:01 UTC;-1;0.00;0.00;0.00;0.17;0.00;99.83
fleet-master;60;2021-09-26 00:01:01 UTC;-1;2.91;0.00;1.62;0.21;0.05;95.20
fleet-master;60;2021-09-26 00:02:01 UTC;-1;3.05;0.00;1.54;0.26;0.05;95.10
fleet-master;60;2021-09-26 00:03:01 UTC;-1;2.90;0.00;1.57;0.66;0.05;94.83
fleet-master;60;2021-09-26 00:04:01 UTC;-1;3.01;0.00;1.47;0.21;0.04;95.27
fleet-master;60;2021-09-26 00:05:01 UTC;-1;2.86;0.00;1.52;0.17;0.05;95.39
fleet-master;60;2021-09-26 00:06:01 UTC;-1;2.81;0.00;1.53;0.40;0.04;95.22
fleet-master;60;2021-09-26 00:07:01 UTC;-1;3.06;0.00;1.52;0.15;0.08;95.19
fleet-master;60;2021-09-26 00:08:01 UTC;-1;2.90;0.00;1.61;0.38;0.04;95.07
fleet-master;60;2021-09-26 00:09:01 UTC;-1;2.94;0.00;1.47;0.35;0.06;95.18
fleet-master;59;2021-09-26 00:10:01 UTC;-1;2.90;0.00;1.57;0.35;0.03;95.15
fleet-master;60;2021-09-26 00:11:01 UTC;-1;2.85;0.00;1.64;0.18;0.06;95.27
fleet-master;60;2021-09-26 00:12:01 UTC;-1;3.01;0.00;1.65;0.21;0.05;95.08
fleet-master;60;2021-09-26 00:13:01 UTC;-1;3.12;0.00;1.51;0.28;0.06;95.04
fleet-master;60;2021-09-26 00:14:01 UTC;-1;2.85;0.00;1.51;0.30;0.03;95.31
fleet-master;60;2021-09-26 00:15:01 UTC;-1;3.07;0.00;1.56;0.15;0.05;95.17
fleet-master;60;2021-09-26 00:16:01 UTC;-1;2.82;0.00;1.54;0.25;0.06;95.33
fleet-master;60;2021-09-26 00:17:01 UTC;-1;3.04;0.00;1.55;0.41;0.05;94.95
fleet-master;60;2021-09-26 00:18:01 UTC;-1;2.93;0.00;1.52;0.16;0.03;95.36
fleet-master;60;2021-09-26 00:19:01 UTC;-1;2.88;0.00;1.52;0.36;0.05;95.18
fleet-master;60;2021-09-26 00:20:01 UTC;-1;2.93;0.00;1.54;0.70;0.05;94.79
fleet-master;60;2021-09-26 00:21:01 UTC;-1;3.00;0.00;1.51;0.10;0.06;95.33
fleet-master;60;2021-09-26 00:22:01 UTC;-1;2.90;0.00;1.62;0.35;0.05;95.08
fleet-master;60;2021-09-26 00:23:01 UTC;-1;3.17;0.00;1.60;0.11;0.05;95.07
fleet-master;60;2021-09-26 00:24:01 UTC;-1;2.92;0.00;1.54;0.24;0.05;95.24
fleet-master;60;2021-09-26 00:25:01 UTC;-1;2.98;0.00;1.48;0.41;0.05;95.08
fleet-master;60;2021-09-26 00:26:01 UTC;-1;2.99;0.00;1.59;0.16;0.05;95.22
fleet-master;60;2021-09-26 00:27:01 UTC;-1;2.99;0.00;1.55;0.23;0.05;95.19
fleet-master;60;2021-09-26 00:28:01 UTC;-1;2.95;0.00;1.56;0.31;0.05;95.13
fleet-master;60;2021-09-26 00:29:01 UTC;-1;3.09;0.00;1.58;0.18;0.04;95.10
fleet-master;60;2021-09-26 00:30:01 UTC;-1;2.98;0.00;1.56;0.18;0.06;95.23
fleet-master;60;2021-09-26 00:31:01 UTC;-1;3.10;0.00;1.60;0.20;0.04;95.07
fleet-master;60;2021-09-26 00:32:01 UTC;-1;3.04;0.00;1.61;0.21;0.08;95.07
fleet-master;60;2021-09-26 00:33:01 UTC;-1;3.00;0.00;1.59;0.11;0.05;95.26
fleet-master;60;2021-09-26 00:34:01 UTC;-1;3.04;0.00;1.64;0.16;0.04;95.11
fleet-master;60;2021-09-26 00:35:01 UTC;-1;3.09;0.00;1.70;0.19;0.06;94.96
fleet-master;60;2021-09-26 00:36:01 UTC;-1;2.89;0.00;1.49;0.15;0.07;95.40
fleet-master;60;2021-09-26 00:37:01 UTC;-1;3.12;0.00;1.64;0.25;0.04;94.94
fleet-master;60;2021-09-26 00:38:01 UTC;-1;3.02;0.00;1.61;0.25;0.05;95.07
fleet-master;60;2021-09-26 00:39:01 UTC;-1;3.14;0.00;1.54;0.24;0.04;95.03
fleet-master;60;2021-09-26 00:40:01 UTC;-1;3.07;0.00;1.58;0.25;0.06;95.04
fleet-master;60;2021-09-26 00:41:01 UTC;-1;2.93;0.00;1.53;0.12;0.03;95.39
fleet-master;60;2021-09-26 00:42:01 UTC;-1;2.94;0.00;1.60;0.24;0.04;95.18
fleet-master;60;2021-09-26 00:43:01 UTC;-1;3.09;0.00;1.62;0.28;0.04;94.97
fleet-master;60;2021-09-26 00:44:01 UTC;-1;3.00;0.00;1.49;0.20;0.05;95.25
fleet-master;60;2021-09-26 00:45:01 UTC;-1;2.99;0.00;1.54;0.29;0.05;95.14
fleet-master;60;2021-09-26 00:46:01 UTC;-1;2.99;0.00;1.64;0.20;0.05;95.11
fleet-master;60;2021-09-26 00:47:01 UTC;-1;3.03;0.00;1.64;0.36;0.05;94.92
fleet-master;60;2021-09-26 00:48:01 UTC;-1;3.07;0.00;1.55;0.17;0.06;95.16
fleet-master;60;2021-09-26 00:49:01 UTC;-1;3.06;0.00;1.57;0.18;0.04;95.15
fleet-master;60;2021-09-26 00:50:01 UTC;-1;3.10;0.00;1.66;0.17;0.05;95.01
fleet-master;60;2021-09-26 00:51:01 UTC;-1;3.06;0.00;1.58;0.34;0.04;94.98
fleet-master;60;2021-09-26 00:52:01 UTC;-1;2.95;0.00;1.63;0.33;0.04;95.05
fleet-master;60;2021-09-26 00:53:01 UTC;-1;2.97;0.00;1.58;0.41;0.05;94.99
fleet-master;60;2021-09-26 00:54:02 UTC;-1;3.01;0.00;1.52;0.17;0.06;95.24
fleet-master;59;2021-09-26 00:55:01 UTC;-1;2.86;0.00;1.54;0.21;0.05;95.34
fleet-master;60;2021-09-26 00:56:01 UTC;-1;2.91;0.00;1.65;0.27;0.08;95.09
fleet-master;60;2021-09-26 00:57:01 UTC;-1;3.04;0.00;1.56;0.28;0.03;95.09
fleet-master;60;2021-09-26 00:58:01 UTC;-1;2.99;0.00;1.62;0.48;0.08;94.83
fleet-master;60;2021-09-26 00:59:01 UTC;-1;2.98;0.00;1.58;0.26;0.06;95.12
