# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
ron;60;2021-09-27 15:01:01 UTC;1294600;6728296;431316;5.69;194816;5160956;3642756;43.95;2593024;3114420;96
ron;60;2021-09-27 15:02:01 UTC;1293592;6728020;432452;5.70;194816;5160976;3650440;44.04;2593976;3115084;668
ron;60;2021-09-27 15:03:01 UTC;1292920;6727504;433108;5.71;194816;5161012;3649172;44.03;2594936;3115108;560
ron;60;2021-09-27 15:04:01 UTC;1292352;6727364;433452;5.71;194816;5161096;3642000;43.94;2594896;3115480;340
ron;60;2021-09-27 15:05:01 UTC;1292028;6727440;433628;5.72;194816;5161244;3648676;44.02;2595316;3115704;708
ron;60;2021-09-27 15:06:01 UTC;1290484;6726068;434912;5.73;194816;5161396;3649292;44.03;2592804;3115876;720
ron;60;2021-09-27 15:07:01 UTC;1291612;6727508;433640;5.72;194820;5161424;3652212;44.06;2593168;3116116;492
ron;60;2021-09-27 15:08:01 UTC;1291580;6727500;433560;5.72;194820;5161444;3647828;44.01;2592920;3116068;192
ron;60;2021-09-27 15:09:01 UTC;1290104;6726340;435096;5.74;194820;5161592;3650448;44.04;2593672;3116384;120
ron;60;2021-09-27 15:10:02 UTC;1291868;6727996;433108;5.71;194820;5161620;3649936;44.03;2594296;3116404;356
ron;59;2021-09-27 15:11:01 UTC;1290444;6726596;434788;5.73;194820;5161648;3650708;44.04;2594236;3116420;172
ron;60;2021-09-27 15:12:01 UTC;1290416;6726596;434648;5.73;194820;5161664;3643736;43.96;2594664;3116436;172
ron;60;2021-09-27 15:13:01 UTC;1289964;6726332;434988;5.73;194820;5161816;3648836;44.02;2594584;3116588;112
ron;60;2021-09-27 15:14:01 UTC;1289580;6725972;435316;5.74;194820;5161836;3651480;44.05;2594840;3116608;448
ron;60;2021-09-27 15:15:01 UTC;1289788;6726592;435084;5.74;194820;5161864;3653024;44.07;2594328;3116944;652
ron;60;2021-09-27 15:16:01 UTC;1289536;6726384;435456;5.74;194820;5162016;3645832;43.98;2594940;3117096;332
ron;60;2021-09-27 15:17:01 UTC;1288280;6725476;436612;5.76;194820;5162032;3655704;44.10;2596064;3117328;252
ron;60;2021-09-27 15:18:01 UTC;1290896;6728140;433876;5.72;194820;5162072;3648332;44.01;2595428;3117356;484
ron;60;2021-09-27 15:19:01 UTC;1289028;6726424;435588;5.74;194820;5162224;3650464;44.04;2595576;3117504;388
ron;60;2021-09-27 15:20:01 UTC;1288256;6725692;436236;5.75;194820;5162248;3651064;44.05;2596472;3117528;436
ron;60;2021-09-27 15:21:01 UTC;1286112;6723580;438224;5.78;194820;5162276;3647804;44.01;2597512;3117560;448
ron;60;2021-09-27 15:22:01 UTC;1286728;6724348;437716;5.77;194820;5162420;3653500;44.08;2597660;3117640;304
ron;60;2021-09-27 15:23:01 UTC;1286352;6724224;437972;5.77;194820;5162448;3651752;44.06;2597816;3117820;304
ron;60;2021-09-27 15:24:01 UTC;1287452;6725356;436728;5.76;194820;5162464;3648088;44.01;2596348;3117836;164
ron;60;2021-09-27 15:25:01 UTC;1286008;6724432;437940;5.77;194820;5162620;3649320;44.03;2595984;3118356;268
ron;60;2021-09-27 15:26:01 UTC;1287092;6725544;436676;5.76;194820;5162644;3647836;44.01;2595884;3118376;164
