# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle[...]
max;59;2021-10-06 02:51:01 UTC;-1;7.26;0.00;4.65;6.67;0.16;81.26
max;60;2021-10-06 02:52:01 UTC;-1;7.04;0.01;4.80;5.71;0.11;82.32
max;60;2021-10-06 02:53:01 UTC;-1;6.94;0.00;4.69;6.25;0.20;81.90
max;60;2021-10-06 02:54:01 UTC;-1;7.47;0.00;4.83;7.28;0.17;80.26
max;60;2021-10-06 02:55:01 UTC;-1;7.27;0.02;4.64;6.73;0.17;81.18
max;60;2021-10-06 02:56:01 UTC;-1;7.68;0.00;4.55;7.37;0.14;80.26
max;60;2021-10-06 02:57:01 UTC;-1;7.34;0.00;4.74;6.86;0.19;80.87
max;60;2021-10-06 02:58:01 UTC;-1;7.57;0.01;4.75;6.34;0.16;81.16
max;60;2021-10-06 02:59:01 UTC;-1;7.51;0.00;4.66;6.14;0.22;81.46
max;60;2021-10-06 03:00:01 UTC;-1;7.07;0.00;4.64;7.04;0.14;81.12
max;60;2021-10-06 03:01:01 UTC;-1;7.17;0.01;4.65;6.96;0.17;81.04
max;60;2021-10-06 03:02:01 UTC;-1;6.81;0.01;4.75;6.49;0.17;81.78
max;60;2021-10-06 03:03:01 UTC;-1;6.94;0.00;4.65;7.13;0.16;81.11
max;60;2021-10-06 03:04:01 UTC;-1;6.08;0.00;4.46;7.91;0.13;81.42
max;60;2021-10-06 03:05:01 UTC;-1;5.82;0.00;4.58;5.80;0.22;83.57
max;60;2021-10-06 03:06:01 UTC;-1;5.99;0.01;4.58;6.03;0.19;83.20
max;60;2021-10-06 03:07:01 UTC;-1;5.84;0.00;4.56;7.72;0.21;81.66
max;60;2021-10-06 03:08:01 UTC;-1;5.71;0.01;4.58;6.37;0.14;83.20
max;60;2021-10-06 03:09:01 UTC;-1;6.41;0.00;4.85;6.82;0.22;81.70
max;60;2021-10-06 03:10:01 UTC;-1;6.41;0.00;4.89;6.24;0.12;82.34
max;60;2021-10-06 03:11:01 UTC;-1;6.41;0.00;4.56;6.36;0.21;82.46
max;60;2021-10-06 03:12:01 UTC;-1;6.41;0.02;4.66;6.57;0.14;82.21
max;60;2021-10-06 03:13:01 UTC;-1;6.64;0.00;4.72;7.24;0.16;81.24
max;60;2021-10-06 03:14:01 UTC;-1;6.75;0.00;4.65;7.51;0.13;80.96
max;60;2021-10-06 03:15:01 UTC;-1;6.30;0.01;4.70;7.50;0.16;81.32
max;60;2021-10-06 03:16:01 UTC;-1;6.43;0.01;4.57;6.58;0.14;82.26
max;60;2021-10-06 03:17:01 UTC;-1;6.35;0.01;4.58;6.40;0.23;82.43
max;60;2021-10-06 03:18:01 UTC;-1;6.42;0.00;4.47;6.86;0.13;82.12
max;60;2021-10-06 03:19:01 UTC;-1;7.03;0.00;4.66;6.90;0.15;81.25
max;60;2021-10-06 03:20:01 UTC;-1;7.05;0.02;4.71;6.86;0.14;81.23
max;60;2021-10-06 03:21:01 UTC;-1;7.24;0.00;4.77;6.23;0.21;81.55
max;60;2021-10-06 03:22:01 UTC;-1;7.02;0.00;4.86;8.29;0.15;79.69
max;60;2021-10-06 03:23:01 UTC;-1;6.83;0.00;4.71;7.23;0.15;81.07
max;60;2021-10-06 03:24:01 UTC;-1;6.51;0.00;4.62;7.07;0.17;81.63
max;60;2021-10-06 03:25:01 UTC;-1;6.47;0.01;4.54;5.77;0.17;83.04
max;60;2021-10-06 03:26:01 UTC;-1;6.53;0.01;5.38;6.08;0.15;81.85
max;60;2021-10-06 03:27:01 UTC;-1;6.96;0.00;5.22;7.09;0.22;80.51
max;60;2021-10-06 03:28:01 UTC;-1;6.76;0.00;4.93;6.23;0.16;81.91
max;60;2021-10-06 03:29:01 UTC;-1;6.48;0.00;4.73;7.23;0.20;81.37
max;60;2021-10-06 03:30:01 UTC;-1;6.45;0.00;4.64;6.75;0.14;82.01
max;60;2021-10-06 03:31:01 UTC;-1;6.47;0.00;4.70;7.17;0.17;81.49
max;60;2021-10-06 03:32:01 UTC;-1;6.45;0.01;4.75;8.12;0.14;80.54
max;60;2021-10-06 03:33:01 UTC;-1;6.66;0.01;4.64;6.23;0.22;82.23
max;60;2021-10-06 03:34:01 UTC;-1;5.92;0.00;4.60;6.76;0.14;82.58
max;60;2021-10-06 03:35:02 UTC;-1;6.13;0.01;4.70;6.37;0.25;82.54
max;59;2021-10-06 03:36:01 UTC;-1;5.89;0.00;4.57;5.66;0.14;83.73
max;60;2021-10-06 03:37:01 UTC;-1;5.85;0.00;4.54;6.84;0.15;82.62
max;60;2021-10-06 03:38:01 UTC;-1;5.83;0.00;4.66;7.17;0.19;82.15
max;60;2021-10-06 03:39:01 UTC;-1;5.45;0.00;4.58;6.08;0.16;83.72
max;60;2021-10-06 03:40:01 UTC;-1;5.39;0.01;4.65;6.29;0.21;83.45
max;60;2021-10-06 03:41:01 UTC;-1;5.36;0.00;4.47;6.67;0.13;83.37
max;60;2021-10-06 03:42:01 UTC;-1;5.34;0.00;4.56;6.65;0.19;83.25
max;60;2021-10-06 03:43:01 UTC;-1;5.45;0.01;4.44;7.05;0.12;82.92
max;60;2021-10-06 03:44:01 UTC;-1;6.48;0.01;4.79;7.15;0.21;81.36
max;60;2021-10-06 03:45:01 UTC;-1;6.05;0.01;4.67;6.91;0.12;82.25
max;60;2021-10-06 03:46:01 UTC;-1;5.95;0.00;4.64;6.97;0.17;82.26
max;60;2021-10-06 03:47:01 UTC;-1;6.15;0.01;4.73;7.22;0.14;81.75
max;60;2021-10-06 03:48:01 UTC;-1;6.18;0.01;4.65;7.89;0.20;81.07
max;60;2021-10-06 03:49:01 UTC;-1;6.42;0.00;4.66;7.03;0.12;81.77
max;60;2021-10-06 03:50:01 UTC;-1;6.43;0.00;4.56;6.99;0.16;81.85
max;60;2021-10-06 03:51:01 UTC;-1;6.49;0.01;4.88;6.26;0.14;82.23
max;60;2021-10-06 03:52:01 UTC;-1;6.27;0.01;4.86;7.30;0.18;81.39
max;60;2021-10-06 03:53:01 UTC;-1;6.08;0.00;4.78;6.96;0.12;82.06
max;60;2021-10-06 03:54:01 UTC;-1;5.74;0.00;4.86;6.96;0.18;82.26
max;60;2021-10-06 03:55:01 UTC;-1;5.61;0.00;5.02;6.38;0.15;82.84
max;60;2021-10-06 03:56:01 UTC;-1;5.69;0.02;5.14;6.25;0.18;82.71
max;60;2021-10-06 03:57:01 UTC;-1;5.73;0.00;4.98;6.32;0.16;82.81
max;60;2021-10-06 03:58:01 UTC;-1;5.73;0.00;4.79;6.55;0.22;82.71
max;60;2021-10-06 03:59:01 UTC;-1;5.92;0.00;5.10;5.69;0.15;83.13
max;60;2021-10-06 04:00:01 UTC;-1;5.57;0.01;4.95;5.34;0.19;83.93
max;60;2021-10-06 04:01:01 UTC;-1;5.83;0.00;4.89;5.62;0.14;83.51
max;60;2021-10-06 04:02:01 UTC;-1;5.65;0.01;4.95;6.77;0.22;82.40
max;60;2021-10-06 04:03:01 UTC;-1;5.64;0.01;4.86;6.38;0.14;82.97
max;60;2021-10-06 04:04:01 UTC;-1;6.28;0.01;4.91;7.87;0.15;80.78
max;60;2021-10-06 04:05:01 UTC;-1;6.12;0.01;4.70;7.76;0.16;81.24
max;60;2021-10-06 04:06:01 UTC;-1;6.66;0.01;5.01;6.44;0.23;81.64
max;60;2021-10-06 04:07:01 UTC;-1;6.34;0.00;5.01;7.50;0.16;80.99
max;60;2021-10-06 04:08:01 UTC;-1;6.10;0.00;4.92;7.04;0.19;81.75
max;60;2021-10-06 04:09:01 UTC;-1;5.68;0.00;4.98;7.22;0.14;81.97
max;60;2021-10-06 04:10:01 UTC;-1;5.58;0.01;4.84;7.65;0.18;81.74
max;60;2021-10-06 04:11:01 UTC;-1;5.59;0.00;4.59;8.89;0.14;80.79
max;60;2021-10-06 04:12:01 UTC;-1;5.51;0.01;4.79;9.82;0.16;79.70
max;60;2021-10-06 04:13:01 UTC;-1;5.91;0.01;4.85;8.36;0.15;80.72
max;60;2021-10-06 04:14:01 UTC;-1;6.43;0.01;5.11;7.95;0.19;80.30
max;60;2021-10-06 04:15:01 UTC;-1;6.19;0.01;4.83;6.93;0.17;81.88
max;60;2021-10-06 04:16:01 UTC;-1;6.13;0.01;4.85;6.33;0.17;82.51
max;60;2021-10-06 04:17:01 UTC;-1;6.44;0.00;4.73;7.64;0.15;81.04
max;60;2021-10-06 04:18:01 UTC;-1;6.31;0.01;5.17;6.68;0.26;81.57
max;60;2021-10-06 04:19:01 UTC;-1;6.71;0.00;5.21;6.97;0.16;80.95
max;60;2021-10-06 04:20:01 UTC;-1;6.51;0.00;5.25;6.95;0.20;81.10
max;60;2021-10-06 04:21:02 UTC;-1;6.23;0.02;4.57;6.04;0.14;83.00
max;59;2021-10-06 04:22:01 UTC;-1;6.19;0.00;4.84;7.12;0.19;81.65
max;60;2021-10-06 04:23:01 UTC;-1;6.25;0.00;4.59;6.15;0.15;82.86
max;60;2021-10-06 04:24:01 UTC;-1;6.22;0.01;4.80;7.23;0.19;81.55
max;60;2021-10-06 04:25:01 UTC;-1;6.03;0.00;4.68;7.02;0.13;82.14
max;60;2021-10-06 04:26:01 UTC;-1;6.20;0.00;4.74;6.27;0.22;82.56
max;60;2021-10-06 04:27:01 UTC;-1;6.10;0.00;4.62;7.46;0.12;81.70
max;60;2021-10-06 04:28:01 UTC;-1;6.27;0.01;4.63;7.23;0.18;81.68
max;60;2021-10-06 04:29:01 UTC;-1;6.87;0.00;4.66;7.77;0.15;80.55
max;60;2021-10-06 04:30:01 UTC;-1;6.73;0.01;4.93;5.83;0.18;82.31
max;60;2021-10-06 04:31:01 UTC;-1;6.77;0.00;4.59;6.41;0.14;82.08
max;60;2021-10-06 04:32:01 UTC;-1;6.57;0.01;4.67;7.02;0.18;81.55
max;60;2021-10-06 04:33:01 UTC;-1;6.80;0.00;4.74;6.44;0.13;81.88
max;60;2021-10-06 04:34:01 UTC;-1;7.64;0.00;4.73;7.35;0.21;80.07
max;60;2021-10-06 04:35:01 UTC;-1;7.34;0.01;4.56;7.00;0.13;80.96
max;60;2021-10-06 04:36:01 UTC;-1;7.74;0.00;5.43;5.93;0.20;80.68
max;60;2021-10-06 04:37:02 UTC;-1;7.33;0.01;5.21;7.03;0.15;80.27
max;59;2021-10-06 04:38:01 UTC;-1;7.38;0.00;5.35;6.46;0.22;80.58
max;60;2021-10-06 04:39:01 UTC;-1;7.71;0.01;5.30;5.69;0.14;81.14
max;60;2021-10-06 04:40:01 UTC;-1;7.50;0.00;5.69;6.09;0.24;80.48
max;60;2021-10-06 04:41:01 UTC;-1;7.66;0.00;5.39;5.74;0.15;81.05
max;60;2021-10-06 04:42:01 UTC;-1;7.69;0.00;5.36;5.92;0.25;80.78
max;60;2021-10-06 04:43:01 UTC;-1;7.58;0.02;5.13;5.23;0.16;81.89
max;60;2021-10-06 04:44:01 UTC;-1;7.69;0.00;5.05;6.63;0.15;80.48
max;60;2021-10-06 04:45:01 UTC;-1;7.49;0.00;5.44;6.12;0.14;80.80
max;60;2021-10-06 04:46:01 UTC;-1;7.54;0.00;5.15;5.04;0.22;82.04
max;60;2021-10-06 04:47:01 UTC;-1;7.55;0.01;5.10;5.76;0.14;81.43
max;60;2021-10-06 04:48:01 UTC;-1;7.51;0.01;5.56;5.60;0.25;81.07
max;60;2021-10-06 04:49:01 UTC;-1;7.22;0.00;5.30;7.08;0.16;80.23
max;60;2021-10-06 04:50:01 UTC;-1;7.48;0.01;5.49;6.94;0.19;79.90
max;60;2021-10-06 04:51:01 UTC;-1;7.45;0.00;5.45;7.16;0.15;79.80
max;60;2021-10-06 04:52:01 UTC;-1;7.53;0.01;5.45;7.13;0.18;79.71
max;60;2021-10-06 04:53:01 UTC;-1;7.32;0.00;5.47;7.17;0.16;79.87
max;60;2021-10-06 04:54:01 UTC;-1;6.66;0.00;5.19;7.90;0.18;80.07
max;60;2021-10-06 04:55:01 UTC;-1;6.52;0.01;5.13;8.56;0.14;79.64
max;60;2021-10-06 04:56:01 UTC;-1;6.95;0.00;5.66;7.31;0.25;79.82
max;60;2021-10-06 04:57:01 UTC;-1;7.20;0.01;5.65;7.84;0.18;79.12
max;60;2021-10-06 04:58:01 UTC;-1;7.30;0.00;5.47;7.52;0.23;79.47
max;60;2021-10-06 04:59:01 UTC;-1;7.43;0.00;5.33;7.77;0.15;79.32
max;60;2021-10-06 05:00:01 UTC;-1;7.38;0.01;5.44;7.65;0.21;79.32
max;60;2021-10-06 05:01:01 UTC;-1;7.12;0.00;5.38;10.00;0.16;77.34
max;60;2021-10-06 05:02:01 UTC;-1;7.01;0.00;5.48;7.49;0.20;79.82
max;60;2021-10-06 05:03:01 UTC;-1;7.47;0.00;5.70;9.01;0.14;77.68
max;60;2021-10-06 05:04:01 UTC;-1;7.43;0.01;5.50;9.01;0.24;77.80
max;60;2021-10-06 05:05:01 UTC;-1;7.11;0.00;5.21;8.56;0.16;78.96
max;60;2021-10-06 05:06:01 UTC;-1;7.36;0.00;5.41;9.11;0.22;77.89
max;60;2021-10-06 05:07:01 UTC;-1;7.82;0.01;6.06;7.65;0.18;78.28
max;60;2021-10-06 05:08:01 UTC;-1;7.91;0.00;6.34;7.45;0.20;78.10
max;60;2021-10-06 05:09:01 UTC;-1;6.81;0.01;5.36;8.58;0.14;79.10
max;60;2021-10-06 05:10:01 UTC;-1;6.54;0.01;5.37;8.47;0.14;79.46
max;60;2021-10-06 05:11:01 UTC;-1;6.81;0.00;5.48;7.68;0.14;79.90
max;60;2021-10-06 05:12:01 UTC;-1;6.56;0.00;5.31;8.16;0.17;79.79
max;60;2021-10-06 05:13:01 UTC;-1;6.54;0.00;5.45;8.57;0.12;79.31
max;60;2021-10-06 05:14:01 UTC;-1;7.04;0.01;5.40;7.46;0.20;79.89
max;60;2021-10-06 05:15:01 UTC;-1;6.79;0.00;5.34;7.62;0.14;80.10
max;60;2021-10-06 05:16:01 UTC;-1;6.77;0.01;5.49;8.05;0.19;79.50
max;60;2021-10-06 05:17:01 UTC;-1;6.76;0.00;5.42;7.74;0.13;79.94
max;60;2021-10-06 05:18:01 UTC;-1;6.61;0.01;5.34;8.93;0.19;78.92
max;60;2021-10-06 05:19:01 UTC;-1;6.63;0.01;5.30;9.02;0.17;78.87
max;60;2021-10-06 05:20:01 UTC;-1;6.90;0.00;5.39;9.76;0.19;77.76
max;60;2021-10-06 05:21:02 UTC;-1;7.16;0.02;5.21;8.74;0.14;78.73
max;59;2021-10-06 05:22:01 UTC;-1;7.24;0.01;5.19;8.28;0.22;79.07
max;60;2021-10-06 05:23:01 UTC;-1;7.36;0.01;5.19;8.10;0.16;79.19
max;60;2021-10-06 05:24:01 UTC;-1;7.44;0.00;5.11;11.27;0.23;75.95
max;60;2021-10-06 05:25:01 UTC;-1;7.45;0.01;5.41;9.54;0.15;77.43
max;60;2021-10-06 05:26:01 UTC;-1;7.50;0.00;5.59;6.93;0.21;79.78
max;60;2021-10-06 05:27:01 UTC;-1;7.56;0.01;5.61;6.63;0.16;80.03
max;60;2021-10-06 05:28:01 UTC;-1;7.28;0.00;5.42;6.90;0.18;80.22
max;60;2021-10-06 05:29:01 UTC;-1;7.44;0.00;5.45;6.57;0.16;80.37
max;60;2021-10-06 05:30:01 UTC;-1;7.56;0.00;5.42;6.69;0.18;80.15
max;60;2021-10-06 05:31:01 UTC;-1;7.04;0.00;5.29;7.98;0.18;79.52
max;60;2021-10-06 05:32:01 UTC;-1;7.06;0.00;5.10;6.45;0.17;81.22
max;60;2021-10-06 05:33:01 UTC;-1;7.24;0.01;5.30;6.96;0.14;80.35
max;60;2021-10-06 05:34:01 UTC;-1;7.43;0.01;5.76;7.16;0.17;79.48
max;60;2021-10-06 05:35:01 UTC;-1;7.38;0.00;5.35;6.08;0.15;81.04
max;60;2021-10-06 05:36:01 UTC;-1;7.14;0.01;5.23;6.78;0.19;80.66
max;60;2021-10-06 05:37:01 UTC;-1;7.22;0.00;5.31;5.82;0.15;81.49
max;60;2021-10-06 05:38:01 UTC;-1;7.45;0.00;5.24;6.75;0.25;80.31
max;60;2021-10-06 05:39:01 UTC;-1;7.81;0.00;5.47;6.43;0.15;80.14
max;60;2021-10-06 05:40:01 UTC;-1;7.61;0.01;5.29;7.81;0.17;79.11
max;60;2021-10-06 05:41:01 UTC;-1;7.97;0.00;5.22;6.84;0.13;79.83
max;60;2021-10-06 05:42:01 UTC;-1;7.52;0.00;5.20;7.15;0.22;79.90
max;60;2021-10-06 05:43:01 UTC;-1;7.73;0.00;5.11;6.22;0.17;80.77
max;60;2021-10-06 05:44:01 UTC;-1;7.74;0.01;5.19;7.68;0.17;79.21
max;60;2021-10-06 05:45:01 UTC;-1;7.56;0.01;5.17;6.02;0.13;81.10
max;60;2021-10-06 05:46:01 UTC;-1;7.60;0.00;5.58;6.68;0.21;79.93
max;60;2021-10-06 05:47:01 UTC;-1;7.60;0.00;5.24;6.80;0.15;80.20
max;60;2021-10-06 05:48:01 UTC;-1;7.69;0.02;5.06;6.78;0.19;80.26
max;60;2021-10-06 05:49:01 UTC;-1;7.67;0.00;6.01;6.76;0.13;79.43
max;60;2021-10-06 05:50:01 UTC;-1;7.79;0.02;5.69;7.21;0.22;79.07
max;60;2021-10-06 05:51:01 UTC;-1;8.09;0.00;5.29;6.64;0.16;79.82
max;60;2021-10-06 05:52:01 UTC;-1;7.59;0.00;5.33;6.22;0.20;80.67
max;60;2021-10-06 05:53:01 UTC;-1;7.70;0.01;5.36;7.33;0.16;79.44
max;60;2021-10-06 05:54:01 UTC;-1;7.05;0.00;5.53;6.48;0.20;80.73
max;60;2021-10-06 05:55:01 UTC;-1;7.16;0.01;5.40;6.53;0.14;80.76
max;60;2021-10-06 05:56:01 UTC;-1;7.11;0.01;5.45;5.34;0.20;81.88
max;60;2021-10-06 05:57:01 UTC;-1;7.16;0.00;5.23;6.26;0.14;81.21
max;60;2021-10-06 05:58:01 UTC;-1;7.08;0.00;5.31;7.57;0.15;79.89
max;60;2021-10-06 05:59:01 UTC;-1;7.28;0.02;5.13;6.01;0.16;81.42
max;60;2021-10-06 06:00:01 UTC;-1;7.25;0.00;5.48;9.10;0.24;77.93
max;60;2021-10-06 06:01:01 UTC;-1;7.07;0.01;5.12;7.67;0.13;80.01
max;60;2021-10-06 06:02:01 UTC;-1;6.97;0.00;4.91;5.73;0.18;82.21
max;60;2021-10-06 06:03:01 UTC;-1;6.97;0.01;4.93;5.77;0.14;82.19
max;60;2021-10-06 06:04:01 UTC;-1;7.18;0.01;5.43;6.60;0.15;80.62
max;60;2021-10-06 06:05:01 UTC;-1;7.25;0.00;5.55;5.77;0.14;81.29
max;60;2021-10-06 06:06:01 UTC;-1;7.21;0.01;5.57;6.83;0.22;80.15
max;60;2021-10-06 06:07:01 UTC;-1;7.48;0.01;5.37;6.10;0.16;80.87
max;60;2021-10-06 06:08:01 UTC;-1;7.20;0.00;5.49;6.53;0.22;80.56
max;60;2021-10-06 06:09:01 UTC;-1;6.89;0.00;5.41;7.08;0.15;80.46
max;60;2021-10-06 06:10:01 UTC;-1;7.06;0.00;5.33;5.97;0.18;81.46
max;60;2021-10-06 06:11:01 UTC;-1;7.50;0.01;5.25;6.14;0.15;80.95
max;60;2021-10-06 06:12:01 UTC;-1;6.83;0.01;4.99;7.13;0.21;80.83
max;60;2021-10-06 06:13:01 UTC;-1;7.09;0.01;5.00;6.73;0.15;81.02
max;60;2021-10-06 06:14:01 UTC;-1;7.56;0.00;5.20;6.59;0.14;80.50
max;60;2021-10-06 06:15:01 UTC;-1;7.70;0.00;5.53;6.44;0.15;80.17
max;60;2021-10-06 06:16:02 UTC;-1;7.87;0.02;5.52;6.54;0.20;79.86
max;59;2021-10-06 06:17:01 UTC;-1;7.51;0.00;5.58;7.75;0.17;78.99
max;60;2021-10-06 06:18:01 UTC;-1;6.80;0.00;5.39;7.45;0.25;80.11
max;60;2021-10-06 06:19:01 UTC;-1;6.70;0.00;5.48;7.27;0.14;80.40
max;60;2021-10-06 06:20:01 UTC;-1;6.78;0.00;5.55;9.20;0.22;78.25
max;60;2021-10-06 06:21:01 UTC;-1;6.80;0.01;5.75;6.22;0.14;81.09
max;60;2021-10-06 06:22:01 UTC;-1;6.72;0.01;5.65;5.73;0.24;81.66
max;60;2021-10-06 06:23:01 UTC;-1;6.50;0.01;5.36;6.58;0.15;81.40
max;60;2021-10-06 06:24:01 UTC;-1;6.64;0.00;5.00;5.96;0.21;82.18
max;60;2021-10-06 06:25:01 UTC;-1;5.91;0.00;4.75;5.72;0.14;83.48
max;61;2021-10-06 06:26:01 UTC;-1;6.47;0.01;4.85;6.64;0.16;81.87
max;60;2021-10-06 06:27:01 UTC;-1;6.43;0.00;4.65;6.36;0.14;82.41
max;60;2021-10-06 06:28:01 UTC;-1;6.78;0.00;4.62;6.24;0.17;82.20
max;60;2021-10-06 06:29:01 UTC;-1;6.57;0.00;4.87;7.03;0.15;81.38
max;60;2021-10-06 06:30:01 UTC;-1;7.00;0.00;4.72;6.62;0.18;81.47
max;60;2021-10-06 06:31:01 UTC;-1;6.56;0.00;4.75;6.13;0.13;82.44
max;60;2021-10-06 06:32:01 UTC;-1;7.01;0.00;4.77;6.34;0.19;81.69
max;60;2021-10-06 06:33:01 UTC;-1;6.84;0.01;4.44;6.73;0.15;81.84
max;60;2021-10-06 06:34:01 UTC;-1;6.64;0.01;4.75;8.23;0.18;80.19
max;60;2021-10-06 06:35:01 UTC;-1;6.64;0.00;4.48;7.06;0.14;81.68
max;60;2021-10-06 06:36:01 UTC;-1;6.80;0.01;4.70;7.27;0.18;81.05
max;60;2021-10-06 06:37:01 UTC;-1;6.50;0.00;4.75;7.05;0.12;81.57
max;60;2021-10-06 06:38:02 UTC;-1;6.57;0.02;4.77;8.40;0.22;80.02
max;59;2021-10-06 06:39:01 UTC;-1;6.64;0.00;4.66;8.12;0.12;80.45
max;60;2021-10-06 06:40:01 UTC;-1;6.34;0.01;4.77;8.47;0.19;80.22
max;60;2021-10-06 06:41:01 UTC;-1;6.67;0.01;5.15;8.47;0.17;79.54
max;60;2021-10-06 06:42:01 UTC;-1;6.68;0.01;5.42;8.68;0.23;78.98
max;60;2021-10-06 06:43:01 UTC;-1;6.44;0.00;4.92;7.67;0.15;80.81
max;60;2021-10-06 06:44:01 UTC;-1;7.64;0.01;4.81;7.49;0.20;79.85
max;60;2021-10-06 06:45:01 UTC;-1;7.41;0.01;4.62;7.76;0.15;80.05
max;60;2021-10-06 06:46:01 UTC;-1;7.44;0.00;4.68;7.93;0.21;79.74
max;60;2021-10-06 06:47:01 UTC;-1;7.23;0.00;4.66;7.66;0.14;80.32
max;60;2021-10-06 06:48:01 UTC;-1;7.23;0.01;4.62;8.55;0.19;79.38
max;60;2021-10-06 06:49:01 UTC;-1;8.01;0.01;5.11;6.83;0.12;79.92
max;60;2021-10-06 06:50:01 UTC;-1;7.69;0.01;4.99;7.19;0.17;79.95
max;60;2021-10-06 06:51:01 UTC;-1;7.60;0.00;4.95;7.02;0.12;80.31
max;60;2021-10-06 06:52:01 UTC;-1;7.72;0.01;5.39;7.50;0.19;79.19
max;60;2021-10-06 06:53:01 UTC;-1;7.57;0.00;5.31;6.42;0.14;80.56
max;60;2021-10-06 06:54:01 UTC;-1;8.12;0.00;5.51;6.34;0.23;79.80
max;60;2021-10-06 06:55:01 UTC;-1;8.23;0.00;5.91;8.37;0.16;77.33
max;60;2021-10-06 06:56:01 UTC;-1;7.94;0.00;5.23;6.70;0.28;79.85
max;60;2021-10-06 06:57:01 UTC;-1;8.00;0.01;5.11;6.67;0.13;80.09
max;60;2021-10-06 06:58:01 UTC;-1;7.96;0.00;5.23;6.66;0.25;79.90
max;60;2021-10-06 06:59:01 UTC;-1;7.00;0.01;5.58;5.86;0.15;81.40
max;60;2021-10-06 07:00:01 UTC;-1;6.68;0.00;5.09;7.77;0.14;80.31
max;60;2021-10-06 07:01:01 UTC;-1;6.23;0.00;4.92;7.18;0.12;81.55
max;60;2021-10-06 07:02:01 UTC;-1;6.71;0.01;5.07;6.20;0.18;81.84
max;60;2021-10-06 07:03:01 UTC;-1;6.54;0.01;5.37;6.41;0.15;81.51
max;60;2021-10-06 07:04:01 UTC;-1;6.45;0.00;4.97;7.17;0.17;81.24
max;60;2021-10-06 07:05:01 UTC;-1;6.65;0.00;5.29;6.63;0.16;81.26
max;60;2021-10-06 07:06:01 UTC;-1;6.69;0.00;5.14;7.33;0.17;80.66
max;60;2021-10-06 07:07:01 UTC;-1;6.85;0.01;5.13;6.98;0.19;80.84
max;60;2021-10-06 07:08:01 UTC;-1;6.01;0.00;4.98;7.03;0.17;81.80
max;60;2021-10-06 07:09:01 UTC;-1;5.76;0.00;4.95;7.02;0.13;82.14
max;60;2021-10-06 07:10:01 UTC;-1;5.89;0.01;5.31;6.89;0.17;81.73
max;60;2021-10-06 07:11:01 UTC;-1;5.99;0.00;5.91;5.90;0.16;82.03
max;60;2021-10-06 07:12:01 UTC;-1;6.54;0.01;5.89;5.53;0.18;81.85
max;60;2021-10-06 07:13:01 UTC;-1;6.12;0.01;5.67;6.45;0.14;81.61
max;60;2021-10-06 07:14:01 UTC;-1;6.54;0.00;5.20;6.64;0.18;81.44
max;60;2021-10-06 07:15:01 UTC;-1;6.65;0.01;5.22;6.52;0.15;81.45
max;60;2021-10-06 07:16:01 UTC;-1;6.53;0.01;5.08;6.08;0.23;82.07
max;60;2021-10-06 07:17:01 UTC;-1;6.52;0.00;5.14;6.69;0.16;81.49
max;60;2021-10-06 07:18:01 UTC;-1;6.52;0.01;5.33;6.34;0.22;81.58
max;60;2021-10-06 07:19:01 UTC;-1;5.93;0.00;5.02;6.94;0.14;81.97
max;60;2021-10-06 07:20:01 UTC;-1;5.88;0.02;5.23;6.48;0.18;82.22
max;60;2021-10-06 07:21:01 UTC;-1;5.68;0.01;5.10;5.95;0.15;83.11
max;60;2021-10-06 07:22:01 UTC;-1;5.93;0.00;5.07;7.49;0.25;81.25
max;60;2021-10-06 07:23:01 UTC;-1;5.74;0.00;5.10;7.75;0.16;81.26
max;60;2021-10-06 07:24:02 UTC;-1;6.14;0.01;5.12;7.16;0.15;81.42
max;59;2021-10-06 07:25:01 UTC;-1;5.77;0.01;4.87;6.01;0.14;83.21
max;60;2021-10-06 07:26:01 UTC;-1;5.74;0.01;5.05;7.08;0.17;81.95
max;60;2021-10-06 07:27:01 UTC;-1;5.61;0.01;5.22;6.58;0.13;82.44
max;60;2021-10-06 07:28:01 UTC;-1;5.77;0.00;5.03;5.85;0.16;83.19
max;60;2021-10-06 07:29:01 UTC;-1;6.65;0.00;5.26;5.71;0.13;82.24
max;60;2021-10-06 07:30:01 UTC;-1;6.70;0.01;5.31;6.65;0.23;81.10
max;60;2021-10-06 07:31:01 UTC;-1;6.51;0.01;5.24;6.79;0.13;81.32
max;60;2021-10-06 07:32:01 UTC;-1;6.61;0.00;5.39;6.45;0.22;81.33
max;60;2021-10-06 07:33:01 UTC;-1;6.55;0.00;5.05;7.41;0.17;80.82
max;60;2021-10-06 07:34:01 UTC;-1;6.48;0.01;5.04;6.25;0.19;82.02
max;60;2021-10-06 07:35:01 UTC;-1;6.43;0.01;4.83;6.86;0.14;81.73
max;60;2021-10-06 07:36:01 UTC;-1;6.33;0.00;4.83;6.48;0.19;82.16
max;60;2021-10-06 07:37:01 UTC;-1;6.47;0.00;4.81;6.44;0.14;82.14
