# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
ron;60;2021-10-06 02:51:01 UTC;139968;5899236;1344076;17.72;182612;5358044;5222320;63.00;2952872;3843228;1688
ron;60;2021-10-06 02:52:01 UTC;134860;5897460;1345744;17.74;182612;5361276;5223724;63.02;2954372;3846376;1272
ron;60;2021-10-06 02:53:01 UTC;131008;5897016;1346416;17.75;182612;5364548;5220284;62.98;2956216;3849468;1072
ron;60;2021-10-06 02:54:01 UTC;150064;5890316;1352432;17.83;182224;5340416;5221332;62.99;2954828;3831144;1400
ron;60;2021-10-06 02:55:01 UTC;149616;5863876;1378220;18.17;181832;5316084;5371588;64.81;2975800;3810840;1188
ron;60;2021-10-06 02:56:01 UTC;146960;5864824;1377560;18.16;181832;5319580;5223472;63.02;2975108;3814080;1044
ron;60;2021-10-06 02:57:01 UTC;140692;5862172;1379884;18.19;181832;5323080;5228168;63.07;2976588;3817216;1608
ron;60;2021-10-06 02:58:01 UTC;134536;5859444;1382660;18.23;181832;5326404;5227240;63.06;2980716;3820452;1564
ron;60;2021-10-06 02:59:01 UTC;150496;5852716;1388816;18.31;181440;5305152;5223092;63.01;2985092;3800368;1344
ron;60;2021-10-06 03:00:01 UTC;156068;5830832;1409372;18.58;180840;5280292;5298572;63.92;3011728;3769996;1708
ron;60;2021-10-06 03:01:01 UTC;150492;5829072;1411312;18.61;180840;5283816;5308656;64.05;3013716;3773372;1436
ron;60;2021-10-06 03:02:01 UTC;146504;5828780;1411996;18.62;180840;5287160;5304488;64.00;3014504;3776744;1084
ron;60;2021-10-06 03:03:01 UTC;140160;5825988;1414756;18.65;180844;5290600;5310916;64.07;3015868;3779912;920
ron;60;2021-10-06 03:04:01 UTC;135652;5825008;1415992;18.67;180844;5293924;5310788;64.07;3017400;3783088;704
ron;60;2021-10-06 03:05:01 UTC;129796;5822420;1418652;18.70;180844;5297116;5313620;64.11;3020008;3786096;1276
ron;60;2021-10-06 03:06:01 UTC;137740;5819352;1421132;18.74;180356;5287384;5310336;64.07;3020384;3778956;1140
ron;60;2021-10-06 03:07:01 UTC;133912;5818720;1421780;18.74;180356;5290460;5311068;64.07;3022356;3781892;1228
ron;60;2021-10-06 03:08:01 UTC;147328;5807644;1432204;18.88;180072;5267180;5311848;64.08;3024976;3764928;1068
ron;60;2021-10-06 03:09:01 UTC;140780;5804552;1435448;18.93;180072;5270516;5316148;64.14;3029232;3768068;1108
ron;60;2021-10-06 03:10:01 UTC;143660;5810712;1429152;18.84;180072;5273732;5307332;64.03;3022184;3771192;740
ron;60;2021-10-06 03:11:01 UTC;137864;5808400;1431532;18.87;180072;5277124;5305944;64.01;3025256;3774456;756
ron;60;2021-10-06 03:12:01 UTC;130384;5804312;1435876;18.93;180072;5280456;5305956;64.01;3029296;3777612;500
ron;60;2021-10-06 03:13:01 UTC;147748;5797392;1441908;19.01;179684;5257528;5305628;64.01;3027248;3760692;492
ron;60;2021-10-06 03:14:01 UTC;142032;5795244;1444188;19.04;179684;5260904;5306108;64.02;3030496;3763740;1736
