# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle[...]
george;184467440737095516;2021-09-21 00:00:01 UTC;-1;0.00;0.00;0.00;0.05;0.00;99.95
george;60;2021-09-21 00:01:01 UTC;-1;0.16;0.00;0.12;0.28;0.00;99.45
george;60;2021-09-21 00:02:01 UTC;-1;0.19;0.00;0.13;0.11;0.00;99.57
george;60;2021-09-21 00:03:01 UTC;-1;0.18;0.00;0.13;0.36;0.00;99.34
george;60;2021-09-21 00:04:01 UTC;-1;0.17;0.00;0.13;0.17;0.02;99.52
george;60;2021-09-21 00:05:01 UTC;-1;0.18;0.00;0.12;0.14;0.00;99.56
george;60;2021-09-21 00:06:01 UTC;-1;0.18;0.00;0.11;0.17;0.00;99.53
george;60;2021-09-21 00:07:01 UTC;-1;0.16;0.00;0.14;0.18;0.00;99.53
george;60;2021-09-21 00:08:01 UTC;-1;0.18;0.00;0.13;0.18;0.00;99.50
george;60;2021-09-21 00:09:01 UTC;-1;0.15;0.00;0.12;0.17;0.01;99.55
george;60;2021-09-21 00:10:01 UTC;-1;0.18;0.00;0.13;0.20;0.01;99.48
george;60;2021-09-21 00:11:01 UTC;-1;0.16;0.00;0.14;0.26;0.00;99.45
george;60;2021-09-21 00:12:01 UTC;-1;0.18;0.00;0.13;0.15;0.02;99.53
george;60;2021-09-21 00:13:01 UTC;-1;0.17;0.00;0.11;0.12;0.00;99.60
george;60;2021-09-21 00:14:01 UTC;-1;0.19;0.00;0.12;0.19;0.00;99.49
george;60;2021-09-21 00:15:01 UTC;-1;0.19;0.00;0.11;0.35;0.01;99.35
george;60;2021-09-21 00:16:01 UTC;-1;0.18;0.00;0.11;0.17;0.00;99.54
george;60;2021-09-21 00:17:01 UTC;-1;0.18;0.00;0.13;0.41;0.01;99.27
george;60;2021-09-21 00:18:01 UTC;-1;0.15;0.00;0.14;0.29;0.00;99.42
george;60;2021-09-21 00:19:01 UTC;-1;0.17;0.00;0.13;0.18;0.01;99.51
george;60;2021-09-21 00:20:01 UTC;-1;0.17;0.00;0.15;0.31;0.00;99.37
george;60;2021-09-21 00:21:01 UTC;-1;0.18;0.00;0.12;0.26;0.00;99.44
george;60;2021-09-21 00:22:01 UTC;-1;0.17;0.00;0.13;0.36;0.01;99.33
george;60;2021-09-21 00:23:01 UTC;-1;0.15;0.00;0.15;0.26;0.01;99.42
george;60;2021-09-21 00:24:01 UTC;-1;0.18;0.00;0.11;0.24;0.02;99.45
george;60;2021-09-21 00:25:01 UTC;-1;0.15;0.00;0.13;0.29;0.00;99.43
george;60;2021-09-21 00:26:01 UTC;-1;0.19;0.00;0.13;0.14;0.00;99.54
george;60;2021-09-21 00:27:01 UTC;-1;0.19;0.00;0.11;0.19;0.01;99.49
george;60;2021-09-21 00:28:01 UTC;-1;0.18;0.00;0.12;0.17;0.00;99.54
george;60;2021-09-21 00:29:01 UTC;-1;0.18;0.00;0.11;0.21;0.00;99.49
george;60;2021-09-21 00:30:01 UTC;-1;0.18;0.00;0.12;0.18;0.00;99.52
george;60;2021-09-21 00:31:01 UTC;-1;0.17;0.00;0.13;0.22;0.00;99.48
george;60;2021-09-21 00:32:01 UTC;-1;0.16;0.00;0.13;0.23;0.01;99.47
george;60;2021-09-21 00:33:01 UTC;-1;0.16;0.00;0.12;0.16;0.00;99.56
george;60;2021-09-21 00:34:01 UTC;-1;0.16;0.00;0.14;0.18;0.02;99.50
george;60;2021-09-21 00:35:01 UTC;-1;0.18;0.00;0.13;0.26;0.00;99.43
george;60;2021-09-21 00:36:01 UTC;-1;0.17;0.00;0.11;0.17;0.00;99.55
george;60;2021-09-21 00:37:01 UTC;-1;0.17;0.00;0.14;0.16;0.01;99.52
george;60;2021-09-21 00:38:01 UTC;-1;0.20;0.00;0.13;0.29;0.00;99.38
george;60;2021-09-21 00:39:01 UTC;-1;0.15;0.00;0.14;0.19;0.01;99.50
george;60;2021-09-21 00:40:01 UTC;-1;0.22;0.00;0.11;0.20;0.00;99.47
george;60;2021-09-21 00:41:01 UTC;-1;0.17;0.00;0.11;0.25;0.01;99.46
george;60;2021-09-21 00:42:01 UTC;-1;0.20;0.00;0.13;0.25;0.01;99.42
george;60;2021-09-21 00:43:01 UTC;-1;0.19;0.00;0.11;0.28;0.00;99.41
george;60;2021-09-21 00:44:01 UTC;-1;0.19;0.00;0.14;0.28;0.00;99.39
george;60;2021-09-21 00:45:01 UTC;-1;0.15;0.00;0.14;0.18;0.01;99.52
george;60;2021-09-21 00:46:01 UTC;-1;0.17;0.00;0.13;0.38;0.01;99.32
george;60;2021-09-21 00:47:02 UTC;-1;0.18;0.00;0.14;0.20;0.00;99.48
george;59;2021-09-21 00:48:01 UTC;-1;0.17;0.00;0.13;0.24;0.00;99.46
george;60;2021-09-21 00:49:01 UTC;-1;0.17;0.00;0.14;0.25;0.01;99.43
george;60;2021-09-21 00:50:01 UTC;-1;0.17;0.00;0.14;0.28;0.00;99.41
george;60;2021-09-21 00:51:01 UTC;-1;0.19;0.00;0.12;0.15;0.01;99.52
george;60;2021-09-21 00:52:01 UTC;-1;0.18;0.00;0.14;0.28;0.00;99.41
george;60;2021-09-21 00:53:01 UTC;-1;0.21;0.00;0.12;0.24;0.00;99.43
george;60;2021-09-21 00:54:01 UTC;-1;0.17;0.00;0.13;0.24;0.01;99.45
george;60;2021-09-21 00:55:01 UTC;-1;0.18;0.00;0.17;0.23;0.00;99.42
george;60;2021-09-21 00:56:01 UTC;-1;0.17;0.00;0.15;0.27;0.00;99.42
george;60;2021-09-21 00:57:01 UTC;-1;0.19;0.00;0.14;0.27;0.01;99.40
george;60;2021-09-21 00:58:01 UTC;-1;0.17;0.00;0.13;0.29;0.01;99.40
george;60;2021-09-21 00:59:01 UTC;-1;0.19;0.00;0.11;0.48;0.01;99.22
george;60;2021-09-21 01:00:01 UTC;-1;0.18;0.00;0.14;0.25;0.01;99.42
george;60;2021-09-21 01:01:01 UTC;-1;0.19;0.00;0.15;0.19;0.00;99.47
