# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle[...]
george;60;2021-09-18 18:14:01 UTC;-1;0.18;0.00;0.12;0.43;0.00;99.27
george;60;2021-09-18 18:15:01 UTC;-1;0.20;0.00;0.16;0.30;0.01;99.33
george;60;2021-09-18 18:16:01 UTC;-1;0.16;0.00;0.13;0.21;0.00;99.51
george;60;2021-09-18 18:17:01 UTC;-1;0.16;0.00;0.13;0.26;0.01;99.43
george;60;2021-09-18 18:18:01 UTC;-1;0.16;0.00;0.12;0.29;0.01;99.43
george;60;2021-09-18 18:19:01 UTC;-1;0.15;0.00;0.12;0.29;0.00;99.45
george;60;2021-09-18 18:20:01 UTC;-1;0.15;0.00;0.13;0.24;0.00;99.49
george;60;2021-09-18 18:21:01 UTC;-1;0.15;0.00;0.13;0.24;0.00;99.48
george;60;2021-09-18 18:22:01 UTC;-1;0.18;0.00;0.10;0.36;0.00;99.36
george;60;2021-09-18 18:23:01 UTC;-1;0.15;0.00;0.10;0.28;0.00;99.46
george;60;2021-09-18 18:24:01 UTC;-1;0.15;0.00;0.12;0.36;0.00;99.37
george;60;2021-09-18 18:25:01 UTC;-1;0.16;0.00;0.12;0.25;0.01;99.46
george;60;2021-09-18 18:26:01 UTC;-1;0.15;0.00;0.12;0.28;0.00;99.45
george;60;2021-09-18 18:27:01 UTC;-1;0.15;0.00;0.09;0.23;0.00;99.52
george;60;2021-09-18 18:28:01 UTC;-1;0.16;0.00;0.10;0.23;0.00;99.51
george;60;2021-09-18 18:29:01 UTC;-1;0.16;0.00;0.13;0.32;0.00;99.39
george;60;2021-09-18 18:30:01 UTC;-1;0.16;0.00;0.10;0.27;0.00;99.46
george;60;2021-09-18 18:31:01 UTC;-1;0.15;0.00;0.12;0.27;0.00;99.46
george;60;2021-09-18 18:32:01 UTC;-1;0.18;0.00;0.12;0.23;0.00;99.47
george;60;2021-09-18 18:33:01 UTC;-1;0.18;0.00;0.12;0.29;0.00;99.41
george;60;2021-09-18 18:34:01 UTC;-1;0.17;0.00;0.08;0.32;0.00;99.43
george;60;2021-09-18 18:35:01 UTC;-1;0.15;0.00;0.13;0.35;0.00;99.36
george;60;2021-09-18 18:36:01 UTC;-1;0.16;0.00;0.10;0.40;0.00;99.34
george;60;2021-09-18 18:37:01 UTC;-1;0.15;0.00;0.13;0.23;0.00;99.49
george;60;2021-09-18 18:38:01 UTC;-1;0.17;0.00;0.08;0.23;0.00;99.52
george;60;2021-09-18 18:39:01 UTC;-1;0.15;0.00;0.11;0.25;0.01;99.47
george;60;2021-09-18 18:40:01 UTC;-1;0.17;0.00;0.11;0.26;0.00;99.46
george;60;2021-09-18 18:41:01 UTC;-1;0.16;0.00;0.12;0.23;0.00;99.49
george;60;2021-09-18 18:42:01 UTC;-1;0.16;0.00;0.08;0.45;0.00;99.32
george;60;2021-09-18 18:43:01 UTC;-1;0.13;0.00;0.13;0.20;0.00;99.52
george;60;2021-09-18 18:44:01 UTC;-1;0.18;0.00;0.12;0.36;0.01;99.32
george;60;2021-09-18 18:45:01 UTC;-1;0.15;0.00;0.11;0.22;0.01;99.51
george;60;2021-09-18 18:46:01 UTC;-1;0.17;0.00;0.07;0.52;0.00;99.24
george;60;2021-09-18 18:47:01 UTC;-1;0.15;0.00;0.12;0.32;0.00;99.40
george;60;2021-09-18 18:48:01 UTC;-1;0.17;0.00;0.12;0.23;0.00;99.48
george;60;2021-09-18 18:49:01 UTC;-1;0.16;0.00;0.10;0.67;0.00;99.07
george;60;2021-09-18 18:50:01 UTC;-1;0.14;0.00;0.12;0.14;0.00;99.60
george;59;2021-09-18 18:51:01 UTC;-1;0.17;0.00;0.12;0.16;0.00;99.55
george;60;2021-09-18 18:52:01 UTC;-1;0.18;0.00;0.12;0.24;0.00;99.46
george;60;2021-09-18 18:53:01 UTC;-1;0.16;0.00;0.08;0.11;0.01;99.64
george;60;2021-09-18 18:54:01 UTC;-1;0.14;0.00;0.10;0.18;0.00;99.57
george;60;2021-09-18 18:55:01 UTC;-1;0.16;0.00;0.10;0.17;0.01;99.56
george;60;2021-09-18 18:56:01 UTC;-1;0.18;0.00;0.12;0.16;0.00;99.54
george;60;2021-09-18 18:57:01 UTC;-1;0.16;0.00;0.10;0.12;0.00;99.62
george;60;2021-09-18 18:58:01 UTC;-1;0.16;0.00;0.11;0.17;0.01;99.55
george;60;2021-09-18 18:59:01 UTC;-1;0.15;0.00;0.13;0.17;0.01;99.55
george;60;2021-09-18 19:00:01 UTC;-1;0.15;0.00;0.11;0.18;0.00;99.56
george;60;2021-09-18 19:01:01 UTC;-1;0.14;0.00;0.09;0.12;0.00;99.65
george;60;2021-09-18 19:02:01 UTC;-1;0.16;0.00;0.10;0.17;0.00;99.57
george;60;2021-09-18 19:03:01 UTC;-1;0.16;0.00;0.13;0.17;0.00;99.53
george;60;2021-09-18 19:04:01 UTC;-1;0.18;0.00;0.09;0.56;0.00;99.16
george;60;2021-09-18 19:05:01 UTC;-1;0.18;0.00;0.13;0.12;0.00;99.57
george;60;2021-09-18 19:06:01 UTC;-1;0.16;0.00;0.10;0.15;0.01;99.57
george;60;2021-09-18 19:07:01 UTC;-1;0.17;0.00;0.10;0.20;0.01;99.52
george;60;2021-09-18 19:08:01 UTC;-1;0.17;0.00;0.09;0.29;0.00;99.45
george;60;2021-09-18 19:09:01 UTC;-1;0.16;0.00;0.10;0.11;0.00;99.62
george;60;2021-09-18 19:10:01 UTC;-1;0.14;0.00;0.12;0.23;0.00;99.51
george;60;2021-09-18 19:11:01 UTC;-1;0.18;0.00;0.12;0.19;0.00;99.51
george;60;2021-09-18 19:12:01 UTC;-1;0.15;0.00;0.10;0.20;0.00;99.55
george;60;2021-09-18 19:13:01 UTC;-1;0.15;0.00;0.09;0.18;0.00;99.58
george;60;2021-09-18 19:14:01 UTC;-1;0.16;0.00;0.11;0.38;0.00;99.34
george;60;2021-09-18 19:15:01 UTC;-1;0.18;0.00;0.11;0.20;0.01;99.50
george;60;2021-09-18 19:16:01 UTC;-1;0.16;0.00;0.11;0.13;0.00;99.60
george;60;2021-09-18 19:17:01 UTC;-1;0.15;0.00;0.11;0.19;0.01;99.55
george;60;2021-09-18 19:18:01 UTC;-1;0.15;0.00;0.12;0.19;0.00;99.54
george;60;2021-09-18 19:19:01 UTC;-1;0.18;0.00;0.12;0.17;0.00;99.53
george;60;2021-09-18 19:20:01 UTC;-1;0.16;0.00;0.10;0.12;0.00;99.62
george;60;2021-09-18 19:21:01 UTC;-1;0.15;0.00;0.10;0.25;0.00;99.50
george;60;2021-09-18 19:22:01 UTC;-1;0.16;0.00;0.13;0.25;0.00;99.47
george;60;2021-09-18 19:23:01 UTC;-1;0.17;0.00;0.11;0.33;0.00;99.40
george;60;2021-09-18 19:24:01 UTC;-1;0.15;0.00;0.10;0.30;0.00;99.45
george;60;2021-09-18 19:25:01 UTC;-1;0.14;0.00;0.13;0.27;0.00;99.47
george;60;2021-09-18 19:26:01 UTC;-1;0.18;0.00;0.11;0.25;0.00;99.46
george;60;2021-09-18 19:27:01 UTC;-1;0.17;0.00;0.09;0.24;0.00;99.50
george;60;2021-09-18 19:28:01 UTC;-1;0.15;0.00;0.10;0.40;0.00;99.35
george;60;2021-09-18 19:29:01 UTC;-1;0.15;0.00;0.11;0.38;0.01;99.35
george;60;2021-09-18 19:30:01 UTC;-1;0.17;0.00;0.11;0.36;0.00;99.36
george;60;2021-09-18 19:31:01 UTC;-1;0.15;0.00;0.11;0.29;0.00;99.45
george;60;2021-09-18 19:32:01 UTC;-1;0.15;0.00;0.10;0.19;0.00;99.57
george;60;2021-09-18 19:33:01 UTC;-1;0.15;0.00;0.11;0.30;0.01;99.43
george;60;2021-09-18 19:34:01 UTC;-1;0.18;0.00;0.10;0.14;0.01;99.57
george;60;2021-09-18 19:35:01 UTC;-1;0.14;0.00;0.11;0.18;0.00;99.57
george;60;2021-09-18 19:36:01 UTC;-1;0.15;0.00;0.10;0.20;0.00;99.55
george;60;2021-09-18 19:37:01 UTC;-1;0.15;0.00;0.12;0.28;0.00;99.46
george;60;2021-09-18 19:38:01 UTC;-1;0.18;0.00;0.09;0.26;0.00;99.46
george;60;2021-09-18 19:39:01 UTC;-1;0.14;0.00;0.12;0.22;0.00;99.52
george;60;2021-09-18 19:40:01 UTC;-1;0.15;0.00;0.12;0.27;0.00;99.46
george;60;2021-09-18 19:41:01 UTC;-1;0.16;0.00;0.13;0.23;0.00;99.49
george;60;2021-09-18 19:42:01 UTC;-1;0.16;0.00;0.11;0.30;0.01;99.42
george;60;2021-09-18 19:43:01 UTC;-1;0.17;0.00;0.10;0.22;0.00;99.51
george;60;2021-09-18 19:44:02 UTC;-1;0.15;0.00;0.11;0.21;0.01;99.52
george;59;2021-09-18 19:45:01 UTC;-1;0.17;0.00;0.12;0.30;0.00;99.42
