# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
george;60;2021-09-18 18:14:01 UTC;6054624;6846860;431136;5.68;55388;927340;937380;11.31;795332;570972;128
george;60;2021-09-18 18:15:01 UTC;6066660;6858888;423092;5.58;55444;927624;899868;10.86;787928;570856;152
george;60;2021-09-18 18:16:01 UTC;6066676;6859092;422848;5.57;55504;927756;904532;10.91;788040;570988;224
george;60;2021-09-18 18:17:01 UTC;6065612;6858212;423712;5.59;55556;927888;909020;10.97;788436;571120;156
george;60;2021-09-18 18:18:01 UTC;6065400;6858044;423520;5.58;55596;927896;914696;11.04;788208;571128;204
george;60;2021-09-18 18:19:01 UTC;6065352;6858044;423428;5.58;55640;927896;911300;10.99;788120;571128;208
george;60;2021-09-18 18:20:01 UTC;6065432;6858268;423404;5.58;55648;928032;908956;10.97;788200;571264;180
george;60;2021-09-18 18:21:01 UTC;6065360;6858240;423424;5.58;55692;928036;921444;11.12;788420;571268;212
george;60;2021-09-18 18:22:01 UTC;6065212;6858120;423372;5.58;55708;928040;910144;10.98;788356;571272;144
george;60;2021-09-18 18:23:01 UTC;6064856;6857944;423644;5.59;55752;928176;899216;10.85;788388;571408;204
george;60;2021-09-18 18:24:01 UTC;6065416;6858680;422936;5.58;55800;928308;903404;10.90;788460;571536;116
george;60;2021-09-18 18:25:01 UTC;6065512;6858940;422780;5.57;55832;928440;907944;10.95;788420;571668;112
george;60;2021-09-18 18:26:01 UTC;6065580;6859032;422732;5.57;55840;928448;896712;10.82;788404;571680;180
george;60;2021-09-18 18:27:01 UTC;6065488;6858972;422608;5.57;55860;928452;901200;10.87;788444;571684;128
george;60;2021-09-18 18:28:01 UTC;6065124;6858628;422916;5.58;55884;928460;905716;10.93;788528;571692;124
george;60;2021-09-18 18:29:01 UTC;6065432;6858984;422768;5.57;55916;928464;901892;10.88;788432;571692;120
george;60;2021-09-18 18:30:01 UTC;6065252;6858852;422888;5.58;55952;928468;906432;10.94;788620;571700;244
george;60;2021-09-18 18:31:01 UTC;6064700;6858464;423164;5.58;55984;928600;903248;10.90;788476;571832;172
george;60;2021-09-18 18:32:01 UTC;6064732;6858544;423028;5.58;56024;928604;907736;10.95;788572;571836;160
george;60;2021-09-18 18:33:01 UTC;6064716;6858564;423080;5.58;56048;928612;912252;11.01;788708;571844;280
george;60;2021-09-18 18:34:01 UTC;6065188;6859060;422664;5.57;56068;928616;900952;10.87;788764;571848;224
george;60;2021-09-18 18:35:01 UTC;6064968;6858952;422808;5.57;56112;928684;897732;10.83;788860;571916;224
george;60;2021-09-18 18:36:01 UTC;6064992;6859008;422760;5.57;56136;928692;902004;10.88;788728;571924;112
