# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle[...]
george;60;2021-09-20 07:36:01 UTC;-1;3.10;0.00;2.51;0.34;0.08;93.97
george;60;2021-09-20 07:37:01 UTC;-1;3.04;0.00;2.40;0.26;0.09;94.21
george;60;2021-09-20 07:38:01 UTC;-1;2.95;0.00;2.44;0.20;0.08;94.33
george;60;2021-09-20 07:39:01 UTC;-1;2.91;0.00;2.30;0.18;0.07;94.54
george;60;2021-09-20 07:40:01 UTC;-1;3.01;0.00;2.50;0.58;0.10;93.82
george;60;2021-09-20 07:41:01 UTC;-1;2.90;0.00;2.39;0.19;0.08;94.43
george;60;2021-09-20 07:42:01 UTC;-1;2.98;0.00;2.39;0.21;0.08;94.34
george;60;2021-09-20 07:43:01 UTC;-1;3.07;0.00;2.37;0.29;0.10;94.18
george;60;2021-09-20 07:44:01 UTC;-1;3.02;0.00;2.53;0.21;0.06;94.17
george;60;2021-09-20 07:45:01 UTC;-1;3.00;0.00;2.52;0.33;0.08;94.08
george;60;2021-09-20 07:46:01 UTC;-1;2.95;0.00;2.37;0.32;0.09;94.28
george;60;2021-09-20 07:47:01 UTC;-1;3.05;0.00;2.45;0.15;0.07;94.28
george;60;2021-09-20 07:48:01 UTC;-1;3.02;0.00;2.36;0.22;0.09;94.31
george;60;2021-09-20 07:49:01 UTC;-1;2.93;0.00;2.29;0.28;0.09;94.42
george;60;2021-09-20 07:50:02 UTC;-1;2.77;0.00;2.36;0.19;0.08;94.59
george;59;2021-09-20 07:51:01 UTC;-1;3.00;0.00;2.47;0.18;0.08;94.27
george;60;2021-09-20 07:52:01 UTC;-1;3.01;0.00;2.38;0.33;0.08;94.20
george;60;2021-09-20 07:53:01 UTC;-1;2.81;0.00;2.33;0.16;0.07;94.63
george;60;2021-09-20 07:54:01 UTC;-1;2.96;0.00;2.30;0.51;0.09;94.15
george;60;2021-09-20 07:55:01 UTC;-1;2.93;0.00;2.60;0.15;0.09;94.23
george;60;2021-09-20 07:56:01 UTC;-1;2.79;0.00;2.26;0.16;0.08;94.70
george;60;2021-09-20 07:57:01 UTC;-1;2.79;0.00;2.45;0.20;0.09;94.47
george;60;2021-09-20 07:58:01 UTC;-1;3.03;0.00;2.45;0.25;0.07;94.20
george;60;2021-09-20 07:59:01 UTC;-1;3.17;0.00;2.53;0.69;0.10;93.51
george;60;2021-09-20 08:00:01 UTC;-1;2.94;0.00;2.32;0.19;0.07;94.48
george;60;2021-09-20 08:01:01 UTC;-1;2.99;0.00;2.39;0.21;0.07;94.35
george;60;2021-09-20 08:02:01 UTC;-1;3.04;0.00;2.31;0.21;0.06;94.38
george;60;2021-09-20 08:03:01 UTC;-1;2.92;0.00;2.49;0.13;0.11;94.35
george;60;2021-09-20 08:04:01 UTC;-1;2.92;0.00;2.34;0.26;0.08;94.40
george;60;2021-09-20 08:05:01 UTC;-1;2.88;0.00;2.30;0.15;0.09;94.58
george;60;2021-09-20 08:06:01 UTC;-1;3.08;0.00;2.46;0.28;0.08;94.10
george;60;2021-09-20 08:07:01 UTC;-1;2.91;0.00;2.28;0.18;0.10;94.54
george;60;2021-09-20 08:08:01 UTC;-1;2.75;0.00;2.30;0.18;0.07;94.70
george;60;2021-09-20 08:09:01 UTC;-1;2.93;0.00;2.42;0.16;0.08;94.42
george;60;2021-09-20 08:10:01 UTC;-1;3.01;0.00;2.43;0.20;0.06;94.30
george;60;2021-09-20 08:11:01 UTC;-1;2.94;0.00;2.25;0.18;0.10;94.53
george;60;2021-09-20 08:12:01 UTC;-1;2.85;0.00;2.35;0.23;0.08;94.49
george;60;2021-09-20 08:13:01 UTC;-1;2.87;0.00;2.44;0.26;0.10;94.32
george;60;2021-09-20 08:14:01 UTC;-1;2.88;0.00;2.41;0.18;0.07;94.47
george;60;2021-09-20 08:15:01 UTC;-1;2.95;0.00;2.24;0.57;0.10;94.15
george;60;2021-09-20 08:16:01 UTC;-1;2.86;0.00;2.29;0.23;0.07;94.55
george;60;2021-09-20 08:17:01 UTC;-1;3.00;0.00;2.60;0.36;0.07;93.98
george;60;2021-09-20 08:18:01 UTC;-1;3.00;0.00;2.35;0.19;0.10;94.36
george;60;2021-09-20 08:19:01 UTC;-1;2.87;0.00;2.37;0.19;0.09;94.48
george;60;2021-09-20 08:20:01 UTC;-1;2.87;0.00;2.33;0.16;0.07;94.57
george;60;2021-09-20 08:21:01 UTC;-1;3.04;0.00;2.45;0.50;0.08;93.92
george;60;2021-09-20 08:22:01 UTC;-1;2.88;0.00;2.30;0.17;0.09;94.57
george;60;2021-09-20 08:23:01 UTC;-1;2.89;0.00;2.32;0.30;0.10;94.39
george;60;2021-09-20 08:24:01 UTC;-1;2.94;0.00;2.44;0.18;0.09;94.35
george;60;2021-09-20 08:25:01 UTC;-1;3.06;0.00;2.39;0.22;0.09;94.25
george;60;2021-09-20 08:26:01 UTC;-1;2.84;0.00;2.26;0.38;0.08;94.44
george;60;2021-09-20 08:27:01 UTC;-1;2.96;0.00;2.22;0.25;0.10;94.47
george;60;2021-09-20 08:28:01 UTC;-1;2.89;0.00;2.48;0.20;0.08;94.35
george;60;2021-09-20 08:29:01 UTC;-1;3.21;0.00;2.40;0.18;0.08;94.13
george;60;2021-09-20 08:30:01 UTC;-1;2.81;0.00;2.35;0.14;0.09;94.61
george;60;2021-09-20 08:31:01 UTC;-1;2.81;0.00;2.32;0.13;0.07;94.67
george;60;2021-09-20 08:32:01 UTC;-1;2.93;0.00;2.41;0.56;0.06;94.04
george;60;2021-09-20 08:33:01 UTC;-1;2.94;0.00;2.42;0.26;0.10;94.29
george;60;2021-09-20 08:34:01 UTC;-1;2.87;0.00;2.25;0.18;0.09;94.61
george;60;2021-09-20 08:35:01 UTC;-1;2.79;0.00;2.32;0.70;0.09;94.10
george;60;2021-09-20 08:36:02 UTC;-1;3.07;0.00;2.51;0.20;0.08;94.14
george;59;2021-09-20 08:37:01 UTC;-1;3.01;0.00;2.48;0.48;0.10;93.93
george;60;2021-09-20 08:38:01 UTC;-1;2.94;0.00;2.33;0.21;0.08;94.43
george;60;2021-09-20 08:39:01 UTC;-1;2.99;0.00;2.27;0.19;0.11;94.45
george;60;2021-09-20 08:40:01 UTC;-1;2.98;0.00;2.51;0.18;0.08;94.24
george;60;2021-09-20 08:41:01 UTC;-1;2.87;0.00;2.22;0.16;0.08;94.66
george;60;2021-09-20 08:42:01 UTC;-1;2.76;0.00;2.37;0.23;0.07;94.58
george;60;2021-09-20 08:43:01 UTC;-1;2.92;0.00;2.37;0.28;0.08;94.35
george;60;2021-09-20 08:44:01 UTC;-1;3.09;0.00;2.53;0.21;0.10;94.07
george;60;2021-09-20 08:45:01 UTC;-1;2.93;0.00;2.25;0.20;0.09;94.54
george;60;2021-09-20 08:46:01 UTC;-1;2.84;0.00;2.28;0.34;0.08;94.46
george;60;2021-09-20 08:47:01 UTC;-1;2.98;0.00;2.49;0.20;0.07;94.26
george;60;2021-09-20 08:48:01 UTC;-1;3.02;0.00;2.42;0.17;0.08;94.31
george;60;2021-09-20 08:49:01 UTC;-1;3.03;0.00;2.46;0.26;0.11;94.14
george;60;2021-09-20 08:50:01 UTC;-1;2.93;0.00;2.28;0.41;0.07;94.31
george;60;2021-09-20 08:51:01 UTC;-1;3.03;0.00;2.52;0.23;0.10;94.12
george;60;2021-09-20 08:52:01 UTC;-1;2.97;0.00;2.21;0.26;0.07;94.49
george;60;2021-09-20 08:53:01 UTC;-1;2.95;0.00;2.21;0.30;0.09;94.44
george;60;2021-09-20 08:54:01 UTC;-1;2.81;0.00;2.34;0.24;0.06;94.55
george;60;2021-09-20 08:55:01 UTC;-1;3.07;0.00;2.56;0.32;0.08;93.97
george;60;2021-09-20 08:56:01 UTC;-1;2.79;0.00;2.09;0.18;0.07;94.87
george;60;2021-09-20 08:57:01 UTC;-1;2.80;0.00;2.16;0.23;0.08;94.74
george;60;2021-09-20 08:58:01 UTC;-1;2.84;0.00;2.31;0.20;0.07;94.58
george;60;2021-09-20 08:59:01 UTC;-1;3.04;0.00;2.36;0.18;0.10;94.33
george;60;2021-09-20 09:00:01 UTC;-1;2.84;0.00;2.10;0.20;0.08;94.78
george;60;2021-09-20 09:01:01 UTC;-1;2.86;0.00;2.33;0.81;0.10;93.90
george;60;2021-09-20 09:02:01 UTC;-1;2.87;0.00;2.35;0.24;0.07;94.47
george;60;2021-09-20 09:03:01 UTC;-1;2.98;0.00;2.48;0.18;0.09;94.27
george;60;2021-09-20 09:04:01 UTC;-1;3.02;0.00;2.25;0.28;0.08;94.38
george;60;2021-09-20 09:05:01 UTC;-1;2.92;0.00;2.35;0.34;0.10;94.29
george;60;2021-09-20 09:06:01 UTC;-1;2.84;0.00;2.43;0.17;0.09;94.47
george;60;2021-09-20 09:07:01 UTC;-1;2.93;0.00;2.38;0.28;0.08;94.32
george;60;2021-09-20 09:08:01 UTC;-1;2.84;0.00;2.20;0.27;0.08;94.61
george;60;2021-09-20 09:09:01 UTC;-1;2.92;0.00;2.35;0.13;0.09;94.51
george;60;2021-09-20 09:10:01 UTC;-1;3.09;0.00;2.44;0.29;0.08;94.10
george;60;2021-09-20 09:11:01 UTC;-1;2.92;0.00;2.46;0.17;0.09;94.36
george;62;2021-09-20 09:12:01 UTC;-1;2.94;0.00;2.30;0.22;0.10;94.44
george;60;2021-09-20 09:13:01 UTC;-1;3.01;0.00;2.40;0.13;0.08;94.37
george;60;2021-09-20 09:14:01 UTC;-1;3.12;0.00;2.47;0.13;0.06;94.22
george;60;2021-09-20 09:15:01 UTC;-1;2.91;0.00;2.36;0.15;0.10;94.49
george;60;2021-09-20 09:16:01 UTC;-1;2.98;0.00;2.28;0.13;0.08;94.54
george;60;2021-09-20 09:17:01 UTC;-1;3.08;0.00;2.48;0.68;0.12;93.64
george;60;2021-09-20 09:18:01 UTC;-1;3.08;0.00;2.57;0.36;0.08;93.90
george;60;2021-09-20 09:19:01 UTC;-1;3.09;0.00;2.44;0.59;0.10;93.78
george;60;2021-09-20 09:20:01 UTC;-1;2.97;0.00;2.45;0.16;0.07;94.36
george;60;2021-09-20 09:21:01 UTC;-1;2.89;0.00;2.37;0.18;0.09;94.48
george;60;2021-09-20 09:22:01 UTC;-1;2.97;0.00;2.52;0.19;0.08;94.24
george;60;2021-09-20 09:23:01 UTC;-1;2.88;0.00;2.37;0.38;0.08;94.28
george;60;2021-09-20 09:24:01 UTC;-1;2.96;0.00;2.37;0.13;0.08;94.46
george;60;2021-09-20 09:25:01 UTC;-1;2.81;0.00;2.22;0.20;0.08;94.68
george;60;2021-09-20 09:26:01 UTC;-1;2.74;0.00;2.33;0.49;0.08;94.37
george;60;2021-09-20 09:27:01 UTC;-1;2.92;0.00;2.33;0.18;0.09;94.48
george;60;2021-09-20 09:28:01 UTC;-1;3.02;0.00;2.40;0.16;0.07;94.34
george;60;2021-09-20 09:29:01 UTC;-1;2.81;0.00;2.30;0.16;0.07;94.66
george;60;2021-09-20 09:30:02 UTC;-1;2.94;0.00;2.36;0.18;0.09;94.44
