# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle[...]
george;60;2021-09-20 11:42:01 UTC;-1;26.88;0.00;2.79;0.13;0.08;70.12
george;60;2021-09-20 11:43:01 UTC;-1;27.85;0.00;3.80;0.21;0.12;68.02
george;60;2021-09-20 11:44:01 UTC;-1;26.98;0.00;3.10;0.21;0.08;69.63
george;60;2021-09-20 11:45:01 UTC;-1;26.97;0.00;2.92;0.32;0.12;69.66
george;60;2021-09-20 11:46:01 UTC;-1;27.00;0.00;2.91;0.14;0.08;69.87
george;60;2021-09-20 11:47:01 UTC;-1;27.44;0.00;3.81;0.28;0.13;68.34
george;60;2021-09-20 11:48:01 UTC;-1;26.95;0.00;2.77;0.31;0.10;69.88
george;60;2021-09-20 11:49:01 UTC;-1;26.99;0.00;2.74;0.30;0.11;69.86
george;60;2021-09-20 11:50:01 UTC;-1;26.85;0.00;3.04;0.16;0.10;69.85
george;60;2021-09-20 11:51:01 UTC;-1;27.41;0.00;3.64;0.15;0.12;68.68
george;60;2021-09-20 11:52:01 UTC;-1;26.88;0.00;2.75;0.25;0.12;69.99
george;60;2021-09-20 11:53:02 UTC;-1;26.98;0.00;2.45;0.39;0.12;70.06
george;59;2021-09-20 11:54:01 UTC;-1;26.99;0.00;2.57;0.21;0.13;70.10
george;60;2021-09-20 11:55:01 UTC;-1;27.66;0.00;3.23;0.21;0.12;68.78
george;60;2021-09-20 11:56:01 UTC;-1;27.14;0.00;2.37;0.22;0.12;70.15
george;60;2021-09-20 11:57:01 UTC;-1;27.26;0.00;2.30;0.16;0.13;70.15
george;60;2021-09-20 11:58:01 UTC;-1;27.43;0.00;2.53;0.31;0.08;69.66
george;60;2021-09-20 11:59:01 UTC;-1;27.86;0.00;3.85;0.25;0.12;67.92
george;60;2021-09-20 12:00:01 UTC;-1;27.19;0.00;2.70;0.09;0.12;69.89
george;60;2021-09-20 12:01:01 UTC;-1;27.15;0.00;2.78;0.19;0.11;69.77
george;60;2021-09-20 12:02:01 UTC;-1;27.12;0.00;2.82;0.18;0.10;69.77
george;60;2021-09-20 12:03:01 UTC;-1;27.89;0.00;3.97;0.21;0.11;67.82
george;60;2021-09-20 12:04:01 UTC;-1;27.28;0.00;2.64;0.30;0.13;69.66
george;60;2021-09-20 12:05:01 UTC;-1;27.05;0.00;2.79;0.23;0.10;69.83
george;60;2021-09-20 12:06:01 UTC;-1;27.11;0.00;2.89;0.16;0.10;69.74
george;60;2021-09-20 12:07:01 UTC;-1;27.85;0.00;3.86;0.25;0.13;67.91
george;60;2021-09-20 12:08:01 UTC;-1;27.29;0.00;2.65;0.30;0.10;69.66
george;60;2021-09-20 12:09:01 UTC;-1;27.04;0.00;2.77;0.29;0.12;69.78
george;60;2021-09-20 12:10:01 UTC;-1;27.15;0.00;2.64;0.20;0.13;69.88
george;60;2021-09-20 12:11:01 UTC;-1;27.83;0.00;3.86;0.30;0.13;67.88
george;60;2021-09-20 12:12:01 UTC;-1;27.19;0.00;2.76;0.21;0.12;69.73
george;60;2021-09-20 12:13:01 UTC;-1;27.34;0.00;2.67;0.20;0.15;69.65
george;60;2021-09-20 12:14:01 UTC;-1;27.27;0.00;2.53;0.20;0.12;69.88
george;60;2021-09-20 12:15:01 UTC;-1;27.78;0.00;3.71;0.15;0.13;68.23
george;60;2021-09-20 12:16:01 UTC;-1;27.14;0.00;2.73;0.13;0.10;69.90
george;60;2021-09-20 12:17:01 UTC;-1;27.18;0.00;2.60;0.50;0.12;69.60
george;60;2021-09-20 12:18:01 UTC;-1;27.21;0.00;2.65;0.23;0.11;69.79
george;60;2021-09-20 12:19:01 UTC;-1;27.85;0.00;3.80;0.17;0.11;68.08
george;60;2021-09-20 12:20:01 UTC;-1;27.04;0.00;2.64;0.19;0.11;70.02
george;60;2021-09-20 12:21:01 UTC;-1;27.18;0.00;2.75;0.50;0.10;69.46
george;60;2021-09-20 12:22:01 UTC;-1;27.20;0.00;2.57;0.21;0.11;69.92
george;60;2021-09-20 12:23:01 UTC;-1;27.76;0.00;3.59;0.16;0.12;68.36
george;60;2021-09-20 12:24:01 UTC;-1;27.15;0.00;2.55;0.39;0.11;69.81
george;60;2021-09-20 12:25:01 UTC;-1;27.18;0.00;2.50;0.28;0.13;69.91
george;60;2021-09-20 12:26:01 UTC;-1;27.09;0.00;2.66;0.19;0.10;69.96
george;60;2021-09-20 12:27:01 UTC;-1;27.82;0.00;3.46;0.15;0.09;68.47
george;60;2021-09-20 12:28:01 UTC;-1;27.23;0.00;2.38;0.21;0.09;70.10
george;60;2021-09-20 12:29:01 UTC;-1;27.26;0.00;2.71;0.19;0.11;69.73
george;60;2021-09-20 12:30:01 UTC;-1;27.33;0.00;2.49;0.37;0.12;69.69
george;60;2021-09-20 12:31:01 UTC;-1;27.87;0.00;3.63;0.22;0.12;68.16
george;60;2021-09-20 12:32:01 UTC;-1;27.27;0.00;2.78;0.21;0.08;69.66
