# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle[...]
george;60;2021-09-19 07:37:01 UTC;-1;3.06;0.00;2.21;0.33;0.10;94.30
george;60;2021-09-19 07:38:01 UTC;-1;3.09;0.00;2.08;0.19;0.08;94.56
george;60;2021-09-19 07:39:01 UTC;-1;2.77;0.00;2.10;0.23;0.08;94.83
george;60;2021-09-19 07:40:01 UTC;-1;2.76;0.00;1.97;0.69;0.05;94.53
george;60;2021-09-19 07:41:01 UTC;-1;2.85;0.00;2.09;0.33;0.08;94.64
george;60;2021-09-19 07:42:01 UTC;-1;3.01;0.00;2.13;0.27;0.08;94.51
george;60;2021-09-19 07:43:01 UTC;-1;2.86;0.00;1.95;0.17;0.06;94.95
george;60;2021-09-19 07:44:01 UTC;-1;2.88;0.00;2.02;0.26;0.07;94.77
george;60;2021-09-19 07:45:01 UTC;-1;2.98;0.00;1.96;0.34;0.07;94.65
george;60;2021-09-19 07:46:01 UTC;-1;3.11;0.00;2.07;0.19;0.07;94.56
george;60;2021-09-19 07:47:01 UTC;-1;2.92;0.00;1.91;0.22;0.07;94.88
george;60;2021-09-19 07:48:01 UTC;-1;2.88;0.00;1.99;0.16;0.07;94.90
george;60;2021-09-19 07:49:01 UTC;-1;3.01;0.00;2.07;0.19;0.08;94.66
george;60;2021-09-19 07:50:01 UTC;-1;2.98;0.00;2.06;0.18;0.07;94.70
george;60;2021-09-19 07:51:01 UTC;-1;2.86;0.00;2.10;0.16;0.09;94.79
george;60;2021-09-19 07:52:01 UTC;-1;2.79;0.00;1.98;0.20;0.07;94.95
george;60;2021-09-19 07:53:01 UTC;-1;3.09;0.00;2.05;0.15;0.08;94.63
george;60;2021-09-19 07:54:01 UTC;-1;2.91;0.00;2.14;0.18;0.05;94.72
george;60;2021-09-19 07:55:01 UTC;-1;2.81;0.00;2.05;0.28;0.10;94.76
george;60;2021-09-19 07:56:01 UTC;-1;2.90;0.00;1.88;0.21;0.06;94.95
george;60;2021-09-19 07:57:01 UTC;-1;3.14;0.00;2.16;0.16;0.08;94.46
george;60;2021-09-19 07:58:02 UTC;-1;2.86;0.00;1.96;0.20;0.07;94.91
george;59;2021-09-19 07:59:01 UTC;-1;2.89;0.00;2.02;0.42;0.08;94.60
george;60;2021-09-19 08:00:01 UTC;-1;2.97;0.00;2.14;0.32;0.06;94.50
george;60;2021-09-19 08:01:01 UTC;-1;3.00;0.00;2.18;0.18;0.10;94.55
george;60;2021-09-19 08:02:01 UTC;-1;2.90;0.00;2.01;0.17;0.07;94.85
george;60;2021-09-19 08:03:01 UTC;-1;2.73;0.00;1.98;0.20;0.10;95.00
george;60;2021-09-19 08:04:01 UTC;-1;2.98;0.00;1.96;0.30;0.08;94.69
george;60;2021-09-19 08:05:01 UTC;-1;3.12;0.00;2.20;0.19;0.07;94.42
george;60;2021-09-19 08:06:01 UTC;-1;2.88;0.00;1.93;0.19;0.08;94.91
george;60;2021-09-19 08:07:01 UTC;-1;2.97;0.00;2.02;0.42;0.07;94.52
george;60;2021-09-19 08:08:01 UTC;-1;2.98;0.00;2.14;0.15;0.07;94.66
george;60;2021-09-19 08:09:01 UTC;-1;3.39;0.00;2.32;0.63;0.09;93.57
george;60;2021-09-19 08:10:01 UTC;-1;2.96;0.00;1.96;0.17;0.08;94.84
george;60;2021-09-19 08:11:01 UTC;-1;2.91;0.00;2.06;0.18;0.07;94.78
george;60;2021-09-19 08:12:01 UTC;-1;2.92;0.00;2.01;0.27;0.08;94.73
george;60;2021-09-19 08:13:01 UTC;-1;3.00;0.00;2.07;0.18;0.09;94.66
george;60;2021-09-19 08:14:01 UTC;-1;3.07;0.00;2.03;0.19;0.07;94.64
george;60;2021-09-19 08:15:01 UTC;-1;2.94;0.00;2.00;0.12;0.08;94.86
george;60;2021-09-19 08:16:01 UTC;-1;3.04;0.00;1.95;0.18;0.06;94.76
george;60;2021-09-19 08:17:01 UTC;-1;3.01;0.00;2.09;0.22;0.06;94.62
george;60;2021-09-19 08:18:01 UTC;-1;2.89;0.00;1.90;0.16;0.07;94.98
george;60;2021-09-19 08:19:01 UTC;-1;2.84;0.00;2.02;0.15;0.09;94.90
george;60;2021-09-19 08:20:01 UTC;-1;3.03;0.00;2.02;0.41;0.06;94.47
george;60;2021-09-19 08:21:01 UTC;-1;2.97;0.00;2.17;0.26;0.07;94.54
george;60;2021-09-19 08:22:01 UTC;-1;2.87;0.00;1.92;0.29;0.07;94.85
george;60;2021-09-19 08:23:01 UTC;-1;2.74;0.00;1.97;0.21;0.09;94.99
george;60;2021-09-19 08:24:01 UTC;-1;2.87;0.00;1.97;0.20;0.07;94.89
george;60;2021-09-19 08:25:01 UTC;-1;2.99;0.00;2.07;0.23;0.06;94.65
george;60;2021-09-19 08:26:01 UTC;-1;2.92;0.00;1.90;0.15;0.08;94.94
george;60;2021-09-19 08:27:01 UTC;-1;2.94;0.00;2.05;0.29;0.10;94.62
george;60;2021-09-19 08:28:01 UTC;-1;3.00;0.00;2.04;0.19;0.06;94.71
george;60;2021-09-19 08:29:01 UTC;-1;2.86;0.00;1.96;0.17;0.08;94.93
george;60;2021-09-19 08:30:01 UTC;-1;2.91;0.00;1.96;0.12;0.06;94.94
george;60;2021-09-19 08:31:01 UTC;-1;2.83;0.00;1.98;0.31;0.10;94.79
george;60;2021-09-19 08:32:01 UTC;-1;2.94;0.00;2.11;0.33;0.06;94.55
george;60;2021-09-19 08:33:01 UTC;-1;3.05;0.00;1.96;0.18;0.09;94.72
george;60;2021-09-19 08:34:01 UTC;-1;2.86;0.00;1.96;0.20;0.07;94.90
george;60;2021-09-19 08:35:01 UTC;-1;2.89;0.00;1.94;0.17;0.08;94.92
george;60;2021-09-19 08:36:01 UTC;-1;3.05;0.00;2.08;0.17;0.07;94.63
george;60;2021-09-19 08:37:01 UTC;-1;2.94;0.00;2.03;0.62;0.09;94.32
george;60;2021-09-19 08:38:01 UTC;-1;2.85;0.00;2.09;0.20;0.06;94.80
george;60;2021-09-19 08:39:01 UTC;-1;2.89;0.00;2.07;0.13;0.10;94.82
george;60;2021-09-19 08:40:01 UTC;-1;3.12;0.00;2.11;0.19;0.06;94.52
george;60;2021-09-19 08:41:01 UTC;-1;2.86;0.00;1.91;0.22;0.07;94.94
george;60;2021-09-19 08:42:01 UTC;-1;2.81;0.00;2.03;0.17;0.05;94.94
george;60;2021-09-19 08:43:01 UTC;-1;2.95;0.00;2.18;0.19;0.06;94.62
george;60;2021-09-19 08:44:01 UTC;-1;3.17;0.00;2.05;0.35;0.06;94.37
george;60;2021-09-19 08:45:01 UTC;-1;2.94;0.00;1.91;0.16;0.09;94.89
george;60;2021-09-19 08:46:01 UTC;-1;2.74;0.00;1.95;0.17;0.08;95.06
george;60;2021-09-19 08:47:01 UTC;-1;2.96;0.00;2.08;0.17;0.09;94.69
george;60;2021-09-19 08:48:02 UTC;-1;3.13;0.00;2.14;0.19;0.07;94.46
george;59;2021-09-19 08:49:01 UTC;-1;2.92;0.00;2.16;0.27;0.08;94.57
george;60;2021-09-19 08:50:01 UTC;-1;3.18;0.00;2.17;0.31;0.06;94.28
george;60;2021-09-19 08:51:01 UTC;-1;2.96;0.00;2.02;0.23;0.09;94.70
george;60;2021-09-19 08:52:01 UTC;-1;2.98;0.00;2.18;0.19;0.06;94.59
george;60;2021-09-19 08:53:01 UTC;-1;3.01;0.00;1.95;0.16;0.07;94.80
george;60;2021-09-19 08:54:01 UTC;-1;2.97;0.00;2.01;0.78;0.07;94.17
george;60;2021-09-19 08:55:01 UTC;-1;2.94;0.00;2.07;0.20;0.08;94.71
george;60;2021-09-19 08:56:01 UTC;-1;3.05;0.00;2.10;0.25;0.06;94.53
george;60;2021-09-19 08:57:01 UTC;-1;2.87;0.00;1.91;0.18;0.07;94.97
george;60;2021-09-19 08:58:01 UTC;-1;2.94;0.00;1.94;0.17;0.06;94.88
george;60;2021-09-19 08:59:01 UTC;-1;2.95;0.00;2.15;0.21;0.07;94.61
george;60;2021-09-19 09:00:01 UTC;-1;2.97;0.00;2.12;0.15;0.06;94.70
george;60;2021-09-19 09:01:01 UTC;-1;3.02;0.00;2.15;0.36;0.09;94.38
george;60;2021-09-19 09:02:01 UTC;-1;2.84;0.00;2.05;0.25;0.07;94.79
george;60;2021-09-19 09:03:01 UTC;-1;2.94;0.00;2.20;0.26;0.07;94.53
george;60;2021-09-19 09:04:01 UTC;-1;2.84;0.00;2.21;0.23;0.06;94.65
george;60;2021-09-19 09:05:01 UTC;-1;2.98;0.00;2.05;0.25;0.08;94.65
george;60;2021-09-19 09:06:01 UTC;-1;2.86;0.00;1.93;0.16;0.09;94.96
george;60;2021-09-19 09:07:01 UTC;-1;2.94;0.00;2.17;0.16;0.07;94.67
george;60;2021-09-19 09:08:01 UTC;-1;2.93;0.00;2.20;0.16;0.07;94.64
george;60;2021-09-19 09:09:01 UTC;-1;2.88;0.00;1.97;0.36;0.10;94.68
george;60;2021-09-19 09:10:01 UTC;-1;3.06;0.00;2.10;0.51;0.06;94.27
george;60;2021-09-19 09:11:01 UTC;-1;2.95;0.00;2.21;0.18;0.09;94.58
george;60;2021-09-19 09:12:01 UTC;-1;2.81;0.00;1.96;0.33;0.07;94.83
george;60;2021-09-19 09:13:01 UTC;-1;2.73;0.00;2.01;0.22;0.07;94.97
george;60;2021-09-19 09:14:01 UTC;-1;3.04;0.00;2.05;0.19;0.07;94.65
george;60;2021-09-19 09:15:01 UTC;-1;3.04;0.00;2.18;0.24;0.07;94.47
george;60;2021-09-19 09:16:01 UTC;-1;2.96;0.00;1.98;0.28;0.05;94.73
george;60;2021-09-19 09:17:01 UTC;-1;2.80;0.00;1.98;0.38;0.09;94.76
george;60;2021-09-19 09:18:01 UTC;-1;3.06;0.00;2.05;0.28;0.08;94.54
george;60;2021-09-19 09:19:01 UTC;-1;3.05;0.00;2.06;0.17;0.08;94.64
george;60;2021-09-19 09:20:01 UTC;-1;2.90;0.00;2.02;0.25;0.08;94.75
george;60;2021-09-19 09:21:01 UTC;-1;2.90;0.00;2.03;0.16;0.07;94.85
george;60;2021-09-19 09:22:01 UTC;-1;3.01;0.00;2.02;0.26;0.07;94.64
george;60;2021-09-19 09:23:01 UTC;-1;2.90;0.00;2.13;0.22;0.09;94.66
george;60;2021-09-19 09:24:01 UTC;-1;2.85;0.00;2.01;0.22;0.07;94.85
george;60;2021-09-19 09:25:01 UTC;-1;2.92;0.00;2.11;0.18;0.06;94.73
george;60;2021-09-19 09:26:01 UTC;-1;2.98;0.00;2.03;0.20;0.07;94.71
george;60;2021-09-19 09:27:01 UTC;-1;3.12;0.00;2.01;0.23;0.09;94.56
george;60;2021-09-19 09:28:01 UTC;-1;2.89;0.00;1.90;0.23;0.08;94.90
george;60;2021-09-19 09:29:01 UTC;-1;2.89;0.00;1.99;0.23;0.09;94.80
george;60;2021-09-19 09:30:01 UTC;-1;3.11;0.00;2.19;0.24;0.06;94.40
george;60;2021-09-19 09:31:01 UTC;-1;2.91;0.00;2.02;0.30;0.08;94.69
george;60;2021-09-19 09:32:01 UTC;-1;2.70;0.00;1.92;0.19;0.06;95.13
george;60;2021-09-19 09:33:01 UTC;-1;2.94;0.00;1.89;0.23;0.08;94.86
george;60;2021-09-19 09:34:01 UTC;-1;3.00;0.00;2.10;0.19;0.06;94.65
george;60;2021-09-19 09:35:01 UTC;-1;3.05;0.00;2.09;0.17;0.08;94.61
george;60;2021-09-19 09:36:01 UTC;-1;2.82;0.00;1.96;0.30;0.08;94.84
george;59;2021-09-19 09:37:01 UTC;-1;2.97;0.00;2.07;0.26;0.10;94.61
george;60;2021-09-19 09:38:01 UTC;-1;3.07;0.00;2.10;0.17;0.08;94.59
george;60;2021-09-19 09:39:01 UTC;-1;2.89;0.00;1.99;0.18;0.08;94.86
george;60;2021-09-19 09:40:01 UTC;-1;2.82;0.00;1.93;0.20;0.08;94.97
george;60;2021-09-19 09:41:01 UTC;-1;2.82;0.00;1.96;0.27;0.09;94.87
george;60;2021-09-19 09:42:01 UTC;-1;2.97;0.00;2.11;0.43;0.06;94.42
george;60;2021-09-19 09:43:01 UTC;-1;2.73;0.00;2.09;0.18;0.11;94.89
george;60;2021-09-19 09:44:01 UTC;-1;2.78;0.00;1.98;0.16;0.07;95.01
george;60;2021-09-19 09:45:01 UTC;-1;2.87;0.00;2.05;0.18;0.10;94.80
george;60;2021-09-19 09:46:01 UTC;-1;3.01;0.00;2.12;0.15;0.07;94.65
george;60;2021-09-19 09:47:01 UTC;-1;2.96;0.00;2.09;0.21;0.08;94.67
george;60;2021-09-19 09:48:01 UTC;-1;2.65;0.00;1.96;0.31;0.06;95.01
george;60;2021-09-19 09:49:01 UTC;-1;3.09;0.00;2.03;0.21;0.07;94.60
george;60;2021-09-19 09:50:01 UTC;-1;3.02;0.00;1.99;0.23;0.06;94.70
george;60;2021-09-19 09:51:01 UTC;-1;2.96;0.00;1.89;0.16;0.08;94.92
george;60;2021-09-19 09:52:01 UTC;-1;2.89;0.00;1.88;0.29;0.06;94.87
george;60;2021-09-19 09:53:01 UTC;-1;3.01;0.00;2.04;0.18;0.08;94.69
george;60;2021-09-19 09:54:01 UTC;-1;2.83;0.00;1.98;0.20;0.05;94.94
george;60;2021-09-19 09:55:01 UTC;-1;2.99;0.00;1.95;0.18;0.06;94.82
george;60;2021-09-19 09:56:01 UTC;-1;2.90;0.00;2.01;0.32;0.07;94.70
george;60;2021-09-19 09:57:01 UTC;-1;3.00;0.00;2.18;0.13;0.06;94.63
george;60;2021-09-19 09:58:01 UTC;-1;2.93;0.00;2.06;0.22;0.06;94.72
george;60;2021-09-19 09:59:01 UTC;-1;2.91;0.00;1.95;0.12;0.10;94.93
george;60;2021-09-19 10:00:01 UTC;-1;2.79;0.00;1.99;0.19;0.08;94.95
george;60;2021-09-19 10:01:01 UTC;-1;3.05;0.00;2.12;0.18;0.06;94.59
george;60;2021-09-19 10:02:01 UTC;-1;3.05;0.00;1.87;0.23;0.06;94.80
george;60;2021-09-19 10:03:01 UTC;-1;2.87;0.00;1.97;0.17;0.09;94.90
george;60;2021-09-19 10:04:01 UTC;-1;2.82;0.00;2.02;0.20;0.07;94.88
george;60;2021-09-19 10:05:01 UTC;-1;3.05;0.00;2.22;0.17;0.06;94.50
george;60;2021-09-19 10:06:01 UTC;-1;2.84;0.00;1.92;0.21;0.09;94.94
george;60;2021-09-19 10:07:01 UTC;-1;2.81;0.00;1.92;0.16;0.08;95.04
george;60;2021-09-19 10:08:01 UTC;-1;2.98;0.00;2.01;0.35;0.06;94.59
george;60;2021-09-19 10:09:01 UTC;-1;2.93;0.00;2.27;0.15;0.08;94.57
george;60;2021-09-19 10:10:01 UTC;-1;2.87;0.00;2.14;0.23;0.07;94.69
george;60;2021-09-19 10:11:01 UTC;-1;2.95;0.00;1.99;0.23;0.09;94.75
george;60;2021-09-19 10:12:01 UTC;-1;2.81;0.00;1.96;0.17;0.09;94.97
george;60;2021-09-19 10:13:01 UTC;-1;2.92;0.00;2.14;0.23;0.08;94.62
george;60;2021-09-19 10:14:01 UTC;-1;2.89;0.00;1.91;0.12;0.06;95.02
george;60;2021-09-19 10:15:01 UTC;-1;2.88;0.00;2.09;0.19;0.07;94.77
george;60;2021-09-19 10:16:01 UTC;-1;3.00;0.00;1.97;0.25;0.09;94.70
george;60;2021-09-19 10:17:01 UTC;-1;2.88;0.00;2.05;0.23;0.10;94.74
george;60;2021-09-19 10:18:01 UTC;-1;2.95;0.00;2.04;0.49;0.07;94.44
george;60;2021-09-19 10:19:01 UTC;-1;2.88;0.00;2.05;0.14;0.07;94.86
george;60;2021-09-19 10:20:01 UTC;-1;3.14;0.00;2.13;0.27;0.07;94.39
george;60;2021-09-19 10:21:01 UTC;-1;2.86;0.00;1.96;0.47;0.08;94.63
george;60;2021-09-19 10:22:01 UTC;-1;2.87;0.00;2.04;0.19;0.07;94.82
george;60;2021-09-19 10:23:01 UTC;-1;2.79;0.00;2.17;0.17;0.08;94.78
george;60;2021-09-19 10:24:02 UTC;-1;3.05;0.00;2.15;0.19;0.07;94.54
george;59;2021-09-19 10:25:01 UTC;-1;2.76;0.00;2.00;0.19;0.08;94.97
george;60;2021-09-19 10:26:01 UTC;-1;2.74;0.00;1.96;0.20;0.09;95.01
george;60;2021-09-19 10:27:01 UTC;-1;2.90;0.00;2.06;0.20;0.09;94.75
george;60;2021-09-19 10:28:01 UTC;-1;2.92;0.00;1.99;0.19;0.07;94.83
george;60;2021-09-19 10:29:01 UTC;-1;2.82;0.00;1.96;0.15;0.08;95.00
george;60;2021-09-19 10:30:01 UTC;-1;2.96;0.00;2.13;0.18;0.06;94.67
george;60;2021-09-19 10:31:01 UTC;-1;2.85;0.00;2.01;0.19;0.10;94.86
