# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle[...]
george;60;2021-09-19 13:39:01 UTC;-1;0.16;0.00;0.13;0.46;0.01;99.25
george;60;2021-09-19 13:40:01 UTC;-1;0.14;0.00;0.10;0.39;0.01;99.35
george;60;2021-09-19 13:41:01 UTC;-1;0.13;0.00;0.11;0.18;0.01;99.57
george;60;2021-09-19 13:42:01 UTC;-1;0.13;0.00;0.13;0.26;0.00;99.47
george;60;2021-09-19 13:43:01 UTC;-1;0.16;0.00;0.11;0.28;0.00;99.44
george;60;2021-09-19 13:44:01 UTC;-1;0.15;0.00;0.12;0.26;0.02;99.46
george;60;2021-09-19 13:45:01 UTC;-1;0.15;0.00;0.10;0.35;0.01;99.39
george;60;2021-09-19 13:46:01 UTC;-1;0.14;0.00;0.13;0.32;0.00;99.40
george;60;2021-09-19 13:47:01 UTC;-1;0.15;0.00;0.13;0.24;0.01;99.47
george;60;2021-09-19 13:48:01 UTC;-1;0.14;0.00;0.13;0.21;0.01;99.50
george;60;2021-09-19 13:49:01 UTC;-1;0.15;0.00;0.09;0.19;0.02;99.55
george;60;2021-09-19 13:50:01 UTC;-1;0.15;0.00;0.13;0.23;0.00;99.47
george;60;2021-09-19 13:51:01 UTC;-1;0.15;0.00;0.13;0.29;0.00;99.43
george;60;2021-09-19 13:52:01 UTC;-1;0.14;0.00;0.10;0.25;0.01;99.51
george;60;2021-09-19 13:53:01 UTC;-1;0.17;0.00;0.11;0.20;0.01;99.51
george;60;2021-09-19 13:54:01 UTC;-1;0.16;0.00;0.11;0.22;0.01;99.50
george;60;2021-09-19 13:55:01 UTC;-1;0.15;0.00;0.12;0.29;0.01;99.43
george;60;2021-09-19 13:56:01 UTC;-1;0.15;0.00;0.10;0.25;0.01;99.49
george;60;2021-09-19 13:57:01 UTC;-1;0.15;0.00;0.11;0.18;0.00;99.56
george;60;2021-09-19 13:58:01 UTC;-1;0.14;0.00;0.12;0.13;0.01;99.59
george;60;2021-09-19 13:59:01 UTC;-1;0.16;0.00;0.12;0.32;0.02;99.39
george;60;2021-09-19 14:00:01 UTC;-1;0.15;0.00;0.10;0.22;0.00;99.52
george;60;2021-09-19 14:01:01 UTC;-1;0.16;0.00;0.10;0.20;0.01;99.52
george;60;2021-09-19 14:02:01 UTC;-1;0.15;0.00;0.13;0.20;0.01;99.51
george;60;2021-09-19 14:03:01 UTC;-1;0.16;0.00;0.10;0.18;0.01;99.56
george;60;2021-09-19 14:04:01 UTC;-1;0.14;0.00;0.11;0.23;0.01;99.51
george;60;2021-09-19 14:05:01 UTC;-1;0.16;0.00;0.10;0.20;0.00;99.53
george;60;2021-09-19 14:06:01 UTC;-1;0.16;0.00;0.11;0.23;0.01;99.49
george;60;2021-09-19 14:07:01 UTC;-1;0.14;0.00;0.09;0.20;0.01;99.57
george;60;2021-09-19 14:08:01 UTC;-1;0.14;0.00;0.10;0.20;0.00;99.56
george;60;2021-09-19 14:09:01 UTC;-1;0.14;0.00;0.12;0.14;0.00;99.60
george;60;2021-09-19 14:10:01 UTC;-1;0.17;0.00;0.13;0.15;0.01;99.53
george;60;2021-09-19 14:11:01 UTC;-1;0.15;0.00;0.09;0.13;0.01;99.61
george;60;2021-09-19 14:12:01 UTC;-1;0.15;0.00;0.11;0.21;0.02;99.52
george;60;2021-09-19 14:13:01 UTC;-1;0.14;0.00;0.13;0.30;0.00;99.42
george;60;2021-09-19 14:14:01 UTC;-1;0.15;0.00;0.12;0.20;0.00;99.52
george;60;2021-09-19 14:15:01 UTC;-1;0.14;0.00;0.10;0.31;0.01;99.44
george;60;2021-09-19 14:16:01 UTC;-1;0.16;0.00;0.10;0.23;0.00;99.50
george;60;2021-09-19 14:17:01 UTC;-1;0.14;0.00;0.13;0.21;0.01;99.51
george;60;2021-09-19 14:18:01 UTC;-1;0.15;0.00;0.11;0.17;0.01;99.55
george;60;2021-09-19 14:19:01 UTC;-1;0.13;0.00;0.10;0.23;0.01;99.53
george;60;2021-09-19 14:20:01 UTC;-1;0.14;0.00;0.13;0.32;0.00;99.42
george;60;2021-09-19 14:21:01 UTC;-1;0.15;0.00;0.12;0.18;0.01;99.54
george;60;2021-09-19 14:22:01 UTC;-1;0.15;0.00;0.12;0.22;0.02;99.50
george;60;2021-09-19 14:23:01 UTC;-1;0.14;0.00;0.12;0.24;0.01;99.49
george;59;2021-09-19 14:24:01 UTC;-1;0.14;0.00;0.12;0.30;0.00;99.44
