NAMESPACE         NAME                                                     READY   STATUS      RESTARTS   AGE     IP           NODE           NOMINATED NODE   READINESS GATES
default           mysql-0                                                  1/1     Running     0          19h     10.42.2.14   max            <none>           <none>
default           openpdc-higher-776b85d77f-kgs59                          1/1     Running     0          6h33m   10.42.1.16   ron            <none>           <none>
default           openpdc-lower-85d5758bb6-cx64c                           1/1     Running     0          19h     10.42.0.16   fleet-master   <none>           <none>
default           pmu-1-745bc9b754-q57zv                                   1/1     Running     0          19h     10.42.2.13   max            <none>           <none>
default           pmu-2-7df8cfc488-9rs8j                                   1/1     Running     0          19h     10.42.3.15   sam            <none>           <none>
default           pmu-3-6c589f9f58-cd7mz                                   1/1     Running     0          19h     10.42.0.15   fleet-master   <none>           <none>
kube-system       coredns-7448499f4d-dnfl2                                 1/1     Running     0          20h     10.42.0.3    fleet-master   <none>           <none>
kube-system       helm-install-traefik-crd-wff65                           0/1     Completed   0          20h     10.42.0.4    fleet-master   <none>           <none>
kube-system       helm-install-traefik-ksx69                               0/1     Completed   1          20h     10.42.0.6    fleet-master   <none>           <none>
kube-system       local-path-provisioner-5ff76fc89d-ff49b                  1/1     Running     0          20h     10.42.0.5    fleet-master   <none>           <none>
kube-system       metrics-server-86cbb8457f-kpcn5                          1/1     Running     0          20h     10.42.0.2    fleet-master   <none>           <none>
kube-system       svclb-traefik-6kqnw                                      2/2     Running     0          20h     10.42.2.2    max            <none>           <none>
kube-system       svclb-traefik-7pvzs                                      2/2     Running     0          20h     10.42.0.7    fleet-master   <none>           <none>
kube-system       svclb-traefik-l8p4l                                      2/2     Running     0          20h     10.42.1.3    ron            <none>           <none>
kube-system       svclb-traefik-vqzll                                      2/2     Running     0          20h     10.42.3.2    sam            <none>           <none>
kube-system       traefik-97b44b794-66cqw                                  1/1     Running     0          20h     10.42.1.2    ron            <none>           <none>
longhorn-system   csi-attacher-75588bff58-84cqv                            1/1     Running     0          20h     10.42.2.9    max            <none>           <none>
longhorn-system   csi-attacher-75588bff58-sjvss                            1/1     Running     0          20h     10.42.1.10   ron            <none>           <none>
