timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
03:05:01 PM;7006452;7224240;74788;0.99;21608;399884;222696;2.69;279252;170436;0
03:15:01 PM;7006876;7224708;74236;0.98;21632;399880;222696;2.69;279336;170424;4
03:25:01 PM;7007080;7224992;73976;0.98;21728;399880;222696;2.69;279368;170424;0
03:35:01 PM;7006892;7224872;73976;0.98;21768;399892;219788;2.65;279428;170424;0
03:45:01 PM;7006892;7224908;73884;0.97;21796;399892;219788;2.65;279460;170428;0
03:55:01 PM;7006876;7224960;73856;0.97;21856;399900;219788;2.65;279564;170432;124
04:05:01 PM;7006616;7224724;74048;0.98;21888;399892;219788;2.65;279644;170432;4
04:15:01 PM;7006624;7224772;73960;0.98;21920;399896;219788;2.65;279628;170436;4
04:25:01 PM;7005896;7224120;74344;0.98;21956;399904;219788;2.65;279728;170436;4
04:35:01 PM;7005896;7224192;74252;0.98;22028;399900;219788;2.65;279792;170440;4
04:45:01 PM;7005888;7224212;74188;0.98;22052;399904;219788;2.65;279820;170440;4
04:55:01 PM;7005888;7224240;74128;0.98;22084;399900;219788;2.65;279844;170440;4
05:05:01 PM;7005912;7224320;74032;0.98;22144;399912;219788;2.65;279796;170444;0
05:15:01 PM;7005888;7224336;74088;0.98;22172;399908;219788;2.65;279940;170444;4
05:25:01 PM;7005888;7224376;73984;0.98;22212;399908;219788;2.65;279984;170444;4
05:35:01 PM;7005856;7224388;73944;0.97;22244;399912;219788;2.65;280036;170448;4
05:45:01 PM;7006108;7224832;73456;0.97;22312;400036;219788;2.65;280080;170576;4
05:55:01 PM;7006360;7225120;73156;0.96;22340;400044;219788;2.65;280112;170580;4
06:05:01 PM;7006360;7225152;73100;0.96;22372;400044;219788;2.65;280144;170580;4
06:15:02 PM;7005368;7224204;74016;0.98;22440;400048;219788;2.65;280076;170580;0
06:25:01 PM;7005368;7224260;73908;0.97;22484;400056;219788;2.65;280124;170584;0
06:35:01 PM;7005352;7224308;73968;0.98;22516;400056;219788;2.65;280180;170592;0
06:45:01 PM;7005400;7224380;73888;0.97;22548;400056;219788;2.65;280204;170592;0
06:55:01 PM;7005116;7224176;74060;0.98;22624;400060;219788;2.65;280280;170596;0
07:05:01 PM;7005288;7224372;73996;0.98;22652;400060;219788;2.65;280304;170596;0
07:15:01 PM;7005368;7224492;73888;0.97;22676;400068;219788;2.65;280336;170600;0
07:25:01 PM;7005408;7224628;73716;0.97;22772;400068;212112;2.56;280432;170600;0
07:35:01 PM;7005148;7224380;73924;0.97;22796;400064;212112;2.56;280444;170600;0
07:45:01 PM;7005132;7224420;73928;0.97;22828;400068;212112;2.56;280596;170604;4
07:55:01 PM;7005148;7224460;73888;0.97;22856;400072;212112;2.56;280516;170604;0
08:05:01 PM;7005148;7224524;73792;0.97;22928;400072;212112;2.56;280576;170608;0
08:15:01 PM;7005408;7224824;73484;0.97;22960;400072;212112;2.56;280616;170608;0
08:25:01 PM;7005652;7225112;73104;0.96;23004;400072;212112;2.56;280644;170608;0
08:35:01 PM;7004052;7223596;74744;0.99;23092;400080;231488;2.79;280824;170504;0
08:45:01 PM;7004328;7223904;74400;0.98;23124;400076;231488;2.79;280852;170508;0
