# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle[...]
sam;60;2021-10-06 02:51:01 UTC;-1;2.31;0.00;1.57;0.31;0.03;95.78
sam;60;2021-10-06 02:52:01 UTC;-1;2.41;0.00;1.55;0.15;0.04;95.85
sam;60;2021-10-06 02:53:01 UTC;-1;2.34;0.00;1.53;0.09;0.04;96.00
sam;60;2021-10-06 02:54:01 UTC;-1;2.44;0.00;1.53;0.11;0.05;95.87
sam;60;2021-10-06 02:55:01 UTC;-1;2.44;0.00;1.46;0.11;0.03;95.97
sam;60;2021-10-06 02:56:01 UTC;-1;2.41;0.00;1.58;0.14;0.06;95.80
sam;60;2021-10-06 02:57:01 UTC;-1;2.43;0.00;1.56;0.13;0.04;95.84
sam;60;2021-10-06 02:58:01 UTC;-1;2.29;0.00;1.48;0.11;0.03;96.08
sam;60;2021-10-06 02:59:01 UTC;-1;2.23;0.00;1.53;1.84;0.04;94.35
sam;60;2021-10-06 03:00:01 UTC;-1;2.36;0.00;1.60;0.10;0.04;95.89
sam;60;2021-10-06 03:01:01 UTC;-1;2.44;0.00;1.66;0.38;0.03;95.49
sam;60;2021-10-06 03:02:01 UTC;-1;2.24;0.00;1.55;0.11;0.04;96.05
sam;60;2021-10-06 03:03:01 UTC;-1;2.31;0.00;1.49;0.16;0.03;96.01
sam;60;2021-10-06 03:04:01 UTC;-1;2.26;0.01;1.60;0.16;0.03;95.94
sam;60;2021-10-06 03:05:01 UTC;-1;2.39;0.00;1.51;0.28;0.04;95.77
sam;60;2021-10-06 03:06:01 UTC;-1;2.37;0.00;1.53;0.20;0.06;95.83
sam;60;2021-10-06 03:07:01 UTC;-1;2.31;0.00;1.49;0.48;0.04;95.69
sam;60;2021-10-06 03:08:01 UTC;-1;2.37;0.00;1.63;0.20;0.05;95.76
sam;60;2021-10-06 03:09:01 UTC;-1;2.36;0.00;1.52;0.13;0.05;95.93
sam;60;2021-10-06 03:10:01 UTC;-1;2.32;0.00;1.53;0.14;0.04;95.97
sam;60;2021-10-06 03:11:01 UTC;-1;2.30;0.00;1.55;0.14;0.04;95.96
sam;60;2021-10-06 03:12:01 UTC;-1;2.40;0.00;1.53;0.15;0.05;95.87
sam;60;2021-10-06 03:13:01 UTC;-1;2.25;0.01;1.54;0.10;0.04;96.06
sam;60;2021-10-06 03:14:01 UTC;-1;2.25;0.01;1.53;0.25;0.04;95.92
sam;59;2021-10-06 03:15:01 UTC;-1;2.44;0.00;1.69;0.55;0.05;95.27
sam;60;2021-10-06 03:16:01 UTC;-1;2.33;0.00;1.77;0.13;0.09;95.68
sam;60;2021-10-06 03:17:01 UTC;-1;2.33;0.00;1.79;0.11;0.04;95.73
sam;60;2021-10-06 03:18:01 UTC;-1;2.26;0.00;1.52;0.16;0.07;95.99
sam;60;2021-10-06 03:19:01 UTC;-1;2.41;0.00;1.54;0.13;0.04;95.87
sam;60;2021-10-06 03:20:01 UTC;-1;2.21;0.00;1.52;0.30;0.03;95.94
sam;60;2021-10-06 03:21:01 UTC;-1;2.36;0.00;1.46;0.17;0.04;95.97
sam;60;2021-10-06 03:22:01 UTC;-1;2.27;0.00;1.55;0.11;0.05;96.02
sam;60;2021-10-06 03:23:01 UTC;-1;2.35;0.00;1.53;0.14;0.04;95.93
sam;60;2021-10-06 03:24:01 UTC;-1;2.30;0.00;1.55;0.13;0.05;95.96
sam;60;2021-10-06 03:25:01 UTC;-1;2.29;0.00;1.55;0.14;0.04;95.99
sam;60;2021-10-06 03:26:01 UTC;-1;2.26;0.00;1.50;0.18;0.06;96.00
sam;60;2021-10-06 03:27:01 UTC;-1;2.31;0.00;1.50;0.21;0.03;95.95
sam;60;2021-10-06 03:28:01 UTC;-1;2.25;0.00;1.56;0.24;0.05;95.89
sam;60;2021-10-06 03:29:01 UTC;-1;2.37;0.00;1.53;0.16;0.04;95.90
sam;60;2021-10-06 03:30:01 UTC;-1;2.31;0.00;1.56;0.45;0.04;95.64
sam;60;2021-10-06 03:31:01 UTC;-1;2.34;0.01;1.65;0.22;0.06;95.73
sam;60;2021-10-06 03:32:01 UTC;-1;2.22;0.00;1.56;0.18;0.04;96.00
sam;60;2021-10-06 03:33:01 UTC;-1;2.25;0.00;1.59;0.37;0.03;95.76
sam;60;2021-10-06 03:34:01 UTC;-1;2.30;0.00;1.48;0.29;0.05;95.89
sam;60;2021-10-06 03:35:01 UTC;-1;2.41;0.00;1.59;0.21;0.03;95.77
sam;60;2021-10-06 03:36:01 UTC;-1;2.39;0.00;1.67;0.24;0.05;95.65
sam;60;2021-10-06 03:37:01 UTC;-1;2.28;0.00;1.62;0.22;0.03;95.85
sam;60;2021-10-06 03:38:01 UTC;-1;2.16;0.00;1.49;0.17;0.05;96.13
sam;60;2021-10-06 03:39:01 UTC;-1;2.31;0.00;1.88;0.11;0.05;95.65
sam;60;2021-10-06 03:40:01 UTC;-1;2.32;0.00;1.61;0.16;0.04;95.86
sam;60;2021-10-06 03:41:01 UTC;-1;2.20;0.01;1.47;0.15;0.02;96.15
sam;60;2021-10-06 03:42:01 UTC;-1;2.34;0.00;1.73;0.14;0.04;95.75
sam;60;2021-10-06 03:43:01 UTC;-1;2.20;0.00;1.69;0.80;0.04;95.26
sam;60;2021-10-06 03:44:01 UTC;-1;2.22;0.00;1.48;0.15;0.05;96.11
sam;60;2021-10-06 03:45:01 UTC;-1;2.20;0.01;1.52;0.30;0.05;95.92
sam;60;2021-10-06 03:46:01 UTC;-1;2.37;0.00;1.52;0.13;0.05;95.92
sam;60;2021-10-06 03:47:01 UTC;-1;2.43;0.00;1.58;0.13;0.04;95.82
sam;60;2021-10-06 03:48:01 UTC;-1;2.30;0.00;1.51;0.30;0.04;95.85
sam;60;2021-10-06 03:49:01 UTC;-1;2.38;0.00;1.50;0.40;0.04;95.68
sam;60;2021-10-06 03:50:01 UTC;-1;2.27;0.00;1.59;0.09;0.05;95.99
sam;60;2021-10-06 03:51:01 UTC;-1;2.41;0.00;1.62;0.56;0.03;95.38
sam;60;2021-10-06 03:52:01 UTC;-1;2.45;0.00;1.49;0.27;0.05;95.74
sam;60;2021-10-06 03:53:01 UTC;-1;2.34;0.00;1.51;0.71;0.04;95.38
sam;60;2021-10-06 03:54:01 UTC;-1;2.39;0.00;1.55;0.27;0.04;95.74
sam;60;2021-10-06 03:55:01 UTC;-1;2.38;0.00;1.53;0.16;0.03;95.90
sam;60;2021-10-06 03:56:01 UTC;-1;2.42;0.00;1.56;0.21;0.03;95.77
sam;60;2021-10-06 03:57:02 UTC;-1;2.47;0.00;1.56;0.21;0.03;95.73
sam;59;2021-10-06 03:58:01 UTC;-1;2.48;0.00;1.68;0.16;0.05;95.62
sam;60;2021-10-06 03:59:01 UTC;-1;2.40;0.00;1.57;0.14;0.05;95.84
sam;60;2021-10-06 04:00:01 UTC;-1;2.32;0.00;1.59;0.26;0.05;95.79
sam;60;2021-10-06 04:01:01 UTC;-1;2.34;0.00;1.68;0.16;0.04;95.78
