# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
sam;60;2021-10-06 02:51:01 UTC;588500;6662696;497648;6.56;168684;5397232;3350136;40.42;2064452;3929940;348
sam;60;2021-10-06 02:52:01 UTC;587760;6662368;497972;6.57;168684;5397628;3348972;40.40;2064496;3930336;156
sam;60;2021-10-06 02:53:01 UTC;587548;6662708;497864;6.56;168684;5398172;3348164;40.39;2064288;3930884;392
sam;60;2021-10-06 02:54:01 UTC;586272;6661832;498520;6.57;168684;5398572;3340896;40.31;2064836;3931288;300
sam;60;2021-10-06 02:55:01 UTC;585468;6661472;499020;6.58;168684;5398972;3346176;40.37;2064744;3931692;524
sam;60;2021-10-06 02:56:01 UTC;585548;6662108;498476;6.57;168684;5399512;3351524;40.43;2065092;3932268;96
sam;60;2021-10-06 02:57:01 UTC;584712;6661684;498960;6.58;168684;5399916;3351860;40.44;2065468;3932656;188
sam;60;2021-10-06 02:58:01 UTC;585144;6662540;498176;6.57;168684;5400328;3345988;40.37;2065616;3933036;480
sam;60;2021-10-06 02:59:01 UTC;584380;6662188;498432;6.57;168684;5400724;3350048;40.42;2065816;3933452;100
sam;60;2021-10-06 03:00:01 UTC;582356;6660700;499904;6.59;168684;5401248;3350048;40.42;2065928;3933952;712
sam;60;2021-10-06 03:01:01 UTC;581616;6660380;500056;6.59;168684;5401652;3349576;40.41;2067208;3934356;636
sam;60;2021-10-06 03:02:01 UTC;581908;6661080;499344;6.58;168684;5402044;3350820;40.43;2067124;3934748;564
sam;60;2021-10-06 03:03:01 UTC;580828;6660408;499904;6.59;168684;5402440;3349920;40.41;2067192;3935144;508
sam;60;2021-10-06 03:04:01 UTC;582176;6662308;498160;6.57;168684;5402984;3351076;40.43;2067196;3935688;140
sam;60;2021-10-06 03:05:01 UTC;580316;6660864;499452;6.58;168684;5403388;3348380;40.40;2065992;3936092;432
sam;60;2021-10-06 03:06:01 UTC;580980;6662076;498444;6.57;168684;5403924;3346856;40.38;2065848;3936628;272
sam;60;2021-10-06 03:07:01 UTC;579696;6661208;499388;6.58;168684;5404316;3348040;40.39;2066220;3937016;456
sam;60;2021-10-06 03:08:01 UTC;578892;6660816;499724;6.59;168684;5404716;3348488;40.40;2066428;3937416;248
sam;60;2021-10-06 03:09:01 UTC;577900;6660208;500080;6.59;168684;5405100;3349788;40.41;2066456;3937792;120
sam;60;2021-10-06 03:10:01 UTC;576788;6659516;500960;6.60;168684;5405496;3347280;40.38;2066808;3938196;260
sam;60;2021-10-06 03:11:01 UTC;576208;6659492;500604;6.60;168684;5406032;3349232;40.41;2066440;3938728;388
sam;60;2021-10-06 03:12:01 UTC;576152;6659864;500312;6.60;168684;5406432;3350388;40.42;2066708;3939136;140
sam;60;2021-10-06 03:13:01 UTC;576444;6660576;499984;6.59;168684;5406836;3343292;40.33;2066976;3939536;516
sam;60;2021-10-06 03:14:01 UTC;575956;6660500;499904;6.59;168684;5407240;3349792;40.41;2066912;3939932;256
sam;59;2021-10-06 03:15:01 UTC;574680;6659764;500672;6.60;168684;5407760;3349812;40.41;2067008;3940464;360
sam;60;2021-10-06 03:16:01 UTC;575048;6660560;500116;6.59;168684;5408164;3349168;40.41;2067236;3940872;268
sam;60;2021-10-06 03:17:01 UTC;574764;6660688;500092;6.59;168684;5408560;3342072;40.32;2067104;3941268;464
sam;60;2021-10-06 03:18:01 UTC;573592;6659916;500924;6.60;168684;5408952;3349324;40.41;2067404;3941656;432
sam;60;2021-10-06 03:19:01 UTC;571340;6658216;502364;6.62;168684;5409500;3350984;40.43;2068088;3942196;456
sam;60;2021-10-06 03:20:01 UTC;571456;6658776;501644;6.61;168684;5409912;3349644;40.41;2068232;3942616;268
sam;60;2021-10-06 03:21:01 UTC;571476;6659156;501624;6.61;168684;5410308;3350820;40.43;2068880;3943012;348
sam;60;2021-10-06 03:22:01 UTC;572136;6660216;500452;6.60;168684;5410700;3343364;40.34;2068520;3943400;604
sam;60;2021-10-06 03:23:01 UTC;581184;6659680;500888;6.60;168684;5401148;3349396;40.41;2069088;3933848;496
sam;60;2021-10-06 03:24:01 UTC;580932;6659892;500772;6.60;168684;5401596;3346364;40.37;2067584;3934300;352
sam;60;2021-10-06 03:25:01 UTC;580388;6659884;500568;6.60;168684;5402136;3350820;40.43;2067280;3934832;360
sam;60;2021-10-06 03:26:01 UTC;579088;6659108;501584;6.61;168684;5402672;3350048;40.42;2067696;3935372;268
sam;60;2021-10-06 03:27:01 UTC;576584;6657060;503580;6.64;168684;5403072;3349668;40.41;2069232;3935804;600
sam;60;2021-10-06 03:28:01 UTC;577720;6658736;501964;6.62;168684;5403600;3349668;40.41;2068540;3936344;452
sam;60;2021-10-06 03:29:01 UTC;576768;6658188;502608;6.63;168684;5404008;3349792;40.41;2068984;3936744;308
sam;60;2021-10-06 03:30:01 UTC;576460;6658284;502484;6.62;168684;5404404;3350048;40.42;2069116;3937140;516
sam;60;2021-10-06 03:31:01 UTC;574756;6656984;503500;6.64;168684;5404808;3346236;40.37;2069164;3937544;428
sam;60;2021-10-06 03:32:01 UTC;575024;6657784;502612;6.63;168684;5405336;3349668;40.41;2069084;3938076;324
sam;60;2021-10-06 03:33:01 UTC;573812;6656972;503544;6.64;168684;5405728;3347492;40.39;2069340;3938472;308
sam;60;2021-10-06 03:34:01 UTC;573740;6657300;503056;6.63;168684;5406128;3344444;40.35;2069480;3938868;436
sam;60;2021-10-06 03:35:01 UTC;574584;6658572;502080;6.62;168684;5406548;3350820;40.43;2068476;3939300;144
sam;60;2021-10-06 03:36:01 UTC;572704;6657216;503648;6.64;168684;5407064;3348720;40.40;2069188;3939804;120
sam;60;2021-10-06 03:37:01 UTC;574176;6659096;501556;6.61;168684;5407476;3350048;40.42;2068876;3940212;336
sam;60;2021-10-06 03:38:01 UTC;571956;6657280;503460;6.64;168684;5407876;3348468;40.40;2069192;3940612;260
sam;60;2021-10-06 03:39:01 UTC;571940;6657664;502948;6.63;168684;5408272;3347512;40.39;2069512;3941024;468
sam;60;2021-10-06 03:40:01 UTC;571216;6657476;503148;6.63;168684;5408804;3349668;40.41;2069912;3941556;364
sam;60;2021-10-06 03:41:01 UTC;569940;6656616;504200;6.65;168684;5409212;3349944;40.42;2071368;3941952;256
sam;60;2021-10-06 03:42:01 UTC;569988;6657068;503656;6.64;168684;5409612;3349324;40.41;2070960;3942352;488
sam;60;2021-10-06 03:43:01 UTC;570264;6657760;502944;6.63;168684;5410016;3348504;40.40;2070736;3942768;408
sam;60;2021-10-06 03:44:01 UTC;569436;6657296;503208;6.63;168684;5410376;3348896;40.40;2070560;3943144;280
sam;60;2021-10-06 03:45:01 UTC;568972;6657320;503224;6.63;168684;5410860;3350324;40.42;2070804;3943640;424
sam;60;2021-10-06 03:46:01 UTC;569224;6657944;502548;6.63;168684;5411208;3346176;40.37;2069376;3943972;400
sam;60;2021-10-06 03:47:01 UTC;568892;6657984;502712;6.63;168684;5411544;3344436;40.35;2069468;3944296;672
sam;60;2021-10-06 03:48:01 UTC;567900;6657336;503520;6.64;168684;5411876;3350048;40.42;2069704;3944632;340
sam;60;2021-10-06 03:49:01 UTC;567232;6657032;503676;6.64;168684;5412232;3349612;40.41;2069944;3944968;88
sam;60;2021-10-06 03:50:01 UTC;576964;6657248;503296;6.64;168684;5402760;3346588;40.37;2069872;3935500;844
sam;60;2021-10-06 03:51:01 UTC;576224;6656916;503764;6.64;168684;5403168;3344728;40.35;2070180;3935904;320
sam;60;2021-10-06 03:52:01 UTC;575508;6656660;503920;6.64;168684;5403616;3351160;40.43;2070092;3936352;12
sam;60;2021-10-06 03:53:01 UTC;575044;6656580;504104;6.65;168684;5404004;3349144;40.41;2070680;3936740;612
sam;60;2021-10-06 03:54:01 UTC;574932;6656956;503632;6.64;168684;5404488;3344992;40.36;2070232;3937228;404
sam;60;2021-10-06 03:55:01 UTC;573160;6655588;505060;6.66;168684;5404900;3350304;40.42;2070604;3937632;68
sam;60;2021-10-06 03:56:01 UTC;574184;6657040;503572;6.64;168684;5405308;3351076;40.43;2070496;3938052;128
sam;60;2021-10-06 03:57:02 UTC;572964;6656240;504368;6.65;168684;5405736;3349756;40.41;2070928;3938468;480
sam;59;2021-10-06 03:58:01 UTC;572356;6656188;504712;6.65;168684;5406288;3349500;40.41;2071124;3939024;560
sam;60;2021-10-06 03:59:01 UTC;571468;6655736;505000;6.66;168684;5406716;3348428;40.40;2071140;3939456;412
sam;60;2021-10-06 04:00:01 UTC;570964;6655668;504872;6.66;168684;5407144;3349924;40.41;2071644;3939884;596
sam;60;2021-10-06 04:01:01 UTC;570460;6655600;504944;6.66;168684;5407580;3347608;40.39;2072244;3940320;500
sam;60;2021-10-06 04:02:01 UTC;570996;6656568;504248;6.65;168684;5408012;3346200;40.37;2072240;3940752;284
sam;60;2021-10-06 04:03:01 UTC;569664;6655812;504728;6.65;168684;5408564;3351076;40.43;2071476;3941308;504
sam;60;2021-10-06 04:04:01 UTC;569624;6656204;504280;6.65;168684;5408996;3342948;40.33;2071256;3941736;368
sam;60;2021-10-06 04:05:01 UTC;567608;6654636;505908;6.67;168684;5409444;3350044;40.42;2071868;3942184;348
sam;60;2021-10-06 04:06:01 UTC;567788;6655292;505092;6.66;168684;5409888;3351040;40.43;2072064;3942624;492
sam;60;2021-10-06 04:07:01 UTC;566900;6654852;505740;6.67;168684;5410324;3349348;40.41;2072080;3943060;228
sam;60;2021-10-06 04:08:01 UTC;566576;6655092;505624;6.67;168684;5410880;3350500;40.42;2072252;3943620;260
sam;60;2021-10-06 04:09:01 UTC;565916;6654868;505792;6.67;168684;5411308;3350208;40.42;2072160;3944048;424
sam;60;2021-10-06 04:10:01 UTC;566064;6655448;505280;6.66;168684;5411728;3351076;40.43;2072588;3944468;268
sam;60;2021-10-06 04:11:01 UTC;565032;6654936;505704;6.67;168684;5412228;3346516;40.37;2072888;3944968;488
sam;60;2021-10-06 04:12:01 UTC;563408;6653704;506820;6.68;168684;5412616;3350268;40.42;2072960;3945352;100
sam;60;2021-10-06 04:13:01 UTC;563716;6654436;506164;6.67;168684;5412984;3350648;40.42;2072636;3945760;664
sam;60;2021-10-06 04:14:01 UTC;563764;6654836;506080;6.67;168684;5413336;3350392;40.42;2072564;3946104;224
sam;60;2021-10-06 04:15:01 UTC;562480;6654032;506792;6.68;168684;5413792;3346068;40.37;2073180;3946560;516
sam;60;2021-10-06 04:16:01 UTC;562732;6654644;505956;6.67;168684;5414112;3350664;40.42;2073440;3946880;396
sam;60;2021-10-06 04:17:01 UTC;570692;6653004;507560;6.69;168684;5404504;3349148;40.41;2073556;3937276;240
sam;60;2021-10-06 04:18:01 UTC;570952;6653596;507148;6.69;168684;5404840;3350304;40.42;2073972;3937608;268
sam;60;2021-10-06 04:19:01 UTC;570552;6653520;507248;6.69;168684;5405164;3345024;40.36;2074184;3937924;496
sam;60;2021-10-06 04:20:01 UTC;569544;6653108;507720;6.69;168684;5405748;3345388;40.36;2074376;3938512;444
sam;60;2021-10-06 04:21:01 UTC;569528;6653572;507280;6.69;168684;5406220;3350428;40.42;2074692;3938988;444
sam;60;2021-10-06 04:22:01 UTC;568016;6652528;508236;6.70;168684;5406684;3345968;40.37;2074860;3939452;476
sam;60;2021-10-06 04:23:01 UTC;568624;6653464;507424;6.69;168684;5407028;3346744;40.38;2074396;3939804;408
sam;60;2021-10-06 04:24:01 UTC;568440;6653632;507084;6.69;168684;5407368;3351076;40.43;2073640;3940136;616
sam;60;2021-10-06 04:25:01 UTC;568128;6653660;507272;6.69;168684;5407708;3344856;40.35;2073436;3940472;556
sam;60;2021-10-06 04:26:01 UTC;567016;6652896;508008;6.70;168684;5408056;3347260;40.38;2074020;3940820;432
sam;60;2021-10-06 04:27:01 UTC;566872;6653096;507448;6.69;168684;5408392;3348412;40.40;2074068;3941156;304
sam;60;2021-10-06 04:28:01 UTC;566180;6652744;507756;6.69;168684;5408728;3349488;40.41;2074072;3941508;536
sam;60;2021-10-06 04:29:01 UTC;566860;6653764;506992;6.68;168684;5409076;3346444;40.37;2074360;3941848;464
sam;60;2021-10-06 04:30:01 UTC;565916;6653236;507596;6.69;168684;5409480;3348640;40.40;2074428;3942244;228
sam;60;2021-10-06 04:31:01 UTC;565476;6653216;507576;6.69;168684;5409944;3351076;40.43;2074692;3942716;484
sam;60;2021-10-06 04:32:01 UTC;564584;6652680;508144;6.70;168684;5410300;3343900;40.34;2074848;3943076;468
sam;60;2021-10-06 04:33:01 UTC;563420;6651860;508820;6.71;168684;5410628;3347172;40.38;2074712;3943428;368
