NAMESPACE         NAME                                                     READY   STATUS      RESTARTS   AGE     IP           NODE       NOMINATED NODE   READINESS GATES
default           mysql-0                                                  1/1     Running     0          5h21m   10.42.0.27   labiot70   <none>           <none>
default           openpdc-higher-6bf5f58bd5-rjcll                          1/1     Running     0          6m52s   10.42.2.33   labiot72   <none>           <none>
default           openpdc-lower-84d77f8c6-dhc58                            1/1     Running     0          4m23s   10.42.0.29   labiot70   <none>           <none>
default           pmu-1-5f6659d9f4-9vqfq                                   1/1     Running     0          5h20m   10.42.2.31   labiot72   <none>           <none>
default           pmu-2-7b9d4499c8-gkt7w                                   1/1     Running     0          5h20m   10.42.3.44   labiot71   <none>           <none>
default           pmu-3-6b6cd6c7c8-7pnz2                                   1/1     Running     0          5h20m   10.42.4.31   labiot73   <none>           <none>
kube-system       coredns-7448499f4d-c5tvk                                 1/1     Running     0          7h9m    10.42.0.3    labiot70   <none>           <none>
kube-system       helm-install-traefik-b95wk                               0/1     Completed   1          7h9m    10.42.0.4    labiot70   <none>           <none>
kube-system       helm-install-traefik-crd-t6l79                           0/1     Completed   0          7h9m    10.42.0.2    labiot70   <none>           <none>
kube-system       local-path-provisioner-5ff76fc89d-5dhnq                  1/1     Running     0          7h9m    10.42.0.6    labiot70   <none>           <none>
kube-system       metrics-server-86cbb8457f-75p64                          1/1     Running     0          7h9m    10.42.0.5    labiot70   <none>           <none>
kube-system       svclb-traefik-4xw9p                                      2/2     Running     0          7h6m    10.42.4.2    labiot73   <none>           <none>
kube-system       svclb-traefik-5v824                                      2/2     Running     0          7h8m    10.42.0.8    labiot70   <none>           <none>
kube-system       svclb-traefik-82bjt                                      2/2     Running     0          7h7m    10.42.3.2    labiot71   <none>           <none>
kube-system       svclb-traefik-nx8vl                                      2/2     Running     0          7h8m    10.42.2.2    labiot72   <none>           <none>
kube-system       traefik-97b44b794-zw8sw                                  1/1     Running     0          7h8m    10.42.0.7    labiot70   <none>           <none>
longhorn-system   csi-attacher-75588bff58-8mfvk                            1/1     Running     0          5h23m   10.42.3.38   labiot71   <none>           <none>
longhorn-system   csi-attacher-75588bff58-m5khv                            1/1     Running     0          5h23m   10.42.2.26   labiot72   <none>           <none>
longhorn-system   csi-attacher-75588bff58-pgvwh                            1/1     Running     0          5h23m   10.42.3.39   labiot71   <none>           <none>
longhorn-system   csi-provisioner-669c8cc698-64nzd                         1/1     Running     0          5h23m   10.42.4.27   labiot73   <none>           <none>
longhorn-system   csi-provisioner-669c8cc698-7v2vf                         1/1     Running     0          5h23m   10.42.4.26   labiot73   <none>           <none>
longhorn-system   csi-provisioner-669c8cc698-sds74                         1/1     Running     0          5h23m   10.42.2.27   labiot72   <none>           <none>
longhorn-system   csi-resizer-5c88bfd4cf-clcz7                             1/1     Running     0          5h23m   10.42.3.41   labiot71   <none>           <none>
longhorn-system   csi-resizer-5c88bfd4cf-mgkdd                             1/1     Running     0          5h23m   10.42.3.40   labiot71   <none>           <none>
longhorn-system   csi-resizer-5c88bfd4cf-t8dwl                             1/1     Running     0          5h23m   10.42.2.28   labiot72   <none>           <none>
longhorn-system   csi-snapshotter-69f8bc8dcf-jbmkx                         1/1     Running     0          5h23m   10.42.2.29   labiot72   <none>           <none>
