# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
ubuntu;300;2021-09-12 00:05:01 UTC;3041580;3556020;191580;4.93;60788;439628;753796;19.41;309728;286396;152
ubuntu;600;2021-09-12 00:15:01 UTC;3046368;3560848;186736;4.81;60820;439636;753796;19.41;305404;286400;176
ubuntu;600;2021-09-12 00:25:01 UTC;3046620;3561136;186444;4.80;60856;439628;749448;19.29;305244;286392;152
ubuntu;600;2021-09-12 00:35:01 UTC;3046620;3561164;186508;4.80;60880;439632;749448;19.29;305408;286396;152
ubuntu;600;2021-09-12 00:45:01 UTC;3046620;3561192;186476;4.80;60900;439640;753236;19.39;305396;286400;152
ubuntu;600;2021-09-12 00:55:01 UTC;3046368;3560960;186688;4.81;60924;439636;753236;19.39;305444;286400;152
ubuntu;600;2021-09-12 01:05:01 UTC;3046368;3560976;186648;4.81;60952;439640;753236;19.39;305352;286404;152
ubuntu;600;2021-09-12 01:15:01 UTC;3046368;3561020;186560;4.80;60976;439640;753236;19.39;305564;286404;152
ubuntu;599;2021-09-12 01:25:01 UTC;3042068;3556832;190948;4.92;61020;439652;749852;19.30;308972;286404;148
ubuntu;600;2021-09-12 01:35:01 UTC;3045848;3560644;187124;4.82;61048;439652;749852;19.30;305512;286408;148
ubuntu;600;2021-09-12 01:45:01 UTC;3045996;3560796;187052;4.82;61060;439648;749852;19.30;305452;286408;148
ubuntu;600;2021-09-12 01:55:01 UTC;3046396;3561220;186604;4.80;61088;439652;749852;19.30;305472;286412;148
ubuntu;600;2021-09-12 02:05:01 UTC;3046320;3561168;186724;4.81;61108;439660;749852;19.30;305496;286412;148
ubuntu;600;2021-09-12 02:15:01 UTC;3046320;3561228;186656;4.81;61152;439660;749224;19.29;306844;286416;148
ubuntu;600;2021-09-12 02:25:01 UTC;3047076;3562004;185920;4.79;61184;439660;749224;19.29;305616;286416;148
ubuntu;600;2021-09-12 02:35:01 UTC;3047076;3562028;185864;4.78;61212;439668;749224;19.29;305636;286420;156
ubuntu;600;2021-09-12 02:45:01 UTC;3047328;3562328;185520;4.78;61236;439672;749224;19.29;305876;286424;216
ubuntu;600;2021-09-12 02:55:01 UTC;3047360;3562380;185440;4.77;61256;439668;749224;19.29;305792;286424;152
ubuntu;600;2021-09-12 03:05:01 UTC;3047076;3562120;185764;4.78;61280;439668;745144;19.18;305760;286428;152
ubuntu;600;2021-09-12 03:15:01 UTC;3042352;3557448;190460;4.90;61332;439668;753860;19.41;309300;286416;148
ubuntu;600;2021-09-12 03:25:01 UTC;3042068;3557372;190504;4.90;61364;439816;753796;19.41;309096;286552;152
ubuntu;600;2021-09-12 03:35:01 UTC;3045060;3560404;187404;4.82;61408;439808;753796;19.41;306188;286552;156
ubuntu;600;2021-09-12 03:45:01 UTC;3045312;3560680;187100;4.82;61424;439816;753796;19.41;306028;286556;152
ubuntu;600;2021-09-12 03:55:01 UTC;3045312;3560704;187048;4.82;61444;439820;753796;19.41;306040;286560;152
ubuntu;600;2021-09-12 04:05:02 UTC;3045564;3560968;186896;4.81;61460;439816;749720;19.30;305936;286560;148
ubuntu;599;2021-09-12 04:15:01 UTC;3045816;3561248;186644;4.81;61480;439820;749720;19.30;305912;286564;152
ubuntu;600;2021-09-12 04:25:01 UTC;3045784;3561248;186588;4.80;61516;439824;753624;19.40;305944;286564;152
ubuntu;600;2021-09-12 04:35:01 UTC;3046036;3561524;186284;4.80;61548;439824;753624;19.40;305964;286568;148
ubuntu;600;2021-09-12 04:45:01 UTC;3046036;3561556;186236;4.79;61568;439828;753624;19.40;305992;286572;148
ubuntu;600;2021-09-12 04:55:01 UTC;3046036;3561576;186188;4.79;61592;439828;753624;19.40;306036;286572;148
ubuntu;600;2021-09-12 05:05:01 UTC;3046288;3561860;185984;4.79;61616;439836;753624;19.40;306088;286576;148
ubuntu;600;2021-09-12 05:15:01 UTC;3046036;3561628;186204;4.79;61628;439836;749436;19.29;306088;286576;148
ubuntu;600;2021-09-12 05:25:01 UTC;3045752;3561416;186368;4.80;61664;439844;749436;19.29;306372;286580;220
ubuntu;600;2021-09-12 05:35:01 UTC;3045752;3561440;186316;4.80;61688;439844;753224;19.39;306360;286580;180
ubuntu;600;2021-09-12 05:45:01 UTC;3045532;3561240;186516;4.80;61712;439840;753224;19.39;306140;286584;148
ubuntu;600;2021-09-12 05:55:01 UTC;3045784;3561532;186200;4.79;61736;439848;753224;19.39;306300;286592;156
ubuntu;600;2021-09-12 06:05:01 UTC;3045784;3561548;186152;4.79;61752;439856;753224;19.39;306304;286592;184
ubuntu;600;2021-09-12 06:15:01 UTC;3046036;3561836;185948;4.79;61784;439852;753224;19.39;306380;286596;152
ubuntu;600;2021-09-12 06:25:01 UTC;3044776;3560600;187192;4.82;61808;439852;748804;19.28;307544;286596;148
ubuntu;600;2021-09-12 06:35:01 UTC;3044272;3560852;186860;4.81;61824;440552;751460;19.35;306620;286944;148
ubuntu;600;2021-09-12 06:45:01 UTC;3042828;3559484;188124;4.84;61836;440552;756600;19.48;307764;286940;152
ubuntu;600;2021-09-12 06:55:01 UTC;3043468;3560268;187328;4.82;61880;440648;756600;19.48;306908;287028;152
ubuntu;600;2021-09-12 07:05:01 UTC;3043972;3560784;186780;4.81;61904;440648;752480;19.37;306872;287032;148
ubuntu;599;2021-09-12 07:15:01 UTC;3044160;3561088;186428;4.80;61936;440656;753228;19.39;309384;285392;0
ubuntu;600;2021-09-12 07:25:01 UTC;3044852;3561836;185648;4.78;61976;440656;749216;19.29;308420;285396;148
ubuntu;600;2021-09-12 07:35:01 UTC;3044664;3561652;185840;4.78;62004;440652;749216;19.29;308440;285396;152
ubuntu;600;2021-09-12 07:45:01 UTC;3044380;3561440;186180;4.79;62036;440660;749216;19.29;308500;285400;152
ubuntu;600;2021-09-12 07:55:01 UTC;3040128;3557232;190584;4.91;62064;440672;755240;19.44;312268;285408;148
ubuntu;600;2021-09-12 08:05:01 UTC;3043772;3560888;186924;4.81;62088;440664;755240;19.44;308540;285408;148
ubuntu;600;2021-09-12 08:15:01 UTC;3043772;3560920;186872;4.81;62112;440672;755240;19.44;308544;285412;148
