# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle[...]
ubuntu;60;2021-09-19 08:23:01 UTC;-1;3.79;0.00;3.04;0.09;0.00;93.08
ubuntu;60;2021-09-19 08:24:01 UTC;-1;3.70;0.00;2.56;0.07;0.00;93.67
ubuntu;60;2021-09-19 08:25:01 UTC;-1;3.85;0.00;2.86;0.10;0.00;93.19
ubuntu;60;2021-09-19 08:26:01 UTC;-1;3.57;0.00;2.64;0.08;0.00;93.71
ubuntu;60;2021-09-19 08:27:01 UTC;-1;3.71;0.00;2.61;0.03;0.00;93.64
ubuntu;60;2021-09-19 08:28:01 UTC;-1;3.68;0.00;2.72;0.11;0.00;93.49
ubuntu;60;2021-09-19 08:29:01 UTC;-1;3.95;0.00;2.77;0.27;0.00;93.00
ubuntu;60;2021-09-19 08:30:01 UTC;-1;3.44;0.00;2.73;0.14;0.00;93.69
ubuntu;60;2021-09-19 08:31:01 UTC;-1;3.88;0.00;2.83;0.05;0.00;93.24
ubuntu;60;2021-09-19 08:32:01 UTC;-1;3.57;0.01;2.66;0.08;0.00;93.67
ubuntu;60;2021-09-19 08:33:01 UTC;-1;3.84;0.00;2.61;0.06;0.00;93.49
ubuntu;60;2021-09-19 08:34:01 UTC;-1;3.58;0.00;2.62;0.05;0.00;93.74
ubuntu;60;2021-09-19 08:35:01 UTC;-1;3.88;0.00;2.70;0.12;0.00;93.29
ubuntu;60;2021-09-19 08:36:01 UTC;-1;3.50;0.00;2.61;0.06;0.00;93.83
ubuntu;60;2021-09-19 08:37:01 UTC;-1;3.81;0.01;2.72;0.08;0.00;93.39
ubuntu;59;2021-09-19 08:38:01 UTC;-1;3.41;0.00;2.60;0.05;0.00;93.94
ubuntu;60;2021-09-19 08:39:01 UTC;-1;3.82;0.01;2.55;0.22;0.00;93.41
ubuntu;60;2021-09-19 08:40:01 UTC;-1;3.66;0.00;2.77;0.13;0.00;93.44
ubuntu;60;2021-09-19 08:41:01 UTC;-1;3.93;0.00;2.68;0.11;0.00;93.28
ubuntu;60;2021-09-19 08:42:01 UTC;-1;3.58;0.01;2.58;0.08;0.00;93.75
ubuntu;60;2021-09-19 08:43:01 UTC;-1;3.76;0.00;2.60;0.03;0.00;93.60
ubuntu;60;2021-09-19 08:44:01 UTC;-1;3.59;0.00;2.60;0.09;0.00;93.72
ubuntu;60;2021-09-19 08:45:01 UTC;-1;3.91;0.01;2.69;0.08;0.00;93.31
ubuntu;60;2021-09-19 08:46:01 UTC;-1;3.51;0.00;2.62;0.15;0.00;93.72
ubuntu;60;2021-09-19 08:47:01 UTC;-1;3.78;0.00;2.64;0.04;0.00;93.54
ubuntu;60;2021-09-19 08:48:01 UTC;-1;3.60;0.00;2.54;0.10;0.00;93.76
ubuntu;60;2021-09-19 08:49:01 UTC;-1;3.99;0.01;2.61;0.06;0.00;93.34
ubuntu;60;2021-09-19 08:50:01 UTC;-1;3.68;0.00;2.74;0.15;0.00;93.43
ubuntu;60;2021-09-19 08:51:01 UTC;-1;3.70;0.00;2.46;0.06;0.00;93.77
ubuntu;60;2021-09-19 08:52:01 UTC;-1;3.54;0.00;2.60;0.03;0.00;93.83
