# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
ubuntu;60;2021-09-19 08:23:01 UTC;1639648;2903744;789632;20.33;123712;1060036;2119488;54.57;1248108;611816;296
ubuntu;60;2021-09-19 08:24:01 UTC;1641488;2905696;787616;20.28;123784;1060044;2119488;54.57;1246484;611744;480
ubuntu;60;2021-09-19 08:25:01 UTC;1639168;2903592;789968;20.34;123816;1060208;2119488;54.57;1248272;611836;520
ubuntu;60;2021-09-19 08:26:01 UTC;1640108;2904520;789132;20.32;123844;1060208;2119488;54.57;1249088;611724;456
ubuntu;60;2021-09-19 08:27:01 UTC;1642580;2907020;786644;20.25;123868;1060212;2123284;54.66;1245508;611728;332
ubuntu;60;2021-09-19 08:28:01 UTC;1649724;2913372;783032;20.16;123908;1060728;2117148;54.50;1242256;611488;904
ubuntu;60;2021-09-19 08:29:01 UTC;1665584;2928048;771568;19.86;123956;1060868;2086516;53.72;1231864;611628;540
ubuntu;60;2021-09-19 08:30:01 UTC;1665852;2928504;771168;19.85;123972;1061012;2082276;53.61;1231092;611724;156
ubuntu;60;2021-09-19 08:31:01 UTC;1656752;2919812;779788;20.08;124004;1061016;2077132;53.47;1240464;611064;164
ubuntu;60;2021-09-19 08:32:01 UTC;1656956;2920236;779284;20.06;124028;1061196;2077132;53.47;1240944;611204;192
ubuntu;60;2021-09-19 08:33:01 UTC;1662940;2926264;773276;19.91;124064;1061200;2077132;53.47;1234488;611196;392
ubuntu;60;2021-09-19 08:34:01 UTC;1663216;2926580;772960;19.90;124104;1061200;2077132;53.47;1234396;611176;688
ubuntu;60;2021-09-19 08:35:01 UTC;1665184;2928728;770800;19.84;124136;1061324;2077132;53.47;1233064;611272;976
ubuntu;60;2021-09-19 08:36:01 UTC;1665972;2929508;770012;19.82;124160;1061332;2077132;53.47;1231552;611276;856
ubuntu;60;2021-09-19 08:37:01 UTC;1663948;2927684;771800;19.87;124176;1061512;2080920;53.57;1232824;611216;708
ubuntu;59;2021-09-19 08:38:01 UTC;1666332;2930092;769436;19.81;124184;1061512;2084772;53.67;1231128;611216;444
ubuntu;60;2021-09-19 08:39:01 UTC;1665296;2929308;770304;19.83;124204;1061776;2084772;53.67;1231308;611372;196
ubuntu;60;2021-09-19 08:40:01 UTC;1665580;2929620;769968;19.82;124220;1061780;2084772;53.67;1231452;611356;1056
ubuntu;60;2021-09-19 08:41:01 UTC;1665376;2929384;770192;19.83;124244;1061784;2084772;53.67;1232688;611360;388
ubuntu;60;2021-09-19 08:42:01 UTC;1664768;2928788;770784;19.84;124252;1061788;2084772;53.67;1232316;611352;400
ubuntu;60;2021-09-19 08:43:01 UTC;1665596;2929636;769868;19.82;124268;1061792;2085040;53.68;1232336;611356;364
ubuntu;60;2021-09-19 08:44:01 UTC;1664736;2928800;770688;19.84;124292;1061792;2081248;53.58;1233312;611284;276
ubuntu;60;2021-09-19 08:45:01 UTC;1664956;2929052;770448;19.83;124324;1061792;2081248;53.58;1232796;610868;960
ubuntu;60;2021-09-19 08:46:01 UTC;1665532;2929664;769736;19.82;124352;1061800;2081248;53.58;1232312;610872;996
ubuntu;60;2021-09-19 08:47:01 UTC;1665248;2929404;769996;19.82;124372;1061804;2081248;53.58;1232308;610876;376
ubuntu;60;2021-09-19 08:48:01 UTC;1664272;2928408;770988;19.85;124392;1061808;2081248;53.58;1232832;610868;476
ubuntu;60;2021-09-19 08:49:01 UTC;1664052;2928208;771180;19.85;124412;1061808;2081248;53.58;1233384;610864;452
ubuntu;60;2021-09-19 08:50:01 UTC;1664920;2929080;770392;19.83;124436;1061812;2081248;53.58;1233048;610864;372
ubuntu;60;2021-09-19 08:51:01 UTC;1664856;2929052;770360;19.83;124468;1061816;2081248;53.58;1233812;610868;440
ubuntu;60;2021-09-19 08:52:01 UTC;1664132;2928344;771064;19.85;124480;1061820;2080784;53.57;1234796;610704;968
ubuntu;60;2021-09-19 08:53:01 UTC;1664100;2928336;771048;19.85;124500;1061824;2080784;53.57;1234368;610708;436
