# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
worker;60;2021-09-19 13:58:01 UTC;384748;3154660;503640;12.97;194464;2373228;4107556;105.75;1199828;1752168;572
worker;60;2021-09-19 13:59:01 UTC;383136;3154476;504896;13.00;194472;2373392;4106140;105.71;1200412;1753456;456
worker;60;2021-09-19 14:00:01 UTC;378636;3150524;509560;13.12;194476;2373432;4107400;105.74;1203168;1753820;484
worker;60;2021-09-19 14:01:01 UTC;380052;3153048;507688;13.07;194484;2373584;4106396;105.72;1202276;1754508;212
worker;62;2021-09-19 14:02:03 UTC;379892;3152992;507660;13.07;194484;2373612;4106636;105.72;1202572;1754436;312
worker;58;2021-09-19 14:03:01 UTC;381532;3155032;505996;13.03;194492;2373624;4108052;105.76;1199416;1754752;424
worker;60;2021-09-19 14:04:02 UTC;381736;3155308;505656;13.02;194492;2373648;4107664;105.75;1200264;1754736;376
worker;59;2021-09-19 14:05:01 UTC;379116;3152980;508456;13.09;194492;2373672;4111156;105.84;1202344;1754968;572
worker;60;2021-09-19 14:06:01 UTC;381488;3155468;505880;13.02;194500;2373684;4116500;105.98;1198816;1754932;332
worker;60;2021-09-19 14:07:01 UTC;381088;3155440;506180;13.03;194504;2373704;4114308;105.92;1201256;1755240;576
worker;60;2021-09-19 14:08:01 UTC;383308;3157840;503812;12.97;194512;2373856;4117772;106.01;1198360;1755324;812
worker;60;2021-09-19 14:09:01 UTC;380348;3155144;506804;13.05;194516;2373996;4117772;106.01;1201368;1755532;632
worker;60;2021-09-19 14:10:01 UTC;381624;3156472;505400;13.01;194536;2374028;4117516;106.00;1199352;1755512;552
worker;60;2021-09-19 14:11:01 UTC;377936;3152852;508868;13.10;194540;2374040;4115968;105.96;1203868;1755524;448
worker;60;2021-09-19 14:12:01 UTC;380180;3155156;506504;13.04;194560;2374064;4125288;106.20;1199464;1755508;484
worker;60;2021-09-19 14:13:01 UTC;382228;3157416;504236;12.98;194564;2374084;4121364;106.10;1199640;1755628;508
worker;60;2021-09-19 14:14:01 UTC;379456;3154888;507184;13.06;194564;2374104;4125288;106.20;1200068;1755684;548
worker;60;2021-09-19 14:15:01 UTC;379172;3154820;507400;13.06;194564;2374124;4125396;106.21;1202428;1755872;428
worker;60;2021-09-19 14:16:01 UTC;380180;3156164;505800;13.02;194580;2374588;4124048;106.17;1203252;1756084;608
worker;60;2021-09-19 14:17:01 UTC;378868;3155156;506996;13.05;194588;2374680;4127444;106.26;1202796;1756328;500
worker;60;2021-09-19 14:18:01 UTC;378472;3154940;507292;13.06;194600;2374824;4124556;106.18;1200368;1756440;588
worker;60;2021-09-19 14:19:01 UTC;380920;3157408;504892;13.00;194616;2374844;4124556;106.18;1200184;1756352;400
