# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
worker;59;2021-09-19 08:23:01 UTC;2502624;3402236;307836;7.93;188576;641640;961120;24.74;705860;325088;132
worker;60;2021-09-19 08:24:01 UTC;2502372;3401992;308192;7.93;188576;641640;961120;24.74;705112;325080;148
worker;60;2021-09-19 08:25:01 UTC;2501176;3400808;309428;7.97;188584;641644;961120;24.74;707304;325084;152
worker;60;2021-09-19 08:26:01 UTC;2499396;3399092;311132;8.01;188592;641648;961120;24.74;709136;325092;152
worker;60;2021-09-19 08:27:01 UTC;2499112;3398816;311448;8.02;188596;641652;961120;24.74;709840;325092;148
worker;60;2021-09-19 08:28:01 UTC;2509428;3408364;304520;7.84;188600;641884;972000;25.02;703892;324648;440
worker;60;2021-09-19 08:29:01 UTC;2522864;3421656;293748;7.56;188604;642060;929624;23.93;691868;324784;184
worker;60;2021-09-19 08:30:01 UTC;2523832;3422636;292812;7.54;188616;642060;929624;23.93;690960;324788;168
worker;60;2021-09-19 08:31:01 UTC;2523652;3422468;293116;7.55;188624;642064;929624;23.93;691008;324780;164
worker;60;2021-09-19 08:32:01 UTC;2524252;3423080;292576;7.53;188632;642068;929624;23.93;690468;324784;200
worker;60;2021-09-19 08:33:01 UTC;2524692;3423532;292080;7.52;188640;642072;929624;23.93;690420;324784;248
worker;60;2021-09-19 08:34:01 UTC;2524604;3423432;292208;7.52;188640;642076;929624;23.93;690188;324784;148
worker;60;2021-09-19 08:35:01 UTC;2525244;3424076;291552;7.51;188644;642076;925060;23.82;690644;324784;4
worker;60;2021-09-19 08:36:01 UTC;2528660;3427548;288012;7.41;188644;642080;925060;23.82;686936;324780;188
worker;60;2021-09-19 08:37:01 UTC;2526896;3425792;289712;7.46;188648;642084;929092;23.92;688676;324784;164
worker;60;2021-09-19 08:38:01 UTC;2526896;3425792;289720;7.46;188648;642084;929092;23.92;688244;324776;152
worker;60;2021-09-19 08:39:01 UTC;2526644;3425544;289908;7.46;188648;642088;929092;23.92;689516;324776;148
worker;60;2021-09-19 08:40:01 UTC;2526172;3425076;290420;7.48;188648;642092;929092;23.92;689196;324780;8
worker;59;2021-09-19 08:41:01 UTC;2527936;3426844;288652;7.43;188648;642096;929092;23.92;686572;324780;180
worker;60;2021-09-19 08:42:01 UTC;2527212;3426132;289328;7.45;188656;642096;929092;23.92;688404;324780;156
worker;60;2021-09-19 08:43:01 UTC;2527180;3426104;289352;7.45;188656;642100;932880;24.02;688364;324780;148
worker;60;2021-09-19 08:44:01 UTC;2525920;3424856;290608;7.48;188664;642104;932880;24.02;689364;324780;156
worker;60;2021-09-19 08:45:01 UTC;2525936;3424896;290668;7.48;188668;642108;932880;24.02;689348;324784;168
worker;60;2021-09-19 08:46:01 UTC;2526304;3425272;290252;7.47;188676;642108;932880;24.02;689588;324772;212
worker;60;2021-09-19 08:47:01 UTC;2525620;3424592;290912;7.49;188676;642112;932880;24.02;689620;324776;148
worker;60;2021-09-19 08:48:01 UTC;2527132;3426120;289388;7.45;188680;642124;932880;24.02;687340;324784;188
worker;60;2021-09-19 08:49:01 UTC;2527636;3426632;288824;7.44;188688;642124;936696;24.11;688308;324780;204
worker;60;2021-09-19 08:50:01 UTC;2527132;3426136;289312;7.45;188688;642128;932732;24.01;688028;324784;196
worker;60;2021-09-19 08:51:01 UTC;2527132;3426148;289252;7.45;188696;642132;928908;23.91;687940;324772;152
worker;60;2021-09-19 08:52:01 UTC;2527384;3426480;288916;7.44;188708;642200;928908;23.91;687476;324840;148
worker;60;2021-09-19 08:53:01 UTC;2527384;3426480;288940;7.44;188708;642200;928908;23.91;687540;324836;148
worker;60;2021-09-19 08:54:01 UTC;2527384;3426488;288904;7.44;188712;642204;928908;23.91;687372;324840;148
worker;60;2021-09-19 08:55:01 UTC;2527384;3426496;288896;7.44;188716;642208;928908;23.91;687820;324844;256
worker;60;2021-09-19 08:56:01 UTC;2525872;3424988;290432;7.48;188720;642208;928908;23.91;688712;324840;156
worker;60;2021-09-19 08:57:01 UTC;2525872;3424996;290404;7.48;188724;642212;928908;23.91;688832;324844;164
worker;60;2021-09-19 08:58:01 UTC;2525840;3425100;290276;7.47;188728;642344;928908;23.91;689420;324976;168
worker;60;2021-09-19 08:59:02 UTC;2525384;3424668;290708;7.48;188732;642348;932700;24.01;689236;324980;168
worker;59;2021-09-19 09:00:01 UTC;2524880;3424164;291284;7.50;188732;642348;932700;24.01;689092;324976;156
worker;60;2021-09-19 09:01:01 UTC;2525784;3425076;290372;7.48;188736;642352;928688;23.91;689164;324980;180
worker;60;2021-09-19 09:02:01 UTC;2525856;3425152;290288;7.47;188736;642356;928688;23.91;688932;324980;148
worker;60;2021-09-19 09:03:01 UTC;2526792;3426096;289316;7.45;188740;642360;928688;23.91;687388;324984;148
worker;60;2021-09-19 09:04:01 UTC;2527180;3426484;288960;7.44;188740;642360;928688;23.91;687308;324980;148
worker;60;2021-09-19 09:05:01 UTC;2527084;3426396;288972;7.44;188744;642364;932496;24.01;687884;324984;164
worker;60;2021-09-19 09:06:01 UTC;2525856;3425172;290180;7.47;188744;642368;928512;23.90;689260;324984;180
worker;60;2021-09-19 09:07:01 UTC;2526328;3425656;289740;7.46;188752;642368;928512;23.90;687440;324980;148
worker;60;2021-09-19 09:08:01 UTC;2526580;3425924;289524;7.45;188764;642372;928512;23.90;688484;324980;244
worker;60;2021-09-19 09:09:01 UTC;2526328;3425684;289756;7.46;188768;642380;928512;23.90;688352;324984;240
worker;60;2021-09-19 09:10:01 UTC;2525620;3425128;290360;7.48;188772;642512;928512;23.90;689124;325124;168
worker;60;2021-09-19 09:11:01 UTC;2525116;3424628;290792;7.49;188772;642512;928512;23.90;689672;325108;260
worker;60;2021-09-19 09:12:01 UTC;2525148;3424664;290792;7.49;188776;642516;928512;23.90;689608;325104;176
worker;60;2021-09-19 09:13:01 UTC;2524928;3424452;290988;7.49;188776;642520;928512;23.90;689828;325104;168
worker;60;2021-09-19 09:14:01 UTC;2524392;3423924;291460;7.50;188784;642520;928512;23.90;690844;325100;152
worker;60;2021-09-19 09:15:01 UTC;2523888;3423432;291996;7.52;188788;642528;932412;24.00;690000;325104;148
worker;60;2021-09-19 09:16:01 UTC;2525328;3424880;290464;7.48;188788;642532;932412;24.00;689336;325108;148
worker;60;2021-09-19 09:17:01 UTC;2525936;3425496;289948;7.46;188796;642532;932412;24.00;689824;325108;148
worker;60;2021-09-19 09:18:02 UTC;2526692;3426260;289216;7.45;188800;642536;932412;24.00;689128;325104;168
worker;59;2021-09-19 09:19:01 UTC;2525684;3425256;290212;7.47;188800;642540;932412;24.00;688940;325104;148
worker;60;2021-09-19 09:20:01 UTC;2525148;3424724;290716;7.48;188800;642544;932412;24.00;689452;325104;148
worker;60;2021-09-19 09:21:01 UTC;2523352;3422972;292508;7.53;188804;642548;932412;24.00;691164;325108;148
worker;60;2021-09-19 09:22:01 UTC;2523384;3423004;292488;7.53;188804;642548;932412;24.00;691300;325104;148
worker;60;2021-09-19 09:23:01 UTC;2521368;3420996;294488;7.58;188812;642548;932412;24.00;693172;325100;164
worker;60;2021-09-19 09:24:01 UTC;2521588;3421228;294164;7.57;188816;642556;932412;24.00;693344;325096;164
worker;60;2021-09-19 09:25:01 UTC;2524392;3424040;291360;7.50;188824;642556;932412;24.00;689680;325096;152
