# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
Labiot70;1;2021-10-13 22:00:01 UTC;224888;5158992;2328216;29.31;164188;4715016;7504728;83.45;1295740;5731412;6564
Labiot70;59;2021-10-13 22:01:01 UTC;217572;5163552;2323748;29.25;165952;4725012;7272388;80.87;1302188;5731308;388
Labiot70;60;2021-10-13 22:02:01 UTC;213996;5160704;2326528;29.29;165952;4725736;7274324;80.89;1302328;5733956;904
Labiot70;60;2021-10-13 22:03:01 UTC;216616;5164416;2322736;29.24;165952;4726828;7271956;80.87;1302444;5733276;816
Labiot70;60;2021-10-13 22:04:01 UTC;219644;5168036;2319196;29.19;165952;4727420;7270388;80.85;1302564;5731516;592
Labiot70;60;2021-10-13 22:05:01 UTC;224060;5173172;2314104;29.13;165952;4728140;7265908;80.80;1302660;5726156;420
Labiot70;60;2021-10-13 22:06:02 UTC;197364;5118628;2366932;29.80;163760;4703320;7810176;86.85;1302936;5748656;708
Labiot70;59;2021-10-13 22:07:01 UTC;195160;5117128;2368444;29.81;163888;4703832;7704920;85.68;1303428;5747440;1376
Labiot70;60;2021-10-13 22:08:01 UTC;193304;5119704;2365856;29.78;163888;4708148;7704676;85.68;1306336;5748248;904
Labiot70;60;2021-10-13 22:09:01 UTC;191260;5118216;2367316;29.80;163896;4708680;7705156;85.68;1306480;5751256;876
Labiot70;60;2021-10-13 22:10:01 UTC;184496;5114604;2371108;29.85;164080;4711648;7811000;86.86;1307568;5756656;804
Labiot70;1;2021-10-13 22:10:01 UTC;186140;5116248;2369464;29.83;164080;4711648;7707400;85.71;1307568;5754732;952
Labiot70;59;2021-10-13 22:11:01 UTC;183788;5114480;2371236;29.85;164080;4712232;7817872;86.94;1307676;5757376;1196
Labiot70;60;2021-10-13 22:12:01 UTC;228988;5160508;2326156;29.28;164080;4712792;7272668;80.87;1308248;5713920;1068
Labiot70;60;2021-10-13 22:13:01 UTC;224776;5156752;2329920;29.33;164080;4713248;7276752;80.92;1308352;5718096;900
Labiot70;60;2021-10-13 22:14:01 UTC;235800;5168244;2318512;29.19;164080;4713720;7266768;80.81;1308464;5707580;684
Labiot70;60;2021-10-13 22:15:01 UTC;239336;5172252;2314452;29.13;164080;4714188;7263344;80.77;1308616;5703996;708
Labiot70;60;2021-10-13 22:16:01 UTC;234784;5168328;2318340;29.18;164080;4714772;7370692;81.96;1308732;5709108;536
Labiot70;60;2021-10-13 22:17:01 UTC;237148;5171036;2315732;29.15;164080;4715112;7264944;80.79;1308824;5706316;816
Labiot70;60;2021-10-13 22:18:01 UTC;234156;5168616;2318232;29.18;164080;4715680;7267056;80.81;1308960;5710024;724
Labiot70;60;2021-10-13 22:19:01 UTC;237084;5172140;2314720;29.14;164080;4716280;7264560;80.78;1309092;5706772;684
Labiot70;59;2021-10-13 22:20:00 UTC;230244;5165768;2321076;29.22;164080;4716748;7369232;81.95;1309216;5711844;512
Labiot70;1;2021-10-13 22:20:01 UTC;231584;5167116;2319724;29.20;164080;4716756;7266720;80.81;1309220;5710360;596
Labiot70;60;2021-10-13 22:21:02 UTC;231296;5167296;2319508;29.20;164080;4717224;7371008;81.97;1309320;5712964;592
