# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle[...]
labiot72;1;2021-10-13 22:00:01 UTC;-1;25.28;7.16;38.48;18.34;0.00;10.74
labiot72;0;2021-10-13 22:00:01 UTC;-1;4.00;0.00;32.00;0.00;0.00;64.00
labiot72;60;2021-10-13 22:01:01 UTC;-1;10.29;0.01;13.13;0.59;0.00;75.98
labiot72;60;2021-10-13 22:02:01 UTC;-1;10.57;0.00;13.05;0.39;0.00;75.99
labiot72;60;2021-10-13 22:03:01 UTC;-1;10.32;0.01;12.82;0.41;0.00;76.44
labiot72;60;2021-10-13 22:04:01 UTC;-1;10.56;0.01;12.89;0.38;0.00;76.17
labiot72;60;2021-10-13 22:05:01 UTC;-1;10.38;0.01;13.06;0.47;0.00;76.09
labiot72;60;2021-10-13 22:06:02 UTC;-1;10.08;0.00;12.69;0.39;0.00;76.84
labiot72;59;2021-10-13 22:07:01 UTC;-1;10.53;0.01;13.21;0.47;0.00;75.79
labiot72;60;2021-10-13 22:08:01 UTC;-1;10.17;0.00;12.87;0.49;0.00;76.47
labiot72;60;2021-10-13 22:09:01 UTC;-1;10.42;0.02;13.05;0.40;0.00;76.11
labiot72;59;2021-10-13 22:10:00 UTC;-1;10.52;0.02;13.84;0.50;0.00;75.12
labiot72;1;2021-10-13 22:10:01 UTC;-1;11.34;0.00;14.12;0.00;0.00;74.54
labiot72;60;2021-10-13 22:11:01 UTC;-1;10.42;0.02;12.59;0.41;0.00;76.56
labiot72;60;2021-10-13 22:12:01 UTC;-1;10.34;0.00;13.10;0.42;0.00;76.14
labiot72;60;2021-10-13 22:13:01 UTC;-1;10.20;0.01;12.73;0.39;0.00;76.68
labiot72;60;2021-10-13 22:14:01 UTC;-1;10.21;0.00;12.64;0.43;0.00;76.72
labiot72;60;2021-10-13 22:15:01 UTC;-1;10.13;0.01;12.88;0.41;0.00;76.57
labiot72;60;2021-10-13 22:16:01 UTC;-1;10.34;0.00;12.96;0.49;0.00;76.21
labiot72;60;2021-10-13 22:17:01 UTC;-1;10.39;0.01;13.15;0.40;0.00;76.05
labiot72;60;2021-10-13 22:18:01 UTC;-1;10.33;0.00;13.09;0.38;0.00;76.19
labiot72;60;2021-10-13 22:19:01 UTC;-1;10.47;0.01;13.43;0.39;0.00;75.70
labiot72;58;2021-10-13 22:20:00 UTC;-1;10.45;0.01;12.91;0.38;0.00;76.26
labiot72;1;2021-10-13 22:20:01 UTC;-1;15.84;0.31;31.37;0.62;0.00;51.86
labiot72;60;2021-10-13 22:21:01 UTC;-1;10.60;0.01;12.84;0.43;0.00;76.13
labiot72;60;2021-10-13 22:22:01 UTC;-1;10.43;0.01;13.31;0.42;0.00;75.83
labiot72;60;2021-10-13 22:23:01 UTC;-1;10.17;0.01;12.96;0.48;0.00;76.38
labiot72;60;2021-10-13 22:24:01 UTC;-1;10.21;0.00;12.87;0.50;0.00;76.43
labiot72;60;2021-10-13 22:25:01 UTC;-1;10.06;0.01;13.23;0.44;0.00;76.27
labiot72;60;2021-10-13 22:26:01 UTC;-1;10.08;0.01;13.01;0.39;0.00;76.51
labiot72;60;2021-10-13 22:27:01 UTC;-1;10.47;0.01;12.77;0.42;0.00;76.33
labiot72;60;2021-10-13 22:28:01 UTC;-1;10.07;0.01;12.83;0.43;0.00;76.66
labiot72;60;2021-10-13 22:29:01 UTC;-1;10.47;0.00;13.17;0.38;0.00;75.97
labiot72;59;2021-10-13 22:30:00 UTC;-1;10.36;0.01;12.77;0.36;0.00;76.50
labiot72;2;2021-10-13 22:30:01 UTC;-1;12.08;0.00;12.08;0.48;0.00;75.36
labiot72;60;2021-10-13 22:31:01 UTC;-1;10.43;0.02;12.94;0.34;0.00;76.27
labiot72;60;2021-10-13 22:32:01 UTC;-1;10.75;0.00;13.05;0.55;0.00;75.65
labiot72;60;2021-10-13 22:33:02 UTC;-1;10.25;0.01;12.91;0.50;0.00;76.33
labiot72;59;2021-10-13 22:34:01 UTC;-1;10.38;0.00;12.69;0.42;0.00;76.50
labiot72;60;2021-10-13 22:35:01 UTC;-1;10.41;0.00;13.03;0.36;0.00;76.19
labiot72;60;2021-10-13 22:36:01 UTC;-1;10.47;0.01;12.98;0.38;0.00;76.15
labiot72;60;2021-10-13 22:37:01 UTC;-1;10.20;0.01;12.99;0.41;0.00;76.38
