# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle[...]
ubuntu;60;2021-09-17 12:36:01 UTC;-1;29.17;0.00;4.21;0.11;0.00;66.51
ubuntu;60;2021-09-17 12:37:01 UTC;-1;29.22;0.00;4.17;0.07;0.00;66.55
ubuntu;60;2021-09-17 12:38:01 UTC;-1;29.18;0.00;4.09;0.64;0.00;66.10
ubuntu;60;2021-09-17 12:39:01 UTC;-1;29.11;0.00;4.04;0.79;0.00;66.06
ubuntu;60;2021-09-17 12:40:01 UTC;-1;29.19;0.00;3.97;0.16;0.00;66.68
ubuntu;60;2021-09-17 12:41:01 UTC;-1;29.21;0.00;3.88;0.11;0.00;66.81
ubuntu;60;2021-09-17 12:42:01 UTC;-1;29.06;0.00;3.99;0.15;0.00;66.79
ubuntu;60;2021-09-17 12:43:01 UTC;-1;29.17;0.00;3.98;0.11;0.00;66.74
ubuntu;60;2021-09-17 12:44:01 UTC;-1;29.06;0.00;4.06;0.16;0.00;66.73
ubuntu;60;2021-09-17 12:45:01 UTC;-1;29.15;0.00;4.06;0.07;0.00;66.72
ubuntu;60;2021-09-17 12:46:01 UTC;-1;29.09;0.00;4.15;0.09;0.00;66.67
ubuntu;60;2021-09-17 12:47:01 UTC;-1;29.03;0.00;4.14;0.07;0.00;66.75
ubuntu;60;2021-09-17 12:48:01 UTC;-1;28.98;0.00;4.10;0.08;0.00;66.83
ubuntu;60;2021-09-17 12:49:01 UTC;-1;29.20;0.00;3.99;0.10;0.00;66.70
ubuntu;60;2021-09-17 12:50:01 UTC;-1;29.11;0.00;4.02;0.10;0.00;66.77
ubuntu;59;2021-09-17 12:51:01 UTC;-1;29.12;0.00;3.85;0.09;0.00;66.94
ubuntu;60;2021-09-17 12:52:01 UTC;-1;29.16;0.00;3.96;0.10;0.00;66.78
ubuntu;60;2021-09-17 12:53:01 UTC;-1;29.13;0.00;4.01;1.21;0.00;65.65
ubuntu;60;2021-09-17 12:54:01 UTC;-1;29.05;0.00;4.03;0.07;0.00;66.85
ubuntu;60;2021-09-17 12:55:01 UTC;-1;29.50;0.00;4.33;0.21;0.00;65.97
ubuntu;60;2021-09-17 12:56:01 UTC;-1;29.18;0.00;4.01;0.09;0.00;66.72
ubuntu;60;2021-09-17 12:57:01 UTC;-1;29.15;0.00;4.02;0.09;0.00;66.74
ubuntu;60;2021-09-17 12:58:01 UTC;-1;29.15;0.00;4.03;0.09;0.00;66.73
ubuntu;60;2021-09-17 12:59:01 UTC;-1;29.14;0.00;4.10;0.75;0.00;66.01
ubuntu;60;2021-09-17 13:00:01 UTC;-1;29.10;0.00;4.10;0.08;0.00;66.72
ubuntu;60;2021-09-17 13:01:01 UTC;-1;29.13;0.00;3.98;0.13;0.00;66.76
ubuntu;60;2021-09-17 13:02:01 UTC;-1;29.19;0.00;4.01;0.16;0.00;66.64
ubuntu;60;2021-09-17 13:03:01 UTC;-1;29.10;0.00;4.11;0.09;0.00;66.71
ubuntu;60;2021-09-17 13:04:01 UTC;-1;29.13;0.00;4.05;0.10;0.00;66.72
ubuntu;60;2021-09-17 13:05:01 UTC;-1;29.17;0.00;3.98;0.07;0.00;66.78
ubuntu;60;2021-09-17 13:06:01 UTC;-1;29.03;0.00;4.06;0.08;0.00;66.83
ubuntu;60;2021-09-17 13:07:01 UTC;-1;29.22;0.00;4.00;0.09;0.00;66.68
ubuntu;60;2021-09-17 13:08:01 UTC;-1;29.08;0.00;4.00;0.40;0.00;66.52
ubuntu;60;2021-09-17 13:09:01 UTC;-1;29.10;0.00;4.01;0.11;0.00;66.77
ubuntu;60;2021-09-17 13:10:01 UTC;-1;29.08;0.00;4.08;0.54;0.00;66.29
ubuntu;60;2021-09-17 13:11:01 UTC;-1;29.09;0.00;4.13;0.16;0.00;66.62
ubuntu;60;2021-09-17 13:12:01 UTC;-1;29.07;0.00;4.12;0.08;0.00;66.73
ubuntu;59;2021-09-17 13:13:01 UTC;-1;29.07;0.00;4.02;0.83;0.00;66.09
ubuntu;60;2021-09-17 13:14:01 UTC;-1;29.13;0.00;4.12;0.71;0.00;66.04
ubuntu;60;2021-09-17 13:15:01 UTC;-1;29.03;0.00;4.26;0.80;0.00;65.91
ubuntu;60;2021-09-17 13:16:01 UTC;-1;29.12;0.00;3.91;0.12;0.00;66.85
ubuntu;60;2021-09-17 13:17:01 UTC;-1;29.29;0.00;3.97;0.11;0.00;66.63
ubuntu;60;2021-09-17 13:18:01 UTC;-1;29.03;0.00;4.04;0.59;0.00;66.34
ubuntu;60;2021-09-17 13:19:01 UTC;-1;29.13;0.00;4.01;1.25;0.00;65.61
ubuntu;60;2021-09-17 13:20:01 UTC;-1;29.19;0.00;3.93;0.25;0.00;66.63
ubuntu;60;2021-09-17 13:21:01 UTC;-1;29.11;0.00;4.01;0.12;0.00;66.76
ubuntu;60;2021-09-17 13:22:01 UTC;-1;29.10;0.00;4.02;0.16;0.00;66.72
ubuntu;60;2021-09-17 13:23:01 UTC;-1;29.08;0.00;4.11;0.13;0.00;66.69
ubuntu;60;2021-09-17 13:24:01 UTC;-1;29.06;0.00;3.98;0.14;0.00;66.81
ubuntu;60;2021-09-17 13:25:01 UTC;-1;29.01;0.00;4.10;0.39;0.00;66.50
ubuntu;60;2021-09-17 13:26:01 UTC;-1;29.14;0.00;3.89;0.09;0.00;66.88
ubuntu;60;2021-09-17 13:27:01 UTC;-1;29.19;0.00;3.97;0.80;0.00;66.03
ubuntu;60;2021-09-17 13:28:01 UTC;-1;29.11;0.00;3.94;0.10;0.00;66.85
ubuntu;60;2021-09-17 13:29:01 UTC;-1;29.16;0.00;4.01;0.38;0.00;66.45
ubuntu;60;2021-09-17 13:30:01 UTC;-1;29.05;0.00;4.02;0.09;0.00;66.85
ubuntu;60;2021-09-17 13:31:01 UTC;-1;29.13;0.00;4.02;0.09;0.00;66.76
ubuntu;60;2021-09-17 13:32:01 UTC;-1;29.16;0.00;4.02;0.13;0.00;66.69
ubuntu;60;2021-09-17 13:33:01 UTC;-1;29.08;0.00;4.05;0.12;0.00;66.75
ubuntu;60;2021-09-17 13:34:02 UTC;-1;28.99;0.00;4.10;0.09;0.00;66.82
ubuntu;59;2021-09-17 13:35:01 UTC;-1;29.05;0.00;4.05;0.11;0.00;66.79
ubuntu;60;2021-09-17 13:36:01 UTC;-1;28.96;0.00;4.09;0.08;0.00;66.86
ubuntu;60;2021-09-17 13:37:01 UTC;-1;29.20;0.00;3.92;0.09;0.00;66.79
ubuntu;60;2021-09-17 13:38:01 UTC;-1;29.21;0.00;3.95;0.13;0.00;66.71
ubuntu;60;2021-09-17 13:39:01 UTC;-1;29.10;0.00;4.08;0.12;0.00;66.70
ubuntu;60;2021-09-17 13:40:01 UTC;-1;29.20;0.00;4.01;0.08;0.00;66.72
ubuntu;60;2021-09-17 13:41:01 UTC;-1;29.23;0.00;3.95;0.09;0.00;66.73
ubuntu;60;2021-09-17 13:42:01 UTC;-1;29.13;0.00;4.04;0.12;0.00;66.71
ubuntu;60;2021-09-17 13:43:01 UTC;-1;29.10;0.00;4.09;0.10;0.00;66.71
ubuntu;60;2021-09-17 13:44:01 UTC;-1;29.11;0.00;4.13;0.13;0.00;66.63
ubuntu;60;2021-09-17 13:45:01 UTC;-1;29.22;0.00;4.05;0.08;0.00;66.65
ubuntu;60;2021-09-17 13:46:01 UTC;-1;29.17;0.00;3.96;0.17;0.00;66.70
ubuntu;60;2021-09-17 13:47:01 UTC;-1;29.09;0.00;4.02;0.09;0.00;66.81
ubuntu;60;2021-09-17 13:48:01 UTC;-1;29.11;0.00;3.99;0.06;0.00;66.85
ubuntu;60;2021-09-17 13:49:01 UTC;-1;29.13;0.00;3.99;0.14;0.00;66.74
ubuntu;60;2021-09-17 13:50:01 UTC;-1;29.15;0.00;3.94;0.08;0.00;66.83
ubuntu;60;2021-09-17 13:51:01 UTC;-1;29.13;0.00;3.93;0.12;0.00;66.82
ubuntu;60;2021-09-17 13:52:01 UTC;-1;28.98;0.00;4.04;1.56;0.00;65.42
ubuntu;60;2021-09-17 13:53:01 UTC;-1;29.11;0.00;3.97;0.13;0.00;66.79
ubuntu;60;2021-09-17 13:54:01 UTC;-1;29.02;0.00;4.03;0.09;0.00;66.85
ubuntu;60;2021-09-17 13:55:01 UTC;-1;29.17;0.00;4.06;0.08;0.00;66.69
ubuntu;59;2021-09-17 13:56:01 UTC;-1;29.15;0.00;3.92;0.07;0.00;66.86
ubuntu;60;2021-09-17 13:57:01 UTC;-1;29.14;0.00;4.03;0.11;0.00;66.72
ubuntu;60;2021-09-17 13:58:01 UTC;-1;29.08;0.00;4.02;0.09;0.00;66.81
ubuntu;60;2021-09-17 13:59:01 UTC;-1;29.08;0.00;4.10;0.55;0.00;66.28
ubuntu;60;2021-09-17 14:00:01 UTC;-1;29.08;0.00;3.99;0.13;0.00;66.81
ubuntu;60;2021-09-17 14:01:01 UTC;-1;29.21;0.00;3.88;0.10;0.00;66.80
ubuntu;60;2021-09-17 14:02:01 UTC;-1;29.14;0.00;4.01;0.44;0.00;66.41
ubuntu;60;2021-09-17 14:03:01 UTC;-1;29.13;0.00;3.87;0.07;0.00;66.92
ubuntu;60;2021-09-17 14:04:01 UTC;-1;29.13;0.00;3.95;0.09;0.00;66.83
ubuntu;60;2021-09-17 14:05:01 UTC;-1;29.13;0.00;4.00;0.08;0.00;66.79
ubuntu;60;2021-09-17 14:06:01 UTC;-1;29.03;0.00;4.07;0.10;0.00;66.79
ubuntu;60;2021-09-17 14:07:01 UTC;-1;29.14;0.00;3.89;0.16;0.00;66.82
ubuntu;60;2021-09-17 14:08:01 UTC;-1;29.15;0.00;3.90;0.76;0.00;66.20
ubuntu;60;2021-09-17 14:09:01 UTC;-1;29.10;0.00;3.96;0.11;0.00;66.82
ubuntu;60;2021-09-17 14:10:01 UTC;-1;29.14;0.00;3.99;0.07;0.00;66.79
ubuntu;60;2021-09-17 14:11:01 UTC;-1;29.12;0.00;3.93;0.09;0.00;66.87
ubuntu;60;2021-09-17 14:12:01 UTC;-1;29.13;0.00;3.96;0.10;0.00;66.81
ubuntu;60;2021-09-17 14:13:01 UTC;-1;29.11;0.00;3.97;0.08;0.00;66.83
ubuntu;60;2021-09-17 14:14:01 UTC;-1;29.17;0.00;4.06;0.12;0.00;66.65
ubuntu;60;2021-09-17 14:15:01 UTC;-1;29.13;0.00;3.92;0.07;0.00;66.88
ubuntu;60;2021-09-17 14:16:01 UTC;-1;29.16;0.00;4.18;0.09;0.00;66.57
ubuntu;60;2021-09-17 14:17:02 UTC;-1;29.14;0.00;3.96;0.11;0.00;66.78
ubuntu;59;2021-09-17 14:18:01 UTC;-1;29.20;0.00;3.90;0.09;0.00;66.81
ubuntu;60;2021-09-17 14:19:01 UTC;-1;29.08;0.00;3.99;0.08;0.00;66.85
ubuntu;60;2021-09-17 14:20:01 UTC;-1;29.12;0.00;3.93;0.12;0.00;66.83
ubuntu;60;2021-09-17 14:21:01 UTC;-1;29.09;0.00;3.93;0.07;0.00;66.90
ubuntu;60;2021-09-17 14:22:01 UTC;-1;28.83;0.00;4.02;1.33;0.00;65.82
ubuntu;60;2021-09-17 14:23:01 UTC;-1;29.16;0.00;4.03;0.09;0.00;66.73
ubuntu;60;2021-09-17 14:24:01 UTC;-1;29.16;0.00;3.93;0.11;0.00;66.80
ubuntu;60;2021-09-17 14:25:01 UTC;-1;29.05;0.00;4.03;0.11;0.00;66.81
ubuntu;60;2021-09-17 14:26:01 UTC;-1;29.17;0.00;4.05;0.09;0.00;66.69
ubuntu;60;2021-09-17 14:27:01 UTC;-1;29.13;0.00;4.12;0.11;0.00;66.64
ubuntu;60;2021-09-17 14:28:01 UTC;-1;29.08;0.00;3.93;0.07;0.00;66.93
ubuntu;60;2021-09-17 14:29:01 UTC;-1;29.08;0.00;3.98;0.13;0.00;66.81
ubuntu;60;2021-09-17 14:30:01 UTC;-1;29.12;0.00;3.90;0.10;0.00;66.89
ubuntu;60;2021-09-17 14:31:01 UTC;-1;29.10;0.00;4.03;0.05;0.00;66.82
ubuntu;60;2021-09-17 14:32:01 UTC;-1;29.13;0.00;4.04;0.08;0.00;66.75
ubuntu;60;2021-09-17 14:33:01 UTC;-1;29.10;0.00;4.08;0.13;0.00;66.69
ubuntu;60;2021-09-17 14:34:01 UTC;-1;29.12;0.00;3.99;0.08;0.00;66.81
ubuntu;60;2021-09-17 14:35:01 UTC;-1;29.11;0.00;4.02;0.10;0.00;66.77
ubuntu;60;2021-09-17 14:36:01 UTC;-1;29.16;0.00;3.91;0.09;0.00;66.85
ubuntu;60;2021-09-17 14:37:01 UTC;-1;29.05;0.00;3.97;0.12;0.00;66.86
ubuntu;60;2021-09-17 14:38:02 UTC;-1;29.15;0.00;3.94;0.07;0.00;66.85
ubuntu;59;2021-09-17 14:39:01 UTC;-1;28.94;0.00;4.06;4.12;0.00;62.88
ubuntu;60;2021-09-17 14:40:01 UTC;-1;29.18;0.00;3.96;0.09;0.00;66.77
ubuntu;60;2021-09-17 14:41:01 UTC;-1;29.02;0.00;3.99;0.43;0.00;66.56
ubuntu;60;2021-09-17 14:42:01 UTC;-1;29.12;0.00;3.98;0.78;0.00;66.11
ubuntu;60;2021-09-17 14:43:01 UTC;-1;29.13;0.00;3.95;0.12;0.00;66.79
