# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle[...]
ubuntu;60;2021-09-18 00:01:01 UTC;-1;7.80;0.10;33.29;1.17;0.00;57.64
ubuntu;60;2021-09-18 00:02:01 UTC;-1;7.64;0.00;32.97;0.08;0.00;59.32
ubuntu;60;2021-09-18 00:03:01 UTC;-1;7.80;0.00;33.02;0.06;0.00;59.12
ubuntu;60;2021-09-18 00:04:01 UTC;-1;7.80;0.00;33.05;0.08;0.00;59.07
ubuntu;60;2021-09-18 00:05:01 UTC;-1;7.59;0.00;33.01;0.09;0.00;59.31
ubuntu;60;2021-09-18 00:06:01 UTC;-1;7.85;0.00;32.93;0.08;0.00;59.14
ubuntu;60;2021-09-18 00:07:01 UTC;-1;7.63;0.00;33.06;0.06;0.00;59.25
ubuntu;60;2021-09-18 00:08:02 UTC;-1;7.77;0.00;32.83;0.08;0.00;59.33
ubuntu;59;2021-09-18 00:09:01 UTC;-1;7.81;0.00;33.02;0.09;0.00;59.08
ubuntu;60;2021-09-18 00:10:01 UTC;-1;7.79;0.00;33.07;0.08;0.00;59.06
ubuntu;60;2021-09-18 00:11:01 UTC;-1;7.53;0.00;33.08;0.47;0.00;58.93
ubuntu;60;2021-09-18 00:12:01 UTC;-1;7.60;0.00;33.02;0.73;0.00;58.65
ubuntu;60;2021-09-18 00:13:01 UTC;-1;7.91;0.00;32.89;0.07;0.00;59.13
ubuntu;60;2021-09-18 00:14:01 UTC;-1;7.62;0.00;32.88;0.07;0.00;59.43
ubuntu;60;2021-09-18 00:15:01 UTC;-1;7.67;0.00;33.10;0.06;0.00;59.16
ubuntu;60;2021-09-18 00:16:01 UTC;-1;7.79;0.00;32.90;0.09;0.00;59.22
ubuntu;60;2021-09-18 00:17:01 UTC;-1;7.51;0.00;33.03;0.07;0.00;59.39
ubuntu;60;2021-09-18 00:18:01 UTC;-1;7.69;0.00;32.95;0.07;0.00;59.28
ubuntu;60;2021-09-18 00:19:01 UTC;-1;7.74;0.00;32.87;0.10;0.00;59.29
ubuntu;60;2021-09-18 00:20:01 UTC;-1;7.64;0.00;33.05;0.06;0.00;59.24
ubuntu;60;2021-09-18 00:21:01 UTC;-1;7.80;0.00;32.93;0.06;0.00;59.21
ubuntu;60;2021-09-18 00:22:01 UTC;-1;7.39;0.00;33.27;0.10;0.00;59.25
ubuntu;60;2021-09-18 00:23:01 UTC;-1;7.76;0.00;33.05;0.06;0.00;59.13
ubuntu;60;2021-09-18 00:24:01 UTC;-1;7.74;0.00;32.99;0.13;0.00;59.14
ubuntu;60;2021-09-18 00:25:01 UTC;-1;7.92;0.00;32.87;0.12;0.00;59.09
ubuntu;60;2021-09-18 00:26:01 UTC;-1;7.62;0.00;32.90;0.08;0.00;59.40
ubuntu;60;2021-09-18 00:27:01 UTC;-1;7.65;0.00;32.85;0.07;0.00;59.44
ubuntu;59;2021-09-18 00:28:01 UTC;-1;7.66;0.00;33.03;0.07;0.00;59.24
ubuntu;60;2021-09-18 00:29:01 UTC;-1;7.61;0.00;33.07;0.07;0.00;59.25
ubuntu;60;2021-09-18 00:30:01 UTC;-1;7.69;0.00;32.89;2.11;0.00;57.32
ubuntu;60;2021-09-18 00:31:01 UTC;-1;7.69;0.00;33.04;0.59;0.00;58.68
ubuntu;60;2021-09-18 00:32:01 UTC;-1;7.76;0.00;32.89;0.32;0.00;59.03
ubuntu;60;2021-09-18 00:33:01 UTC;-1;7.74;0.00;32.84;0.09;0.00;59.33
ubuntu;60;2021-09-18 00:34:01 UTC;-1;7.67;0.00;32.97;0.10;0.00;59.26
ubuntu;60;2021-09-18 00:35:01 UTC;-1;7.60;0.00;33.09;0.10;0.00;59.20
ubuntu;60;2021-09-18 00:36:01 UTC;-1;7.75;0.00;32.95;0.07;0.00;59.23
ubuntu;60;2021-09-18 00:37:01 UTC;-1;7.71;0.00;32.87;0.07;0.00;59.35
ubuntu;60;2021-09-18 00:38:01 UTC;-1;7.76;0.00;33.09;0.07;0.00;59.08
ubuntu;60;2021-09-18 00:39:01 UTC;-1;7.72;0.00;32.99;0.05;0.00;59.25
ubuntu;60;2021-09-18 00:40:01 UTC;-1;7.48;0.00;33.25;0.10;0.00;59.18
ubuntu;60;2021-09-18 00:41:01 UTC;-1;7.79;0.00;33.05;0.09;0.00;59.07
ubuntu;60;2021-09-18 00:42:01 UTC;-1;7.73;0.00;33.12;0.05;0.00;59.10
ubuntu;60;2021-09-18 00:43:01 UTC;-1;7.61;0.00;32.84;0.07;0.00;59.48
ubuntu;60;2021-09-18 00:44:01 UTC;-1;7.64;0.00;33.03;0.08;0.00;59.25
ubuntu;60;2021-09-18 00:45:01 UTC;-1;7.68;0.00;33.02;1.37;0.00;57.93
ubuntu;60;2021-09-18 00:46:01 UTC;-1;7.74;0.00;33.11;0.10;0.00;59.05
ubuntu;60;2021-09-18 00:47:01 UTC;-1;7.82;0.00;32.76;1.08;0.00;58.35
ubuntu;59;2021-09-18 00:48:01 UTC;-1;7.87;0.00;33.09;0.08;0.00;58.96
ubuntu;60;2021-09-18 00:49:01 UTC;-1;7.78;0.00;33.02;0.98;0.00;58.23
ubuntu;60;2021-09-18 00:50:01 UTC;-1;7.77;0.00;33.08;0.14;0.00;59.01
ubuntu;60;2021-09-18 00:51:01 UTC;-1;7.78;0.00;33.10;0.09;0.00;59.03
ubuntu;60;2021-09-18 00:52:01 UTC;-1;7.85;0.00;32.97;0.06;0.00;59.12
ubuntu;60;2021-09-18 00:53:01 UTC;-1;7.74;0.00;33.04;0.07;0.00;59.14
ubuntu;60;2021-09-18 00:54:01 UTC;-1;7.74;0.00;33.03;0.11;0.00;59.12
ubuntu;60;2021-09-18 00:55:01 UTC;-1;7.61;0.00;33.25;0.10;0.00;59.05
