# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
ubuntu;60;2021-09-18 00:01:01 UTC;51640;2446100;1279100;32.93;154232;2029204;3447232;88.75;1711124;1639248;364
ubuntu;60;2021-09-18 00:02:01 UTC;54680;2449512;1275716;32.84;154232;2029464;3442228;88.62;1708684;1639492;428
ubuntu;60;2021-09-18 00:03:01 UTC;52160;2447276;1277928;32.90;154232;2029740;3446724;88.73;1709820;1639760;416
ubuntu;60;2021-09-18 00:04:01 UTC;43812;2439196;1285964;33.11;154232;2030000;3449720;88.81;1718796;1640020;372
ubuntu;60;2021-09-18 00:05:01 UTC;50544;2446196;1278932;32.93;154232;2030264;3445852;88.71;1712136;1640264;388
ubuntu;60;2021-09-18 00:06:01 UTC;47340;2443140;1281980;33.00;154236;2030400;3443452;88.65;1714280;1640380;196
ubuntu;60;2021-09-18 00:07:01 UTC;48024;2434516;1290568;33.23;154156;2021384;3457608;89.01;1721084;1633464;360
ubuntu;60;2021-09-18 00:08:02 UTC;62836;2449740;1275488;32.84;154156;2021656;3447076;88.74;1707004;1633724;292
ubuntu;59;2021-09-18 00:09:01 UTC;58060;2445232;1279920;32.95;154156;2021916;3451016;88.84;1710388;1633968;256
ubuntu;60;2021-09-18 00:10:01 UTC;53456;2440904;1284260;33.06;154156;2022188;3767880;97.00;1716072;1634236;316
ubuntu;60;2021-09-18 00:11:01 UTC;63844;2451564;1273640;32.79;154156;2022452;3449100;88.80;1704356;1634472;300
ubuntu;60;2021-09-18 00:12:01 UTC;61292;2449284;1275828;32.85;154156;2022716;3447228;88.75;1708312;1634732;284
ubuntu;60;2021-09-18 00:13:01 UTC;61828;2449960;1275116;32.83;154160;2022848;3445272;88.70;1705972;1634852;260
ubuntu;60;2021-09-18 00:14:01 UTC;61796;2450204;1274848;32.82;154164;2023112;3447700;88.76;1706088;1635096;248
ubuntu;60;2021-09-18 00:15:01 UTC;56316;2445124;1279992;32.95;154164;2023508;3447676;88.76;1711740;1635468;312
ubuntu;60;2021-09-18 00:16:01 UTC;57040;2446116;1278936;32.93;154164;2023772;3450084;88.82;1710056;1635720;400
ubuntu;60;2021-09-18 00:17:01 UTC;56348;2445696;1279492;32.94;154164;2024036;3445852;88.71;1710460;1635948;260
ubuntu;60;2021-09-18 00:18:01 UTC;57876;2447496;1277716;32.89;154164;2024296;3451704;88.86;1709188;1636140;320
ubuntu;60;2021-09-18 00:19:01 UTC;57624;2447520;1277668;32.89;154164;2024568;3447944;88.77;1709340;1636360;408
ubuntu;60;2021-09-18 00:20:01 UTC;52080;2442252;1282900;33.03;154164;2024832;3450132;88.82;1714324;1636548;260
ubuntu;60;2021-09-18 00:21:01 UTC;56740;2447052;1277956;32.90;154164;2024964;3448348;88.78;1708724;1636620;368
ubuntu;60;2021-09-18 00:22:01 UTC;57404;2447988;1277120;32.88;154164;2025236;3446328;88.72;1708748;1636816;180
ubuntu;60;2021-09-18 00:23:01 UTC;56112;2446960;1278100;32.90;154164;2025492;3447200;88.75;1710816;1637028;352
ubuntu;60;2021-09-18 00:24:01 UTC;54716;2445844;1279360;32.94;154164;2025764;3450200;88.82;1710792;1637244;248
ubuntu;60;2021-09-18 00:25:01 UTC;53340;2444732;1280448;32.96;154164;2026024;3449128;88.80;1710960;1637440;304
ubuntu;60;2021-09-18 00:26:01 UTC;51072;2442732;1282380;33.01;154164;2026284;3452292;88.88;1716132;1637644;292
