# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle[...]
ubuntu;60;2021-09-17 00:01:01 UTC;-1;27.55;0.03;2.93;0.19;0.00;69.30
ubuntu;60;2021-09-17 00:02:01 UTC;-1;27.54;0.00;2.80;0.06;0.00;69.60
ubuntu;60;2021-09-17 00:03:01 UTC;-1;27.56;0.00;2.76;0.05;0.00;69.63
ubuntu;60;2021-09-17 00:04:01 UTC;-1;27.46;0.00;2.78;0.05;0.00;69.71
ubuntu;60;2021-09-17 00:05:01 UTC;-1;27.51;0.00;2.78;0.08;0.00;69.63
ubuntu;60;2021-09-17 00:06:01 UTC;-1;27.46;0.00;2.95;0.07;0.00;69.53
ubuntu;60;2021-09-17 00:07:01 UTC;-1;27.49;0.00;2.86;0.05;0.00;69.60
ubuntu;60;2021-09-17 00:08:01 UTC;-1;27.55;0.00;2.81;0.08;0.00;69.55
ubuntu;60;2021-09-17 00:09:01 UTC;-1;27.47;0.00;2.77;0.08;0.00;69.68
ubuntu;60;2021-09-17 00:10:01 UTC;-1;27.55;0.00;2.78;0.06;0.00;69.61
ubuntu;60;2021-09-17 00:11:01 UTC;-1;27.53;0.00;2.81;0.05;0.00;69.61
ubuntu;59;2021-09-17 00:12:01 UTC;-1;27.47;0.00;2.93;0.05;0.00;69.54
ubuntu;60;2021-09-17 00:13:01 UTC;-1;26.78;0.00;3.63;0.10;0.00;69.48
ubuntu;60;2021-09-17 00:14:01 UTC;-1;26.07;0.00;3.97;0.05;0.00;69.91
ubuntu;60;2021-09-17 00:15:01 UTC;-1;26.84;0.00;4.13;0.04;0.00;69.00
ubuntu;60;2021-09-17 00:16:01 UTC;-1;27.56;0.00;4.44;0.10;0.00;67.90
ubuntu;60;2021-09-17 00:17:01 UTC;-1;27.40;0.00;3.01;0.07;0.00;69.52
ubuntu;60;2021-09-17 00:18:01 UTC;-1;27.51;0.00;2.88;0.05;0.00;69.57
ubuntu;60;2021-09-17 00:19:01 UTC;-1;27.45;0.00;2.81;0.08;0.00;69.66
ubuntu;60;2021-09-17 00:20:01 UTC;-1;27.40;0.00;2.91;0.06;0.00;69.63
ubuntu;60;2021-09-17 00:21:01 UTC;-1;27.47;0.00;2.75;0.06;0.00;69.72
ubuntu;60;2021-09-17 00:22:01 UTC;-1;27.54;0.00;2.72;0.05;0.00;69.69
ubuntu;60;2021-09-17 00:23:01 UTC;-1;27.47;0.00;2.85;0.06;0.00;69.62
ubuntu;60;2021-09-17 00:24:01 UTC;-1;27.39;0.00;2.95;0.05;0.00;69.62
ubuntu;60;2021-09-17 00:25:01 UTC;-1;27.45;0.00;2.92;0.06;0.00;69.57
ubuntu;60;2021-09-17 00:26:01 UTC;-1;27.45;0.00;2.92;0.06;0.00;69.56
ubuntu;60;2021-09-17 00:27:01 UTC;-1;27.54;0.00;2.85;0.05;0.00;69.55
ubuntu;60;2021-09-17 00:28:01 UTC;-1;27.46;0.00;2.86;0.05;0.00;69.63
ubuntu;60;2021-09-17 00:29:01 UTC;-1;27.42;0.00;2.89;0.04;0.00;69.65
ubuntu;60;2021-09-17 00:30:01 UTC;-1;27.51;0.00;2.84;0.06;0.00;69.59
ubuntu;60;2021-09-17 00:31:01 UTC;-1;27.51;0.00;2.76;0.08;0.00;69.65
ubuntu;60;2021-09-17 00:32:01 UTC;-1;27.43;0.00;2.68;0.04;0.00;69.84
ubuntu;60;2021-09-17 00:33:01 UTC;-1;27.50;0.00;2.68;0.05;0.00;69.77
ubuntu;60;2021-09-17 00:34:02 UTC;-1;27.49;0.00;2.70;0.06;0.00;69.75
ubuntu;59;2021-09-17 00:35:01 UTC;-1;27.53;0.00;2.83;0.05;0.00;69.59
ubuntu;60;2021-09-17 00:36:01 UTC;-1;27.56;0.00;2.83;0.07;0.00;69.54
ubuntu;60;2021-09-17 00:37:01 UTC;-1;27.60;0.00;2.85;0.09;0.00;69.46
ubuntu;60;2021-09-17 00:38:01 UTC;-1;27.55;0.00;2.80;0.06;0.00;69.58
ubuntu;60;2021-09-17 00:39:01 UTC;-1;27.44;0.00;2.99;0.07;0.00;69.51
ubuntu;60;2021-09-17 00:40:01 UTC;-1;27.60;0.00;2.89;0.08;0.00;69.42
