# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
ubuntu;60;2021-09-17 00:01:01 UTC;709156;3422984;357924;9.21;126292;2456572;1947508;50.14;1003056;1834500;272
ubuntu;60;2021-09-17 00:02:01 UTC;704588;3418840;362024;9.32;126316;2456972;1943568;50.04;1007980;1834892;248
ubuntu;60;2021-09-17 00:03:01 UTC;708148;3422724;358184;9.22;126384;2457228;1941592;49.99;1004416;1835152;300
ubuntu;60;2021-09-17 00:04:01 UTC;707108;3422012;358896;9.24;126440;2457500;1941320;49.98;1005256;1835420;232
ubuntu;60;2021-09-17 00:05:01 UTC;698636;3413716;367232;9.45;126504;2457616;1955696;50.35;1013936;1835548;396
ubuntu;60;2021-09-17 00:06:01 UTC;700840;3416252;364696;9.39;126560;2457892;1953876;50.30;1011152;1835812;232
ubuntu;60;2021-09-17 00:07:01 UTC;696116;3411968;369004;9.50;126612;2458288;1956960;50.38;1015496;1836196;204
ubuntu;60;2021-09-17 00:08:01 UTC;700652;3416856;364168;9.38;126668;2458544;1954772;50.32;1009740;1836500;288
ubuntu;60;2021-09-17 00:09:01 UTC;698824;3415344;365660;9.41;126720;2458808;1954752;50.32;1011728;1836764;300
ubuntu;60;2021-09-17 00:10:01 UTC;691580;3408376;372572;9.59;126780;2459064;1960296;50.47;1020580;1837024;332
ubuntu;60;2021-09-17 00:11:01 UTC;704968;3421968;359084;9.24;126832;2459204;1945088;50.08;1005068;1837164;404
ubuntu;59;2021-09-17 00:12:01 UTC;698888;3416212;364796;9.39;126876;2459484;1957192;50.39;1011836;1837436;264
ubuntu;60;2021-09-17 00:13:01 UTC;701408;3419168;361768;9.31;126924;2459872;1948860;50.17;1008112;1837824;300
ubuntu;60;2021-09-17 00:14:01 UTC;698352;3416460;364516;9.38;126976;2460136;1951972;50.25;1011008;1838120;336
ubuntu;60;2021-09-17 00:15:01 UTC;693092;3411500;369540;9.51;127012;2460400;1962496;50.52;1016880;1838384;332
ubuntu;60;2021-09-17 00:16:01 UTC;701092;3419808;361156;9.30;127060;2460664;1951000;50.23;1007640;1838648;296
ubuntu;60;2021-09-17 00:17:01 UTC;692808;3411808;369216;9.51;127076;2460928;1951828;50.25;1015336;1838912;236
ubuntu;60;2021-09-17 00:18:01 UTC;693532;3412816;368152;9.48;127100;2461188;1952568;50.27;1014224;1839172;176
ubuntu;60;2021-09-17 00:19:01 UTC;691076;3410664;370280;9.53;127148;2461448;1960432;50.47;1017744;1839436;224
ubuntu;60;2021-09-17 00:20:01 UTC;700148;3420068;360980;9.29;127220;2461708;1950180;50.21;1007404;1839700;308
ubuntu;60;2021-09-17 00:21:01 UTC;699644;3419880;361148;9.30;127256;2461980;1949580;50.19;1007512;1839964;308
ubuntu;60;2021-09-17 00:22:01 UTC;694856;3415384;365604;9.41;127288;2462244;1954072;50.31;1014620;1840228;388
ubuntu;60;2021-09-17 00:23:01 UTC;697912;3418732;362268;9.33;127324;2462496;1953840;50.30;1008376;1840488;388
