# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle[...]
ubuntu;60;2021-09-16 19:16:01 UTC;-1;8.04;0.00;31.01;0.11;0.00;60.83
ubuntu;60;2021-09-16 19:17:01 UTC;-1;7.17;0.00;31.13;0.04;0.00;61.65
ubuntu;60;2021-09-16 19:18:01 UTC;-1;6.89;0.00;31.25;0.06;0.00;61.79
ubuntu;60;2021-09-16 19:19:01 UTC;-1;7.00;0.00;31.26;0.04;0.00;61.71
ubuntu;60;2021-09-16 19:20:01 UTC;-1;6.83;0.00;31.44;0.03;0.00;61.71
ubuntu;60;2021-09-16 19:21:01 UTC;-1;6.98;0.00;31.57;0.08;0.00;61.37
ubuntu;60;2021-09-16 19:22:01 UTC;-1;7.07;0.00;31.31;0.04;0.00;61.57
ubuntu;60;2021-09-16 19:23:01 UTC;-1;7.05;0.00;31.51;0.04;0.00;61.40
ubuntu;60;2021-09-16 19:24:01 UTC;-1;7.08;0.00;31.80;0.06;0.00;61.06
ubuntu;60;2021-09-16 19:25:01 UTC;-1;6.97;0.00;31.61;0.10;0.00;61.33
ubuntu;60;2021-09-16 19:26:02 UTC;-1;6.99;0.00;31.73;0.12;0.00;61.16
ubuntu;59;2021-09-16 19:27:01 UTC;-1;7.32;0.00;31.48;0.07;0.00;61.13
ubuntu;60;2021-09-16 19:28:01 UTC;-1;7.04;0.00;31.86;0.11;0.00;61.00
ubuntu;60;2021-09-16 19:29:01 UTC;-1;7.01;0.00;31.85;0.08;0.00;61.07
ubuntu;60;2021-09-16 19:30:01 UTC;-1;7.00;0.00;31.74;0.09;0.00;61.17
ubuntu;60;2021-09-16 19:31:01 UTC;-1;7.03;0.00;31.47;0.07;0.00;61.43
ubuntu;60;2021-09-16 19:32:01 UTC;-1;7.13;0.00;31.59;0.09;0.00;61.19
ubuntu;60;2021-09-16 19:33:01 UTC;-1;7.03;0.00;31.45;0.09;0.00;61.43
ubuntu;60;2021-09-16 19:34:01 UTC;-1;7.16;0.00;31.48;0.10;0.00;61.26
ubuntu;60;2021-09-16 19:35:01 UTC;-1;7.09;0.00;31.56;0.09;0.00;61.26
ubuntu;60;2021-09-16 19:36:01 UTC;-1;7.05;0.00;31.33;0.07;0.00;61.55
ubuntu;60;2021-09-16 19:37:01 UTC;-1;7.05;0.00;31.45;0.08;0.00;61.42
ubuntu;60;2021-09-16 19:38:01 UTC;-1;7.08;0.00;31.47;0.17;0.00;61.29
ubuntu;60;2021-09-16 19:39:01 UTC;-1;6.92;0.00;31.48;0.08;0.00;61.52
ubuntu;60;2021-09-16 19:40:01 UTC;-1;7.03;0.00;31.37;0.09;0.00;61.51
ubuntu;60;2021-09-16 19:41:01 UTC;-1;7.06;0.00;31.45;0.07;0.00;61.43
ubuntu;60;2021-09-16 19:42:01 UTC;-1;7.13;0.00;30.77;0.09;0.00;62.01
ubuntu;60;2021-09-16 19:43:01 UTC;-1;7.17;0.00;31.01;0.10;0.00;61.72
ubuntu;60;2021-09-16 19:44:01 UTC;-1;7.15;0.00;31.41;0.10;0.00;61.34
ubuntu;60;2021-09-16 19:45:01 UTC;-1;7.14;0.00;31.76;0.08;0.00;61.02
ubuntu;60;2021-09-16 19:46:01 UTC;-1;7.07;0.00;32.08;0.07;0.00;60.78
ubuntu;60;2021-09-16 19:47:02 UTC;-1;7.06;0.00;32.00;0.08;0.00;60.86
ubuntu;59;2021-09-16 19:48:01 UTC;-1;7.07;0.00;32.10;0.07;0.00;60.77
ubuntu;60;2021-09-16 19:49:01 UTC;-1;6.89;0.00;32.27;0.10;0.00;60.74
ubuntu;60;2021-09-16 19:50:01 UTC;-1;7.05;0.00;32.21;0.15;0.00;60.58
ubuntu;60;2021-09-16 19:51:01 UTC;-1;7.15;0.00;32.10;0.20;0.00;60.55
ubuntu;60;2021-09-16 19:52:01 UTC;-1;6.73;0.00;32.33;0.25;0.00;60.69
ubuntu;60;2021-09-16 19:53:01 UTC;-1;7.03;0.00;32.48;0.11;0.00;60.38
ubuntu;60;2021-09-16 19:54:01 UTC;-1;7.01;0.00;32.53;0.10;0.00;60.35
ubuntu;60;2021-09-16 19:55:01 UTC;-1;6.88;0.00;32.51;0.06;0.00;60.55
ubuntu;60;2021-09-16 19:56:01 UTC;-1;7.13;0.00;32.27;0.09;0.00;60.51
ubuntu;60;2021-09-16 19:57:01 UTC;-1;6.96;0.00;32.54;0.07;0.00;60.43
ubuntu;60;2021-09-16 19:58:01 UTC;-1;6.96;0.00;32.57;0.09;0.00;60.38
ubuntu;60;2021-09-16 19:59:01 UTC;-1;6.76;0.00;32.44;0.07;0.00;60.74
ubuntu;60;2021-09-16 20:00:01 UTC;-1;6.90;0.00;32.39;0.10;0.00;60.62
ubuntu;60;2021-09-16 20:01:01 UTC;-1;6.93;0.00;32.41;0.12;0.00;60.54
ubuntu;60;2021-09-16 20:02:01 UTC;-1;6.92;0.00;32.44;0.06;0.00;60.58
ubuntu;60;2021-09-16 20:03:01 UTC;-1;7.01;0.00;32.39;0.09;0.00;60.51
ubuntu;60;2021-09-16 20:04:01 UTC;-1;6.91;0.00;32.41;0.08;0.00;60.61
ubuntu;60;2021-09-16 20:05:01 UTC;-1;6.91;0.00;32.48;0.10;0.00;60.51
ubuntu;60;2021-09-16 20:06:01 UTC;-1;6.92;0.00;32.31;0.08;0.00;60.69
ubuntu;60;2021-09-16 20:07:02 UTC;-1;6.91;0.00;32.55;0.10;0.00;60.45
ubuntu;59;2021-09-16 20:08:01 UTC;-1;6.89;0.00;32.58;0.09;0.00;60.43
ubuntu;60;2021-09-16 20:09:01 UTC;-1;7.12;0.00;32.23;0.07;0.00;60.58
ubuntu;60;2021-09-16 20:10:01 UTC;-1;6.94;0.00;32.55;0.09;0.00;60.42
ubuntu;60;2021-09-16 20:11:01 UTC;-1;6.87;0.00;32.48;0.09;0.00;60.57
ubuntu;60;2021-09-16 20:12:01 UTC;-1;7.21;0.00;32.37;0.09;0.00;60.33
ubuntu;60;2021-09-16 20:13:01 UTC;-1;7.01;0.00;32.28;0.09;0.00;60.62
ubuntu;60;2021-09-16 20:14:01 UTC;-1;7.20;0.00;32.14;0.14;0.00;60.51
ubuntu;60;2021-09-16 20:15:01 UTC;-1;6.93;0.00;32.02;0.08;0.00;60.97
ubuntu;60;2021-09-16 20:16:01 UTC;-1;7.12;0.00;32.30;0.11;0.00;60.47
ubuntu;60;2021-09-16 20:17:01 UTC;-1;7.08;0.00;32.08;0.06;0.00;60.77
ubuntu;60;2021-09-16 20:18:01 UTC;-1;7.00;0.00;32.18;0.10;0.00;60.72
ubuntu;60;2021-09-16 20:19:01 UTC;-1;6.96;0.00;32.23;0.10;0.00;60.72
ubuntu;60;2021-09-16 20:20:01 UTC;-1;6.97;0.00;32.24;0.12;0.00;60.66
ubuntu;60;2021-09-16 20:21:01 UTC;-1;7.08;0.00;32.13;0.13;0.00;60.67
ubuntu;60;2021-09-16 20:22:01 UTC;-1;6.98;0.00;32.34;0.10;0.00;60.59
ubuntu;60;2021-09-16 20:23:01 UTC;-1;6.97;0.00;32.03;0.05;0.00;60.95
ubuntu;60;2021-09-16 20:24:01 UTC;-1;7.09;0.00;32.40;0.07;0.00;60.44
ubuntu;60;2021-09-16 20:25:01 UTC;-1;7.09;0.00;32.53;0.12;0.00;60.26
ubuntu;60;2021-09-16 20:26:02 UTC;-1;7.01;0.00;32.42;0.10;0.00;60.48
ubuntu;59;2021-09-16 20:27:01 UTC;-1;6.93;0.00;32.39;0.14;0.00;60.54
ubuntu;60;2021-09-16 20:28:01 UTC;-1;6.97;0.00;32.32;0.13;0.00;60.59
ubuntu;60;2021-09-16 20:29:01 UTC;-1;7.07;0.00;32.22;0.07;0.00;60.64
