# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
ubuntu;60;2021-09-16 19:16:01 UTC;1505564;3410564;358752;9.24;82476;1738860;1897536;48.85;839328;1240536;496
ubuntu;60;2021-09-16 19:17:01 UTC;1512052;3417420;351888;9.06;82564;1739132;1889368;48.64;832732;1240824;228
ubuntu;60;2021-09-16 19:18:01 UTC;1510604;3416308;353024;9.09;82624;1739392;1889368;48.64;834612;1241096;364
ubuntu;60;2021-09-16 19:19:01 UTC;1513240;3419408;350004;9.01;82700;1739668;1885780;48.55;831700;1241492;316
ubuntu;60;2021-09-16 19:20:01 UTC;1512864;3419248;350172;9.01;82784;1739800;1885780;48.55;831792;1241624;316
ubuntu;60;2021-09-16 19:21:01 UTC;1508140;3414892;354636;9.13;82876;1740056;1893500;48.75;837452;1241884;248
ubuntu;60;2021-09-16 19:22:01 UTC;1510944;3418028;351424;9.05;82952;1740332;1889736;48.65;832664;1242152;336
ubuntu;60;2021-09-16 19:23:01 UTC;1509084;3416512;352900;9.09;83020;1740588;1889736;48.65;834968;1242408;324
ubuntu;60;2021-09-16 19:24:01 UTC;1500768;3408552;360936;9.29;83108;1740852;1901484;48.95;844360;1242676;348
ubuntu;60;2021-09-16 19:25:01 UTC;1505808;3413888;355592;9.15;83160;1741116;1897620;48.85;837772;1242936;116
ubuntu;60;2021-09-16 19:26:02 UTC;1503004;3411452;357996;9.22;83256;1741368;1897620;48.85;840452;1243196;328
ubuntu;59;2021-09-16 19:27:01 UTC;1511288;3419960;349488;9.00;83300;1741528;1885676;48.55;830768;1243360;324
ubuntu;60;2021-09-16 19:28:01 UTC;1511320;3420356;349116;8.99;83372;1741788;1885676;48.55;830840;1243620;320
ubuntu;60;2021-09-16 19:29:01 UTC;1504296;3413668;355788;9.16;83440;1742056;1889680;48.65;838844;1243888;228
ubuntu;60;2021-09-16 19:30:01 UTC;1511320;3421060;348452;8.97;83496;1742368;1882084;48.45;830832;1244156;296
ubuntu;60;2021-09-16 19:31:01 UTC;1507824;3417868;351640;9.05;83576;1742592;1882084;48.45;834176;1244424;344
