# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
ubuntu;60;2021-09-18 00:01:01 UTC;1237424;3456064;309224;7.96;164448;1972956;745468;19.19;1063152;1281460;352
ubuntu;59;2021-09-18 00:02:01 UTC;1234904;3453812;311484;8.02;164448;1973220;749348;19.29;1066016;1281716;260
ubuntu;60;2021-09-18 00:03:01 UTC;1236888;3456056;309160;7.96;164448;1973480;745780;19.20;1062672;1281976;380
ubuntu;60;2021-09-18 00:04:01 UTC;1236856;3456296;308864;7.95;164456;1973744;745780;19.20;1062680;1282240;380
ubuntu;60;2021-09-18 00:05:01 UTC;1236320;3456024;309180;7.96;164456;1974008;745780;19.20;1062684;1282504;296
ubuntu;60;2021-09-18 00:06:01 UTC;1237580;3457544;307616;7.92;164464;1974260;745780;19.20;1060768;1282760;316
ubuntu;60;2021-09-18 00:07:01 UTC;1237328;3457564;307608;7.92;164472;1974524;745780;19.20;1060780;1283020;264
ubuntu;60;2021-09-18 00:08:01 UTC;1233832;3454204;311040;8.01;164476;1974656;749996;19.31;1065216;1283152;304
ubuntu;60;2021-09-18 00:09:01 UTC;1234052;3454704;310504;7.99;164496;1974916;746180;19.21;1063920;1283412;292
ubuntu;60;2021-09-18 00:10:01 UTC;1233768;3454684;310528;7.99;164500;1975176;746180;19.21;1063924;1283672;332
ubuntu;60;2021-09-18 00:11:01 UTC;1229380;3450564;314600;8.10;164512;1975432;750040;19.31;1067732;1283936;316
ubuntu;60;2021-09-18 00:12:01 UTC;1234620;3456204;308972;7.95;164524;1975828;746192;19.21;1061912;1284316;268
ubuntu;60;2021-09-18 00:13:01 UTC;1234588;3456444;308780;7.95;164528;1976088;746192;19.21;1061924;1284584;264
ubuntu;60;2021-09-18 00:14:01 UTC;1233476;3455484;309692;7.97;164544;1976224;750084;19.31;1063112;1284720;392
ubuntu;60;2021-09-18 00:15:01 UTC;1235376;3457648;307572;7.92;164552;1976480;746244;19.21;1060252;1284976;380
ubuntu;60;2021-09-18 00:16:01 UTC;1235692;3458228;307032;7.90;164556;1976740;746244;19.21;1060252;1285240;360
ubuntu;60;2021-09-18 00:17:01 UTC;1232248;3455056;310144;7.98;164568;1977000;746244;19.21;1063040;1285496;180
ubuntu;60;2021-09-18 00:18:01 UTC;1232636;3455708;309460;7.97;164576;1977256;742340;19.11;1063244;1285756;360
ubuntu;60;2021-09-18 00:19:01 UTC;1232604;3455936;309272;7.96;164576;1977516;742340;19.11;1063056;1286016;184
ubuntu;60;2021-09-18 00:20:01 UTC;1232604;3456196;308948;7.95;164576;1977776;742344;19.11;1062296;1286276;296
ubuntu;60;2021-09-18 00:21:01 UTC;1232384;3456240;308976;7.95;164576;1978040;746316;19.21;1062296;1286540;344
ubuntu;60;2021-09-18 00:22:02 UTC;1232352;3456344;308848;7.95;164584;1978168;746316;19.21;1062304;1286668;264
