# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
ubuntu;60;2021-09-18 08:21:01 UTC;730680;3546856;217284;5.59;171448;2510336;540164;13.91;1043368;1754748;316
ubuntu;60;2021-09-18 08:22:01 UTC;730680;3546864;217276;5.59;171448;2510344;546324;14.06;1043416;1754756;148
ubuntu;60;2021-09-18 08:23:01 UTC;730916;3547200;216968;5.59;171448;2510460;546324;14.06;1043580;1754872;152
ubuntu;60;2021-09-18 08:24:01 UTC;730696;3546984;217184;5.59;171448;2510464;546324;14.06;1043732;1754876;288
ubuntu;60;2021-09-18 08:25:01 UTC;730696;3546984;217184;5.59;171448;2510464;546324;14.06;1043660;1754876;152
ubuntu;60;2021-09-18 08:26:01 UTC;730160;3546452;217716;5.60;171448;2510468;546324;14.06;1043776;1754880;168
ubuntu;60;2021-09-18 08:27:01 UTC;730192;3546484;217680;5.60;171448;2510468;546324;14.06;1043868;1754880;264
ubuntu;60;2021-09-18 08:28:01 UTC;730160;3546456;217692;5.60;171448;2510472;546324;14.06;1044180;1754884;148
ubuntu;60;2021-09-18 08:29:01 UTC;730696;3546996;217176;5.59;171448;2510476;541764;13.95;1044060;1754888;148
ubuntu;60;2021-09-18 08:30:01 UTC;730444;3546744;217404;5.60;171448;2510476;541764;13.95;1044188;1754888;148
ubuntu;60;2021-09-18 08:31:01 UTC;730476;3546780;217368;5.60;171448;2510480;541764;13.95;1044292;1754892;176
ubuntu;60;2021-09-18 08:32:01 UTC;729940;3546248;217900;5.61;171448;2510484;541764;13.95;1044376;1754896;164
ubuntu;60;2021-09-18 08:33:01 UTC;730192;3546504;217668;5.60;171448;2510488;541764;13.95;1044488;1754900;168
ubuntu;60;2021-09-18 08:34:01 UTC;729972;3546284;217888;5.61;171448;2510488;541764;13.95;1044668;1754900;172
ubuntu;60;2021-09-18 08:35:01 UTC;729908;3546224;217916;5.61;171448;2510492;541764;13.95;1044668;1754904;148
ubuntu;60;2021-09-18 08:36:02 UTC;729720;3546164;218008;5.61;171448;2510620;541764;13.95;1044808;1755032;148
ubuntu;59;2021-09-18 08:37:01 UTC;729468;3545916;218252;5.62;171448;2510624;545780;14.05;1044832;1755036;148
ubuntu;60;2021-09-18 08:38:01 UTC;729436;3545888;218292;5.62;171448;2510628;541520;13.94;1045068;1755040;164
ubuntu;60;2021-09-18 08:39:01 UTC;729468;3545920;218260;5.62;171448;2510628;541520;13.94;1045052;1755040;148
ubuntu;60;2021-09-18 08:40:01 UTC;729436;3545892;218284;5.62;171448;2510632;541520;13.94;1045088;1755044;148
ubuntu;60;2021-09-18 08:41:01 UTC;729436;3545956;218220;5.62;171448;2510696;541520;13.94;1045204;1755108;152
ubuntu;60;2021-09-18 08:42:01 UTC;729248;3545772;218436;5.62;171448;2510700;541520;13.94;1045336;1755112;192
ubuntu;60;2021-09-18 08:43:01 UTC;728964;3545488;218720;5.63;171448;2510700;545320;14.04;1045456;1755112;148
ubuntu;60;2021-09-18 08:44:01 UTC;728744;3545272;218888;5.64;171448;2510704;545320;14.04;1045492;1755116;148
ubuntu;60;2021-09-18 08:45:01 UTC;728744;3545276;218880;5.63;171448;2510708;545320;14.04;1045564;1755120;148
ubuntu;60;2021-09-18 08:46:01 UTC;728460;3544992;219160;5.64;171448;2510708;545320;14.04;1045716;1755120;152
ubuntu;60;2021-09-18 08:47:01 UTC;728460;3544996;219156;5.64;171448;2510712;545320;14.04;1045812;1755124;228
ubuntu;60;2021-09-18 08:48:01 UTC;728460;3544996;219144;5.64;171448;2510712;545320;14.04;1045896;1755124;152
ubuntu;60;2021-09-18 08:49:01 UTC;728460;3545000;219168;5.64;171448;2510716;545320;14.04;1045972;1755128;148
ubuntu;60;2021-09-18 08:50:01 UTC;728492;3545032;219136;5.64;171448;2510716;545320;14.04;1046092;1755128;148
ubuntu;60;2021-09-18 08:51:01 UTC;728492;3545164;219004;5.64;171448;2510848;545320;14.04;1046156;1755260;148
ubuntu;60;2021-09-18 08:52:01 UTC;728240;3544912;219252;5.64;171448;2510848;545320;14.04;1046240;1755260;148
ubuntu;60;2021-09-18 08:53:01 UTC;728208;3544884;219268;5.64;171448;2510852;545320;14.04;1046428;1755264;180
ubuntu;60;2021-09-18 08:54:01 UTC;728208;3544892;219260;5.64;171448;2510860;545320;14.04;1046512;1755272;156
ubuntu;60;2021-09-18 08:55:01 UTC;727988;3544672;219480;5.65;171448;2510860;545320;14.04;1046708;1755272;148
ubuntu;60;2021-09-18 08:56:02 UTC;727452;3544140;220012;5.66;171448;2510864;545320;14.04;1046668;1755276;148
ubuntu;59;2021-09-18 08:57:01 UTC;727736;3544424;219752;5.66;171448;2510864;545320;14.04;1046808;1755276;148
ubuntu;60;2021-09-18 08:58:01 UTC;727232;3543924;220252;5.67;171448;2510868;545320;14.04;1046808;1755280;148
ubuntu;60;2021-09-18 08:59:01 UTC;726980;3543672;220504;5.68;171448;2510868;545320;14.04;1046892;1755280;148
ubuntu;60;2021-09-18 09:00:01 UTC;726948;3543644;220536;5.68;171448;2510872;545320;14.04;1046996;1755284;148
ubuntu;60;2021-09-18 09:01:01 UTC;726696;3543392;220792;5.68;171448;2510872;545320;14.04;1047128;1755284;148
ubuntu;60;2021-09-18 09:02:01 UTC;726664;3543496;220656;5.68;171448;2511008;545320;14.04;1047208;1755420;148
ubuntu;60;2021-09-18 09:03:01 UTC;726696;3543532;220620;5.68;171448;2511012;541336;13.94;1047260;1755424;148
ubuntu;60;2021-09-18 09:04:01 UTC;726412;3543248;220904;5.69;171448;2511012;541336;13.94;1047384;1755424;152
ubuntu;60;2021-09-18 09:05:01 UTC;726412;3543252;220924;5.69;171448;2511016;541336;13.94;1047468;1755428;164
ubuntu;60;2021-09-18 09:06:01 UTC;726412;3543252;220904;5.69;171448;2511020;541336;13.94;1047684;1755428;176
ubuntu;60;2021-09-18 09:07:01 UTC;726412;3543260;220900;5.69;171448;2511024;541336;13.94;1047652;1755436;148
ubuntu;60;2021-09-18 09:08:01 UTC;726412;3543260;220900;5.69;171448;2511024;541336;13.94;1047748;1755436;40
ubuntu;60;2021-09-18 09:09:01 UTC;726444;3543296;220876;5.69;171448;2511028;541336;13.94;1047872;1755440;168
ubuntu;60;2021-09-18 09:10:01 UTC;726412;3543268;220904;5.69;171448;2511032;541336;13.94;1047904;1755444;164
ubuntu;60;2021-09-18 09:11:01 UTC;726192;3543048;221124;5.69;171448;2511032;541336;13.94;1048044;1755444;148
ubuntu;60;2021-09-18 09:12:01 UTC;726192;3543052;221128;5.69;171448;2511036;541336;13.94;1048304;1755448;180
ubuntu;60;2021-09-18 09:13:01 UTC;726412;3543272;220908;5.69;171448;2511036;541336;13.94;1048340;1755448;32
ubuntu;60;2021-09-18 09:14:01 UTC;726160;3543024;221164;5.69;171448;2511040;541336;13.94;1048348;1755452;160
ubuntu;60;2021-09-18 09:15:01 UTC;725656;3542520;221676;5.71;171448;2511040;541336;13.94;1048392;1755452;148
ubuntu;60;2021-09-18 09:16:02 UTC;725656;3542656;221544;5.70;171448;2511176;541336;13.94;1048508;1755588;148
ubuntu;59;2021-09-18 09:17:01 UTC;725404;3542404;221796;5.71;171448;2511176;541336;13.94;1048852;1755588;148
ubuntu;60;2021-09-18 09:18:01 UTC;725688;3542692;221464;5.70;171448;2511180;541336;13.94;1048696;1755592;152
ubuntu;60;2021-09-18 09:19:01 UTC;725436;3542444;221732;5.71;171448;2511184;541336;13.94;1048764;1755596;148
ubuntu;60;2021-09-18 09:20:01 UTC;725184;3542192;221984;5.71;171448;2511184;541336;13.94;1048824;1755596;148
ubuntu;60;2021-09-18 09:21:01 UTC;724932;3541944;222232;5.72;171448;2511188;541336;13.94;1048976;1755600;148
ubuntu;60;2021-09-18 09:22:01 UTC;724932;3541944;222232;5.72;171448;2511188;537228;13.83;1049008;1755600;148
ubuntu;60;2021-09-18 09:23:01 UTC;724932;3541948;222228;5.72;171448;2511192;541016;13.93;1049140;1755604;148
ubuntu;60;2021-09-18 09:24:01 UTC;724900;3541916;222256;5.72;171448;2511192;541016;13.93;1049248;1755604;148
ubuntu;60;2021-09-18 09:25:01 UTC;724900;3541920;222240;5.72;171448;2511196;541016;13.93;1049328;1755608;148
ubuntu;60;2021-09-18 09:26:01 UTC;724900;3541920;222224;5.72;171448;2511196;541016;13.93;1049420;1755608;148
ubuntu;60;2021-09-18 09:27:01 UTC;724680;3541704;222440;5.73;171448;2511200;541016;13.93;1049532;1755612;148
ubuntu;60;2021-09-18 09:28:01 UTC;724460;3541488;222688;5.73;171448;2511204;541016;13.93;1049604;1755616;148
ubuntu;60;2021-09-18 09:29:01 UTC;724428;3541456;222720;5.73;171448;2511204;541016;13.93;1049828;1755616;148
ubuntu;60;2021-09-18 09:30:01 UTC;724460;3541492;222668;5.73;171448;2511208;541016;13.93;1049828;1755620;168
ubuntu;60;2021-09-18 09:31:01 UTC;724428;3541460;222680;5.73;171448;2511208;541016;13.93;1049932;1755620;4
ubuntu;60;2021-09-18 09:32:01 UTC;724176;3541212;222928;5.74;171448;2511212;541016;13.93;1050260;1755624;200
ubuntu;60;2021-09-18 09:33:01 UTC;723924;3540960;223180;5.75;171448;2511212;541016;13.93;1050112;1755624;148
ubuntu;60;2021-09-18 09:34:01 UTC;723704;3540744;223392;5.75;171448;2511216;541016;13.93;1050144;1755628;148
