# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle[...]
ubuntu;60;2021-09-16 11:46:01 UTC;-1;0.03;0.00;0.07;0.05;0.00;99.85
ubuntu;60;2021-09-16 11:47:01 UTC;-1;1.90;0.00;1.22;0.14;0.00;96.74
ubuntu;60;2021-09-16 11:48:02 UTC;-1;0.02;0.00;0.03;0.06;0.00;99.89
ubuntu;59;2021-09-16 11:49:01 UTC;-1;0.01;0.00;0.04;0.04;0.00;99.91
ubuntu;60;2021-09-16 11:50:01 UTC;-1;0.02;0.00;0.02;0.01;0.00;99.95
ubuntu;60;2021-09-16 11:51:01 UTC;-1;0.01;0.00;0.04;0.02;0.00;99.93
ubuntu;60;2021-09-16 11:52:01 UTC;-1;0.01;0.00;0.02;0.00;0.00;99.97
ubuntu;60;2021-09-16 11:53:01 UTC;-1;0.01;0.00;0.03;0.02;0.00;99.94
ubuntu;60;2021-09-16 11:54:01 UTC;-1;0.01;0.00;0.03;0.03;0.00;99.93
ubuntu;60;2021-09-16 11:55:01 UTC;-1;0.02;0.00;0.02;0.03;0.00;99.92
ubuntu;60;2021-09-16 11:56:01 UTC;-1;0.00;0.00;0.04;0.02;0.00;99.93
ubuntu;60;2021-09-16 11:57:01 UTC;-1;0.02;0.00;0.02;0.01;0.00;99.95
ubuntu;60;2021-09-16 11:58:01 UTC;-1;0.00;0.00;0.03;0.02;0.00;99.94
ubuntu;60;2021-09-16 11:59:01 UTC;-1;0.01;0.00;0.04;0.04;0.00;99.92
ubuntu;60;2021-09-16 12:00:01 UTC;-1;0.01;0.00;0.04;0.01;0.00;99.94
ubuntu;60;2021-09-16 12:01:01 UTC;-1;0.01;0.00;0.02;0.05;0.00;99.92
ubuntu;60;2021-09-16 12:02:01 UTC;-1;0.02;0.00;0.03;0.01;0.00;99.94
ubuntu;60;2021-09-16 12:03:01 UTC;-1;0.01;0.00;0.02;0.05;0.00;99.92
ubuntu;60;2021-09-16 12:04:01 UTC;-1;0.00;0.00;0.03;0.03;0.00;99.93
ubuntu;60;2021-09-16 12:05:01 UTC;-1;0.02;0.00;0.05;0.02;0.00;99.91
ubuntu;60;2021-09-16 12:06:01 UTC;-1;0.01;0.00;0.04;0.04;0.00;99.92
ubuntu;60;2021-09-16 12:07:01 UTC;-1;0.02;0.00;0.02;0.03;0.00;99.93
ubuntu;60;2021-09-16 12:08:02 UTC;-1;0.01;0.00;0.02;0.04;0.00;99.92
ubuntu;59;2021-09-16 12:09:01 UTC;-1;0.00;0.00;0.03;0.05;0.00;99.92
ubuntu;60;2021-09-16 12:10:01 UTC;-1;0.02;0.00;0.03;0.02;0.00;99.94
ubuntu;60;2021-09-16 12:11:01 UTC;-1;0.02;0.00;0.02;0.04;0.00;99.92
ubuntu;60;2021-09-16 12:12:01 UTC;-1;0.01;0.00;0.02;0.05;0.00;99.92
ubuntu;60;2021-09-16 12:13:01 UTC;-1;0.02;0.00;0.02;0.05;0.00;99.90
ubuntu;60;2021-09-16 12:14:01 UTC;-1;0.02;0.00;0.03;0.01;0.00;99.94
ubuntu;60;2021-09-16 12:15:01 UTC;-1;0.01;0.00;0.04;0.06;0.00;99.89
ubuntu;60;2021-09-16 12:16:01 UTC;-1;0.01;0.00;0.03;0.01;0.00;99.95
ubuntu;60;2021-09-16 12:17:01 UTC;-1;0.02;0.00;0.03;0.01;0.00;99.93
ubuntu;60;2021-09-16 12:18:01 UTC;-1;0.01;0.00;0.03;0.02;0.00;99.94
ubuntu;60;2021-09-16 12:19:01 UTC;-1;0.00;0.00;0.03;0.00;0.00;99.97
ubuntu;60;2021-09-16 12:20:01 UTC;-1;0.02;0.00;0.03;0.00;0.00;99.94
ubuntu;60;2021-09-16 12:21:01 UTC;-1;0.00;0.00;0.03;0.00;0.00;99.96
ubuntu;60;2021-09-16 12:22:01 UTC;-1;0.02;0.00;0.03;0.00;0.00;99.94
ubuntu;60;2021-09-16 12:23:01 UTC;-1;0.00;0.00;0.03;0.02;0.00;99.95
