# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
ubuntu;60;2021-09-18 08:40:01 UTC;52268;2131884;1612352;41.51;147384;1709624;5706336;146.91;2022284;1327912;844
ubuntu;60;2021-09-18 08:41:01 UTC;48408;2128984;1615196;41.58;147392;1710540;5710472;147.01;2027384;1328840;740
ubuntu;60;2021-09-18 08:42:01 UTC;39208;2120968;1623216;41.79;147392;1711576;5714768;147.12;2035224;1329960;536
ubuntu;60;2021-09-18 08:43:02 UTC;42076;2124924;1619340;41.69;147400;1712612;5713964;147.10;2029728;1330996;528
ubuntu;59;2021-09-18 08:44:01 UTC;48136;2124916;1619392;41.69;147332;1707532;5712652;147.07;2026268;1327116;644
ubuntu;60;2021-09-18 08:45:01 UTC;41836;2120084;1624272;41.82;147336;1708956;5739924;147.77;2033212;1328508;972
ubuntu;60;2021-09-18 08:46:01 UTC;38496;2117700;1626656;41.88;147336;1709864;5741132;147.80;2036512;1329388;520
ubuntu;60;2021-09-18 08:47:01 UTC;50720;2122784;1621568;41.75;147228;1703228;5743384;147.86;2029272;1323408;508
ubuntu;60;2021-09-18 08:48:01 UTC;55064;2128388;1615904;41.60;147236;1704264;5756892;148.21;2024332;1324380;500
ubuntu;60;2021-09-18 08:49:01 UTC;50920;2124764;1619580;41.70;147220;1704756;5760332;148.30;2025452;1324988;948
ubuntu;60;2021-09-18 08:50:01 UTC;48148;2123080;1621368;41.74;147220;1705804;5760756;148.31;2028264;1326004;1000
ubuntu;60;2021-09-18 08:51:01 UTC;51660;2122632;1621684;41.75;147188;1702024;5759824;148.28;2030088;1322760;676
ubuntu;60;2021-09-18 08:52:01 UTC;46796;2113160;1631124;41.99;147128;1698116;5785264;148.94;2037652;1319244;988
ubuntu;60;2021-09-18 08:53:01 UTC;49660;2117248;1626948;41.88;147136;1699144;5786060;148.96;2034560;1320184;452
ubuntu;60;2021-09-18 08:54:01 UTC;51216;2113876;1630304;41.97;147076;1695236;5786992;148.98;2034740;1316712;892
ubuntu;60;2021-09-18 08:55:01 UTC;46996;2110804;1633432;42.05;147080;1696272;5784760;148.93;2038492;1317760;800
ubuntu;60;2021-09-18 08:56:01 UTC;47404;2107096;1637060;42.15;147016;1692364;5790256;149.07;2040608;1314268;796
ubuntu;60;2021-09-18 08:57:01 UTC;61724;2112344;1631736;42.01;146916;1683756;5792144;149.12;2034896;1306468;832
ubuntu;60;2021-09-18 08:58:01 UTC;60572;2112728;1631336;42.00;146916;1685180;5786028;148.96;2036124;1307892;716
ubuntu;60;2021-09-18 08:59:01 UTC;64036;2117124;1626872;41.88;146916;1686088;5782476;148.87;2029748;1308784;524
ubuntu;60;2021-09-18 09:00:01 UTC;59344;2113760;1630484;41.98;146916;1687240;5786252;148.96;2033504;1310004;540
ubuntu;60;2021-09-18 09:01:01 UTC;57516;2112960;1631188;41.99;146916;1688240;5788148;149.01;2033328;1311024;784
ubuntu;60;2021-09-18 09:02:01 UTC;54472;2111116;1633088;42.04;146920;1689412;5785564;148.95;2036388;1312148;700
ubuntu;60;2021-09-18 09:03:01 UTC;48256;2105972;1638240;42.18;146924;1690448;5791732;149.11;2042516;1313132;664
ubuntu;60;2021-09-18 09:04:02 UTC;50964;2109620;1634504;42.08;146928;1691356;5792852;149.13;2039988;1313992;804
ubuntu;59;2021-09-18 09:05:01 UTC;54356;2108872;1635188;42.10;146828;1687844;5791868;149.11;2038084;1310752;980
ubuntu;60;2021-09-18 09:06:01 UTC;48340;2103804;1640288;42.23;146828;1688748;5792836;149.13;2041596;1311620;776
ubuntu;60;2021-09-18 09:07:01 UTC;56764;2113432;1630656;41.98;146828;1689908;5788144;149.01;2033720;1312736;788
ubuntu;60;2021-09-18 09:08:01 UTC;56228;2113984;1630028;41.96;146836;1690952;5788920;149.03;2034288;1313740;700
ubuntu;60;2021-09-18 09:09:01 UTC;49140;2107940;1636084;42.12;146840;1691856;5789984;149.06;2038904;1314628;700
ubuntu;60;2021-09-18 09:10:01 UTC;46840;2106712;1637280;42.15;146840;1692904;5797376;149.25;2041212;1315628;492
ubuntu;60;2021-09-18 09:11:01 UTC;46052;2107244;1636684;42.14;146840;1694196;5794012;149.16;2040444;1316864;556
ubuntu;60;2021-09-18 09:12:01 UTC;46804;2102936;1641080;42.25;146776;1690308;5801932;149.37;2044540;1313472;1004
ubuntu;60;2021-09-18 09:13:01 UTC;45544;2102736;1641264;42.25;146776;1691344;5798408;149.28;2043468;1314484;780
ubuntu;60;2021-09-18 09:14:01 UTC;47176;2099464;1644496;42.34;146716;1687480;5805160;149.45;2046980;1311020;1036
ubuntu;60;2021-09-18 09:15:01 UTC;43096;2096712;1647248;42.41;146720;1688644;5802448;149.38;2050168;1312132;984
ubuntu;60;2021-09-18 09:16:01 UTC;45996;2090252;1653792;42.58;146596;1679848;5806532;149.49;2052752;1304224;804
ubuntu;60;2021-09-18 09:17:01 UTC;64740;2110248;1633872;42.06;146600;1680888;5786880;148.98;2035352;1305216;920
ubuntu;60;2021-09-18 09:18:01 UTC;60012;2106856;1637176;42.15;146600;1682188;5796344;149.22;2039676;1306476;640
ubuntu;60;2021-09-18 09:19:01 UTC;60484;2108376;1635624;42.11;146600;1683216;5790488;149.07;2039360;1307440;648
ubuntu;60;2021-09-18 09:20:01 UTC;53124;2102224;1641816;42.27;146608;1684388;5804468;149.43;2045336;1308560;488
ubuntu;60;2021-09-18 09:21:01 UTC;48860;2098904;1645108;42.35;146608;1685296;5802812;149.39;2047816;1309412;1044
ubuntu;60;2021-09-18 09:22:01 UTC;40796;2091924;1652052;42.53;146620;1686344;5808372;149.53;2054112;1310392;812
ubuntu;60;2021-09-18 09:23:01 UTC;60544;2107704;1636216;42.12;146568;1682688;5791180;149.09;2037016;1307040;836
ubuntu;60;2021-09-18 09:24:02 UTC;59788;2107908;1635980;42.12;146568;1683600;5795096;149.19;2038944;1307900;912
ubuntu;59;2021-09-18 09:25:01 UTC;59616;2109216;1634812;42.09;146568;1685028;5789792;149.06;2037672;1309264;460
ubuntu;60;2021-09-18 09:26:01 UTC;53348;2103880;1640204;42.23;146572;1685936;5801588;149.36;2041296;1310152;988
ubuntu;60;2021-09-18 09:27:01 UTC;60592;2112328;1631636;42.01;146580;1687104;5789072;149.04;2034520;1311300;964
ubuntu;60;2021-09-18 09:28:01 UTC;55268;2108076;1635848;42.11;146584;1688140;5788988;149.03;2036468;1312292;1052
ubuntu;60;2021-09-18 09:29:01 UTC;52560;2106444;1637512;42.16;146588;1689188;5795484;149.20;2041644;1313316;1060
ubuntu;60;2021-09-18 09:30:01 UTC;50040;2105116;1638968;42.19;146588;1690324;5792680;149.13;2041176;1314368;752
ubuntu;60;2021-09-18 09:31:01 UTC;51928;2107840;1636260;42.12;146588;1691136;5797524;149.25;2038884;1315244;740
ubuntu;60;2021-09-18 09:32:01 UTC;45504;2102872;1641328;42.26;146592;1692556;5804340;149.43;2043196;1316648;292
ubuntu;60;2021-09-18 09:33:01 UTC;45440;2103744;1640356;42.23;146592;1693464;5798468;149.28;2041940;1317544;1044
ubuntu;60;2021-09-18 09:34:01 UTC;45092;2099556;1644344;42.33;146532;1689848;5798752;149.29;2045984;1314400;796
ubuntu;60;2021-09-18 09:35:01 UTC;46192;2095872;1648220;42.43;146468;1685988;5803484;149.41;2050236;1310880;1056
ubuntu;60;2021-09-18 09:36:01 UTC;45080;2095756;1648348;42.44;146472;1686896;5801848;149.37;2049012;1311768;980
ubuntu;60;2021-09-18 09:37:01 UTC;54904;2101584;1642436;42.28;146408;1683076;5801008;149.34;2042648;1308428;768
ubuntu;60;2021-09-18 09:38:01 UTC;49736;2097808;1646084;42.38;146408;1684364;5803172;149.40;2046616;1309672;1096
ubuntu;60;2021-09-18 09:39:01 UTC;48932;2098112;1645772;42.37;146412;1685396;5792760;149.13;2044480;1310704;656
ubuntu;60;2021-09-18 09:40:01 UTC;45720;2095992;1648052;42.43;146412;1686436;5799676;149.31;2046740;1311756;488
ubuntu;60;2021-09-18 09:41:01 UTC;43452;2094804;1649184;42.46;146412;1687476;5801788;149.36;2048048;1312772;952
ubuntu;60;2021-09-18 09:42:01 UTC;45956;2092948;1651024;42.50;146356;1683780;5802972;149.39;2051204;1309500;536
ubuntu;60;2021-09-18 09:43:01 UTC;45820;2093952;1650180;42.48;146356;1684816;5805260;149.45;2051228;1310512;1036
ubuntu;60;2021-09-18 09:44:01 UTC;51312;2089016;1655156;42.61;146228;1675464;5810676;149.59;2053012;1302076;728
ubuntu;59;2021-09-18 09:45:01 UTC;57940;2085692;1658396;42.69;146364;1666760;5803400;149.41;2057844;1291580;736
ubuntu;60;2021-09-18 09:46:01 UTC;52648;2081968;1662144;42.79;146368;1668116;5808704;149.54;2063176;1292912;780
ubuntu;60;2021-09-18 09:47:01 UTC;66404;2096792;1647384;42.41;146368;1669160;5797208;149.25;2048940;1293924;412
ubuntu;60;2021-09-18 09:48:01 UTC;57720;2089084;1655196;42.61;146368;1670068;5808572;149.54;2056692;1294840;1044
ubuntu;60;2021-09-18 09:49:01 UTC;53388;2085960;1658232;42.69;146376;1671232;5807468;149.51;2062360;1295988;1032
ubuntu;60;2021-09-18 09:50:01 UTC;53324;2086976;1657284;42.67;146380;1672272;5811420;149.61;2056880;1297004;1032
ubuntu;60;2021-09-18 09:51:01 UTC;65348;2099928;1644276;42.33;146380;1673180;5800628;149.33;2045740;1297884;968
ubuntu;60;2021-09-18 09:52:01 UTC;60412;2096064;1648224;42.43;146384;1674220;5797608;149.26;2049064;1298904;856
ubuntu;60;2021-09-18 09:53:01 UTC;62016;2099116;1645032;42.35;146384;1675644;5798304;149.27;2045356;1300324;748
ubuntu;60;2021-09-18 09:54:01 UTC;56284;2094580;1649664;42.47;146392;1676804;5802412;149.38;2050296;1301444;652
ubuntu;60;2021-09-18 09:55:01 UTC;50992;2090484;1653800;42.58;146396;1677972;5808036;149.52;2054080;1302592;672
ubuntu;60;2021-09-18 09:56:01 UTC;43400;2083840;1660424;42.75;146396;1678880;5816352;149.74;2061172;1303480;788
ubuntu;60;2021-09-18 09:57:01 UTC;63080;2098808;1645492;42.36;146268;1674512;5798816;149.29;2044324;1299932;776
ubuntu;60;2021-09-18 09:58:01 UTC;54944;2092668;1651492;42.52;146292;1676380;5792872;149.13;2052180;1301560;628
ubuntu;60;2021-09-18 09:59:01 UTC;54692;2093368;1650912;42.50;146296;1677292;5797732;149.26;2051196;1302432;608
ubuntu;60;2021-09-18 10:00:01 UTC;50960;2091304;1653056;42.56;146300;1678872;5804544;149.43;2053512;1303980;764
ubuntu;60;2021-09-18 10:01:01 UTC;50252;2091520;1652848;42.55;146304;1679752;5799332;149.30;2055084;1304836;520
ubuntu;60;2021-09-18 10:02:01 UTC;44172;2086628;1657748;42.68;146304;1680920;5808612;149.54;2060312;1305968;824
ubuntu;60;2021-09-18 10:03:01 UTC;46880;2090300;1653976;42.58;146312;1681840;5802568;149.38;2055980;1306852;708
ubuntu;60;2021-09-18 10:04:01 UTC;45592;2083672;1660648;42.75;146132;1676816;5811664;149.62;2059564;1302816;732
ubuntu;60;2021-09-18 10:05:02 UTC;52004;2085912;1658472;42.70;145928;1673000;5805820;149.47;2056876;1299488;644
