# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle[...]
ubuntu;60;2021-09-18 12:55:01 UTC;-1;15.55;0.00;35.63;0.62;0.00;48.20
ubuntu;60;2021-09-18 12:56:01 UTC;-1;8.90;0.00;46.34;0.12;0.00;44.63
ubuntu;60;2021-09-18 12:57:01 UTC;-1;9.15;0.00;46.51;0.42;0.00;43.92
ubuntu;60;2021-09-18 12:58:01 UTC;-1;9.27;0.00;46.61;0.09;0.00;44.04
ubuntu;60;2021-09-18 12:59:01 UTC;-1;9.39;0.00;46.94;0.10;0.00;43.57
ubuntu;60;2021-09-18 13:00:01 UTC;-1;9.59;0.00;46.76;0.09;0.00;43.55
ubuntu;60;2021-09-18 13:01:01 UTC;-1;9.26;0.00;46.57;0.09;0.00;44.08
ubuntu;60;2021-09-18 13:02:02 UTC;-1;9.15;0.00;46.50;0.08;0.00;44.27
ubuntu;59;2021-09-18 13:03:01 UTC;-1;9.36;0.00;46.63;0.26;0.00;43.74
ubuntu;60;2021-09-18 13:04:01 UTC;-1;9.28;0.00;46.85;0.09;0.00;43.77
ubuntu;60;2021-09-18 13:05:01 UTC;-1;9.51;0.00;46.52;0.15;0.00;43.82
ubuntu;60;2021-09-18 13:06:01 UTC;-1;9.35;0.00;46.76;0.08;0.00;43.81
ubuntu;60;2021-09-18 13:07:01 UTC;-1;9.12;0.00;46.67;0.10;0.00;44.11
ubuntu;60;2021-09-18 13:08:01 UTC;-1;9.19;0.00;47.06;0.09;0.00;43.66
ubuntu;60;2021-09-18 13:09:01 UTC;-1;9.47;0.00;46.62;0.07;0.00;43.83
ubuntu;60;2021-09-18 13:10:01 UTC;-1;9.11;0.00;46.89;0.09;0.00;43.92
ubuntu;60;2021-09-18 13:11:01 UTC;-1;9.26;0.00;46.75;0.10;0.00;43.89
ubuntu;60;2021-09-18 13:12:01 UTC;-1;9.26;0.00;46.84;0.12;0.00;43.77
ubuntu;60;2021-09-18 13:13:01 UTC;-1;9.61;0.00;46.74;0.15;0.00;43.50
ubuntu;60;2021-09-18 13:14:01 UTC;-1;9.01;0.00;45.88;2.89;0.00;42.22
ubuntu;60;2021-09-18 13:15:01 UTC;-1;8.89;0.00;44.69;5.84;0.00;40.58
ubuntu;60;2021-09-18 13:16:01 UTC;-1;9.46;0.00;46.76;0.36;0.00;43.43
ubuntu;60;2021-09-18 13:17:01 UTC;-1;9.40;0.00;46.84;0.12;0.00;43.64
ubuntu;60;2021-09-18 13:18:01 UTC;-1;9.29;0.00;46.74;0.09;0.00;43.89
ubuntu;60;2021-09-18 13:19:01 UTC;-1;9.14;0.00;46.94;0.30;0.00;43.62
ubuntu;60;2021-09-18 13:20:01 UTC;-1;9.58;0.00;46.59;0.06;0.00;43.77
ubuntu;59;2021-09-18 13:21:01 UTC;-1;9.28;0.00;46.08;1.60;0.00;43.04
ubuntu;60;2021-09-18 13:22:01 UTC;-1;9.39;0.00;46.86;0.09;0.00;43.66
ubuntu;60;2021-09-18 13:23:01 UTC;-1;9.30;0.00;46.70;0.09;0.00;43.92
ubuntu;60;2021-09-18 13:24:01 UTC;-1;9.27;0.00;46.61;0.08;0.00;44.04
ubuntu;60;2021-09-18 13:25:01 UTC;-1;9.56;0.00;46.90;0.11;0.00;43.44
ubuntu;60;2021-09-18 13:26:01 UTC;-1;9.37;0.00;46.72;0.11;0.00;43.81
ubuntu;60;2021-09-18 13:27:01 UTC;-1;9.40;0.00;46.55;0.25;0.00;43.81
ubuntu;60;2021-09-18 13:28:01 UTC;-1;9.46;0.00;46.95;0.13;0.00;43.46
ubuntu;60;2021-09-18 13:29:01 UTC;-1;9.48;0.00;46.94;0.46;0.00;43.12
ubuntu;60;2021-09-18 13:30:01 UTC;-1;9.56;0.00;46.70;0.44;0.00;43.30
ubuntu;60;2021-09-18 13:31:01 UTC;-1;9.56;0.00;46.62;0.26;0.00;43.57
ubuntu;60;2021-09-18 13:32:01 UTC;-1;9.26;0.00;46.79;0.37;0.00;43.58
ubuntu;60;2021-09-18 13:33:01 UTC;-1;9.53;0.00;46.72;0.60;0.00;43.15
ubuntu;60;2021-09-18 13:34:01 UTC;-1;9.40;0.00;46.72;0.06;0.00;43.82
ubuntu;60;2021-09-18 13:35:01 UTC;-1;9.52;0.00;46.45;0.09;0.00;43.94
ubuntu;60;2021-09-18 13:36:01 UTC;-1;9.34;0.00;46.98;0.11;0.00;43.58
ubuntu;60;2021-09-18 13:37:01 UTC;-1;9.43;0.00;46.74;0.09;0.00;43.74
ubuntu;60;2021-09-18 13:38:01 UTC;-1;9.22;0.00;47.11;0.10;0.00;43.57
ubuntu;60;2021-09-18 13:39:02 UTC;-1;9.21;0.00;46.95;0.12;0.00;43.72
ubuntu;59;2021-09-18 13:40:01 UTC;-1;9.34;0.00;46.80;0.08;0.00;43.78
ubuntu;60;2021-09-18 13:41:01 UTC;-1;9.43;0.00;46.92;0.13;0.00;43.53
ubuntu;60;2021-09-18 13:42:01 UTC;-1;9.62;0.00;46.55;0.10;0.00;43.73
ubuntu;60;2021-09-18 13:43:01 UTC;-1;9.08;0.00;44.07;4.92;0.00;41.93
ubuntu;60;2021-09-18 13:44:01 UTC;-1;9.39;0.00;46.45;1.92;0.00;42.24
ubuntu;60;2021-09-18 13:45:01 UTC;-1;9.27;0.00;47.07;0.09;0.00;43.57
ubuntu;60;2021-09-18 13:46:01 UTC;-1;9.46;0.00;46.83;0.12;0.00;43.60
ubuntu;60;2021-09-18 13:47:01 UTC;-1;9.23;0.00;47.22;0.08;0.00;43.47
ubuntu;60;2021-09-18 13:48:01 UTC;-1;9.50;0.00;46.91;0.12;0.00;43.47
ubuntu;60;2021-09-18 13:49:01 UTC;-1;9.53;0.00;47.01;0.11;0.00;43.36
ubuntu;60;2021-09-18 13:50:01 UTC;-1;9.33;0.00;46.93;0.12;0.00;43.62
ubuntu;60;2021-09-18 13:51:01 UTC;-1;9.33;0.00;46.90;0.12;0.00;43.64
ubuntu;60;2021-09-18 13:52:01 UTC;-1;9.74;0.00;46.81;0.12;0.00;43.33
ubuntu;60;2021-09-18 13:53:01 UTC;-1;9.45;0.00;46.71;0.07;0.00;43.76
ubuntu;60;2021-09-18 13:54:01 UTC;-1;9.43;0.00;46.89;0.07;0.00;43.61
ubuntu;60;2021-09-18 13:55:01 UTC;-1;9.50;0.00;46.66;0.85;0.00;42.99
ubuntu;60;2021-09-18 13:56:01 UTC;-1;9.44;0.00;46.43;3.18;0.00;40.95
ubuntu;60;2021-09-18 13:57:01 UTC;-1;9.59;0.00;46.47;0.09;0.00;43.85
ubuntu;59;2021-09-18 13:58:01 UTC;-1;9.26;0.00;47.26;0.20;0.00;43.28
ubuntu;60;2021-09-18 13:59:01 UTC;-1;9.37;0.00;46.74;0.82;0.00;43.07
ubuntu;60;2021-09-18 14:00:01 UTC;-1;9.40;0.00;46.33;2.04;0.00;42.23
ubuntu;60;2021-09-18 14:01:01 UTC;-1;9.35;0.00;47.11;0.84;0.00;42.70
ubuntu;60;2021-09-18 14:02:01 UTC;-1;9.34;0.00;46.40;3.80;0.00;40.46
ubuntu;60;2021-09-18 14:03:01 UTC;-1;9.51;0.00;46.85;0.33;0.00;43.32
ubuntu;60;2021-09-18 14:04:01 UTC;-1;9.40;0.00;46.70;0.09;0.00;43.80
ubuntu;60;2021-09-18 14:05:01 UTC;-1;9.33;0.00;46.96;0.63;0.00;43.08
ubuntu;60;2021-09-18 14:06:01 UTC;-1;9.38;0.00;46.95;0.79;0.00;42.88
ubuntu;60;2021-09-18 14:07:01 UTC;-1;9.50;0.00;46.64;0.12;0.00;43.75
ubuntu;60;2021-09-18 14:08:01 UTC;-1;9.52;0.00;46.76;0.09;0.00;43.63
ubuntu;60;2021-09-18 14:09:01 UTC;-1;9.35;0.00;46.72;0.09;0.00;43.84
ubuntu;60;2021-09-18 14:10:01 UTC;-1;9.45;0.00;46.58;0.31;0.00;43.67
ubuntu;60;2021-09-18 14:11:01 UTC;-1;9.21;0.00;46.77;0.56;0.00;43.46
ubuntu;60;2021-09-18 14:12:01 UTC;-1;9.58;0.00;46.87;0.14;0.00;43.41
ubuntu;60;2021-09-18 14:13:01 UTC;-1;9.49;0.00;46.66;0.13;0.00;43.72
ubuntu;60;2021-09-18 14:14:01 UTC;-1;9.22;0.00;47.05;0.13;0.00;43.60
ubuntu;60;2021-09-18 14:15:01 UTC;-1;9.42;0.00;46.69;0.10;0.00;43.79
ubuntu;60;2021-09-18 14:16:02 UTC;-1;9.43;0.00;47.17;0.12;0.00;43.28
ubuntu;59;2021-09-18 14:17:01 UTC;-1;9.49;0.00;46.37;0.53;0.00;43.61
ubuntu;60;2021-09-18 14:18:01 UTC;-1;9.15;0.00;47.00;0.15;0.00;43.70
ubuntu;60;2021-09-18 14:19:01 UTC;-1;9.61;0.00;46.84;0.07;0.00;43.49
ubuntu;60;2021-09-18 14:20:01 UTC;-1;9.33;0.00;46.85;0.09;0.00;43.73
ubuntu;60;2021-09-18 14:21:01 UTC;-1;9.36;0.00;46.71;0.09;0.00;43.84
ubuntu;60;2021-09-18 14:22:01 UTC;-1;9.55;0.00;46.55;0.10;0.00;43.80
ubuntu;60;2021-09-18 14:23:01 UTC;-1;9.29;0.00;47.31;0.12;0.00;43.29
ubuntu;60;2021-09-18 14:24:01 UTC;-1;9.36;0.00;46.92;0.09;0.00;43.63
ubuntu;60;2021-09-18 14:25:01 UTC;-1;9.19;0.00;46.99;0.62;0.00;43.20
ubuntu;60;2021-09-18 14:26:01 UTC;-1;9.55;0.00;46.66;0.10;0.00;43.68
ubuntu;60;2021-09-18 14:27:01 UTC;-1;9.53;0.00;46.73;0.26;0.00;43.48
ubuntu;60;2021-09-18 14:28:01 UTC;-1;9.54;0.00;46.87;0.37;0.00;43.23
ubuntu;60;2021-09-18 14:29:01 UTC;-1;9.53;0.00;46.78;0.12;0.00;43.57
ubuntu;60;2021-09-18 14:30:01 UTC;-1;9.36;0.00;46.84;0.99;0.00;42.81
ubuntu;60;2021-09-18 14:31:01 UTC;-1;9.40;0.00;46.64;0.56;0.00;43.40
ubuntu;60;2021-09-18 14:32:01 UTC;-1;9.40;0.00;46.64;1.16;0.00;42.80
ubuntu;60;2021-09-18 14:33:01 UTC;-1;9.32;0.00;46.83;0.49;0.00;43.37
ubuntu;60;2021-09-18 14:34:01 UTC;-1;9.30;0.00;46.97;0.08;0.00;43.65
ubuntu;60;2021-09-18 14:35:02 UTC;-1;9.47;0.00;46.74;0.09;0.00;43.71
ubuntu;59;2021-09-18 14:36:01 UTC;-1;9.37;0.00;46.78;0.13;0.00;43.72
ubuntu;60;2021-09-18 14:37:01 UTC;-1;9.55;0.00;46.66;0.13;0.00;43.66
ubuntu;60;2021-09-18 14:38:01 UTC;-1;9.32;0.00;47.20;0.09;0.00;43.39
ubuntu;60;2021-09-18 14:39:01 UTC;-1;9.47;0.00;46.96;0.07;0.00;43.49
