# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
ubuntu;60;2021-09-18 12:55:01 UTC;65016;2021804;1698692;43.73;136320;1644012;5625632;144.83;2088784;1274732;1120
ubuntu;60;2021-09-18 12:56:01 UTC;62968;2020916;1699732;43.76;136332;1644924;5629696;144.93;2088868;1275788;468
ubuntu;60;2021-09-18 12:57:01 UTC;49264;2008088;1712644;44.09;136332;1645588;5644284;145.31;2100820;1276580;724
ubuntu;60;2021-09-18 12:58:01 UTC;45024;2004728;1716092;44.18;136332;1646368;5650416;145.47;2103904;1277392;456
ubuntu;60;2021-09-18 12:59:01 UTC;44616;2005540;1715552;44.17;136332;1647408;5658416;145.67;2104248;1278520;552
ubuntu;60;2021-09-18 13:00:01 UTC;41796;2003756;1717460;44.22;136332;1648236;5663808;145.81;2105176;1279360;580
ubuntu;60;2021-09-18 13:01:01 UTC;36252;1999340;1722068;44.33;136336;1649184;5675040;146.10;2109836;1280504;588
ubuntu;60;2021-09-18 13:02:02 UTC;44404;2000132;1721376;44.32;136176;1642976;5676748;146.14;2108140;1275364;708
ubuntu;59;2021-09-18 13:03:01 UTC;46292;2002820;1718768;44.25;136176;1643620;5681812;146.28;2106592;1276036;560
ubuntu;60;2021-09-18 13:04:01 UTC;44120;2001564;1720292;44.29;136184;1644532;5679448;146.21;2106664;1276984;756
ubuntu;60;2021-09-18 13:05:01 UTC;53244;2011336;1710536;44.04;136184;1645060;5670876;145.99;2095920;1277548;476
ubuntu;60;2021-09-18 13:06:01 UTC;55648;2014784;1707072;43.95;136184;1646100;5668932;145.94;2092932;1278464;796
ubuntu;60;2021-09-18 13:07:01 UTC;54304;2014384;1707528;43.96;136184;1647008;5669212;145.95;2091832;1279312;776
ubuntu;60;2021-09-18 13:08:01 UTC;51536;2012252;1709676;44.01;136188;1647540;5684496;146.34;2094844;1279852;632
ubuntu;60;2021-09-18 13:09:01 UTC;50432;2012224;1709580;44.01;136196;1648592;5693240;146.57;2094900;1280820;684
ubuntu;60;2021-09-18 13:10:01 UTC;46716;2009596;1712200;44.08;136196;1649624;5697916;146.69;2098412;1281812;480
ubuntu;60;2021-09-18 13:11:01 UTC;34964;1998620;1723180;44.36;136196;1650308;5714180;147.11;2108668;1282488;740
ubuntu;60;2021-09-18 13:12:01 UTC;42396;1996508;1725228;44.42;135880;1643708;5724456;147.37;2108368;1277156;472
ubuntu;60;2021-09-18 13:13:01 UTC;43168;1998416;1723560;44.37;135880;1644748;5718064;147.21;2107284;1278140;756
ubuntu;60;2021-09-18 13:14:01 UTC;40616;1996536;1725372;44.42;135880;1645400;5722332;147.32;2109204;1278740;444
ubuntu;60;2021-09-18 13:15:01 UTC;42128;1998868;1723080;44.36;135880;1646196;5721704;147.30;2108244;1279484;536
ubuntu;60;2021-09-18 13:16:01 UTC;47892;2005416;1716576;44.19;135880;1646968;5714132;147.11;2098604;1280200;528
ubuntu;60;2021-09-18 13:17:01 UTC;43548;2002052;1719952;44.28;135880;1647888;5717692;147.20;2102792;1281120;884
ubuntu;60;2021-09-18 13:18:01 UTC;43860;2003280;1718728;44.25;135880;1648788;5715164;147.13;2101496;1281964;972
ubuntu;60;2021-09-18 13:19:01 UTC;38472;1998592;1723376;44.37;135880;1649432;5718692;147.22;2105832;1282604;724
ubuntu;60;2021-09-18 13:20:01 UTC;36992;1998056;1723964;44.38;135880;1650356;5722404;147.32;2105768;1283476;736
ubuntu;59;2021-09-18 13:21:01 UTC;48032;1993636;1728400;44.50;135520;1636452;5729680;147.51;2107036;1271400;480
ubuntu;60;2021-09-18 13:22:01 UTC;40744;1987560;1734484;44.65;135520;1637504;5727500;147.45;2115692;1272392;552
ubuntu;60;2021-09-18 13:23:01 UTC;39800;1987664;1734460;44.65;135520;1638528;5731456;147.55;2117168;1273376;872
ubuntu;60;2021-09-18 13:24:01 UTC;39136;1987676;1734280;44.65;135520;1639192;5730176;147.52;2116200;1274020;768
ubuntu;60;2021-09-18 13:25:01 UTC;37436;1986944;1735024;44.67;135520;1640100;5731832;147.56;2117072;1274872;780
ubuntu;60;2021-09-18 13:26:01 UTC;41080;1991520;1730440;44.55;135520;1641008;5729808;147.51;2111388;1275768;752
ubuntu;60;2021-09-18 13:27:01 UTC;52296;1992864;1729176;44.52;135340;1632168;5729552;147.50;2109976;1267944;512
ubuntu;60;2021-09-18 13:28:01 UTC;49132;1990580;1731548;44.58;135340;1632944;5723764;147.36;2111968;1268660;520
ubuntu;60;2021-09-18 13:29:01 UTC;45004;1987520;1734536;44.65;135340;1633996;5729484;147.50;2115684;1269640;772
ubuntu;60;2021-09-18 13:30:01 UTC;44484;1987944;1734092;44.64;135340;1634868;5732648;147.58;2114288;1270408;760
ubuntu;60;2021-09-18 13:31:01 UTC;44572;1983496;1738652;44.76;135188;1630784;5737184;147.70;2117736;1266948;400
ubuntu;60;2021-09-18 13:32:01 UTC;38580;1978700;1743352;44.88;135188;1631816;5741796;147.82;2124276;1267948;752
ubuntu;60;2021-09-18 13:33:01 UTC;49428;1979360;1742584;44.86;135068;1623176;5745704;147.92;2120252;1260184;776
ubuntu;60;2021-09-18 13:34:01 UTC;53964;1984768;1737164;44.72;135068;1623964;5732992;147.59;2115268;1260944;748
ubuntu;60;2021-09-18 13:35:01 UTC;57492;1988976;1732960;44.61;135068;1624628;5730612;147.53;2112564;1261556;808
ubuntu;60;2021-09-18 13:36:01 UTC;57380;1989952;1731852;44.59;135072;1625668;5731156;147.55;2109768;1262580;584
ubuntu;60;2021-09-18 13:37:01 UTC;59176;1992696;1729164;44.52;135072;1626580;5728460;147.48;2107136;1263452;912
ubuntu;60;2021-09-18 13:38:01 UTC;54984;1989212;1732768;44.61;135072;1627240;5727496;147.45;2111064;1264100;512
ubuntu;60;2021-09-18 13:39:02 UTC;55764;1991080;1730908;44.56;135072;1628268;5725404;147.40;2109056;1265116;460
ubuntu;59;2021-09-18 13:40:01 UTC;51900;1988276;1733788;44.64;135072;1629300;5730176;147.52;2111768;1266116;1024
ubuntu;60;2021-09-18 13:41:01 UTC;51144;1988108;1733964;44.64;135072;1629832;5730396;147.53;2111080;1266640;572
