# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
labiot73;0;2021-10-13 22:00:01 UTC;1797612;5905616;1578836;19.87;194388;3893996;7578672;84.28;1135920;4328772;1168
labiot73;60;2021-10-13 22:01:01 UTC;1808332;5916340;1568120;19.74;194416;3894060;7446932;82.81;1136668;4319640;720
labiot73;60;2021-10-13 22:02:01 UTC;1807536;5915908;1568504;19.74;194424;3894424;7446932;82.81;1136676;4321484;1584
labiot73;60;2021-10-13 22:03:01 UTC;1810240;5918664;1565864;19.71;194424;3894480;7446932;82.81;1136684;4319008;484
labiot73;60;2021-10-13 22:04:01 UTC;1808424;5917020;1567404;19.73;194428;3894640;7446932;82.81;1136680;4319960;1396
labiot73;60;2021-10-13 22:05:01 UTC;1808936;5917724;1566692;19.72;194436;3894812;7446936;82.81;1136688;4318744;1092
labiot73;60;2021-10-13 22:06:01 UTC;1807000;5916016;1568416;19.74;194444;3895028;7446956;82.81;1136688;4319952;1120
labiot73;60;2021-10-13 22:07:01 UTC;1804700;5914776;1569700;19.76;194444;3896092;7447688;82.82;1138620;4319332;1268
labiot73;60;2021-10-13 22:08:01 UTC;1801740;5914660;1569880;19.76;194448;3898832;7446932;82.81;1138696;4322572;1052
labiot73;60;2021-10-13 22:09:01 UTC;1801164;5914128;1570392;19.77;194448;3898876;7446936;82.81;1138684;4322888;1064
labiot73;59;2021-10-13 22:10:01 UTC;1797664;5910820;1573616;19.81;194452;3899060;7655152;85.13;1138672;4328432;512
labiot73;1;2021-10-13 22:10:01 UTC;1801224;5914388;1570024;19.76;194452;3899060;7446936;82.81;1138664;4323000;604
labiot73;59;2021-10-13 22:11:01 UTC;1797644;5910988;1573412;19.81;194452;3899240;7654980;85.13;1138668;4328620;924
labiot73;60;2021-10-13 22:12:01 UTC;1802888;5916280;1568276;19.74;194452;3899280;7446932;82.81;1138676;4321288;984
labiot73;60;2021-10-13 22:13:01 UTC;1800432;5914136;1570356;19.77;194456;3899580;7446932;82.81;1138692;4323028;1116
labiot73;60;2021-10-13 22:14:01 UTC;1802896;5916780;1567656;19.73;194460;3899748;7446932;82.81;1138684;4323872;1072
labiot73;60;2021-10-13 22:15:01 UTC;1802320;5916252;1568240;19.74;194460;3899788;7446932;82.81;1138708;4324636;1080
labiot73;60;2021-10-13 22:16:01 UTC;1800200;5914332;1570164;19.77;194476;3899964;7446936;82.81;1138712;4324904;1652
labiot73;60;2021-10-13 22:17:01 UTC;1803700;5918272;1566152;19.71;194476;3900396;7447176;82.81;1138712;4323720;1236
labiot73;60;2021-10-13 22:18:01 UTC;1799888;5914776;1569708;19.76;194480;3900700;7446932;82.81;1138728;4325656;1680
labiot73;60;2021-10-13 22:19:01 UTC;1799920;5914864;1569584;19.76;194480;3900744;7446932;82.81;1138728;4324364;1584
labiot73;59;2021-10-13 22:20:01 UTC;1800052;5915316;1569188;19.75;194480;3901052;7445316;82.79;1138732;4324152;1472
labiot73;1;2021-10-13 22:20:01 UTC;1799992;5915200;1569284;19.75;194480;3901052;7446936;82.81;1138728;4324556;1684
