timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
09:05:01 PM;6413876;7158716;125880;1.66;28876;907784;611260;7.37;435196;578396;0
09:15:01 PM;6414200;7159072;125472;1.65;28908;907784;611260;7.37;435116;578396;0
09:25:01 PM;6414792;7159708;124856;1.65;28956;907784;611260;7.37;435164;578400;0
09:35:01 PM;6415052;7160052;124508;1.64;29032;907784;611260;7.37;435248;578400;0
09:45:01 PM;6414736;7159772;124784;1.65;29060;907792;611260;7.37;435284;578404;0
09:55:01 PM;6414808;7159884;124608;1.64;29092;907792;618744;7.46;435340;578404;4
10:05:01 PM;6414280;7159428;125040;1.65;29160;907796;611328;7.38;435476;578404;184
10:15:01 PM;6414524;7159704;124724;1.64;29188;907800;611328;7.38;435440;578408;4
10:25:01 PM;6414044;7159388;125084;1.65;29236;907928;611328;7.38;435452;578540;0
10:35:01 PM;6414272;7159672;124912;1.65;29272;907936;611328;7.38;435532;578548;4
10:45:01 PM;6414280;7159728;124836;1.65;29328;907940;621380;7.50;435636;578548;4
10:55:01 PM;6414296;7159784;124788;1.65;29360;907940;621380;7.50;435624;578548;0
11:05:02 PM;6414020;7159556;125088;1.65;29392;907944;621380;7.50;435836;578552;4
11:15:01 PM;6414028;7159636;124972;1.65;29464;907944;621380;7.50;435776;578552;172
11:25:01 PM;6414272;7159912;124752;1.64;29496;907944;621380;7.50;435860;578556;4
11:35:01 PM;6414028;7159716;124916;1.65;29540;907944;621380;7.50;435888;578556;4
11:45:01 PM;6413784;7159476;125116;1.65;29576;907944;621380;7.50;435812;578560;0
11:55:01 PM;6413556;7159344;125220;1.65;29632;907952;621380;7.50;435984;578560;0
11:59:01 PM;6413540;7159352;125272;1.65;29656;907952;621380;7.50;436032;578560;188
12:00:01 AM;6413548;7159376;125244;1.65;29672;907956;621380;7.50;436124;578560;0
