# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
fleet-master;60;2021-09-27 15:01:01 UTC;144696;6189088;959816;12.65;120296;5754656;4264144;51.44;3139156;3607288;596
fleet-master;60;2021-09-27 15:02:01 UTC;211364;6186868;962704;12.69;119852;5689708;4263224;51.43;3143928;3536796;1712
fleet-master;60;2021-09-27 15:03:01 UTC;210324;6186448;963124;12.70;119852;5689820;4267736;51.49;3144764;3536608;380
fleet-master;60;2021-09-27 15:04:01 UTC;209116;6185316;963548;12.70;119852;5689844;4264140;51.44;3145824;3536656;1176
fleet-master;60;2021-09-27 15:05:01 UTC;209112;6185536;963884;12.71;119852;5689996;4268856;51.50;3145700;3536852;1476
fleet-master;60;2021-09-27 15:06:01 UTC;210060;6186780;962844;12.69;119852;5690024;4263476;51.44;3144164;3537140;312
fleet-master;60;2021-09-27 15:07:01 UTC;209652;6186976;963252;12.70;119852;5690268;4267820;51.49;3145348;3536784;668
fleet-master;60;2021-09-27 15:08:01 UTC;208012;6185748;964384;12.71;119852;5690556;4269496;51.51;3145660;3537116;1184
fleet-master;60;2021-09-27 15:09:01 UTC;206620;6184448;965856;12.73;119852;5690568;4268388;51.50;3146960;3537192;1252
fleet-master;60;2021-09-27 15:10:01 UTC;207528;6185368;965084;12.72;119852;5690592;4262936;51.43;3147592;3537204;880
fleet-master;60;2021-09-27 15:11:01 UTC;206976;6185040;964972;12.72;119852;5690612;4264456;51.45;3147520;3537424;1240
fleet-master;60;2021-09-27 15:12:01 UTC;206192;6184404;965824;12.73;119852;5690760;4266216;51.47;3148836;3537560;964
fleet-master;60;2021-09-27 15:13:01 UTC;204096;6182552;967828;12.76;119852;5690784;4262704;51.43;3149276;3537800;192
fleet-master;60;2021-09-27 15:14:01 UTC;204272;6182672;968060;12.76;119852;5690808;4263096;51.43;3149732;3537728;628
fleet-master;60;2021-09-27 15:15:01 UTC;207156;6185768;965384;12.73;119852;5690828;4266712;51.48;3147372;3537936;1208
