# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
fleet-master;184467440737095516;2021-09-26 00:00:01 UTC;1112004;6388208;694892;9.16;137572;4544920;1698732;20.49;2832492;2463372;492
fleet-master;60;2021-09-26 00:01:01 UTC;1111048;6387276;695536;9.17;137572;4544928;1697936;20.48;2834676;2463376;648
fleet-master;60;2021-09-26 00:02:01 UTC;1111104;6387480;695372;9.17;137572;4545064;1696292;20.46;2834568;2463520;296
fleet-master;60;2021-09-26 00:03:01 UTC;1112308;6388688;694344;9.15;137572;4545068;1702460;20.54;2832968;2463524;172
fleet-master;60;2021-09-26 00:04:01 UTC;1111956;6388348;694748;9.16;137572;4545076;1708644;20.61;2833432;2463536;236
fleet-master;60;2021-09-26 00:05:01 UTC;1109976;6386384;696504;9.18;137572;4545084;1707276;20.60;2835240;2463544;800
fleet-master;60;2021-09-26 00:06:01 UTC;1109560;6386100;696936;9.19;137572;4545216;1697068;20.47;2836356;2463676;612
fleet-master;60;2021-09-26 00:07:01 UTC;1109844;6386396;696580;9.18;137572;4545224;1696108;20.46;2835704;2463688;952
fleet-master;60;2021-09-26 00:08:01 UTC;1109428;6385988;697032;9.19;137572;4545232;1702684;20.54;2836040;2463696;172
fleet-master;60;2021-09-26 00:09:01 UTC;1109192;6385756;697408;9.19;137572;4545236;1694024;20.44;2835364;2463700;192
fleet-master;59;2021-09-26 00:10:01 UTC;1111460;6388032;695028;9.16;137572;4545244;1699632;20.51;2833500;2463708;176
fleet-master;60;2021-09-26 00:11:01 UTC;1111512;6388220;694564;9.16;137572;4545380;1706684;20.59;2832644;2463844;792
fleet-master;60;2021-09-26 00:12:01 UTC;1112040;6388748;694024;9.15;137572;4545384;1696468;20.47;2832828;2463840;612
fleet-master;60;2021-09-26 00:13:01 UTC;1111284;6388128;695080;9.16;137572;4545520;1694156;20.44;2832520;2463976;764
fleet-master;60;2021-09-26 00:14:01 UTC;1112168;6389020;694272;9.15;137572;4545524;1708344;20.61;2832584;2464016;660
fleet-master;60;2021-09-26 00:15:01 UTC;1111540;6388396;694916;9.16;137572;4545528;1706808;20.59;2833220;2464000;1012
fleet-master;60;2021-09-26 00:16:01 UTC;1111428;6388372;694764;9.16;137572;4545600;1698348;20.49;2833016;2464056;252
fleet-master;60;2021-09-26 00:17:01 UTC;1111292;6388384;694620;9.16;137572;4545740;1697036;20.47;2833324;2464212;500
fleet-master;60;2021-09-26 00:18:01 UTC;1109324;6386548;696396;9.18;137572;4545872;1703056;20.55;2835316;2464332;1060
fleet-master;60;2021-09-26 00:19:01 UTC;1111672;6388904;693920;9.15;137572;4545880;1709888;20.63;2832676;2464340;924
fleet-master;60;2021-09-26 00:20:01 UTC;1110476;6387716;695040;9.16;137572;4545888;1706524;20.59;2833492;2464344;748
fleet-master;60;2021-09-26 00:21:01 UTC;1110104;6387356;695732;9.17;137572;4545892;1704812;20.57;2834564;2464352;684
fleet-master;60;2021-09-26 00:22:01 UTC;1109372;6386636;696348;9.18;137572;4545900;1694324;20.44;2834516;2464360;412
fleet-master;60;2021-09-26 00:23:01 UTC;1109144;6386544;696456;9.18;137572;4546036;1701860;20.53;2835140;2464496;564
fleet-master;60;2021-09-26 00:24:01 UTC;1109144;6386612;696396;9.18;137572;4546040;1700040;20.51;2834960;2464564;176
fleet-master;60;2021-09-26 00:25:01 UTC;1112704;6390180;693012;9.14;137572;4546048;1690472;20.39;2831220;2464572;208
fleet-master;60;2021-09-26 00:26:01 UTC;1112980;6390464;692788;9.13;137572;4546052;1704076;20.56;2831696;2464580;960
fleet-master;60;2021-09-26 00:27:01 UTC;1109396;6386888;696204;9.18;137572;4546056;1695048;20.45;2835544;2464588;1828
fleet-master;60;2021-09-26 00:28:01 UTC;1108924;6386556;696600;9.18;137572;4546192;1700960;20.52;2835640;2464724;972
fleet-master;60;2021-09-26 00:29:01 UTC;1112680;6390328;692704;9.13;137572;4546200;1699032;20.50;2830828;2464736;808
fleet-master;60;2021-09-26 00:30:01 UTC;1112752;6390404;692776;9.13;137572;4546204;1704976;20.57;2832376;2464740;528
fleet-master;60;2021-09-26 00:31:01 UTC;1112760;6390424;692784;9.13;137572;4546212;1703148;20.55;2831708;2464748;188
fleet-master;60;2021-09-26 00:32:01 UTC;1109484;6387164;695964;9.18;137572;4546220;1702152;20.54;2834608;2464756;340
fleet-master;60;2021-09-26 00:33:01 UTC;1112484;6390296;692820;9.13;137572;4546352;1700228;20.51;2831504;2464888;964
fleet-master;60;2021-09-26 00:34:01 UTC;1111460;6389288;693928;9.15;137572;4546360;1705904;20.58;2832512;2464904;664
fleet-master;60;2021-09-26 00:35:01 UTC;1110948;6388772;694252;9.15;137572;4546368;1696504;20.47;2832640;2464900;500
fleet-master;60;2021-09-26 00:36:01 UTC;1108404;6386240;696804;9.19;137572;4546372;1702584;20.54;2835908;2464908;560
fleet-master;60;2021-09-26 00:37:01 UTC;1108720;6386564;696608;9.18;137572;4546380;1700880;20.52;2835176;2464916;524
fleet-master;60;2021-09-26 00:38:01 UTC;1108468;6386440;696600;9.18;137572;4546512;1691740;20.41;2835232;2465044;372
fleet-master;60;2021-09-26 00:39:01 UTC;1112004;6389980;692968;9.14;137572;4546516;1697260;20.48;2830616;2465048;280
fleet-master;60;2021-09-26 00:40:01 UTC;1111696;6389688;693292;9.14;137572;4546528;1704108;20.56;2833616;2465064;100
fleet-master;60;2021-09-26 00:41:01 UTC;1108720;6386724;696568;9.18;137572;4546536;1702000;20.53;2835276;2465072;772
fleet-master;60;2021-09-26 00:42:01 UTC;1108452;6386464;696564;9.18;137572;4546540;1700376;20.51;2835540;2465076;264
fleet-master;60;2021-09-26 00:43:01 UTC;1111828;6389972;692772;9.13;137572;4546676;1698556;20.49;2831548;2465208;436
fleet-master;60;2021-09-26 00:44:01 UTC;1110112;6388268;694588;9.16;137572;4546684;1696168;20.46;2832896;2465216;844
fleet-master;60;2021-09-26 00:45:01 UTC;1108428;6386588;696508;9.18;137572;4546688;1700556;20.52;2835104;2465220;828
fleet-master;60;2021-09-26 00:46:01 UTC;1111404;6389576;693364;9.14;137572;4546696;1698692;20.49;2832584;2465232;292
fleet-master;60;2021-09-26 00:47:01 UTC;1110256;6388564;694400;9.16;137572;4546832;1690824;20.40;2832688;2465368;440
fleet-master;60;2021-09-26 00:48:01 UTC;1110468;6388780;694284;9.15;137572;4546836;1704768;20.57;2832816;2465372;736
fleet-master;60;2021-09-26 00:49:01 UTC;1107956;6386532;696372;9.18;137572;4547100;1695944;20.46;2834540;2465632;876
fleet-master;60;2021-09-26 00:50:01 UTC;1107456;6386136;696776;9.19;137572;4547104;1700940;20.52;2834508;2465640;708
fleet-master;60;2021-09-26 00:51:01 UTC;1107632;6386316;696668;9.18;137572;4547108;1705880;20.58;2835196;2465644;788
fleet-master;60;2021-09-26 00:52:01 UTC;1106544;6385236;697492;9.20;137572;4547116;1705096;20.57;2835484;2465652;572
fleet-master;60;2021-09-26 00:53:01 UTC;1110712;6389412;693412;9.14;137572;4547124;1702816;20.54;2831716;2465660;1076
fleet-master;60;2021-09-26 00:54:02 UTC;1111640;6390472;692344;9.13;137572;4547256;1700308;20.51;2831540;2465792;1116
fleet-master;59;2021-09-26 00:55:01 UTC;1110420;6389388;693644;9.15;137572;4547392;1697828;20.48;2832276;2465928;824
fleet-master;60;2021-09-26 00:56:01 UTC;1110016;6389116;693336;9.14;137572;4547528;1702220;20.54;2831988;2466060;212
fleet-master;60;2021-09-26 00:57:01 UTC;1109452;6388560;694352;9.15;137572;4547532;1707384;20.60;2833012;2466064;240
fleet-master;60;2021-09-26 00:58:01 UTC;1109040;6388164;694636;9.16;137572;4547540;1697676;20.48;2832988;2466076;288
fleet-master;60;2021-09-26 00:59:01 UTC;1109600;6388812;694160;9.15;137572;4547628;1702996;20.55;2832992;2466164;180
fleet-master;60;2021-09-26 01:00:01 UTC;1108788;6388004;694800;9.16;137572;4547632;1702284;20.54;2833536;2466168;484
fleet-master;60;2021-09-26 01:01:01 UTC;1107940;6387296;695548;9.17;137572;4547768;1708660;20.61;2833616;2466304;268
fleet-master;60;2021-09-26 01:02:01 UTC;1106512;6385888;696832;9.19;137572;4547772;1699132;20.50;2835076;2466316;632
fleet-master;60;2021-09-26 01:03:01 UTC;1110812;6390192;692660;9.13;137572;4547776;1698500;20.49;2831348;2466336;556
fleet-master;60;2021-09-26 01:04:01 UTC;1108740;6388132;694700;9.16;137572;4547784;1704788;20.57;2832964;2466320;948
fleet-master;60;2021-09-26 01:05:01 UTC;1107608;6387008;695976;9.18;137572;4547792;1694968;20.45;2834420;2466340;796
fleet-master;60;2021-09-26 01:06:01 UTC;1108732;6388136;694664;9.16;137572;4547796;1700396;20.51;2832928;2466344;756
fleet-master;60;2021-09-26 01:07:01 UTC;1109372;6388868;694220;9.15;137572;4547868;1699440;20.50;2833044;2466408;452
fleet-master;60;2021-09-26 01:08:01 UTC;1106808;6386308;696432;9.18;137572;4547876;1697676;20.48;2834716;2466412;576
fleet-master;60;2021-09-26 01:09:01 UTC;1106928;6386564;696404;9.18;137572;4548008;1703668;20.55;2835484;2466544;68
fleet-master;60;2021-09-26 01:10:01 UTC;1105232;6385008;697608;9.20;137572;4548144;1702832;20.54;2835520;2466684;296
fleet-master;60;2021-09-26 01:11:01 UTC;1106040;6385824;697212;9.19;137572;4548152;1701464;20.53;2835420;2466692;780
