# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle[...]
ron;60;2021-09-27 15:01:01 UTC;-1;1.57;0.00;1.31;0.21;0.02;96.89
ron;60;2021-09-27 15:02:01 UTC;-1;1.50;0.00;1.43;0.13;0.03;96.90
ron;60;2021-09-27 15:03:01 UTC;-1;1.63;0.01;1.21;0.22;0.03;96.91
ron;60;2021-09-27 15:04:01 UTC;-1;1.53;0.01;1.20;0.20;0.02;97.04
ron;60;2021-09-27 15:05:01 UTC;-1;1.62;0.00;1.28;0.33;0.02;96.75
ron;60;2021-09-27 15:06:01 UTC;-1;1.59;0.00;1.28;0.26;0.02;96.84
ron;60;2021-09-27 15:07:01 UTC;-1;1.57;0.00;1.33;0.21;0.02;96.87
ron;60;2021-09-27 15:08:01 UTC;-1;1.50;0.00;1.28;0.39;0.02;96.82
ron;60;2021-09-27 15:09:01 UTC;-1;1.46;0.00;1.31;0.74;0.02;96.47
ron;60;2021-09-27 15:10:02 UTC;-1;1.47;0.00;1.26;0.49;0.02;96.76
ron;59;2021-09-27 15:11:01 UTC;-1;1.59;0.00;1.18;0.57;0.02;96.63
ron;60;2021-09-27 15:12:01 UTC;-1;1.52;0.01;1.33;0.31;0.02;96.81
ron;60;2021-09-27 15:13:01 UTC;-1;1.52;0.00;1.35;0.49;0.02;96.62
ron;60;2021-09-27 15:14:01 UTC;-1;1.55;0.00;1.35;0.31;0.02;96.78
ron;60;2021-09-27 15:15:01 UTC;-1;1.59;0.00;1.27;0.23;0.02;96.90
ron;60;2021-09-27 15:16:01 UTC;-1;1.41;0.00;1.27;0.31;0.02;97.00
ron;60;2021-09-27 15:17:01 UTC;-1;1.52;0.00;1.32;0.64;0.02;96.50
ron;60;2021-09-27 15:18:01 UTC;-1;1.57;0.01;1.29;0.16;0.01;96.96
ron;60;2021-09-27 15:19:01 UTC;-1;1.53;0.00;1.31;0.28;0.02;96.86
ron;60;2021-09-27 15:20:01 UTC;-1;1.49;0.00;1.26;0.46;0.02;96.77
ron;60;2021-09-27 15:21:01 UTC;-1;1.56;0.00;1.38;0.33;0.02;96.72
ron;60;2021-09-27 15:22:01 UTC;-1;1.56;0.00;1.32;0.28;0.02;96.81
ron;60;2021-09-27 15:23:01 UTC;-1;1.52;0.01;1.31;0.16;0.02;96.98
ron;60;2021-09-27 15:24:01 UTC;-1;1.49;0.00;1.25;0.54;0.03;96.69
ron;60;2021-09-27 15:25:01 UTC;-1;1.55;0.00;1.22;0.24;0.02;96.95
ron;60;2021-09-27 15:26:01 UTC;-1;1.55;0.00;1.34;0.29;0.03;96.79
ron;60;2021-09-27 15:27:01 UTC;-1;1.62;0.00;1.38;0.27;0.02;96.71
ron;60;2021-09-27 15:28:01 UTC;-1;1.53;0.00;1.29;0.57;0.03;96.58
ron;60;2021-09-27 15:29:01 UTC;-1;1.52;0.00;1.30;0.17;0.02;96.99
ron;60;2021-09-27 15:30:01 UTC;-1;1.55;0.00;1.27;0.30;0.01;96.87
ron;60;2021-09-27 15:31:01 UTC;-1;1.51;0.00;1.33;0.31;0.03;96.82
ron;60;2021-09-27 15:32:01 UTC;-1;1.52;0.01;1.36;0.26;0.03;96.82
ron;60;2021-09-27 15:33:01 UTC;-1;1.69;0.00;1.30;0.56;0.02;96.43
ron;60;2021-09-27 15:34:01 UTC;-1;1.55;0.01;1.21;0.28;0.03;96.93
ron;60;2021-09-27 15:35:01 UTC;-1;1.62;0.01;1.29;0.30;0.02;96.76
ron;60;2021-09-27 15:36:01 UTC;-1;1.45;0.00;1.26;0.38;0.02;96.89
ron;60;2021-09-27 15:37:01 UTC;-1;1.56;0.00;1.41;0.34;0.02;96.66
ron;60;2021-09-27 15:38:01 UTC;-1;1.49;0.00;1.21;0.34;0.03;96.94
ron;60;2021-09-27 15:39:01 UTC;-1;1.45;0.00;1.23;0.45;0.02;96.86
ron;60;2021-09-27 15:40:01 UTC;-1;1.53;0.01;1.28;0.39;0.02;96.78
ron;60;2021-09-27 15:41:01 UTC;-1;1.65;0.00;1.57;0.47;0.01;96.29
ron;60;2021-09-27 15:42:01 UTC;-1;1.55;0.00;1.38;0.46;0.02;96.60
ron;60;2021-09-27 15:43:01 UTC;-1;1.49;0.00;1.25;0.26;0.01;96.99
ron;60;2021-09-27 15:44:01 UTC;-1;1.59;0.01;1.36;0.20;0.03;96.80
ron;60;2021-09-27 15:45:01 UTC;-1;1.60;0.00;1.26;0.39;0.02;96.73
ron;60;2021-09-27 15:46:01 UTC;-1;1.45;0.00;1.21;0.46;0.02;96.86
ron;60;2021-09-27 15:47:01 UTC;-1;1.64;0.00;1.23;0.21;0.03;96.89
ron;60;2021-09-27 15:48:01 UTC;-1;1.54;0.00;1.29;0.19;0.02;96.96
ron;59;2021-09-27 15:49:01 UTC;-1;1.57;0.00;1.32;0.20;0.02;96.87
ron;60;2021-09-27 15:50:01 UTC;-1;1.58;0.00;1.25;0.25;0.03;96.89
ron;60;2021-09-27 15:51:01 UTC;-1;1.65;0.00;1.29;0.31;0.01;96.73
ron;60;2021-09-27 15:52:01 UTC;-1;1.61;0.00;1.31;0.40;0.05;96.63
ron;60;2021-09-27 15:53:01 UTC;-1;1.56;0.00;1.25;0.21;0.01;96.96
ron;60;2021-09-27 15:54:01 UTC;-1;1.47;0.00;1.30;0.65;0.02;96.55
ron;60;2021-09-27 15:55:01 UTC;-1;1.50;0.00;1.39;0.38;0.02;96.71
ron;60;2021-09-27 15:56:01 UTC;-1;1.61;0.00;1.29;0.14;0.03;96.94
ron;60;2021-09-27 15:57:01 UTC;-1;1.54;0.01;1.35;0.22;0.02;96.87
ron;60;2021-09-27 15:58:01 UTC;-1;1.50;0.00;1.25;0.19;0.02;97.04
ron;60;2021-09-27 15:59:01 UTC;-1;1.57;0.01;1.28;0.16;0.02;96.96
ron;60;2021-09-27 16:00:01 UTC;-1;1.60;0.00;1.20;0.28;0.01;96.90
ron;60;2021-09-27 16:01:01 UTC;-1;1.55;0.01;1.52;0.22;0.02;96.69
ron;60;2021-09-27 16:02:01 UTC;-1;1.51;0.00;1.26;0.18;0.01;97.04
ron;60;2021-09-27 16:03:01 UTC;-1;1.54;0.00;1.30;0.16;0.03;96.97
ron;60;2021-09-27 16:04:01 UTC;-1;1.41;0.00;1.34;0.17;0.02;97.06
ron;60;2021-09-27 16:05:01 UTC;-1;1.55;0.00;1.27;0.19;0.02;96.96
ron;60;2021-09-27 16:06:01 UTC;-1;1.59;0.00;1.33;0.26;0.02;96.80
ron;60;2021-09-27 16:07:01 UTC;-1;1.57;0.00;1.37;0.31;0.04;96.71
ron;60;2021-09-27 16:08:01 UTC;-1;1.53;0.00;1.23;0.31;0.02;96.91
ron;60;2021-09-27 16:09:01 UTC;-1;1.55;0.00;1.32;0.25;0.03;96.85
ron;60;2021-09-27 16:10:01 UTC;-1;1.49;0.01;1.28;0.26;0.02;96.94
ron;60;2021-09-27 16:11:01 UTC;-1;1.61;0.00;1.32;0.33;0.03;96.71
ron;60;2021-09-27 16:12:01 UTC;-1;1.61;0.00;1.29;0.37;0.01;96.72
ron;60;2021-09-27 16:13:01 UTC;-1;1.70;0.00;1.26;0.58;0.02;96.45
ron;60;2021-09-27 16:14:01 UTC;-1;1.53;0.00;1.28;0.85;0.02;96.33
ron;60;2021-09-27 16:15:01 UTC;-1;1.57;0.00;1.30;0.45;0.03;96.64
ron;60;2021-09-27 16:16:01 UTC;-1;1.50;0.01;1.15;0.33;0.02;97.00
ron;60;2021-09-27 16:17:01 UTC;-1;1.60;0.00;1.35;1.08;0.03;95.94
ron;60;2021-09-27 16:18:01 UTC;-1;1.51;0.00;1.22;0.22;0.01;97.04
ron;60;2021-09-27 16:19:01 UTC;-1;1.53;0.00;1.25;0.35;0.03;96.83
ron;60;2021-09-27 16:20:01 UTC;-1;1.48;0.00;1.18;0.28;0.01;97.05
ron;60;2021-09-27 16:21:01 UTC;-1;1.59;0.00;1.31;0.18;0.02;96.90
ron;60;2021-09-27 16:22:01 UTC;-1;1.57;0.01;1.35;0.25;0.02;96.80
ron;60;2021-09-27 16:23:01 UTC;-1;1.57;0.01;1.24;0.26;0.01;96.91
ron;60;2021-09-27 16:24:01 UTC;-1;1.58;0.00;1.26;0.32;0.01;96.82
ron;60;2021-09-27 16:25:01 UTC;-1;1.57;0.01;1.32;0.29;0.03;96.78
ron;60;2021-09-27 16:26:01 UTC;-1;1.51;0.00;1.24;0.24;0.01;97.00
ron;60;2021-09-27 16:27:01 UTC;-1;1.60;0.00;1.32;0.34;0.03;96.72
ron;60;2021-09-27 16:28:01 UTC;-1;1.60;0.01;1.22;0.29;0.02;96.86
ron;60;2021-09-27 16:29:01 UTC;-1;1.65;0.00;1.27;0.27;0.02;96.79
ron;60;2021-09-27 16:30:02 UTC;-1;1.54;0.00;1.27;0.25;0.02;96.91
ron;59;2021-09-27 16:31:01 UTC;-1;1.61;0.00;1.32;0.21;0.02;96.84
ron;60;2021-09-27 16:32:01 UTC;-1;1.58;0.00;1.27;0.26;0.01;96.86
ron;60;2021-09-27 16:33:01 UTC;-1;1.57;0.01;1.34;1.32;0.02;95.75
ron;60;2021-09-27 16:34:01 UTC;-1;1.59;0.00;1.29;0.28;0.02;96.80
ron;60;2021-09-27 16:35:01 UTC;-1;1.56;0.00;1.28;0.27;0.01;96.88
ron;60;2021-09-27 16:36:01 UTC;-1;1.48;0.00;1.29;0.35;0.01;96.87
ron;60;2021-09-27 16:37:01 UTC;-1;1.64;0.00;1.34;0.19;0.03;96.80
ron;60;2021-09-27 16:38:01 UTC;-1;1.50;0.00;1.30;0.34;0.02;96.84
