# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle[...]
ron;60;2021-09-26 00:01:01 UTC;-1;0.78;0.00;0.57;0.19;0.01;98.45
ron;60;2021-09-26 00:02:01 UTC;-1;0.77;0.00;0.56;0.16;0.00;98.52
ron;60;2021-09-26 00:03:01 UTC;-1;0.79;0.00;0.66;0.28;0.00;98.26
ron;60;2021-09-26 00:04:01 UTC;-1;0.77;0.00;0.56;0.13;0.00;98.54
ron;60;2021-09-26 00:05:01 UTC;-1;0.82;0.00;0.60;0.18;0.00;98.40
ron;60;2021-09-26 00:06:01 UTC;-1;0.75;0.00;0.56;0.23;0.00;98.45
ron;60;2021-09-26 00:07:01 UTC;-1;0.80;0.00;0.66;0.31;0.01;98.23
ron;60;2021-09-26 00:08:01 UTC;-1;0.75;0.00;0.59;0.69;0.00;97.97
ron;60;2021-09-26 00:09:01 UTC;-1;0.81;0.00;0.57;0.34;0.00;98.28
ron;60;2021-09-26 00:10:01 UTC;-1;0.80;0.00;0.54;0.29;0.00;98.37
ron;60;2021-09-26 00:11:01 UTC;-1;0.74;0.00;0.58;0.28;0.01;98.40
ron;60;2021-09-26 00:12:01 UTC;-1;0.79;0.00;0.58;0.26;0.00;98.36
ron;60;2021-09-26 00:13:01 UTC;-1;0.78;0.00;0.60;1.44;0.01;97.17
ron;60;2021-09-26 00:14:01 UTC;-1;0.74;0.00;0.57;0.20;0.01;98.48
ron;60;2021-09-26 00:15:01 UTC;-1;0.86;0.00;0.58;0.18;0.00;98.38
ron;60;2021-09-26 00:16:01 UTC;-1;0.80;0.00;0.53;0.48;0.00;98.18
ron;60;2021-09-26 00:17:01 UTC;-1;0.81;0.00;0.61;0.53;0.00;98.04
ron;60;2021-09-26 00:18:01 UTC;-1;0.80;0.00;0.52;0.40;0.00;98.28
ron;60;2021-09-26 00:19:02 UTC;-1;0.77;0.00;0.64;0.32;0.00;98.27
ron;59;2021-09-26 00:20:01 UTC;-1;0.81;0.00;0.53;0.27;0.01;98.38
ron;60;2021-09-26 00:21:01 UTC;-1;0.73;0.00;0.56;0.36;0.00;98.35
ron;60;2021-09-26 00:22:01 UTC;-1;0.80;0.00;0.63;0.45;0.01;98.10
ron;60;2021-09-26 00:23:01 UTC;-1;0.82;0.00;0.62;0.28;0.00;98.28
ron;60;2021-09-26 00:24:01 UTC;-1;0.76;0.00;0.58;0.32;0.01;98.33
ron;60;2021-09-26 00:25:01 UTC;-1;0.79;0.00;0.58;0.24;0.00;98.38
ron;60;2021-09-26 00:26:01 UTC;-1;0.79;0.00;0.55;0.31;0.00;98.35
ron;60;2021-09-26 00:27:01 UTC;-1;0.87;0.00;0.62;0.26;0.01;98.24
ron;60;2021-09-26 00:28:01 UTC;-1;0.74;0.00;0.50;0.19;0.00;98.57
ron;60;2021-09-26 00:29:01 UTC;-1;0.77;0.00;0.52;0.41;0.00;98.29
ron;60;2021-09-26 00:30:01 UTC;-1;0.79;0.00;0.60;0.64;0.00;97.97
ron;60;2021-09-26 00:31:01 UTC;-1;0.76;0.00;0.59;0.54;0.00;98.11
ron;60;2021-09-26 00:32:01 UTC;-1;0.81;0.00;0.56;0.27;0.00;98.35
ron;60;2021-09-26 00:33:01 UTC;-1;0.76;0.00;0.55;0.39;0.00;98.30
ron;60;2021-09-26 00:34:01 UTC;-1;0.86;0.00;0.54;0.61;0.00;97.99
ron;60;2021-09-26 00:35:01 UTC;-1;0.80;0.00;0.53;0.38;0.01;98.29
ron;60;2021-09-26 00:36:01 UTC;-1;0.73;0.00;0.56;0.26;0.01;98.44
ron;60;2021-09-26 00:37:01 UTC;-1;0.86;0.00;0.58;0.27;0.00;98.29
ron;60;2021-09-26 00:38:01 UTC;-1;0.83;0.00;0.60;0.27;0.00;98.29
ron;60;2021-09-26 00:39:01 UTC;-1;0.76;0.00;0.54;0.31;0.00;98.38
ron;60;2021-09-26 00:40:01 UTC;-1;0.77;0.00;0.56;0.67;0.00;98.01
ron;60;2021-09-26 00:41:01 UTC;-1;0.79;0.00;0.58;0.26;0.01;98.37
ron;60;2021-09-26 00:42:01 UTC;-1;0.76;0.00;0.65;0.25;0.01;98.33
ron;60;2021-09-26 00:43:01 UTC;-1;0.79;0.00;0.51;0.29;0.00;98.41
ron;60;2021-09-26 00:44:01 UTC;-1;0.82;0.00;0.60;0.43;0.01;98.15
ron;60;2021-09-26 00:45:01 UTC;-1;0.89;0.00;0.55;0.25;0.00;98.30
ron;60;2021-09-26 00:46:01 UTC;-1;0.78;0.00;0.54;0.24;0.01;98.42
ron;60;2021-09-26 00:47:01 UTC;-1;0.81;0.00;0.57;0.29;0.00;98.32
ron;60;2021-09-26 00:48:01 UTC;-1;0.77;0.00;0.59;0.28;0.01;98.35
ron;60;2021-09-26 00:49:01 UTC;-1;0.85;0.00;0.56;0.27;0.00;98.32
ron;60;2021-09-26 00:50:01 UTC;-1;0.80;0.00;0.59;0.46;0.01;98.14
ron;60;2021-09-26 00:51:01 UTC;-1;0.73;0.00;0.53;0.28;0.00;98.46
ron;60;2021-09-26 00:52:01 UTC;-1;0.75;0.00;0.60;0.25;0.00;98.40
ron;60;2021-09-26 00:53:01 UTC;-1;0.82;0.00;0.61;0.35;0.00;98.22
ron;60;2021-09-26 00:54:01 UTC;-1;0.86;0.00;0.56;0.33;0.02;98.23
ron;60;2021-09-26 00:55:01 UTC;-1;0.79;0.00;0.54;0.27;0.00;98.40
ron;60;2021-09-26 00:56:01 UTC;-1;0.82;0.00;0.56;0.31;0.00;98.31
ron;60;2021-09-26 00:57:01 UTC;-1;0.83;0.00;0.61;0.31;0.00;98.25
ron;60;2021-09-26 00:58:01 UTC;-1;0.76;0.00;0.59;0.15;0.02;98.50
ron;60;2021-09-26 00:59:01 UTC;-1;0.71;0.00;0.58;0.29;0.00;98.42
ron;60;2021-09-26 01:00:02 UTC;-1;0.84;0.00;0.53;0.26;0.00;98.36
