# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
ron;60;2021-09-26 00:01:01 UTC;1821160;6732624;235844;3.11;193212;3459324;791696;9.55;2174356;1642828;288
ron;60;2021-09-26 00:02:01 UTC;1821924;6733524;234896;3.10;193212;3459460;781124;9.42;2174628;1642960;208
ron;60;2021-09-26 00:03:01 UTC;1823192;6734796;233772;3.08;193212;3459468;792688;9.56;2173428;1642964;272
ron;60;2021-09-26 00:04:01 UTC;1822712;6734328;234296;3.09;193212;3459476;783188;9.45;2173352;1642976;476
ron;60;2021-09-26 00:05:01 UTC;1823712;6735356;233192;3.07;193212;3459480;788156;9.51;2173172;1642980;624
ron;60;2021-09-26 00:06:01 UTC;1823696;6735476;233216;3.07;193212;3459616;793424;9.57;2173196;1643116;568
ron;60;2021-09-26 00:07:01 UTC;1823248;6735040;233500;3.08;193212;3459628;790596;9.54;2173236;1643128;324
ron;60;2021-09-26 00:08:01 UTC;1822436;6734228;234260;3.09;193212;3459628;781488;9.43;2173584;1643136;132
ron;60;2021-09-26 00:09:01 UTC;1821908;6733712;234736;3.09;193212;3459636;796052;9.60;2173604;1643136;224
ron;60;2021-09-26 00:10:01 UTC;1822460;6734268;234188;3.09;193212;3459640;778424;9.39;2173460;1643140;248
ron;60;2021-09-26 00:11:01 UTC;1822460;6734412;234340;3.09;193212;3459780;783800;9.46;2173704;1643280;116
ron;60;2021-09-26 00:12:01 UTC;1822672;6734632;233900;3.08;193212;3459788;788452;9.51;2173512;1643288;16
ron;60;2021-09-26 00:13:01 UTC;1822704;6734668;234064;3.09;193212;3459792;787524;9.50;2173588;1643304;0
ron;60;2021-09-26 00:14:01 UTC;1823012;6735000;233760;3.08;193212;3459800;792672;9.56;2173452;1643300;408
ron;60;2021-09-26 00:15:01 UTC;1822508;6734632;234072;3.09;193212;3459932;782616;9.44;2173468;1643432;272
ron;60;2021-09-26 00:16:01 UTC;1822492;6734628;234088;3.09;193212;3459944;787392;9.50;2173620;1643444;0
ron;60;2021-09-26 00:17:01 UTC;1821964;6734108;234296;3.09;193212;3459952;793768;9.58;2173928;1643452;204
ron;60;2021-09-26 00:18:01 UTC;1821712;6733860;234520;3.09;193212;3459956;791076;9.54;2173716;1643456;120
ron;60;2021-09-26 00:19:02 UTC;1822632;6734788;234020;3.09;193212;3459964;779612;9.41;2173728;1643464;180
ron;59;2021-09-26 00:20:01 UTC;1821884;6734180;234296;3.09;193212;3460100;783440;9.45;2173564;1643600;220
ron;60;2021-09-26 00:21:01 UTC;1821160;6733460;235128;3.10;193212;3460108;789672;9.53;2173832;1643604;324
ron;60;2021-09-26 00:22:01 UTC;1821184;6734004;234604;3.09;193212;3460624;795952;9.60;2173920;1644124;252
ron;60;2021-09-26 00:23:01 UTC;1821088;6734164;234356;3.09;193212;3460884;784404;9.46;2173292;1644376;0
ron;60;2021-09-26 00:24:01 UTC;1820664;6733892;234664;3.09;193212;3461024;790420;9.54;2173888;1644524;152
ron;60;2021-09-26 00:25:01 UTC;1820436;6733796;234756;3.10;193212;3461156;794364;9.58;2173212;1644656;188
