# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
fleet-master;60;2021-10-06 02:51:01 UTC;137912;5783172;1377656;18.16;116156;5317916;3931320;47.43;3194112;3525276;536
fleet-master;60;2021-10-06 02:52:01 UTC;132660;5780840;1380128;18.20;116156;5320948;3931844;47.44;3197732;3528320;344
fleet-master;60;2021-10-06 02:53:01 UTC;126864;5777912;1382932;18.23;116156;5323796;3930252;47.42;3200684;3531168;892
fleet-master;60;2021-10-06 02:54:01 UTC;138492;5778876;1381592;18.22;115960;5314668;3927820;47.39;3195332;3525400;812
fleet-master;60;2021-10-06 02:55:01 UTC;133284;5763260;1397108;18.42;115960;5305264;3928688;47.40;3206968;3519532;612
fleet-master;60;2021-10-06 02:56:01 UTC;128712;5761664;1399052;18.45;115960;5308240;3934080;47.46;3209872;3522536;480
fleet-master;60;2021-10-06 02:57:01 UTC;131212;5753560;1407148;18.55;115960;5299464;3939780;47.53;3214368;3517144;500
fleet-master;60;2021-10-06 02:58:01 UTC;132116;5751408;1409140;18.58;115960;5296896;3936884;47.50;3214784;3516764;684
fleet-master;60;2021-10-06 02:59:01 UTC;135172;5741884;1418860;18.71;115960;5285480;3940188;47.54;3219244;3509824;992
fleet-master;59;2021-10-06 03:00:01 UTC;132960;5742820;1418040;18.70;115960;5288428;3928132;47.39;3218588;3512688;660
fleet-master;60;2021-10-06 03:01:01 UTC;127312;5740164;1420668;18.73;115960;5291436;3924212;47.34;3221196;3515744;1128
fleet-master;60;2021-10-06 03:02:01 UTC;126336;5735088;1425468;18.79;115960;5288176;3929288;47.40;3223032;3515132;852
fleet-master;60;2021-10-06 03:03:01 UTC;133280;5732136;1428804;18.84;115960;5279228;3932660;47.45;3223220;3510444;840
fleet-master;60;2021-10-06 03:04:01 UTC;130544;5732528;1428296;18.83;115960;5282212;3931284;47.43;3222624;3513368;1076
fleet-master;60;2021-10-06 03:05:01 UTC;127160;5718356;1442212;19.01;115960;5272284;3938760;47.52;3231360;3508104;780
fleet-master;60;2021-10-06 03:06:01 UTC;131364;5712952;1447764;19.09;115960;5263304;4002228;48.28;3233708;3503652;652
fleet-master;60;2021-10-06 03:07:01 UTC;123116;5707524;1453292;19.16;115960;5266096;3996700;48.22;3239796;3506444;1172
fleet-master;60;2021-10-06 03:08:01 UTC;129584;5703140;1457740;19.22;115960;5256140;4002176;48.28;3238796;3501136;1304
fleet-master;60;2021-10-06 03:09:01 UTC;132984;5696820;1463896;19.30;115960;5247308;4003376;48.30;3241580;3496616;1292
fleet-master;60;2021-10-06 03:10:01 UTC;133164;5686928;1473708;19.43;115960;5237880;4003896;48.30;3244900;3493640;972
fleet-master;60;2021-10-06 03:11:01 UTC;133900;5690832;1469844;19.38;115960;5241032;3997252;48.22;3238508;3496780;1256
fleet-master;60;2021-10-06 03:12:01 UTC;134184;5681804;1478900;19.50;115960;5232432;3995760;48.21;3241716;3494120;536
fleet-master;60;2021-10-06 03:13:01 UTC;127468;5678408;1482404;19.54;115960;5235604;3997676;48.23;3246316;3497292;280
fleet-master;60;2021-10-06 03:14:01 UTC;127568;5675224;1485400;19.58;115960;5232660;4003860;48.30;3245284;3496900;780
fleet-master;60;2021-10-06 03:15:01 UTC;138344;5676824;1483928;19.56;115960;5224036;3996064;48.21;3241984;3492456;996
fleet-master;60;2021-10-06 03:16:01 UTC;143044;5661372;1499420;19.77;115960;5204480;4101336;49.48;3250784;3477716;988
fleet-master;60;2021-10-06 03:17:01 UTC;140640;5660896;1500008;19.78;115960;5206636;4011796;48.40;3252044;3480372;516
fleet-master;60;2021-10-06 03:18:01 UTC;135428;5658736;1501996;19.80;115960;5209688;4004844;48.32;3253132;3483424;1568
fleet-master;60;2021-10-06 03:19:01 UTC;130588;5656096;1504596;19.84;115960;5211872;4008784;48.36;3255924;3486064;996
fleet-master;60;2021-10-06 03:20:01 UTC;132376;5647804;1512972;19.95;115960;5202328;4072136;49.13;3259708;3480820;688
fleet-master;60;2021-10-06 03:21:01 UTC;124728;5643240;1517312;20.00;115960;5205348;4069152;49.09;3265388;3483840;520
fleet-master;60;2021-10-06 03:22:01 UTC;136444;5637604;1523076;20.08;115960;5191264;4071768;49.12;3261620;3476888;1220
fleet-master;60;2021-10-06 03:23:01 UTC;133636;5638268;1522376;20.07;115960;5194228;4071904;49.13;3261984;3479852;1020
fleet-master;60;2021-10-06 03:24:01 UTC;130592;5637308;1523480;20.09;115960;5196248;4070564;49.11;3264504;3482220;760
fleet-master;60;2021-10-06 03:25:01 UTC;129200;5625972;1534744;20.23;116084;5187736;4076664;49.18;3270952;3477848;1180
fleet-master;60;2021-10-06 03:26:01 UTC;129856;5623776;1536828;20.26;116084;5185016;4074332;49.15;3270808;3477716;1024
fleet-master;60;2021-10-06 03:27:01 UTC;304704;5801612;1359092;17.92;116084;5187804;4076784;49.18;3089436;3480568;940
fleet-master;60;2021-10-06 03:28:01 UTC;307940;5807772;1353140;17.84;116084;5190708;4070000;49.10;3083128;3483476;628
fleet-master;60;2021-10-06 03:29:01 UTC;298996;5801904;1358960;17.92;116084;5193696;4080984;49.23;3089388;3486412;620
fleet-master;60;2021-10-06 03:30:01 UTC;301204;5807312;1353536;17.85;116084;5196900;4072540;49.13;3083808;3489552;464
fleet-master;60;2021-10-06 03:31:01 UTC;298516;5807664;1353084;17.84;116084;5199920;4071056;49.11;3083768;3492644;1292
fleet-master;60;2021-10-06 03:32:01 UTC;295256;5807376;1353640;17.85;116084;5202888;4070420;49.11;3084192;3495608;808
fleet-master;60;2021-10-06 03:33:01 UTC;291020;5806360;1354704;17.86;116084;5206060;4075240;49.17;3084632;3498800;700
fleet-master;60;2021-10-06 03:34:01 UTC;288112;5806284;1354492;17.86;116084;5208928;4074844;49.16;3085004;3501656;1084
fleet-master;60;2021-10-06 03:35:01 UTC;285176;5806284;1354568;17.86;116084;5211836;4075716;49.17;3085308;3504556;760
