# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle[...]
ron;60;2021-10-06 02:51:01 UTC;-1;7.14;0.00;4.33;7.50;0.09;80.93
ron;60;2021-10-06 02:52:01 UTC;-1;7.09;0.00;4.52;7.53;0.09;80.78
ron;60;2021-10-06 02:53:01 UTC;-1;6.85;0.00;4.45;7.78;0.08;80.83
ron;60;2021-10-06 02:54:01 UTC;-1;6.89;0.00;4.38;8.37;0.13;80.23
ron;60;2021-10-06 02:55:01 UTC;-1;6.46;0.00;4.22;7.47;0.09;81.75
ron;60;2021-10-06 02:56:01 UTC;-1;6.57;0.00;4.33;7.67;0.10;81.32
ron;60;2021-10-06 02:57:01 UTC;-1;6.54;0.00;4.32;9.01;0.09;80.05
ron;60;2021-10-06 02:58:01 UTC;-1;6.32;0.01;4.15;7.44;0.09;82.00
ron;60;2021-10-06 02:59:01 UTC;-1;6.51;0.00;4.31;7.83;0.08;81.27
ron;60;2021-10-06 03:00:01 UTC;-1;6.58;0.00;4.33;9.65;0.11;79.33
ron;60;2021-10-06 03:01:01 UTC;-1;6.49;0.00;4.22;10.24;0.07;78.97
ron;60;2021-10-06 03:02:01 UTC;-1;6.64;0.00;4.23;8.38;0.09;80.66
ron;60;2021-10-06 03:03:01 UTC;-1;6.45;0.00;4.42;7.75;0.09;81.29
ron;60;2021-10-06 03:04:01 UTC;-1;6.46;0.01;4.62;7.21;0.08;81.63
ron;60;2021-10-06 03:05:01 UTC;-1;7.05;0.00;4.21;7.56;0.08;81.10
ron;60;2021-10-06 03:06:01 UTC;-1;7.00;0.01;4.30;7.38;0.16;81.15
ron;60;2021-10-06 03:07:01 UTC;-1;7.18;0.00;4.28;7.88;0.09;80.56
ron;60;2021-10-06 03:08:01 UTC;-1;7.31;0.00;4.46;8.24;0.11;79.87
ron;60;2021-10-06 03:09:01 UTC;-1;7.35;0.01;4.45;8.08;0.09;80.02
ron;60;2021-10-06 03:10:01 UTC;-1;7.28;0.00;4.33;9.50;0.09;78.80
ron;60;2021-10-06 03:11:01 UTC;-1;7.06;0.01;4.52;8.02;0.10;80.29
ron;60;2021-10-06 03:12:01 UTC;-1;7.40;0.00;5.17;7.69;0.12;79.62
ron;60;2021-10-06 03:13:01 UTC;-1;7.15;0.00;4.56;8.50;0.09;79.71
ron;60;2021-10-06 03:14:01 UTC;-1;7.41;0.00;4.59;8.82;0.08;79.10
ron;60;2021-10-06 03:15:01 UTC;-1;6.96;0.00;4.38;9.34;0.09;79.22
ron;60;2021-10-06 03:16:01 UTC;-1;7.32;0.00;4.47;8.47;0.12;79.61
ron;60;2021-10-06 03:17:01 UTC;-1;7.45;0.00;4.51;7.31;0.10;80.62
ron;60;2021-10-06 03:18:01 UTC;-1;7.22;0.00;4.37;8.58;0.12;79.71
ron;60;2021-10-06 03:19:01 UTC;-1;6.73;0.00;4.38;7.58;0.08;81.23
ron;60;2021-10-06 03:20:01 UTC;-1;6.32;0.00;4.42;7.44;0.09;81.73
ron;60;2021-10-06 03:21:01 UTC;-1;6.32;0.00;4.24;8.21;0.07;81.16
ron;60;2021-10-06 03:22:01 UTC;-1;6.76;0.00;4.38;9.48;0.08;79.30
ron;60;2021-10-06 03:23:01 UTC;-1;6.43;0.00;4.39;7.45;0.07;81.67
