# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
george;184467440737095516;2021-09-21 00:00:01 UTC;1644296;6713744;498764;6.58;144712;4884764;1742064;21.02;1544972;3927416;476
george;60;2021-09-21 00:01:01 UTC;1645068;6714532;497896;6.56;144712;4884780;1739432;20.99;1544720;3927432;160
george;60;2021-09-21 00:02:01 UTC;1644848;6714432;497988;6.57;144712;4884912;1743528;21.03;1544732;3927548;528
george;60;2021-09-21 00:03:01 UTC;1644556;6714156;498128;6.57;144712;4884920;1747572;21.08;1544736;3927564;124
george;60;2021-09-21 00:04:01 UTC;1645312;6714924;497676;6.56;144712;4884924;1736884;20.95;1544732;3927572;172
george;60;2021-09-21 00:05:01 UTC;1644280;6713904;498516;6.57;144712;4884936;1749916;21.11;1544804;3927584;552
george;60;2021-09-21 00:06:01 UTC;1643740;6713500;498936;6.58;144712;4885068;1738760;20.98;1544724;3927712;444
george;60;2021-09-21 00:07:01 UTC;1644604;6714372;498176;6.57;144712;4885072;1742668;21.02;1544768;3927720;504
george;60;2021-09-21 00:08:01 UTC;1644596;6714372;498184;6.57;144712;4885076;1740460;21.00;1544720;3927724;392
george;60;2021-09-21 00:09:01 UTC;1644848;6714632;497908;6.56;144716;4885080;1744628;21.05;1544772;3927728;224
george;60;2021-09-21 00:10:01 UTC;1644280;6714076;498440;6.57;144720;4885088;1741672;21.01;1544812;3927736;532
george;60;2021-09-21 00:11:01 UTC;1644408;6714340;498040;6.57;144720;4885220;1730796;20.88;1544728;3927868;380
george;60;2021-09-21 00:12:01 UTC;1644604;6714544;497744;6.56;144720;4885228;1734944;20.93;1544776;3927876;184
george;60;2021-09-21 00:13:01 UTC;1644604;6714544;497728;6.56;144720;4885232;1732288;20.90;1544776;3927876;528
george;60;2021-09-21 00:14:01 UTC;1644596;6714552;497784;6.56;144720;4885244;1736536;20.95;1544728;3927892;424
george;60;2021-09-21 00:15:01 UTC;1644312;6714280;498108;6.57;144720;4885248;1740824;21.00;1544764;3927896;404
george;60;2021-09-21 00:16:01 UTC;1644596;6714700;497712;6.56;144720;4885384;1730092;20.87;1544764;3928032;424
george;60;2021-09-21 00:17:01 UTC;1644052;6714180;498200;6.57;144720;4885388;1734280;20.92;1545044;3928036;500
george;60;2021-09-21 00:18:01 UTC;1644392;6714528;497928;6.56;144720;4885396;1738272;20.97;1544792;3928044;612
george;60;2021-09-21 00:19:01 UTC;1644100;6714240;498188;6.57;144720;4885400;1743512;21.03;1544800;3928048;556
george;60;2021-09-21 00:20:01 UTC;1644076;6714348;498332;6.57;144720;4885532;1740224;20.99;1544816;3928180;136
george;60;2021-09-21 00:21:01 UTC;1644564;6714844;497756;6.56;144720;4885540;1737204;20.96;1544888;3928188;348
george;60;2021-09-21 00:22:01 UTC;1644360;6714772;497868;6.56;144720;4885672;1734728;20.93;1544676;3928320;96
george;60;2021-09-21 00:23:01 UTC;1644052;6714604;497848;6.56;144720;4885808;1738584;20.97;1544876;3928456;248
george;60;2021-09-21 00:24:01 UTC;1644100;6714788;497688;6.56;144720;4885940;1742628;21.02;1544816;3928588;128
george;60;2021-09-21 00:25:01 UTC;1643816;6714512;497972;6.57;144720;4885948;1731572;20.89;1544732;3928596;164
george;60;2021-09-21 00:26:01 UTC;1644328;6715032;497644;6.56;144720;4885952;1736236;20.95;1544712;3928600;516
george;60;2021-09-21 00:27:01 UTC;1644108;6714820;497720;6.56;144720;4885960;1748736;21.10;1544848;3928608;352
george;60;2021-09-21 00:28:01 UTC;1644100;6714820;497700;6.56;144720;4885964;1737320;20.96;1544852;3928612;348
george;60;2021-09-21 00:29:01 UTC;1643824;6714680;497916;6.56;144720;4886104;1741388;21.01;1544732;3928744;436
george;60;2021-09-21 00:30:01 UTC;1643568;6714436;498076;6.57;144720;4886108;1738100;20.97;1544732;3928756;196
george;60;2021-09-21 00:31:01 UTC;1643588;6714476;497948;6.57;144720;4886116;1734972;20.93;1544732;3928760;656
george;60;2021-09-21 00:32:01 UTC;1643336;6714228;498240;6.57;144720;4886120;1739068;20.98;1544732;3928764;476
george;60;2021-09-21 00:33:01 UTC;1643092;6713988;498444;6.57;144720;4886120;1735704;20.94;1544708;3928768;316
george;60;2021-09-21 00:34:01 UTC;1643840;6714876;497604;6.56;144720;4886256;1731836;20.89;1544852;3928904;292
george;60;2021-09-21 00:35:01 UTC;1643320;6714360;498072;6.57;144720;4886260;1735644;20.94;1544812;3928908;472
george;60;2021-09-21 00:36:01 UTC;1643280;6714328;498156;6.57;144720;4886268;1732304;20.90;1544948;3928916;444
george;60;2021-09-21 00:37:01 UTC;1643100;6714156;498332;6.57;144720;4886276;1736620;20.95;1544884;3928920;316
george;60;2021-09-21 00:38:01 UTC;1643036;6714224;498404;6.57;144720;4886412;1740800;21.00;1544956;3929052;320
george;60;2021-09-21 00:39:01 UTC;1643044;6714244;498212;6.57;144720;4886416;1745868;21.06;1544772;3929064;136
george;60;2021-09-21 00:40:01 UTC;1643084;6714292;498208;6.57;144720;4886424;1750072;21.11;1544608;3929072;200
george;60;2021-09-21 00:41:01 UTC;1642808;6714020;498420;6.57;144720;4886428;1738532;20.97;1544780;3929076;100
george;60;2021-09-21 00:42:01 UTC;1643840;6715060;497412;6.56;144720;4886436;1734404;20.92;1544732;3929084;144
george;60;2021-09-21 00:43:01 UTC;1643052;6714396;498048;6.57;144720;4886568;1731624;20.89;1544656;3929208;316
george;60;2021-09-21 00:44:01 UTC;1643240;6714604;497944;6.56;144720;4886576;1735872;20.94;1544664;3929224;480
george;60;2021-09-21 00:45:01 UTC;1642256;6713640;498964;6.58;144720;4886580;1739680;20.99;1544780;3929228;324
george;60;2021-09-21 00:46:01 UTC;1643524;6714912;497536;6.56;144720;4886584;1743588;21.04;1544832;3929232;312
george;60;2021-09-21 00:47:02 UTC;1642768;6714180;498192;6.57;144720;4886592;1740124;20.99;1544712;3929240;228
george;59;2021-09-21 00:48:01 UTC;1642728;6714272;498104;6.57;144720;4886724;1745036;21.05;1544816;3929372;172
george;60;2021-09-21 00:49:01 UTC;1643248;6714804;497860;6.56;144720;4886732;1742196;21.02;1544784;3929380;0
george;60;2021-09-21 00:50:01 UTC;1642272;6713836;498696;6.57;144720;4886736;1731896;20.89;1544772;3929384;428
george;60;2021-09-21 00:51:01 UTC;1642776;6714352;498112;6.57;144720;4886744;1736808;20.95;1544784;3929392;380
george;60;2021-09-21 00:52:01 UTC;1642516;6714220;498336;6.57;144720;4886876;1741400;21.01;1544772;3929516;208
